4519_6171_000001_000001	And now the question was between the moon and the cottage.	And now the question was between the moon and the cottage.
4519_6171_000001_000002	The princess thought she knew the worst of the moon, and she knew nothing at all about the cottage, therefore she would stay with the moon.	The princess thought she knew the worst of the moon, and she knew nothing at all about the cottage, therefore she would stay with the moon.
4519_6171_000001_000003	Strange, was it not, that she should have been so long with the wise woman, and yet know NOTHING about that cottage?	Strange, was it not, that she should have been so long with the wise woman, and yet know NOTHING about that cottage?
4519_6171_000002_000001	First of all, the soft wind blowing gently through the dry stalks of the heather and its thousands of little bells raised a sweet rustling, which the princess took for the hissing of serpents, for you know she had been naughty for so long that she could not in a great many things tell the good from the bad.	First of all, the soft wind blowing gently through the dry stalks of the heather and its thousands of little bells raised a sweet rustling, which the princess took for the hissing of serpents, for you know she had been naughty for so long that she could not in a great many things tell the good from the bad.
4519_6171_000002_000002	Then nobody could deny that there, all round about the heath, like a ring of darkness, lay the gloomy fir-wood, and the princess knew what it was full of, and every now and then she thought she heard the howling of its wolves and hyenas.	Then nobody could deny that there, all round about the heath, like a ring of darkness, lay the gloomy fir wood, and the princess knew what it was full of, and every now and then she thought she heard the howling of its wolves and hyenas.
4519_6171_000002_000003	And who could tell but some of them might break from their covert and sweep like a shadow across the heath?	And who could tell but some of them might break from their covert and sweep like a shadow across the heath?
4519_6171_000002_000004	Indeed, it was not once nor twice that for a moment she was fully persuaded she saw a great beast coming leaping and bounding through the moonlight to have her all to himself.	Indeed, it was not once nor twice that for a moment she was fully persuaded she saw a great beast coming leaping and bounding through the moonlight to have her all to himself.
4519_6171_000002_000005	She did not know that not a single evil creature dared set foot on that heath, or that, if one should do so, it would that instant wither up and cease.	She did not know that not a single evil creature dared set foot on that heath, or that, if one should do so, it would that instant wither up and cease.
4519_6171_000002_000007	The wise woman, too, she felt sure, although her cottage looked asleep, was watching her at some little window.	The wise woman, too, she felt sure, although her cottage looked asleep, was watching her at some little window.
4519_6171_000002_000008	In this, however, she would have been quite right, if she had only imagined enough--namely, that the wise woman was watching OVER her from the little window.	In this, however, she would have been quite right, if she had only imagined enough-namely, that the wise woman was watching OVER her from the little window.
4519_6171_000002_000010	Hardly had the possibility arisen in her mind, before she was on her feet: if the woman was any thing short of an ogress, her cottage must be better than that horrible loneliness, with nothing in all the world but a stare; and even an ogress had at least the shape and look of a human being.	Hardly had the possibility arisen in her mind, before she was on her feet: if the woman was any thing short of an ogress, her cottage must be better than that horrible loneliness, with nothing in all the world but a stare; and even an ogress had at least the shape and look of a human being.
4519_6171_000003_000001	But, to her surprise, she came only to another back, for no door was to be seen. She tried the farther end, but still no door.	But, to her surprise, she came only to another back, for no door was to be seen. She tried the farther end, but still no door.
4519_6171_000003_000002	She must have passed it as she ran--but no--neither in gable nor in side was any to be found.	She must have passed it as she ran-but no-neither in gable nor in side was any to be found.
4519_6171_000004_000000	A cottage without a door!--she rushed at it in a rage and kicked at the wall with her feet.	A cottage without a door!--she rushed at it in a rage and kicked at the wall with her feet.
4519_6171_000004_000003	Suddenly, however, she remembered how her screaming had brought the horde of wolves and hyenas about her in the forest, and, ceasing at once, lay still, gazing yet again at the moon.	Suddenly, however, she remembered how her screaming had brought the horde of wolves and hyenas about her in the forest, and, ceasing at once, lay still, gazing yet again at the moon.
4519_6171_000005_000000	But the old woman--as the princess called her, not knowing that her real name was the Wise Woman--had told her that she must knock at the door: how was she to do that when there was no door?	But the old woman-as the princess called her, not knowing that her real name was the Wise Woman-had told her that she must knock at the door: how was she to do that when there was no door?
4519_6171_000005_000001	But again she bethought herself--that, if she could not do all she was told, she could, at least, do a part of it: if she could not knock at the door, she could at least knock--say on the wall, for there was nothing else to knock upon--and perhaps the old woman would hear her, and lift her in by some window.	But again she bethought herself-that, if she could not do all she was told, she could, at least, do a part of it: if she could not knock at the door, she could at least knock-say on the wall, for there was nothing else to knock upon-and perhaps the old woman would hear her, and lift her in by some window.
4519_6171_000005_000002	Thereupon, she rose at once to her feet, and picking up a stone, began to knock on the wall with it.	Thereupon, she rose at once to her feet, and picking up a stone, began to knock on the wall with it.
4519_6171_000005_000004	For a moment she feared the old woman would be offended, but the next, there came a voice, saying,	For a moment she feared the old woman would be offended, but the next, there came a voice, saying,
4519_6171_000006_000000	"Who is there?"	"Who is there?"
4519_6171_000007_000000	The princess answered,	The princess answered,
4519_6171_000008_000000	"Please, old woman, I did not mean to knock so loud."	"Please, old woman, I did not mean to knock so loud."
4519_6171_000009_000000	To this there came no reply.	To this there came no reply.
4519_6171_000010_000000	Then the princess knocked again, this time with her knuckles, and the voice came again, saying,	Then the princess knocked again, this time with her knuckles, and the voice came again, saying,
4519_6171_000011_000000	"Who is there?"	"Who is there?"
