4519_6171_000000_000000	III.	three.	false	0.93	15.54	19.664026
4519_6171_000001_000000	The moon stared at the princess, and the princess stared at the moon; but the moon had the best of it, and the princess began to cry.	The moon stared at the princess, and the princess stared at the moon; but the moon had the best of it, and the princess began to cry.	false	15.54	28.36	21.49331
4519_6171_000001_000001	And now the question was between the moon and the cottage.	And now the question was between the moon and the cottage.	true	28.58	31.42	24.672667
4519_6171_000001_000002	The princess thought she knew the worst of the moon, and she knew nothing at all about the cottage, therefore she would stay with the moon.	The princess thought she knew the worst of the moon, and she knew nothing at all about the cottage, therefore she would stay with the moon.	true	31.76	39.13	22.884735
4519_6171_000001_000003	Strange, was it not, that she should have been so long with the wise woman, and yet know NOTHING about that cottage?	Strange, was it not, that she should have been so long with the wise woman, and yet know NOTHING about that cottage?	true	39.17	45.76	23.70319
4519_6171_000001_000004	As for the moon, she did not by any means know the worst of her, or even, that, if she were to fall asleep where she could find her, the old witch would certainly do her best to twist her face.	As for the moon, she did not by any means know the worst of her, or even, that, if she were to fall asleep where she could find her, the old witch would certainly do her best to twist her face.	false	46.13	57.04	21.927132
4519_6171_000002_000000	But she had scarcely sat a moment longer before she was assailed by all sorts of fresh fears.	But she had scarcely sat a moment longer before she was assailed by all sorts of fresh fears.	true	57.74	63.43	17
4519_6171_000002_000001	First of all, the soft wind blowing gently through the dry stalks of the heather and its thousands of little bells raised a sweet rustling, which the princess took for the hissing of serpents, for you know she had been naughty for so long that she could not in a great many things tell the good from the bad.	First of all, the soft wind blowing gently through the dry stalks of the heather and its thousands of little bells raised a sweet rustling, which the princess took for the hissing of serpents, for you know she had been naughty for so long that she could not in a great many things tell the good from the bad.	true	63.74	81.04	22.407557
4519_6171_000002_000002	Then nobody could deny that there, all round about the heath, like a ring of darkness, lay the gloomy fir-wood, and the princess knew what it was full of, and every now and then she thought she heard the howling of its wolves and hyenas.	Then nobody could deny that there, all round about the heath, like a ring of darkness, lay the gloomy fir wood, and the princess knew what it was full of, and every now and then she thought she heard the howling of its wolves and hyenas.	true	81.77	96.4	20.79922
4519_6171_000002_000003	And who could tell but some of them might break from their covert and sweep like a shadow across the heath?	And who could tell but some of them might break from their covert and sweep like a shadow across the heath?	true	96.59	102.28	23.269712
4519_6171_000002_000004	Indeed, it was not once nor twice that for a moment she was fully persuaded she saw a great beast coming leaping and bounding through the moonlight to have her all to himself.	Indeed, it was not once nor twice that for a moment she was fully persuaded she saw a great beast coming leaping and bounding through the moonlight to have her all to himself.	true	102.65	113.08	21
4519_6171_000002_000005	She did not know that not a single evil creature dared set foot on that heath, or that, if one should do so, it would that instant wither up and cease.	She did not know that not a single evil creature dared set foot on that heath, or that, if one should do so, it would that instant wither up and cease.	true	113.42	123.37	22.303614
4519_6171_000002_000006	If an army of them had rushed to invade it, it would have melted away on the edge of it, and ceased like a dying wave.--She even imagined that the moon was slowly coming nearer and nearer down the sky to take her and freeze her to death in her arms.	If an army of them had rushed to invade it, it would have melted away on the edge of it, and ceased like a dying wave.--She even imagined that the moon was slowly coming nearer and nearer down the sky to take her and freeze her to death in her arms.	false	123.5	137.98	20
4519_6171_000002_000007	The wise woman, too, she felt sure, although her cottage looked asleep, was watching her at some little window.	The wise woman, too, she felt sure, although her cottage looked asleep, was watching her at some little window.	true	138.44	145.12	21
4519_6171_000002_000008	In this, however, she would have been quite right, if she had only imagined enough--namely, that the wise woman was watching OVER her from the little window.	In this, however, she would have been quite right, if she had only imagined enough-namely, that the wise woman was watching OVER her from the little window.	true	145.4	154.48	20.392706
4519_6171_000002_000009	But after all, somehow, the thought of the wise woman was less frightful than that of any of her other terrors, and at length she began to wonder whether it might not turn out that she was no ogress, but only a rude, ill-bred, tyrannical, yet on the whole not altogether ill-meaning person.	But after all, somehow, the thought of the wise woman was less frightful than that of any of her other terrors, and at length she began to wonder whether it might not turn out that she was no ogress, but only a rude, ill bred, tyrannical, yet on the whole not altogether ill meaning person.	true	154.7	172.42	19
4519_6171_000002_000010	Hardly had the possibility arisen in her mind, before she was on her feet: if the woman was any thing short of an ogress, her cottage must be better than that horrible loneliness, with nothing in all the world but a stare; and even an ogress had at least the shape and look of a human being.	Hardly had the possibility arisen in her mind, before she was on her feet: if the woman was any thing short of an ogress, her cottage must be better than that horrible loneliness, with nothing in all the world but a stare; and even an ogress had at least the shape and look of a human being.	true	172.97	189.76	20
4519_6171_000003_000000	She darted round the end of the cottage to find the front.	She darted round the end of the cottage to find the front.	false	190.1	193.39	21.705694
4519_6171_000003_000001	But, to her surprise, she came only to another back, for no door was to be seen. She tried the farther end, but still no door.	But, to her surprise, she came only to another back, for no door was to be seen. She tried the farther end, but still no door.	true	193.49	202.12	21.990759
4519_6171_000003_000002	She must have passed it as she ran--but no--neither in gable nor in side was any to be found.	She must have passed it as she ran-but no-neither in gable nor in side was any to be found.	true	202.25	209.05	21.33255
4519_6171_000004_000000	A cottage without a door!--she rushed at it in a rage and kicked at the wall with her feet.	A cottage without a door!--she rushed at it in a rage and kicked at the wall with her feet.	true	209.24	215.68	23.96974
4519_6171_000004_000001	But the wall was hard as iron, and hurt her sadly through her gay silken slippers.	But the wall was hard as iron, and hurt her sadly through her gay silken slippers.	true	215.69	220.9	18
4519_6171_000004_000002	She threw herself on the heath, which came up to the walls of the cottage on every side, and roared and screamed with rage.	She threw herself on the heath, which came up to the walls of the cottage on every side, and roared and screamed with rage.	false	221.12	228.94	20.812796
4519_6171_000004_000003	Suddenly, however, she remembered how her screaming had brought the horde of wolves and hyenas about her in the forest, and, ceasing at once, lay still, gazing yet again at the moon.	Suddenly, however, she remembered how her screaming had brought the horde of wolves and hyenas about her in the forest, and, ceasing at once, lay still, gazing yet again at the moon.	true	229.28	240.22	20.713734
4519_6171_000004_000004	And then came the thought of her parents in the palace at home.	And then came the thought of her parents in the palace at home.	true	240.41	243.46	17
4519_6171_000004_000005	In her mind's eye she saw her mother sitting at her embroidery with the tears dropping upon it, and her father staring into the fire as if he were looking for her in its glowing caverns.	In her mind's eye she saw her mother sitting at her embroidery with the tears dropping upon it, and her father staring into the fire as if he were looking for her in its glowing caverns.	true	244.01	255.37	19
4519_6171_000004_000006	It is true that if they had both been in tears by her side because of her naughtiness, she would not have cared a straw; but now her own forlorn condition somehow helped her to understand their grief at having lost her, and not only a great longing to be back in her comfortable home, but a feeble flutter of genuine love for her parents awoke in her heart as well, and she burst into real tears--soft, mournful tears--very different from those of rage and disappointment to which she was so much used.	It is true that if they had both been in tears by her side because of her naughtiness, she would not have cared a straw; but now her own forlorn condition somehow helped her to understand their grief at having lost her, and not only a great longing to be back in her comfortable home, but a feeble flutter of genuine love for her parents awoke in her heart as well, and she burst into real tears-soft, mournful tears-very different from those of rage and disappointment to which she was so much used.	true	255.8	287.44	21.230145
4519_6171_000004_000007	And another very remarkable thing was that the moment she began to love her father and mother, she began to wish to see the wise woman again.	And another very remarkable thing was that the moment she began to love her father and mother, she began to wish to see the wise woman again.	false	287.6	295.36	19
4519_6171_000004_000008	The idea of her being an ogress vanished utterly, and she thought of her only as one to take her in from the moon, and the loneliness, and the terrors of the forest-haunted heath, and hide her in a cottage with not even a door for the horrid wolves to howl against.	The idea of her being an ogress vanished utterly, and she thought of her only as one to take her in from the moon, and the loneliness, and the terrors of the forest haunted heath, and hide her in a cottage with not even a door for the horrid wolves to howl against.	true	296.36	311.92	19
