5093_26496_000001_000000	CHAPTER 8.	CHAPTER eight.
5093_26496_000001_000001	How Absalom Murdered Amnon, Who Had Forced His Own Sister; And How He Was Banished And Afterwards Recalled By David.	How Absalom Murdered Amnon, Who Had Forced His Own Sister; And How He Was Banished And Afterwards Recalled By David.
5093_26496_000002_000002	Now Amnon, David's eldest son, fell in love with her, and being not able to obtain his desires, on account of her virginity, and the custody she was under, was so much out of order, nay, his grief so eat up his body, that he grew lean, and his color was changed.	Now Amnon, David's eldest son, fell in love with her, and being not able to obtain his desires, on account of her virginity, and the custody she was under, was so much out of order, nay, his grief so eat up his body, that he grew lean, and his color was changed.
5093_26496_000002_000004	When, therefore, he saw that every morning Amnon was not in body as he ought to be, he came to him, and desired him to tell him what was the cause of it: however, he said that he guessed that it arose from the passion of love.	When, therefore, he saw that every morning Amnon was not in body as he ought to be, he came to him, and desired him to tell him what was the cause of it: however, he said that he guessed that it arose from the passion of love.
5093_26496_000002_000005	Amnon confessed his passion, that he was in love with a sister of his, who had the same father with himself.	Amnon confessed his passion, that he was in love with a sister of his, who had the same father with himself.
5093_26496_000002_000006	So Jenadab suggested to him by what method and contrivance he might obtain his desires; for he persuaded him to pretend sickness, and bade him, when his father should come to him, to beg of him that his sister might come and minister to him; for if that were done, he should be better, and should quickly recover from his distemper.	So Jenadab suggested to him by what method and contrivance he might obtain his desires; for he persuaded him to pretend sickness, and bade him, when his father should come to him, to beg of him that his sister might come and minister to him; for if that were done, he should be better, and should quickly recover from his distemper.
5093_26496_000002_000008	When his father came, and inquired how he did, he begged of him to send his sister to him.	When his father came, and inquired how he did, he begged of him to send his sister to him.
5093_26496_000002_000010	So she kneaded the flour in the sight of her brother, and made him cakes, and baked them in a pan, and brought them to him; but at that time he would not taste them, but gave order to his servants to send all that were there out of his chamber, because he had a mind to repose himself, free from tumult and disturbance.	So she kneaded the flour in the sight of her brother, and made him cakes, and baked them in a pan, and brought them to him; but at that time he would not taste them, but gave order to his servants to send all that were there out of his chamber, because he had a mind to repose himself, free from tumult and disturbance.
5093_26496_000002_000011	As soon as what he had commanded was done, he desired his sister to bring his supper to him into the inner parlor; which, when the damsel had done, he took hold of her, and endeavored to persuade her to lie with him.	As soon as what he had commanded was done, he desired his sister to bring his supper to him into the inner parlor; which, when the damsel had done, he took hold of her, and endeavored to persuade her to lie with him.
5093_26496_000002_000012	Whereupon the damsel cried out, and said, "Nay, brother, do not force me, nor be so wicked as to transgress the laws, and bring upon thyself the utmost confusion.	Whereupon the damsel cried out, and said, "Nay, brother, do not force me, nor be so wicked as to transgress the laws, and bring upon thyself the utmost confusion.
5093_26496_000002_000013	Curb this thy unrighteous and impure lust, from which our house will get nothing but reproach and disgrace." She also advised him to speak to his father about this affair; for he would permit him [to marry her].	Curb this thy unrighteous and impure lust, from which our house will get nothing but reproach and disgrace." She also advised him to speak to his father about this affair; for he would permit him [to marry her].
5093_26496_000002_000014	This she said, as desirous to avoid her brother's violent passion at present.	This she said, as desirous to avoid her brother's violent passion at present.
5093_26496_000002_000015	But he would not yield to her; but, inflamed with love and blinded with the vehemency of his passion, he forced his sister: but as soon as Amnon had satisfied his lust, he hated her immediately, and giving her reproachful words, bade her rise up and be gone.	But he would not yield to her; but, inflamed with love and blinded with the vehemency of his passion, he forced his sister: but as soon as Amnon had satisfied his lust, he hated her immediately, and giving her reproachful words, bade her rise up and be gone.
5093_26496_000002_000016	And when she said that this was a more injurious treatment than the former, if, now he had forced her, he would not let her stay with him till the evening, but bid her go away in the day-time, and while it was light, that she might meet with people that would be witnesses of her shame,--he commanded his servant to turn her out of his house.	And when she said that this was a more injurious treatment than the former, if, now he had forced her, he would not let her stay with him till the evening, but bid her go away in the day-time, and while it was light, that she might meet with people that would be witnesses of her shame,--he commanded his servant to turn her out of his house.
5093_26496_000002_000018	Now Absalom, her brother, happened to meet her, and asked her what sad thing had befallen her, that she was in that plight; and when she had told him what injury had been offered her, he comforted her, and desired her to be quiet, and take all patiently, and not to esteem her being corrupted by her brother as an injury.	Now Absalom, her brother, happened to meet her, and asked her what sad thing had befallen her, that she was in that plight; and when she had told him what injury had been offered her, he comforted her, and desired her to be quiet, and take all patiently, and not to esteem her being corrupted by her brother as an injury.
5093_26496_000002_000019	So she yielded to his advice, and left off her crying out, and discovering the force offered her to the multitude; and she continued as a widow with her brother Absalom a long time.	So she yielded to his advice, and left off her crying out, and discovering the force offered her to the multitude; and she continued as a widow with her brother Absalom a long time.
5093_26496_000003_000001	When David his father knew this, he was grieved at the actions of Amnon; but because he had an extraordinary affection for him, for he was his eldest son, he was compelled not to afflict him; but Absalom watched for a fit opportunity of revenging this crime upon him, for he thoroughly hated him.	When David his father knew this, he was grieved at the actions of Amnon; but because he had an extraordinary affection for him, for he was his eldest son, he was compelled not to afflict him; but Absalom watched for a fit opportunity of revenging this crime upon him, for he thoroughly hated him.
5093_26496_000003_000003	Then Absalom charged his own servants, that when they should see Amnon disordered and drowsy with wine, and he should give them a signal, they should fear nobody, but kill him.	Then Absalom charged his own servants, that when they should see Amnon disordered and drowsy with wine, and he should give them a signal, they should fear nobody, but kill him.
5093_26496_000004_000004	In the mean time, a great noise of horses, and a tumult of some people that were coming, turned their attention to them; they were the king's sons, who were fled away from the feast.	In the mean time, a great noise of horses, and a tumult of some people that were coming, turned their attention to them; they were the king's sons, who were fled away from the feast.
5093_26496_000004_000005	So their father met them as they were in their grief, and he himself grieved with them; but it was more than he expected to see those his sons again, whom he had a little before heard to have perished.	So their father met them as they were in their grief, and he himself grieved with them; but it was more than he expected to see those his sons again, whom he had a little before heard to have perished.
