30_4447_000001_000000	CHAPTER III	CHAPTER three
30_4447_000002_000001	He liked very much to have his friends come and see him; and from various united causes, from his long residence at Hartfield, and his good nature, from his fortune, his house, and his daughter, he could command the visits of his own little circle, in a great measure, as he liked.	He liked very much to have his friends come and see him; and from various united causes, from his long residence at Hartfield, and his good nature, from his fortune, his house, and his daughter, he could command the visits of his own little circle, in a great measure, as he liked.
30_4447_000002_000002	He had not much intercourse with any families beyond that circle; his horror of late hours, and large dinner-parties, made him unfit for any acquaintance but such as would visit him on his own terms.	He had not much intercourse with any families beyond that circle; his horror of late hours, and large dinner parties, made him unfit for any acquaintance but such as would visit him on his own terms.
30_4447_000002_000004	Not unfrequently, through Emma's persuasion, he had some of the chosen and the best to dine with him: but evening parties were what he preferred; and, unless he fancied himself at any time unequal to company, there was scarcely an evening in the week in which Emma could not make up a card-table for him.	Not unfrequently, through Emma's persuasion, he had some of the chosen and the best to dine with him: but evening parties were what he preferred; and, unless he fancied himself at any time unequal to company, there was scarcely an evening in the week in which Emma could not make up a card table for him.
30_4447_000005_000000	Mrs. Bates, the widow of a former vicar of Highbury, was a very old lady, almost past every thing but tea and quadrille.	mrs Bates, the widow of a former vicar of Highbury, was a very old lady, almost past every thing but tea and quadrille.
30_4447_000005_000002	Her daughter enjoyed a most uncommon degree of popularity for a woman neither young, handsome, rich, nor married. Miss Bates stood in the very worst predicament in the world for having much of the public favour; and she had no intellectual superiority to make atonement to herself, or frighten those who might hate her into outward respect.	Her daughter enjoyed a most uncommon degree of popularity for a woman neither young, handsome, rich, nor married. Miss Bates stood in the very worst predicament in the world for having much of the public favour; and she had no intellectual superiority to make atonement to herself, or frighten those who might hate her into outward respect.
30_4447_000005_000003	She had never boasted either beauty or cleverness.	She had never boasted either beauty or cleverness.
30_4447_000005_000004	Her youth had passed without distinction, and her middle of life was devoted to the care of a failing mother, and the endeavour to make a small income go as far as possible.	Her youth had passed without distinction, and her middle of life was devoted to the care of a failing mother, and the endeavour to make a small income go as far as possible.
30_4447_000005_000008	The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a mine of felicity to herself.	The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a mine of felicity to herself.
30_4447_000005_000009	She was a great talker upon little matters, which exactly suited Mr. Woodhouse, full of trivial communications and harmless gossip.	She was a great talker upon little matters, which exactly suited mr Woodhouse, full of trivial communications and harmless gossip.
30_4447_000006_000002	It was no wonder that a train of twenty young couple now walked after her to church.	It was no wonder that a train of twenty young couple now walked after her to church.
