6673_72311_000000_000000	AUNT JOANNA	AUNT JOANNA	true	21.15	22.57	22.939352
6673_72311_000001_000000	In the Land's End district is the little church-town of Zennor.	In the Land's End district is the little church town of Zennor.	true	23.57	27.37	13
6673_72311_000001_000001	There is no village to speak of--a few scattered farms, and here and there a cluster of cottages.	There is no village to speak of-a few scattered farms, and here and there a cluster of cottages.	false	27.8	34.24	17
6673_72311_000001_000002	The district is bleak, the soil does not lie deep over granite that peers through the surface on exposed spots, where the furious gales from the ocean sweep the land.	The district is bleak, the soil does not lie deep over granite that peers through the surface on exposed spots, where the furious gales from the ocean sweep the land.	true	34.52	45	16
6673_72311_000001_000003	If trees ever existed there, they have been swept away by the blast, but the golden furze or gorse defies all winds, and clothes the moorland with a robe of splendour, and the heather flushes the slopes with crimson towards the decline of summer, and mantles them in soft, warm brown in winter, like the fur of an animal.	If trees ever existed there, they have been swept away by the blast, but the golden furze or gorse defies all winds, and clothes the moorland with a robe of splendour, and the heather flushes the slopes with crimson towards the decline of summer, and mantles them in soft, warm brown in winter, like the fur of an animal.	true	45	66.9	19.977
6673_72311_000002_000000	In Zennor is a little church, built of granite, rude and simple of construction, crouching low, to avoid the gales, but with a tower that has defied the winds and the lashing rains, because wholly devoid of sculptured detail, which would have afforded the blasts something to lay hold of and eat away.	In Zennor is a little church, built of granite, rude and simple of construction, crouching low, to avoid the gales, but with a tower that has defied the winds and the lashing rains, because wholly devoid of sculptured detail, which would have afforded the blasts something to lay hold of and eat away.	false	66.9	86.62	18.68452
6673_72311_000002_000001	In Zennor parish is one of the finest cromlechs in Cornwall, a huge slab of unwrought stone like a table, poised on the points of standing upright blocks as rude as the mass they sustain.	In Zennor parish is one of the finest cromlechs in Cornwall, a huge slab of unwrought stone like a table, poised on the points of standing upright blocks as rude as the mass they sustain.	false	87.29	100.36	19.429596
6673_72311_000003_000000	Near this monument of a hoar and indeed unknown antiquity lived an old woman by herself, in a small cottage of one story in height, built of moor stones set in earth, and pointed only with lime.	Near this monument of a hoar and indeed unknown antiquity lived an old woman by herself, in a small cottage of one story in height, built of moor stones set in earth, and pointed only with lime.	true	101.09	115.24	18
6673_72311_000003_000001	It was thatched with heather, and possessed but a single chimney that rose but little above the apex of the roof, and had two slates set on the top to protect the rising smoke from being blown down the chimney into the cottage when the wind was from the west or from the east.	It was thatched with heather, and possessed but a single chimney that rose but little above the apex of the roof, and had two slates set on the top to protect the rising smoke from being blown down the chimney into the cottage when the wind was from the west or from the east.	true	115.55	131.8	20.358534
6673_72311_000003_000002	When, however, it drove from north or south, then the smoke must take care of itself.	When, however, it drove from north or south, then the smoke must take care of itself.	true	131.87	137.265	14
6673_72311_000003_000003	On such occasions it was wont to find its way out of the door, and little or none went up the chimney.	On such occasions it was wont to find its way out of the door, and little or none went up the chimney.	false	137.265	143.74	16.687187
