724_123285_000000_000000	"Are you convinced?" said my uncle.	"Are you convinced?" said my uncle.	false	0	1.14	-20
724_123285_000001_000000	"I am quite convinced, although it is incredible!"	"I am quite convinced, although it is incredible!"	false	1.14	2.76	16.797123
724_123285_000002_000000	By next evening, thanks to the industry and skill of our guide, the raft was made.	By next evening, thanks to the industry and skill of our guide, the raft was made.	false	2.76	7.41	23.814594
724_123285_000002_000001	It was ten feet by five; the planks of surturbrand, braced strongly together with cords, presented an even surface, and when launched this improvised vessel floated easily upon the waves of the Liedenbrock Sea.	It was ten feet by five; the planks of surturbrand, braced strongly together with cords, presented an even surface, and when launched this improvised vessel floated easily upon the waves of the Liedenbrock Sea.	false	7.41	27.24	21.171772
724_123285_000003_000000	CHAPTER XXXII.	CHAPTER thirty two.	true	27.24	28.72	28.0732
724_123285_000004_000000	WONDERS OF THE DEEP	WONDERS OF THE DEEP	true	29.57	31.66	19.473331
724_123285_000005_000000	On the 13th of August we awoke early.	On the thirteenth of August we awoke early.	true	34.1	36.82	25.92275
724_123285_000005_000001	We were now to begin to adopt a mode of travelling both more expeditious and less fatiguing than hitherto.	We were now to begin to adopt a mode of travelling both more expeditious and less fatiguing than hitherto.	true	37.34	44.2	20
724_123285_000006_000000	A mast was made of two poles spliced together, a yard was made of a third, a blanket borrowed from our coverings made a tolerable sail. There was no want of cordage for the rigging, and everything was well and firmly made.	A mast was made of two poles spliced together, a yard was made of a third, a blanket borrowed from our coverings made a tolerable sail. There was no want of cordage for the rigging, and everything was well and firmly made.	true	45.05	60.13	21.066866
724_123285_000007_000000	The provisions, the baggage, the instruments, the guns, and a good quantity of fresh water from the rocks around, all found their proper places on board; and at six the Professor gave the signal to embark. Hans had fitted up a rudder to steer his vessel.	The provisions, the baggage, the instruments, the guns, and a good quantity of fresh water from the rocks around, all found their proper places on board; and at six the Professor gave the signal to embark. Hans had fitted up a rudder to steer his vessel.	true	61.4	77.44	21.872284
724_123285_000007_000001	He took the tiller, and unmoored; the sail was set, and we were soon afloat.	He took the tiller, and unmoored; the sail was set, and we were soon afloat.	true	77.87	83.8	25.865858
724_123285_000007_000002	At the moment of leaving the harbour, my uncle, who was tenaciously fond of naming his new discoveries, wanted to give it a name, and proposed mine amongst others.	At the moment of leaving the harbour, my uncle, who was tenaciously fond of naming his new discoveries, wanted to give it a name, and proposed mine amongst others.	true	84.59	95.44	21.368141
724_123285_000008_000000	"But I have a better to propose," I said: "Grauben.	"But I have a better to propose," I said: "Grauben.	true	96.8	100.81	22.618782
