126_125084_000000_000000	CHAPTER I	CHAPTER one	true	25.08	26.26	15
126_125084_000001_000000	EARLY LIFE	EARLY LIFE	false	26.69	37.41	16.948338
126_125084_000002_000000	In the town hall of the seaport of St Malo there hangs a portrait of Jacques Cartier, the great sea-captain of that place, whose name is associated for all time with the proud title of 'Discoverer of Canada.' The picture is that of a bearded man in the prime of life, standing on the deck of a ship, his bent elbow resting upon the gunwale, his chin supported by his hand, while his eyes gaze outward upon the western ocean as if seeking to penetrate its mysteries.	In the town hall of the seaport of saint Malo there hangs a portrait of Jacques Cartier, the great sea captain of that place, whose name is associated for all time with the proud title of 'Discoverer of Canada.' The picture is that of a bearded man in the prime of life, standing on the deck of a ship, his bent elbow resting upon the gunwale, his chin supported by his hand, while his eyes gaze outward upon the western ocean as if seeking to penetrate its mysteries.	true	37.41	70.75	17
126_125084_000002_000001	The face is firm and strong, with tight-set jaw, prominent brow, and the full, inquiring eye of the man accustomed both to think and to act.	The face is firm and strong, with tight set jaw, prominent brow, and the full, inquiring eye of the man accustomed both to think and to act.	true	71.51	82.84	18
126_125084_000002_000002	The costume marks the sea-captain of four centuries ago.	The costume marks the sea captain of four centuries ago.	true	83.63	87.01	15
126_125084_000002_000003	A thick cloak, gathered by a belt at the waist, enwraps the stalwart figure.	A thick cloak, gathered by a belt at the waist, enwraps the stalwart figure.	true	87.14	92.92	20
126_125084_000002_000004	On his head is the tufted Breton cap familiar in the pictures of the days of the great navigators.	On his head is the tufted Breton cap familiar in the pictures of the days of the great navigators.	true	93.23	99.64	15
126_125084_000002_000005	At the waist, on the left side, hangs a sword, and, on the right, close to the belt, the dirk or poniard of the period.	At the waist, on the left side, hangs a sword, and, on the right, close to the belt, the dirk or poniard of the period.	false	100.07	108.91	18
126_125084_000003_000000	How like or unlike the features of Cartier this picture in the town hall may be, we have no means of telling.	How like or unlike the features of Cartier this picture in the town hall may be, we have no means of telling.	true	110.09	117.25	15
126_125084_000003_000001	Painted probably in 1839, it has hung there for more than seventy years, and the record of the earlier prints or drawings from which its artist drew his inspiration no longer survives.	Painted probably in eighteen thirty nine, it has hung there for more than seventy years, and the record of the earlier prints or drawings from which its artist drew his inspiration no longer survives.	true	118.52	131.26	13
126_125084_000003_000002	We know, indeed, that an ancient map of the eastern coast of America, made some ten years after the first of Cartier's voyages, has pictured upon it a group of figures that represent the landing of the navigator and his followers among the Indians of Gaspe. It was the fashion of the time to attempt by such decorations to make maps vivid.	We know, indeed, that an ancient map of the eastern coast of America, made some ten years after the first of Cartier's voyages, has pictured upon it a group of figures that represent the landing of the navigator and his followers among the Indians of Gaspe. It was the fashion of the time to attempt by such decorations to make maps vivid.	true	131.81	155.05	17
126_125084_000003_000003	Demons, deities, mythological figures and naked savages disported themselves along the borders of the maps and helped to decorate unexplored spaces of earth and ocean.	Demons, deities, mythological figures and naked savages disported themselves along the borders of the maps and helped to decorate unexplored spaces of earth and ocean.	true	155.3	167.47	16
126_125084_000003_000004	Of this sort is the illustration on the map in question.	Of this sort is the illustration on the map in question.	false	168.08	171.97	17
126_125084_000003_000005	But it is generally agreed that we have no right to identify Cartier with any of the figures in the scene, although the group as a whole undoubtedly typifies his landing upon the seacoast of Canada.	But it is generally agreed that we have no right to identify Cartier with any of the figures in the scene, although the group as a whole undoubtedly typifies his landing upon the seacoast of Canada.	true	172.58	185.44	13
126_125084_000004_000000	There is rumour, also, that the National Library at Paris contains an old print of Cartier, who appears therein as a bearded man passing from the prime of life to its decline.	There is rumour, also, that the National Library at Paris contains an old print of Cartier, who appears therein as a bearded man passing from the prime of life to its decline.	true	186.05	198.43	18
126_125084_000004_000001	The head is slightly bowed with the weight of years, and the face is wanting in that suggestion of unconquerable will which is the dominating feature of the portrait of St Malo.	The head is slightly bowed with the weight of years, and the face is wanting in that suggestion of unconquerable will which is the dominating feature of the portrait of saint Malo.	true	199.19	211.9	16
126_125084_000004_000002	This is the picture that appears in the form of a medallion, or ring-shaped illustration, in more than one of the modern works upon the great adventurer.	This is the picture that appears in the form of a medallion, or ring shaped illustration, in more than one of the modern works upon the great adventurer.	true	212.93	222.49	14
126_125084_000004_000003	But here again we have no proofs of identity, for we know nothing of the origin of the portrait.	But here again we have no proofs of identity, for we know nothing of the origin of the portrait.	true	222.89	228.91	18
126_125084_000005_000000	Curiously enough an accidental discovery of recent years seems to confirm in some degree the genuineness of the St Malo portrait.	Curiously enough an accidental discovery of recent years seems to confirm in some degree the genuineness of the saint Malo portrait.	true	229.67	238.06	14
126_125084_000005_000001	There stood until the autumn of 1908, in the French-Canadian fishing village of Cap-des-Rosiers, near the mouth of the St Lawrence, a house of very ancient date.	There stood until the autumn of nineteen o eight, in the French Canadian fishing village of Cap des Rosiers, near the mouth of the saint Lawrence, a house of very ancient date.	true	238.76	250.93	18
126_125084_000005_000002	Precisely how old it was no one could say, but it was said to be the oldest existing habitation of the settlement.	Precisely how old it was no one could say, but it was said to be the oldest existing habitation of the settlement.	true	251.21	258.94	16
126_125084_000005_000003	Ravaged by perhaps two centuries of wind and weather, the old house afforded but little shelter against the boisterous gales and the bitter cold of the rude climate of the Gulf.	Ravaged by perhaps two centuries of wind and weather, the old house afforded but little shelter against the boisterous gales and the bitter cold of the rude climate of the Gulf.	false	260.15	271.75	14
126_125084_000005_000004	Its owner decided to tear it down, and in doing so he stumbled upon a startling discovery.	Its owner decided to tear it down, and in doing so he stumbled upon a startling discovery.	true	272.27	279.04	17
126_125084_000005_000005	He found a dummy window that, generations before, had evidently been built over and concealed.	He found a dummy window that, generations before, had evidently been built over and concealed.	true	279.62	286.39	18
126_125084_000005_000006	From the cavity thus disclosed he drew forth a large wooden medallion, about twenty inches across, with the portrait of a man carved in relief.	From the cavity thus disclosed he drew forth a large wooden medallion, about twenty inches across, with the portrait of a man carved in relief.	true	287.36	297.49	17
126_125084_000005_000007	Here again are the tufted hat, the bearded face, and the features of the picture of St Malo.	Here again are the tufted hat, the bearded face, and the features of the picture of saint Malo.	true	297.71	304	16
126_125084_000005_000008	On the back of the wood, the deeply graven initials J. C. seemed to prove that the image which had lain hidden for generations behind the woodwork of the old Canadian house is indeed that of the great discoverer.	On the back of the wood, the deeply graven initials j c seemed to prove that the image which had lain hidden for generations behind the woodwork of the old Canadian house is indeed that of the great discoverer.	true	304.7	319.69	15
126_125084_000005_000009	Beside the initials is carved the date 1704..	Beside the initials is carved the date seventeen o four..	true	320.42	324.4	16
126_125084_000005_000010	This wooden medallion would appear to have once figured as the stern shield of some French vessel, wrecked probably upon the Gaspe coast.	This wooden medallion would appear to have once figured as the stern shield of some French vessel, wrecked probably upon the Gaspe coast.	true	325.7	335.8	14
126_125084_000005_000011	As it must have been made long before the St Malo portrait was painted, the resemblance of the two faces perhaps indicates the existence of some definite and genuine portrait of Jacques Cartier, of which the record has been lost.	As it must have been made long before the saint Malo portrait was painted, the resemblance of the two faces perhaps indicates the existence of some definite and genuine portrait of Jacques Cartier, of which the record has been lost.	true	336.26	351.55	17
126_125084_000006_000000	It appears, therefore, that we have the right to be content with the picture which hangs in the town hall of the seaport of St Malo.	It appears, therefore, that we have the right to be content with the picture which hangs in the town hall of the seaport of saint Malo.	true	352.16	359.11	13
