882_123268_000002_000000	CHAPTER XV.	CHAPTER fifteen.
882_123268_000004_000000	Snaefell is 5,000 feet high.	Snaefell is five thousand feet high.
882_123268_000004_000002	From our starting point we could see the two peaks boldly projected against the dark grey sky; I could see an enormous cap of snow coming low down upon the giant's brow.	From our starting point we could see the two peaks boldly projected against the dark grey sky; I could see an enormous cap of snow coming low down upon the giant's brow.
882_123268_000005_000000	We walked in single file, headed by the hunter, who ascended by narrow tracks, where two could not have gone abreast.	We walked in single file, headed by the hunter, who ascended by narrow tracks, where two could not have gone abreast.
882_123268_000005_000001	There was therefore no room for conversation.	There was therefore no room for conversation.
882_123268_000006_000000	After we had passed the basaltic wall of the fiord of Stapi we passed over a vegetable fibrous peat bog, left from the ancient vegetation of this peninsula.	After we had passed the basaltic wall of the fiord of Stapi we passed over a vegetable fibrous peat bog, left from the ancient vegetation of this peninsula.
882_123268_000007_000000	As a true nephew of the Professor Liedenbrock, and in spite of my dismal prospects, I could not help observing with interest the mineralogical curiosities which lay about me as in a vast museum, and I constructed for myself a complete geological account of Iceland.	As a true nephew of the Professor Liedenbrock, and in spite of my dismal prospects, I could not help observing with interest the mineralogical curiosities which lay about me as in a vast museum, and I constructed for myself a complete geological account of Iceland.
882_123268_000008_000000	This most curious island has evidently been projected from the bottom of the sea at a comparatively recent date.	This most curious island has evidently been projected from the bottom of the sea at a comparatively recent date.
882_123268_000008_000001	Possibly, it may still be subject to gradual elevation.	Possibly, it may still be subject to gradual elevation.
882_123268_000008_000003	Therefore, in this case, the theory of Sir Humphry Davy, Saknussemm's document, and my uncle's theories would all go off in smoke.	Therefore, in this case, the theory of Sir Humphry Davy, Saknussemm's document, and my uncle's theories would all go off in smoke.
882_123268_000008_000004	This hypothesis led me to examine with more attention the appearance of the surface, and I soon arrived at a conclusion as to the nature of the forces which presided at its birth.	This hypothesis led me to examine with more attention the appearance of the surface, and I soon arrived at a conclusion as to the nature of the forces which presided at its birth.
882_123268_000009_000001	Before the volcanoes broke out it consisted of trap rocks slowly upraised to the level of the sea by the action of central forces.	Before the volcanoes broke out it consisted of trap rocks slowly upraised to the level of the sea by the action of central forces.
882_123268_000009_000002	The internal fires had not yet forced their way through.	The internal fires had not yet forced their way through.
882_123268_000010_000001	No violence accompanied this change; the matter thrown out was in vast quantities, and the liquid material oozing out from the abysses of the earth slowly spread in extensive plains or in hillocky masses.	No violence accompanied this change; the matter thrown out was in vast quantities, and the liquid material oozing out from the abysses of the earth slowly spread in extensive plains or in hillocky masses.
882_123268_000011_000002	Therefore a time would come when the elastic and explosive forces of the imprisoned gases would upheave this ponderous cover and drive out for themselves openings through tall chimneys. Hence then the volcano would distend and lift up the crust, and then burst through a crater suddenly formed at the summit or thinnest part of the volcano.	Therefore a time would come when the elastic and explosive forces of the imprisoned gases would upheave this ponderous cover and drive out for themselves openings through tall chimneys. Hence then the volcano would distend and lift up the crust, and then burst through a crater suddenly formed at the summit or thinnest part of the volcano.
882_123268_000012_000000	To the eruption succeeded other volcanic phenomena.	To the eruption succeeded other volcanic phenomena.
882_123268_000012_000002	We were moving over grey rocks of dense and massive formation, which in cooling had formed into hexagonal prisms.	We were moving over grey rocks of dense and massive formation, which in cooling had formed into hexagonal prisms.
882_123268_000012_000003	Everywhere around us we saw truncated cones, formerly so many fiery mouths.	Everywhere around us we saw truncated cones, formerly so many fiery mouths.
882_123268_000015_000000	So I felt a little comforted as we advanced to the assault of Snaefell.	So I felt a little comforted as we advanced to the assault of Snaefell.
882_123268_000016_000000	The way was growing more and more arduous, the ascent steeper and steeper; the loose fragments of rock trembled beneath us, and the utmost care was needed to avoid dangerous falls.	The way was growing more and more arduous, the ascent steeper and steeper; the loose fragments of rock trembled beneath us, and the utmost care was needed to avoid dangerous falls.
882_123268_000017_000000	Hans went on as quietly as if he were on level ground; sometimes he disappeared altogether behind the huge blocks, then a shrill whistle would direct us on our way to him.	Hans went on as quietly as if he were on level ground; sometimes he disappeared altogether behind the huge blocks, then a shrill whistle would direct us on our way to him.
882_123268_000017_000002	A very wise precaution in itself, but, as things turned out, quite useless.	A very wise precaution in itself, but, as things turned out, quite useless.
882_123268_000018_000001	There Hans bid us come to a halt, and a hasty breakfast was served out.	There Hans bid us come to a halt, and a hasty breakfast was served out.
882_123268_000018_000002	My uncle swallowed two mouthfuls at a time to get on faster.	My uncle swallowed two mouthfuls at a time to get on faster.
882_123268_000018_000003	But, whether he liked it or not, this was a rest as well as a breakfast hour and he had to wait till it pleased our guide to move on, which came to pass in an hour.	But, whether he liked it or not, this was a rest as well as a breakfast hour and he had to wait till it pleased our guide to move on, which came to pass in an hour.
882_123268_000019_000000	We were now beginning to scale the steep sides of Snaefell.	We were now beginning to scale the steep sides of Snaefell.
882_123268_000019_000001	Its snowy summit, by an optical illusion not unfrequent in mountains, seemed close to us, and yet how many weary hours it took to reach it!	Its snowy summit, by an optical illusion not unfrequent in mountains, seemed close to us, and yet how many weary hours it took to reach it!
882_123268_000019_000002	The stones, adhering by no soil or fibrous roots of vegetation, rolled away from under our feet, and rushed down the precipice below with the swiftness of an avalanche.	The stones, adhering by no soil or fibrous roots of vegetation, rolled away from under our feet, and rushed down the precipice below with the swiftness of an avalanche.
882_123268_000020_000001	Then we helped each other with our sticks.	Then we helped each other with our sticks.
882_123268_000021_000001	He himself seemed to possess an instinct for equilibrium, for he never stumbled.	He himself seemed to possess an instinct for equilibrium, for he never stumbled.
882_123268_000021_000002	The Icelanders, though burdened with our loads, climbed with the agility of mountaineers.	The Icelanders, though burdened with our loads, climbed with the agility of mountaineers.
