8401_280380_000002_000000	HERCULES	HERCULES
8401_280380_000005_000000	THE TWELVE LABORS OF HERCULES	THE TWELVE LABORS OF HERCULES
8401_280380_000008_000000	The Fates were three, namely, Clotho who spun the thread of life, Lachesis who settled the lot of gods and mortals in life, and Atropos who cut the thread of life spun by Clotho.	The Fates were three, namely, Clotho who spun the thread of life, Lachesis who settled the lot of gods and mortals in life, and Atropos who cut the thread of life spun by Clotho.
8401_280380_000011_000000	All that was conceded to her was that Hercules should be put under the dominion of Eurystheus, King of Thebes, his eldest brother, a harsh and pitiless man.	All that was conceded to her was that Hercules should be put under the dominion of Eurystheus, King of Thebes, his eldest brother, a harsh and pitiless man.
8401_280380_000012_000000	In fact, Hercules was but a child, when Juno sent two enormous serpents against him.	In fact, Hercules was but a child, when Juno sent two enormous serpents against him.
8401_280380_000012_000001	These serpents, gliding into his cradle, were on the point of biting the child when he, with his own hands, seized them and strangled the life out of their slimy bodies.	These serpents, gliding into his cradle, were on the point of biting the child when he, with his own hands, seized them and strangled the life out of their slimy bodies.
8401_280380_000013_000001	But the hatred of Juno always pursued him.	But the hatred of Juno always pursued him.
8401_280380_000014_000000	When he came again to his sober senses, and learnt that he was the murderer of his own offspring he was filled with horror, and betook himself into exile so that he might hide his face from his fellow men. After a time he went to the oracle at Delphi to ask what he should do in atonement for his dreadful deed.	When he came again to his sober senses, and learnt that he was the murderer of his own offspring he was filled with horror, and betook himself into exile so that he might hide his face from his fellow men. After a time he went to the oracle at Delphi to ask what he should do in atonement for his dreadful deed.
8401_280380_000015_000000	He was ordered to serve his brother Eurystheus--who, by the help of Juno, had robbed him of his kingdom--for twelve years.	He was ordered to serve his brother Eurystheus-who, by the help of Juno, had robbed him of his kingdom-for twelve years.
8401_280380_000015_000003	He therefore resolved to banish him and to impose such tasks upon him as must certainly bring about his destruction.	He therefore resolved to banish him and to impose such tasks upon him as must certainly bring about his destruction.
8401_280380_000015_000004	Hence arose the famous twelve labors of Hercules.	Hence arose the famous twelve labors of Hercules.
8401_280380_000016_000000	Eurystheus first set Hercules to keep his sheep at Nemea and to kill the lion that ofttimes carried off the sheep, and sometimes the shepherd also.	Eurystheus first set Hercules to keep his sheep at Nemea and to kill the lion that ofttimes carried off the sheep, and sometimes the shepherd also.
8401_280380_000017_000001	Arming himself with a heavy club and with a bow and arrows, he went in search of the lion's lair and soon found it.	Arming himself with a heavy club and with a bow and arrows, he went in search of the lion's lair and soon found it.
8401_280380_000018_000000	Finding that arrows and club made no impression upon the thick skin of the lion, the hero was constrained to trust entirely to his own thews and sinews.	Finding that arrows and club made no impression upon the thick skin of the lion, the hero was constrained to trust entirely to his own thews and sinews.
8401_280380_000018_000001	Seizing the lion with both hands, he put forth all his mighty strength and strangled the beast just as he had strangled the serpents in his cradle.	Seizing the lion with both hands, he put forth all his mighty strength and strangled the beast just as he had strangled the serpents in his cradle.
8401_280380_000018_000002	Then, having despoiled the dead man-eater of his skin, Hercules henceforth wore this trophy as a garment, and as a shield and buckler.	Then, having despoiled the dead man eater of his skin, Hercules henceforth wore this trophy as a garment, and as a shield and buckler.
8401_280380_000019_000000	In those days, there was in Greece a monstrous serpent known as the Hydra of Lerna, because it haunted a marsh of that name whence it issued in search of prey.	In those days, there was in Greece a monstrous serpent known as the Hydra of Lerna, because it haunted a marsh of that name whence it issued in search of prey.
