8163_274549_000000_000000	METZENGERSTEIN	m e t z e n g e r s t e i n	false	3.12	21.6	23.402586
8163_274549_000001_000000	Pestis eram vivus--moriens tua mors ero.	Pestis eram vivus-moriens tua mors ero.	false	21.6	27.75	20.209036
8163_274549_000002_000000	--_Martin Luther_	--underscore Martin Luther underscore	false	27.75	31.29	25.183155
8163_274549_000003_000000	HORROR and fatality have been stalking abroad in all ages.	HORROR and fatality have been stalking abroad in all ages.	true	31.29	35.95	19
8163_274549_000003_000001	Why then give a date to this story I have to tell?	Why then give a date to this story I have to tell?	true	36.29	40	20.890163
8163_274549_000003_000002	Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis. Of the doctrines themselves--that is, of their falsity, or of their probability--I say nothing.	Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis. Of the doctrines themselves-that is, of their falsity, or of their probability-I say nothing.	true	41	61.78	22.78098
8163_274549_000003_000003	I assert, however, that much of our incredulity--as La Bruyere says of all our unhappiness--"_vient de ne pouvoir etre seuls_." {*1}	I assert, however, that much of our incredulity-as La Bruyere says of all our unhappiness-"underscore vient de ne pouvoir etre seuls underscore." {asterisk one}	false	62.06	73.17	20.903542
8163_274549_000004_000000	But there are some points in the Hungarian superstition which were fast verging to absurdity.	But there are some points in the Hungarian superstition which were fast verging to absurdity.	true	73.17	79.27	21.69087
8163_274549_000004_000001	They--the Hungarians--differed very essentially from their Eastern authorities.	They-the Hungarians-differed very essentially from their Eastern authorities.	false	79.61	85.06	21.648802
8163_274549_000004_000002	For example, "_The soul_," said the former--I give the words of an acute and intelligent Parisian--"_ne demeure qu'un seul fois dans un corps sensible: au reste--un cheval, un chien, un homme meme, n'est que la ressemblance peu tangible de ces animaux._"	For example, "underscore The soul underscore," said the former-I give the words of an acute and intelligent Parisian-"underscore ne demeure qu'un s e u l fois dans un corps sensible: au reste-un cheval, un chien, un homme meme, n'est que la ressemblance peu tangible de c e s animaux.underscore"	false	85.31	109.35	22.34731
8163_274549_000005_000000	The families of Berlifitzing and Metzengerstein had been at variance for centuries.	The families of Berlifitzing and Metzengerstein had been at variance for centuries.	true	109.35	115.57	19
8163_274549_000005_000001	Never before were two houses so illustrious, mutually embittered by hostility so deadly.	Never before were two houses so illustrious, mutually embittered by hostility so deadly.	true	116.03	123.13	22.453886
8163_274549_000005_000002	The origin of this enmity seems to be found in the words of an ancient prophecy--"A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing."	The origin of this enmity seems to be found in the words of an ancient prophecy-"A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing."	true	123.35	142.39	21.870802
8163_274549_000006_000000	To be sure the words themselves had little or no meaning.	To be sure the words themselves had little or no meaning.	true	143.15	147.4	20
8163_274549_000006_000001	But more trivial causes have given rise--and that no long while ago--to consequences equally eventful.	But more trivial causes have given rise-and that no long while ago-to consequences equally eventful.	false	147.56	155.92	22.414248
8163_274549_000006_000002	Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government.	Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government.	true	156.17	165.04	22.799276
8163_274549_000006_000003	Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.	Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.	true	165.23	178.6	22.025076
8163_274549_000006_000004	Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings.	Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings.	true	179.15	190.54	21.933174
8163_274549_000006_000005	What wonder then, that the words, however silly, of that prediction, should have succeeded in setting and keeping at variance two families already predisposed to quarrel by every instigation of hereditary jealousy?	What wonder then, that the words, however silly, of that prediction, should have succeeded in setting and keeping at variance two families already predisposed to quarrel by every instigation of hereditary jealousy?	false	191	207.4	23.068623
8163_274549_000006_000006	The prophecy seemed to imply--if it implied anything--a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential.	The prophecy seemed to imply-if it implied anything-a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential.	true	207.5	223.09	22.126583
8163_274549_000007_000000	Wilhelm, Count Berlifitzing, although loftily descended, was, at the epoch of this narrative, an infirm and doting old man, remarkable for nothing but an inordinate and inveterate personal antipathy to the family of his rival, and so passionate a love of horses, and of hunting, that neither bodily infirmity, great age, nor mental incapacity, prevented his daily participation in the dangers of the chase.	Wilhelm, Count Berlifitzing, although loftily descended, was, at the epoch of this narrative, an infirm and doting old man, remarkable for nothing but an inordinate and inveterate personal antipathy to the family of his rival, and so passionate a love of horses, and of hunting, that neither bodily infirmity, great age, nor mental incapacity, prevented his daily participation in the dangers of the chase.	false	223.58	254.53	22.780716
