8163_274549_000003_000001	Why then give a date to this story I have to tell?	Why then give a date to this story I have to tell?
8163_274549_000003_000002	Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis. Of the doctrines themselves--that is, of their falsity, or of their probability--I say nothing.	Let it suffice to say, that at the period of which I speak, there existed, in the interior of Hungary, a settled although hidden belief in the doctrines of the Metempsychosis. Of the doctrines themselves-that is, of their falsity, or of their probability-I say nothing.
8163_274549_000004_000000	But there are some points in the Hungarian superstition which were fast verging to absurdity.	But there are some points in the Hungarian superstition which were fast verging to absurdity.
8163_274549_000005_000001	Never before were two houses so illustrious, mutually embittered by hostility so deadly.	Never before were two houses so illustrious, mutually embittered by hostility so deadly.
8163_274549_000005_000002	The origin of this enmity seems to be found in the words of an ancient prophecy--"A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing."	The origin of this enmity seems to be found in the words of an ancient prophecy-"A lofty name shall have a fearful fall when, as the rider over his horse, the mortality of Metzengerstein shall triumph over the immortality of Berlifitzing."
8163_274549_000006_000000	To be sure the words themselves had little or no meaning.	To be sure the words themselves had little or no meaning.
8163_274549_000006_000002	Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government.	Besides, the estates, which were contiguous, had long exercised a rival influence in the affairs of a busy government.
8163_274549_000006_000003	Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.	Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.
8163_274549_000006_000004	Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings.	Least of all had the more than feudal magnificence, thus discovered, a tendency to allay the irritable feelings of the less ancient and less wealthy Berlifitzings.
8163_274549_000006_000006	The prophecy seemed to imply--if it implied anything--a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential.	The prophecy seemed to imply-if it implied anything-a final triumph on the part of the already more powerful house; and was of course remembered with the more bitter animosity by the weaker and less influential.
8163_274549_000008_000000	Frederick, Baron Metzengerstein, was, on the other hand, not yet of age. His father, the Minister G--, died young.	Frederick, Baron Metzengerstein, was, on the other hand, not yet of age. His father, the Minister G-, died young.
8163_274549_000008_000001	His mother, the Lady Mary, followed him quickly after.	His mother, the Lady Mary, followed him quickly after.
8163_274549_000009_000000	From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions.	From some peculiar circumstances attending the administration of his father, the young Baron, at the decease of the former, entered immediately upon his vast possessions.
8163_274549_000009_000002	His castles were without number.	His castles were without number.
8163_274549_000010_000000	Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct.	Upon the succession of a proprietor so young, with a character so well known, to a fortune so unparalleled, little speculation was afloat in regard to his probable course of conduct.
8163_274549_000012_000001	The horse itself, in the foreground of the design, stood motionless and statue-like--while farther back, its discomfited rider perished by the dagger of a Metzengerstein.	The horse itself, in the foreground of the design, stood motionless and statue like-while farther back, its discomfited rider perished by the dagger of a Metzengerstein.
8163_274549_000013_000000	On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed. Yet he did not remove it.	On Frederick's lip arose a fiendish expression, as he became aware of the direction which his glance had, without his consciousness, assumed. Yet he did not remove it.
8163_274549_000013_000002	It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake.	It was with difficulty that he reconciled his dreamy and incoherent feelings with the certainty of being awake.
8163_274549_000013_000003	The longer he gazed the more absorbing became the spell--the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry.	The longer he gazed the more absorbing became the spell-the more impossible did it appear that he could ever withdraw his glance from the fascination of that tapestry.
8163_274549_000014_000000	The action, however, was but momentary, his gaze returned mechanically to the wall.	The action, however, was but momentary, his gaze returned mechanically to the wall.
8163_274549_000014_000001	To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position.	To his extreme horror and astonishment, the head of the gigantic steed had, in the meantime, altered its position.
8163_274549_000014_000002	The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron.	The neck of the animal, before arched, as if in compassion, over the prostrate body of its lord, was now extended, at full length, in the direction of the Baron.
8163_274549_000014_000003	The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth.	The eyes, before invisible, now wore an energetic and human expression, while they gleamed with a fiery and unusual red; and the distended lips of the apparently enraged horse left in full view his gigantic and disgusting teeth.
8163_274549_000015_000000	Stupified with terror, the young nobleman tottered to the door.	Stupified with terror, the young nobleman tottered to the door.
8163_274549_000015_000001	As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow--as he staggered awhile upon the threshold--assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing.	As he threw it open, a flash of red light, streaming far into the chamber, flung his shadow with a clear outline against the quivering tapestry, and he shuddered to perceive that shadow-as he staggered awhile upon the threshold-assuming the exact position, and precisely filling up the contour, of the relentless and triumphant murderer of the Saracen Berlifitzing.
8163_274549_000016_000001	At the principal gate of the palace he encountered three equerries.	At the principal gate of the palace he encountered three equerries.
8163_274549_000016_000002	With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery-colored horse.	With much difficulty, and at the imminent peril of their lives, they were restraining the convulsive plunges of a gigantic and fiery colored horse.
8163_274549_000017_000000	"Whose horse?	"Whose horse?
8163_274549_000018_000001	We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing. Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray.	We caught him flying, all smoking and foaming with rage, from the burning stables of the Castle Berlifitzing. Supposing him to have belonged to the old Count's stud of foreign horses, we led him back as an estray.
8163_274549_000019_000000	"The letters W. V. B. are also branded very distinctly on his forehead," interrupted a second equerry, "I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing--but all at the castle are positive in denying any knowledge of the horse."	"The letters w v b are also branded very distinctly on his forehead," interrupted a second equerry, "I supposed them, of course, to be the initials of Wilhelm Von Berlifitzing-but all at the castle are positive in denying any knowledge of the horse."
8163_274549_000020_000000	"Extremely singular!" said the young Baron, with a musing air, and apparently unconscious of the meaning of his words.	"Extremely singular!" said the young Baron, with a musing air, and apparently unconscious of the meaning of his words.
8163_274549_000020_000001	"He is, as you say, a remarkable horse--a prodigious horse!	"He is, as you say, a remarkable horse-a prodigious horse!
8163_274549_000020_000002	although, as you very justly observe, of a suspicious and untractable character, let him be mine, however," he added, after a pause, "perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing."	although, as you very justly observe, of a suspicious and untractable character, let him be mine, however," he added, after a pause, "perhaps a rider like Frederick of Metzengerstein, may tame even the devil from the stables of Berlifitzing."
8163_274549_000021_000001	If such had been the case, we know our duty better than to bring him into the presence of a noble of your family."	If such had been the case, we know our duty better than to bring him into the presence of a noble of your family."
8163_274549_000022_000000	"True!" observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step.	"True!" observed the Baron, dryly, and at that instant a page of the bedchamber came from the palace with a heightened color, and a precipitate step.
8163_274549_000023_000000	The young Frederick, during the conference, seemed agitated by a variety of emotions.	The young Frederick, during the conference, seemed agitated by a variety of emotions.
8163_274549_000023_000001	He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession.	He soon, however, recovered his composure, and an expression of determined malignancy settled upon his countenance, as he gave peremptory orders that a certain chamber should be immediately locked up, and the key placed in his own possession.
8163_274549_000027_000000	A rapid smile shot over the countenance of the listener.	A rapid smile shot over the countenance of the listener.
8163_274549_000027_000001	"How died he?"	"How died he?"
8163_274549_000028_000000	"In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames."	"In his rash exertions to rescue a favorite portion of his hunting stud, he has himself perished miserably in the flames."
8163_274549_000030_000000	"Indeed;" repeated the vassal.	"Indeed;" repeated the vassal.
8163_274549_000031_000000	"Shocking!" said the youth, calmly, and turned quietly into the chateau.	"Shocking!" said the youth, calmly, and turned quietly into the chateau.
8163_274549_000032_000000	From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein.	From this date a marked alteration took place in the outward demeanor of the dissolute young Baron Frederick Von Metzengerstein.
8163_274549_000032_000001	Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy.	Indeed, his behavior disappointed every expectation, and proved little in accordance with the views of many a manoeuvering mamma; while his habits and manner, still less than formerly, offered any thing congenial with those of the neighboring aristocracy.
8163_274549_000032_000002	He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless--unless, indeed, that unnatural, impetuous, and fiery-colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.	He was never to be seen beyond the limits of his own domain, and, in this wide and social world, was utterly companionless-unless, indeed, that unnatural, impetuous, and fiery colored horse, which he henceforward continually bestrode, had any mysterious right to the title of his friend.
8163_274549_000033_000001	"Will the Baron honor our festivals with his presence?"	"Will the Baron honor our festivals with his presence?"
8163_274549_000033_000002	"Will the Baron join us in a hunting of the boar?"--"Metzengerstein does not hunt;" "Metzengerstein will not attend," were the haughty and laconic answers.	"Will the Baron join us in a hunting of the boar?"--"Metzengerstein does not hunt;" "Metzengerstein will not attend," were the haughty and laconic answers.
8163_274549_000034_000000	These repeated insults were not to be endured by an imperious nobility. Such invitations became less cordial--less frequent--in time they ceased altogether.	These repeated insults were not to be endured by an imperious nobility. Such invitations became less cordial-less frequent-in time they ceased altogether.
8163_274549_000035_000001	Some there were, indeed, who suggested a too haughty idea of self-consequence and dignity.	Some there were, indeed, who suggested a too haughty idea of self consequence and dignity.
8163_274549_000036_000000	Indeed, the Baron's perverse attachment to his lately-acquired charger--an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon-like propensities--at length became, in the eyes of all reasonable men, a hideous and unnatural fervor.	Indeed, the Baron's perverse attachment to his lately acquired charger-an attachment which seemed to attain new strength from every fresh example of the animal's ferocious and demon like propensities-at length became, in the eyes of all reasonable men, a hideous and unnatural fervor.
8163_274549_000036_000001	In the glare of noon--at the dead hour of night--in sickness or in health--in calm or in tempest--the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit.	In the glare of noon-at the dead hour of night-in sickness or in health-in calm or in tempest-the young Metzengerstein seemed rivetted to the saddle of that colossal horse, whose intractable audacities so well accorded with his own spirit.
8163_274549_000037_000000	There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed.	There were circumstances, moreover, which coupled with late events, gave an unearthly and portentous character to the mania of the rider, and to the capabilities of the steed.
8163_274549_000037_000003	His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall.	His stable, too, was appointed at a distance from the rest; and with regard to grooming and other necessary offices, none but the owner in person had ventured to officiate, or even to enter the enclosure of that particular stall.
8163_274549_000038_000000	Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance.	Among all the retinue of the Baron, however, none were found to doubt the ardor of that extraordinary affection which existed on the part of the young nobleman for the fiery qualities of his horse; at least, none but an insignificant and misshapen little page, whose deformities were in everybody's way, and whose opinions were of the least possible importance.
8163_274549_000039_000000	One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest.	One tempestuous night, Metzengerstein, awaking from a heavy slumber, descended like a maniac from his chamber, and, mounting in hot haste, bounded away into the mazes of the forest.
8163_274549_000040_000000	As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder.	As the flames, when first seen, had already made so terrible a progress that all efforts to save any portion of the building were evidently futile, the astonished neighborhood stood idly around in silent and pathetic wonder.
8163_274549_000040_000001	But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter.	But a new and fearful object soon rivetted the attention of the multitude, and proved how much more intense is the excitement wrought in the feelings of a crowd by the contemplation of human agony, than that brought about by the most appalling spectacles of inanimate matter.
8163_274549_000041_000000	Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest.	Up the long avenue of aged oaks which led from the forest to the main entrance of the Chateau Metzengerstein, a steed, bearing an unbonneted and disordered rider, was seen leaping with an impetuosity which outstripped the very Demon of the Tempest.
8163_274549_000042_000000	The career of the horseman was indisputably, on his own part, uncontrollable.	The career of the horseman was indisputably, on his own part, uncontrollable.
8163_274549_000042_000001	The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror.	The agony of his countenance, the convulsive struggle of his frame, gave evidence of superhuman exertion: but no sound, save a solitary shriek, escaped from his lacerated lips, which were bitten through and through in the intensity of terror.
8163_274549_000043_000000	The fury of the tempest immediately died away, and a dead calm sullenly succeeded.	The fury of the tempest immediately died away, and a dead calm sullenly succeeded.
