2240_148522_000000_000000	Chapter III: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	Chapter three: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	false	46.47	60.22	25.451626
2240_148522_000001_000000	The period when the construction of democratic society upon the ruins of an aristocracy has just been completed, is especially that at which this separation of men from one another, and the egotism resulting from it, most forcibly strike the observation.	The period when the construction of democratic society upon the ruins of an aristocracy has just been completed, is especially that at which this separation of men from one another, and the egotism resulting from it, most forcibly strike the observation.	true	62.15	80.08	27.031271
2240_148522_000001_000001	Democratic communities not only contain a large number of independent citizens, but they are constantly filled with men who, having entered but yesterday upon their independent condition, are intoxicated with their new power.	Democratic communities not only contain a large number of independent citizens, but they are constantly filled with men who, having entered but yesterday upon their independent condition, are intoxicated with their new power.	true	81.11	97.9	27.72631
2240_148522_000001_000002	They entertain a presumptuous confidence in their strength, and as they do not suppose that they can henceforward ever have occasion to claim the assistance of their fellow-creatures, they do not scruple to show that they care for nobody but themselves.	They entertain a presumptuous confidence in their strength, and as they do not suppose that they can henceforward ever have occasion to claim the assistance of their fellow creatures, they do not scruple to show that they care for nobody but themselves.	true	98.54	116.35	25.580221
2240_148522_000002_000000	An aristocracy seldom yields without a protracted struggle, in the course of which implacable animosities are kindled between the different classes of society.	An aristocracy seldom yields without a protracted struggle, in the course of which implacable animosities are kindled between the different classes of society.	true	117.32	129.1	25.25404
2240_148522_000002_000001	These passions survive the victory, and traces of them may be observed in the midst of the democratic confusion which ensues.	These passions survive the victory, and traces of them may be observed in the midst of the democratic confusion which ensues.	true	129.98	138.52	23.74804
2240_148522_000002_000002	Those members of the community who were at the top of the late gradations of rank cannot immediately forget their former greatness; they will long regard themselves as aliens in the midst of the newly composed society.	Those members of the community who were at the top of the late gradations of rank cannot immediately forget their former greatness; they will long regard themselves as aliens in the midst of the newly composed society.	false	139.55	155.14	25.559322
2240_148522_000002_000003	They look upon all those whom this state of society has made their equals as oppressors, whose destiny can excite no sympathy; they have lost sight of their former equals, and feel no longer bound by a common interest to their fate: each of them, standing aloof, thinks that he is reduced to care for himself alone.	They look upon all those whom this state of society has made their equals as oppressors, whose destiny can excite no sympathy; they have lost sight of their former equals, and feel no longer bound by a common interest to their fate: each of them, standing aloof, thinks that he is reduced to care for himself alone.	true	156.02	179.8	23.914192
2240_148522_000002_000004	Those, on the contrary, who were formerly at the foot of the social scale, and who have been brought up to the common level by a sudden revolution, cannot enjoy their newly acquired independence without secret uneasiness; and if they meet with some of their former superiors on the same footing as themselves, they stand aloof from them with an expression of triumph and of fear.	Those, on the contrary, who were formerly at the foot of the social scale, and who have been brought up to the common level by a sudden revolution, cannot enjoy their newly acquired independence without secret uneasiness; and if they meet with some of their former superiors on the same footing as themselves, they stand aloof from them with an expression of triumph and of fear.	false	180.86	207.85	24.142574
2240_148522_000002_000005	It is, then, commonly at the outset of democratic society that citizens are most disposed to live apart.	It is, then, commonly at the outset of democratic society that citizens are most disposed to live apart.	true	208.91	216.52	22.076326
2240_148522_000002_000006	Democracy leads men not to draw near to their fellow-creatures; but democratic revolutions lead them to shun each other, and perpetuate in a state of equality the animosities which the state of inequality engendered.	Democracy leads men not to draw near to their fellow creatures; but democratic revolutions lead them to shun each other, and perpetuate in a state of equality the animosities which the state of inequality engendered.	false	217.13	231.88	26.989105
2240_148522_000002_000007	The great advantage of the Americans is that they have arrived at a state of democracy without having to endure a democratic revolution; and that they are born equal, instead of becoming so.	The great advantage of the Americans is that they have arrived at a state of democracy without having to endure a democratic revolution; and that they are born equal, instead of becoming so.	false	232.7	253.23	25.308846
