7000_83708_000001_000000	CHAPTER III.	CHAPTER three.
7000_83708_000002_000000	AND BATS.	AND BATS.
7000_83708_000003_000001	We sat there, moping in a crowd, I among the rest, when Mr. Benyon, bustling up, reminded me of my duties as a captain.	We sat there, moping in a crowd, I among the rest, when mr Benyon, bustling up, reminded me of my duties as a captain.
7000_83708_000004_000000	"Now then, turn out.	"Now then, turn out.
7000_83708_000004_000001	Send your men into the field.	Send your men into the field.
7000_83708_000004_000002	We can't stop here all day.	We can't stop here all day.
7000_83708_000004_000003	I'm first man in; soon I'll have to go, and I haven't had a smack at a cricket-ball these twenty years!"	I'm first man in; soon I'll have to go, and I haven't had a smack at a cricket ball these twenty years!"
7000_83708_000005_000000	We looked at each other.	We looked at each other.
7000_83708_000005_000001	One part of his address gave us a certain gratification--that part in which he stated that he soon would have to go.	One part of his address gave us a certain gratification-that part in which he stated that he soon would have to go.
7000_83708_000005_000002	We turned out.	We turned out.
7000_83708_000005_000003	I suppose a more unpromising set of fieldsmen never yet took their places in the field.	I suppose a more unpromising set of fieldsmen never yet took their places in the field.
7000_83708_000005_000004	The Latchmere men went slouching towards the tent; some of them, I noticed, instead of going in stole towards the rear.	The Latchmere men went slouching towards the tent; some of them, I noticed, instead of going in stole towards the rear.
7000_83708_000006_000000	"Mr. Trentham, I--I can't bowl," whispered Mr. Sapsworth to me as we moved across the turf.	"mr Trentham, I-I can't bowl," whispered mr Sapsworth to me as we moved across the turf.
7000_83708_000007_000000	He and I had agreed that we should start the bowling.	He and I had agreed that we should start the bowling.
7000_83708_000007_000001	I confess that I felt no more inclined to act up to the letter of our agreement than he did.	I confess that I felt no more inclined to act up to the letter of our agreement than he did.
7000_83708_000007_000002	But Mr. Benyon intervened.	But mr Benyon intervened.
7000_83708_000008_000000	"Now, Bob Sapsworth, you take the bowling one end, and let your captain take the other.	"Now, Bob Sapsworth, you take the bowling one end, and let your captain take the other.
7000_83708_000008_000001	Captain, you take first over."	Captain, you take first over."
7000_83708_000009_000000	I obeyed without a murmur.	I obeyed without a murmur.
7000_83708_000009_000002	I do not think that our field was arranged on scientific principles; I may certainly claim that I had nothing to do with its arrangement.	I do not think that our field was arranged on scientific principles; I may certainly claim that I had nothing to do with its arrangement.
7000_83708_000009_000003	There is a suspicion floating through my mind that at one or two points--two, or more--men were placed unusually close together. For instance, at deep mid-off--very deep mid-off--Mr.	There is a suspicion floating through my mind that at one or two points-two, or more-men were placed unusually close together. For instance, at deep mid off-very deep mid off-mr
7000_83708_000009_000004	Hawthorn and Mr. Hedges were not only doing their best to trample on each other's toes, but each was seeking for a place of security behind the other's back.	Hawthorn and mr Hedges were not only doing their best to trample on each other's toes, but each was seeking for a place of security behind the other's back.
