6080_233342_000001_000000	NEWS, TRUTH, AND A CONCLUSION	NEWS, TRUTH, AND A CONCLUSION
6080_233342_000002_000001	If we assume with Mr. Sinclair, and most of his opponents, that news and truth are two words for the same thing, we shall, I believe, arrive nowhere.	If we assume with mr Sinclair, and most of his opponents, that news and truth are two words for the same thing, we shall, I believe, arrive nowhere.
6080_233342_000002_000002	We shall prove that on this point the newspaper lied.	We shall prove that on this point the newspaper lied.
6080_233342_000003_000003	In this sector, and only in this sector, the tests of the news are sufficiently exact to make the charges of perversion or suppression more than a partisan judgment.	In this sector, and only in this sector, the tests of the news are sufficiently exact to make the charges of perversion or suppression more than a partisan judgment.
6080_233342_000003_000006	But when it comes to dealing, for example, with stories of what the Russian people want, no such test exists.	But when it comes to dealing, for example, with stories of what the Russian people want, no such test exists.
6080_233342_000004_000000	The absence of these exact tests accounts, I think, for the character of the profession, as no other explanation does.	The absence of these exact tests accounts, I think, for the character of the profession, as no other explanation does.
6080_233342_000004_000002	The rest is in the journalist's own discretion. Once he departs from the region where it is definitely recorded at the County Clerk's office that John Smith has gone into bankruptcy, all fixed standards disappear.	The rest is in the journalist's own discretion. Once he departs from the region where it is definitely recorded at the County Clerk's office that john Smith has gone into bankruptcy, all fixed standards disappear.
6080_233342_000004_000004	There are no canons to direct his own mind, and no canons that coerce the reader's judgment or the publisher's.	There are no canons to direct his own mind, and no canons that coerce the reader's judgment or the publisher's.
6080_233342_000004_000006	How can he demonstrate the truth as he sees it?	How can he demonstrate the truth as he sees it?
6080_233342_000005_000001	He may have all kinds of moral courage, and sometimes has, but he lacks that sustaining conviction of a certain technic which finally freed the physical sciences from theological control.	He may have all kinds of moral courage, and sometimes has, but he lacks that sustaining conviction of a certain technic which finally freed the physical sciences from theological control.
6080_233342_000005_000003	His proofs were so clear, his evidence so sharply superior to tradition, that he broke away finally from all control.	His proofs were so clear, his evidence so sharply superior to tradition, that he broke away finally from all control.
6080_233342_000005_000004	But the journalist has no such support in his own conscience or in fact.	But the journalist has no such support in his own conscience or in fact.
6080_233342_000006_000000	The task of deflating these controversies, and reducing them to a point where they can be reported as news, is not a task which the reporter can perform.	The task of deflating these controversies, and reducing them to a point where they can be reported as news, is not a task which the reporter can perform.
6080_233342_000006_000002	The press, in other words, can fight for the extension of reportable truth.	The press, in other words, can fight for the extension of reportable truth.
6080_233342_000006_000005	The theory that the press can itself record those forces is false.	The theory that the press can itself record those forces is false.
6080_233342_000006_000006	It can normally record only what has been recorded for it by the working of institutions.	It can normally record only what has been recorded for it by the working of institutions.
6080_233342_000006_000007	Everything else is argument and opinion, and fluctuates with the vicissitudes, the self-consciousness, and the courage of the human mind.	Everything else is argument and opinion, and fluctuates with the vicissitudes, the self consciousness, and the courage of the human mind.
6080_233342_000007_000000	If the press is not so universally wicked, nor so deeply conspiring, as Mr. Sinclair would have us believe, it is very much more frail than the democratic theory has as yet admitted.	If the press is not so universally wicked, nor so deeply conspiring, as mr Sinclair would have us believe, it is very much more frail than the democratic theory has as yet admitted.
6080_233342_000007_000001	It is too frail to carry the whole burden of popular sovereignty, to supply spontaneously the truth which democrats hoped was inborn.	It is too frail to carry the whole burden of popular sovereignty, to supply spontaneously the truth which democrats hoped was inborn.
