6080_233342_000000_000000	CHAPTER XXIV	CHAPTER twenty four	false	0.99	20.08	22.258793
6080_233342_000001_000000	NEWS, TRUTH, AND A CONCLUSION	NEWS, TRUTH, AND A CONCLUSION	true	20.24	22.57	22.25125
6080_233342_000002_000000	As we begin to make more and more exact studies of the press, much will depend upon the hypothesis we hold.	As we begin to make more and more exact studies of the press, much will depend upon the hypothesis we hold.	true	23.9	30.22	19
6080_233342_000002_000001	If we assume with Mr. Sinclair, and most of his opponents, that news and truth are two words for the same thing, we shall, I believe, arrive nowhere.	If we assume with mr Sinclair, and most of his opponents, that news and truth are two words for the same thing, we shall, I believe, arrive nowhere.	true	30.74	39.73	21.46421
6080_233342_000002_000002	We shall prove that on this point the newspaper lied.	We shall prove that on this point the newspaper lied.	true	40.37	43.36	22
6080_233342_000002_000003	We shall prove that on that point Mr. Sinclair's account lied.	We shall prove that on that point mr Sinclair's account lied.	true	43.94	47.26	19
6080_233342_000002_000004	We shall demonstrate that Mr. Sinclair lied when he said that somebody lied, and that somebody lied when he said Mr. Sinclair lied.	We shall demonstrate that mr Sinclair lied when he said that somebody lied, and that somebody lied when he said mr Sinclair lied.	true	47.63	54.79	18
6080_233342_000002_000005	We shall vent our feelings, but we shall vent them into air.	We shall vent our feelings, but we shall vent them into air.	true	55.25	58.54	18.555151
6080_233342_000003_000000	The hypothesis, which seems to me the most fertile, is that news and truth are not the same thing, and must be clearly distinguished. [Footnote: When I wrote _Liberty and the News,_ I did not understand this distinction clearly enough to state it, but _cf._ p. 89 ff.] The function of news is to signalize an event, the function of truth is to bring to light the hidden facts, to set them into relation with each other, and make a picture of reality on which men can act.	The hypothesis, which seems to me the most fertile, is that news and truth are not the same thing, and must be clearly distinguished. [Footnote: When I wrote underscore Liberty and the News,underscore I did not understand this distinction clearly enough to state it, but underscore c f.underscore p. eighty nine f f.] The function of news is to signalize an event, the function of truth is to bring to light the hidden facts, to set them into relation with each other, and make a picture of reality on which men can act.	false	59.09	84.88	20.300077
6080_233342_000003_000001	Only at those points, where social conditions take recognizable and measurable shape, do the body of truth and the body of news coincide.	Only at those points, where social conditions take recognizable and measurable shape, do the body of truth and the body of news coincide.	false	85.37	93.49	19.450657
6080_233342_000003_000002	That is a comparatively small part of the whole field of human interest.	That is a comparatively small part of the whole field of human interest.	true	93.92	97.54	19.386475
6080_233342_000003_000003	In this sector, and only in this sector, the tests of the news are sufficiently exact to make the charges of perversion or suppression more than a partisan judgment.	In this sector, and only in this sector, the tests of the news are sufficiently exact to make the charges of perversion or suppression more than a partisan judgment.	true	98	107.14	20.593279
6080_233342_000003_000004	There is no defense, no extenuation, no excuse whatever, for stating six times that Lenin is dead, when the only information the paper possesses is a report that he is dead from a source repeatedly shown to be unreliable.	There is no defense, no extenuation, no excuse whatever, for stating six times that Lenin is dead, when the only information the paper possesses is a report that he is dead from a source repeatedly shown to be unreliable.	false	107.66	121.54	19.615355
6080_233342_000003_000005	The news, in that instance, is not "Lenin Dead" but "Helsingfors Says Lenin is Dead." And a newspaper can be asked to take the responsibility of not making Lenin more dead than the source of the news is reliable; if there is one subject on which editors are most responsible it is in their judgment of the reliability of the source.	The news, in that instance, is not "Lenin Dead" but "Helsingfors Says Lenin is Dead." And a newspaper can be asked to take the responsibility of not making Lenin more dead than the source of the news is reliable; if there is one subject on which editors are most responsible it is in their judgment of the reliability of the source.	false	121.94	142.27	19.546936
6080_233342_000003_000006	But when it comes to dealing, for example, with stories of what the Russian people want, no such test exists.	But when it comes to dealing, for example, with stories of what the Russian people want, no such test exists.	true	142.67	149.17	21.851425
6080_233342_000004_000000	The absence of these exact tests accounts, I think, for the character of the profession, as no other explanation does.	The absence of these exact tests accounts, I think, for the character of the profession, as no other explanation does.	true	149.78	157.12	22.076761
6080_233342_000004_000001	There is a very small body of exact knowledge, which it requires no outstanding ability or training to deal with.	There is a very small body of exact knowledge, which it requires no outstanding ability or training to deal with.	true	157.79	164.17	18.452951
6080_233342_000004_000002	The rest is in the journalist's own discretion. Once he departs from the region where it is definitely recorded at the County Clerk's office that John Smith has gone into bankruptcy, all fixed standards disappear.	The rest is in the journalist's own discretion. Once he departs from the region where it is definitely recorded at the County Clerk's office that john Smith has gone into bankruptcy, all fixed standards disappear.	true	164.48	176.74	20.927814
6080_233342_000004_000003	The story of why John Smith failed, his human frailties, the analysis of the economic conditions on which he was shipwrecked, all of this can be told in a hundred different ways. There is no discipline in applied psychology, as there is a discipline in medicine, engineering, or even law, which has authority to direct the journalist's mind when he passes from the news to the vague realm of truth.	The story of why john Smith failed, his human frailties, the analysis of the economic conditions on which he was shipwrecked, all of this can be told in a hundred different ways. There is no discipline in applied psychology, as there is a discipline in medicine, engineering, or even law, which has authority to direct the journalist's mind when he passes from the news to the vague realm of truth.	true	177.29	200.11	19.47123
6080_233342_000004_000004	There are no canons to direct his own mind, and no canons that coerce the reader's judgment or the publisher's.	There are no canons to direct his own mind, and no canons that coerce the reader's judgment or the publisher's.	true	200.45	206.92	22
6080_233342_000004_000005	His version of the truth is only his version.	His version of the truth is only his version.	true	207.56	210.25	18.543655
6080_233342_000004_000006	How can he demonstrate the truth as he sees it?	How can he demonstrate the truth as he sees it?	true	210.8	213.49	23.41545
