1060_134451_000000_000000	SOPHISTICATION	SOPHISTICATION	true	20.82	22.06	19
1060_134451_000001_000000	It was early evening of a day in the late fall and the Winesburg County Fair had brought crowds of country people into town.	It was early evening of a day in the late fall and the Winesburg County Fair had brought crowds of country people into town.	true	23.21	30.58	20
1060_134451_000001_000001	The day had been clear and the night came on warm and pleasant.	The day had been clear and the night came on warm and pleasant.	true	31.43	35.02	19
1060_134451_000001_000002	On the Trunion Pike, where the road after it left town stretched away between berry fields now covered with dry brown leaves, the dust from passing wagons arose in clouds.	On the Trunion Pike, where the road after it left town stretched away between berry fields now covered with dry brown leaves, the dust from passing wagons arose in clouds.	false	35.87	47.38	19
1060_134451_000001_000003	Children, curled into little balls, slept on the straw scattered on wagon beds.	Children, curled into little balls, slept on the straw scattered on wagon beds.	true	48.2	53.05	19
1060_134451_000001_000004	Their hair was full of dust and their fingers black and sticky.	Their hair was full of dust and their fingers black and sticky.	true	53.75	57.31	18
1060_134451_000001_000005	The dust rolled away over the fields and the departing sun set it ablaze with colors.	The dust rolled away over the fields and the departing sun set it ablaze with colors.	true	57.86	64.24	20.217236
1060_134451_000002_000000	In the main street of Winesburg crowds filled the stores and the sidewalks.	In the main street of Winesburg crowds filled the stores and the sidewalks.	true	64.82	69.31	17
1060_134451_000002_000001	Night came on, horses whinnied, the clerks in the stores ran madly about, children became lost and cried lustily, an American town worked terribly at the task of amusing itself.	Night came on, horses whinnied, the clerks in the stores ran madly about, children became lost and cried lustily, an American town worked terribly at the task of amusing itself.	true	69.62	81.01	19
1060_134451_000003_000000	Pushing his way through the crowds in Main Street, young George Willard concealed himself in the stairway leading to Doctor Reefy's office and looked at the people.	Pushing his way through the crowds in Main Street, young George Willard concealed himself in the stairway leading to Doctor Reefy's office and looked at the people.	true	82.13	91.03	20.647278
1060_134451_000003_000001	With feverish eyes he watched the faces drifting past under the store lights.	With feverish eyes he watched the faces drifting past under the store lights.	true	92.24	96.94	16.166813
1060_134451_000003_000002	Thoughts kept coming into his head and he did not want to think.	Thoughts kept coming into his head and he did not want to think.	true	97.82	101.95	24.873732
1060_134451_000003_000003	He stamped impatiently on the wooden steps and looked sharply about.	He stamped impatiently on the wooden steps and looked sharply about.	true	102.65	106.99	24
1060_134451_000003_000004	"Well, is she going to stay with him all day?	"Well, is she going to stay with him all day?	true	108.02	110.44	16
1060_134451_000003_000005	Have I done all this waiting for nothing?" he muttered.	Have I done all this waiting for nothing?" he muttered.	true	110.51	113.8	24.192495
1060_134451_000004_000000	George Willard, the Ohio village boy, was fast growing into manhood and new thoughts had been coming into his mind.	George Willard, the Ohio village boy, was fast growing into manhood and new thoughts had been coming into his mind.	true	114.74	122.95	22.433382
1060_134451_000004_000001	All that day, amid the jam of people at the Fair, he had gone about feeling lonely.	All that day, amid the jam of people at the Fair, he had gone about feeling lonely.	false	123.77	130.18	22.358845
1060_134451_000004_000002	He was about to leave Winesburg to go away to some city where he hoped to get work on a city newspaper and he felt grown up.	He was about to leave Winesburg to go away to some city where he hoped to get work on a city newspaper and he felt grown up.	true	131.21	139.21	21.103657
1060_134451_000004_000003	The mood that had taken possession of him was a thing known to men and unknown to boys.	The mood that had taken possession of him was a thing known to men and unknown to boys.	true	140.15	146.5	22.147552
1060_134451_000004_000004	He felt old and a little tired.	He felt old and a little tired.	true	147.62	150.67	22.2775
1060_134451_000004_000005	Memories awoke in him.	Memories awoke in him.	true	151.76	153.4	18.621641
1060_134451_000004_000006	To his mind his new sense of maturity set him apart, made of him a half-tragic figure.	To his mind his new sense of maturity set him apart, made of him a half tragic figure.	true	154.28	161.53	20.966324
1060_134451_000004_000007	He wanted someone to understand the feeling that had taken possession of him after his mother's death.	He wanted someone to understand the feeling that had taken possession of him after his mother's death.	true	162.53	168.61	22
1060_134451_000005_000000	There is a time in the life of every boy when he for the first time takes the backward view of life.	There is a time in the life of every boy when he for the first time takes the backward view of life.	true	169.4	175.69	22.037512
1060_134451_000005_000001	Perhaps that is the moment when he crosses the line into manhood.	Perhaps that is the moment when he crosses the line into manhood.	true	176.42	179.92	18
1060_134451_000005_000002	The boy is walking through the street of his town.	The boy is walking through the street of his town.	true	180.92	183.67	21.534431
1060_134451_000005_000003	He is thinking of the future and of the figure he will cut in the world.	He is thinking of the future and of the figure he will cut in the world.	true	184.49	188.95	20.298525
1060_134451_000005_000004	Ambitions and regrets awake within him.	Ambitions and regrets awake within him.	true	189.98	192.88	20
1060_134451_000005_000005	Suddenly something happens; he stops under a tree and waits as for a voice calling his name. Ghosts of old things creep into his consciousness; the voices outside of himself whisper a message concerning the limitations of life.	Suddenly something happens; he stops under a tree and waits as for a voice calling his name. Ghosts of old things creep into his consciousness; the voices outside of himself whisper a message concerning the limitations of life.	true	193.79	211.09	22.190275
1060_134451_000005_000006	From being quite sure of himself and his future he becomes not at all sure.	From being quite sure of himself and his future he becomes not at all sure.	true	211.85	216.79	20.78059
1060_134451_000005_000007	If he be an imaginative boy a door is torn open and for the first time he looks out upon the world, seeing, as though they marched in procession before him, the countless figures of men who before his time have come out of nothingness into the world, lived their lives and again disappeared into nothingness.	If he be an imaginative boy a door is torn open and for the first time he looks out upon the world, seeing, as though they marched in procession before him, the countless figures of men who before his time have come out of nothingness into the world, lived their lives and again disappeared into nothingness.	true	217.67	238.6	21.05665
1060_134451_000005_000008	The sadness of sophistication has come to the boy.	The sadness of sophistication has come to the boy.	true	239.57	244.03	18.982563
1060_134451_000005_000009	With a little gasp he sees himself as merely a leaf blown by the wind through the streets of his village.	With a little gasp he sees himself as merely a leaf blown by the wind through the streets of his village.	true	245.57	251.41	15
1060_134451_000005_000010	He knows that in spite of all the stout talk of his fellows he must live and die in uncertainty, a thing blown by the winds, a thing destined like corn to wilt in the sun.	He knows that in spite of all the stout talk of his fellows he must live and die in uncertainty, a thing blown by the winds, a thing destined like corn to wilt in the sun	true	251.6	263.32	21
1060_134451_000005_000011	He shivers and looks eagerly about.	He shivers and looks eagerly about.	true	264.35	266.53	19
1060_134451_000005_000012	The eighteen years he has lived seem but a moment, a breathing space in the long march of humanity.	The eighteen years he has lived seem but a moment, a breathing space in the long march of humanity.	true	267.56	273.91	20.248201
1060_134451_000005_000013	Already he hears death calling.	Already he hears death calling.	true	274.82	276.91	24.119925
