7881_110131_000000_000000	JOSE THE BEAST SLAYER	JOSE THE BEAST SLAYER	true	24.375	25.98	23.88705
7881_110131_000001_000000	_The Story of a Boy Who Grew Up in the Forest_	underscore The Story of a Boy Who Grew Up in the Forest underscore	false	25.98	33.09	17.982874
7881_110131_000002_000000	There was once a king who had a little daughter.	There was once a king who had a little daughter.	false	33.09	35.71	20.489582
7881_110131_000002_000001	He went to the Wise Man of the Forest to learn how best to bring her up, and this is what he was told:	He went to the Wise Man of the Forest to learn how best to bring her up, and this is what he was told:	true	36.32	42.58	21.34544
7881_110131_000003_000000	"For twelve years you must keep your daughter in a tower in the forest. It should have no door, only a little window through which you may pass food to her.	"For twelve years you must keep your daughter in a tower in the forest. It should have no door, only a little window through which you may pass food to her.	true	43.79	56.26	18.612663
7881_110131_000003_000001	You must give her meat which has no bones in it."	You must give her meat which has no bones in it."	true	56.87	60.64	21
7881_110131_000004_000000	The king ordered a tower constructed in the deep forest.	The king ordered a tower constructed in the deep forest.	true	61.94	65.29	26.606014
7881_110131_000004_000001	It had no door, and only a little window.	It had no door, and only a little window.	true	65.54	68.71	20.794725
7881_110131_000004_000002	Here the princess was placed.	Here the princess was placed.	true	69.26	71.02	23.154493
7881_110131_000004_000003	Every day food was passed to her through the little window.	Every day food was passed to her through the little window.	true	71.63	75.04	17.999651
7881_110131_000004_000004	The king himself took charge of this, so that he might be sure that there was no meat given her which had bones in it.	The king himself took charge of this, so that he might be sure that there was no meat given her which had bones in it.	true	75.38	82	23.17645
7881_110131_000005_000000	The years flew by, and at last the twelve year period was nearly up. Then the king went away one day and left the servants to carry food to the princess.	The years flew by, and at last the twelve year period was nearly up. Then the king went away one day and left the servants to carry food to the princess.	true	83.15	93.79	20.956097
7881_110131_000005_000001	They were careless, and gave her meat which had a bone in it.	They were careless, and gave her meat which had a bone in it.	true	94.13	98.17	24.140554
7881_110131_000006_000000	The little princess had grown very tired of being shut up in the tower of the forest.	The little princess had grown very tired of being shut up in the tower of the forest.	true	99.08	104.71	23.222105
7881_110131_000007_000000	"Ah," said she when she discovered the bone in her meat.	"Ah," said she when she discovered the bone in her meat.	true	104.81	108.88	22.047035
7881_110131_000007_000001	"At last I have something with which to make this little window larger.	"At last I have something with which to make this little window larger.	true	109.01	113.02	25.913954
7881_110131_000007_000002	I've tried in vain to make it bigger with my fingers."	I've tried in vain to make it bigger with my fingers."	true	113.12	116.65	22.414106
7881_110131_000008_000000	She used the bone to dig away the wall each side of the window and soon the little opening had grown so large that the princess could lean her head out of it and look up at lofty trees.	She used the bone to dig away the wall each side of the window and soon the little opening had grown so large that the princess could lean her head out of it and look up at lofty trees.	true	117.26	128.65	21.704218
7881_110131_000008_000001	That very day a duke passed that way on a hunting expedition and saw the beautiful princess in the tower.	That very day a duke passed that way on a hunting expedition and saw the beautiful princess in the tower.	true	129.38	136.36	23.898638
7881_110131_000008_000002	He fell in love with her immediately.	He fell in love with her immediately.	true	136.52	139.33	16.913519
7881_110131_000009_000000	Now that the princess had some one to help her make the hole larger it was an easy matter to make it big enough to escape.	Now that the princess had some one to help her make the hole larger it was an easy matter to make it big enough to escape.	true	139.88	146.77	22.010199
7881_110131_000009_000001	That very night she ran away with the duke.	That very night she ran away with the duke.	true	146.9	149.71	22.112713
7881_110131_000010_000000	When the king returned from his journey he found the tower in the forest entirely empty.	When the king returned from his journey he found the tower in the forest entirely empty.	true	150.8	156.04	24.34388
7881_110131_000010_000001	There was nothing but the yawning hole to tell him of his daughter's escape.	There was nothing but the yawning hole to tell him of his daughter's escape.	true	156.89	161.71	19.900919
7881_110131_000010_000002	He tried in vain to find out what had become of her, but there was no person who could tell him anything about her.	He tried in vain to find out what had become of her, but there was no person who could tell him anything about her.	true	162.23	168.7	21.903698
7881_110131_000011_000000	The princess had gone with the duke across a great river which no one else knew how to cross.	The princess had gone with the duke across a great river which no one else knew how to cross.	true	169.55	175.27	24.201218
7881_110131_000011_000001	She lived in a big cave in the rocks, and after all the years in the tower it seemed a wonderful home indeed. She was never tired of admiring the trees and flowers of the forest and listening to the songs of the birds.	She lived in a big cave in the rocks, and after all the years in the tower it seemed a wonderful home indeed. She was never tired of admiring the trees and flowers of the forest and listening to the songs of the birds.	true	175.79	190.18	20.08582
7881_110131_000011_000002	When at last her baby son was born she thought that she was the very happiest person in the whole world.	When at last her baby son was born she thought that she was the very happiest person in the whole world.	true	190.73	196.96	23.835096
7881_110131_000012_000000	Now when the baby was two years old, the duke decided that they must take him to a hermitage to be baptized.	Now when the baby was two years old, the duke decided that they must take him to a hermitage to be baptized.	true	197.57	204.52	23.120552
7881_110131_000012_000001	They went down to the great river and he carried his little son across it in safety.	They went down to the great river and he carried his little son across it in safety.	true	204.98	209.32	18
7881_110131_000012_000002	Then he returned for the princess, but on the way his foot slipped and he fell into the river.	Then he returned for the princess, but on the way his foot slipped and he fell into the river.	true	210.08	215.95	20.854471
7881_110131_000012_000003	The strong current bore him swiftly away, leaving the princess on one side of the river and her little son on the other.	The strong current bore him swiftly away, leaving the princess on one side of the river and her little son on the other.	true	216.53	223.57	22.71927
7881_110131_000013_000000	"How shall I get across?" cried the princess when she saw what had happened.	"How shall I get across?" cried the princess when she saw what had happened.	true	224.27	229.39	23.847021
7881_110131_000014_000000	"Don't worry, mother," replied the child.	"Don't worry, mother," replied the child.	true	230.03	233.05	24.39915
7881_110131_000014_000001	"I'll come and get you."	"I'll come and get you."	true	233.54	235.06	31.152605
7881_110131_000015_000000	To her amazement he crossed the great river in safety and bravely escorted his mother to the other bank in spite of her tears and cries of fear.	To her amazement he crossed the great river in safety and bravely escorted his mother to the other bank in spite of her tears and cries of fear.	true	235.85	244.99	22
7881_110131_000016_000000	"Well done, my son!" she said when on the other bank.	"Well done, my son!" she said when on the other bank.	true	245.63	249.85	18.767408
7881_110131_000016_000001	"You are indeed a son to be proud of!"	"You are indeed a son to be proud of!"	true	250.34	253.36	24.907953
7881_110131_000017_000000	They went to a church and the boy was baptized.	They went to a church and the boy was baptized.	true	254.06	257.08	28.030716
7881_110131_000017_000001	Jose the Beast Slayer was the name he chose.	Jose the Beast Slayer was the name he chose.	true	257.36	260.59	18.34213
