7881_110131_000000_000000	JOSE THE BEAST SLAYER	JOSE THE BEAST SLAYER
7881_110131_000002_000001	He went to the Wise Man of the Forest to learn how best to bring her up, and this is what he was told:	He went to the Wise Man of the Forest to learn how best to bring her up, and this is what he was told:
7881_110131_000003_000001	You must give her meat which has no bones in it."	You must give her meat which has no bones in it."
7881_110131_000004_000000	The king ordered a tower constructed in the deep forest.	The king ordered a tower constructed in the deep forest.
7881_110131_000004_000001	It had no door, and only a little window.	It had no door, and only a little window.
7881_110131_000004_000002	Here the princess was placed.	Here the princess was placed.
7881_110131_000004_000004	The king himself took charge of this, so that he might be sure that there was no meat given her which had bones in it.	The king himself took charge of this, so that he might be sure that there was no meat given her which had bones in it.
7881_110131_000005_000000	The years flew by, and at last the twelve year period was nearly up. Then the king went away one day and left the servants to carry food to the princess.	The years flew by, and at last the twelve year period was nearly up. Then the king went away one day and left the servants to carry food to the princess.
7881_110131_000005_000001	They were careless, and gave her meat which had a bone in it.	They were careless, and gave her meat which had a bone in it.
7881_110131_000006_000000	The little princess had grown very tired of being shut up in the tower of the forest.	The little princess had grown very tired of being shut up in the tower of the forest.
7881_110131_000007_000000	"Ah," said she when she discovered the bone in her meat.	"Ah," said she when she discovered the bone in her meat.
7881_110131_000007_000001	"At last I have something with which to make this little window larger.	"At last I have something with which to make this little window larger.
7881_110131_000007_000002	I've tried in vain to make it bigger with my fingers."	I've tried in vain to make it bigger with my fingers."
7881_110131_000008_000000	She used the bone to dig away the wall each side of the window and soon the little opening had grown so large that the princess could lean her head out of it and look up at lofty trees.	She used the bone to dig away the wall each side of the window and soon the little opening had grown so large that the princess could lean her head out of it and look up at lofty trees.
7881_110131_000008_000001	That very day a duke passed that way on a hunting expedition and saw the beautiful princess in the tower.	That very day a duke passed that way on a hunting expedition and saw the beautiful princess in the tower.
7881_110131_000009_000000	Now that the princess had some one to help her make the hole larger it was an easy matter to make it big enough to escape.	Now that the princess had some one to help her make the hole larger it was an easy matter to make it big enough to escape.
7881_110131_000009_000001	That very night she ran away with the duke.	That very night she ran away with the duke.
7881_110131_000010_000000	When the king returned from his journey he found the tower in the forest entirely empty.	When the king returned from his journey he found the tower in the forest entirely empty.
7881_110131_000010_000002	He tried in vain to find out what had become of her, but there was no person who could tell him anything about her.	He tried in vain to find out what had become of her, but there was no person who could tell him anything about her.
7881_110131_000011_000000	The princess had gone with the duke across a great river which no one else knew how to cross.	The princess had gone with the duke across a great river which no one else knew how to cross.
7881_110131_000011_000001	She lived in a big cave in the rocks, and after all the years in the tower it seemed a wonderful home indeed. She was never tired of admiring the trees and flowers of the forest and listening to the songs of the birds.	She lived in a big cave in the rocks, and after all the years in the tower it seemed a wonderful home indeed. She was never tired of admiring the trees and flowers of the forest and listening to the songs of the birds.
