3340_170982_000000_000000	I should be much to blame if I had forgotten.	I should be much to blame if I had forgotten.	false	0	0.96	25.933739
3340_170982_000001_000000	Then, as the cause is decided, I demand on behalf of justice that the estimation in which she is held by gods and men and which we acknowledge to be her due should now be restored to her by us; since she has been shown to confer reality, and not to deceive those who truly possess her, let what has been taken from her be given back, that so she may win that palm of appearance which is hers also, and which she gives to her own.	Then, as the cause is decided, I demand on behalf of justice that the estimation in which she is held by gods and men and which we acknowledge to be her due should now be restored to her by us; since she has been shown to confer reality, and not to deceive those who truly possess her, let what has been taken from her be given back, that so she may win that palm of appearance which is hers also, and which she gives to her own.	false	0.96	2.16	17
3340_170982_000002_000000	The demand, he said, is just.	The demand, he said, is just.	false	2.16	2.16	
3340_170982_000003_000000	In the first place, I said--and this is the first thing which you will have to give back--the nature both of the just and unjust is truly known to the gods.	In the first place, I said-and this is the first thing which you will have to give back-the nature both of the just and unjust is truly known to the gods.	false	2.16	4.86	20.350155
3340_170982_000004_000000	Granted.	Granted.	false	4.86	4.89	-7
3340_170982_000005_000000	And if they are both known to them, one must be the friend and the other the enemy of the gods, as we admitted from the beginning?	And if they are both known to them, one must be the friend and the other the enemy of the gods, as we admitted from the beginning?	false	4.89	5.64	20
3340_170982_000006_000000	True.	True.	false	5.64	5.64	
3340_170982_000007_000000	And the friend of the gods may be supposed to receive from them all things at their best, excepting only such evil as is the necessary consequence of former sins?	And the friend of the gods may be supposed to receive from them all things at their best, excepting only such evil as is the necessary consequence of former sins?	false	5.64	6.84	15.129432
3340_170982_000008_000000	Certainly.	Certainly.	false	6.84	6.87	1
3340_170982_000009_000000	Then this must be our notion of the just man, that even when he is in poverty or sickness, or any other seeming misfortune, all things will in the end work together for good to him in life and death: for the gods have a care of any one whose desire is to become just and to be like God, as far as man can attain the divine likeness, by the pursuit of virtue?	Then this must be our notion of the just man, that even when he is in poverty or sickness, or any other seeming misfortune, all things will in the end work together for good to him in life and death: for the gods have a care of any one whose desire is to become just and to be like God, as far as man can attain the divine likeness, by the pursuit of virtue?	false	6.87	17.43	20.578636
3340_170982_000010_000000	Yes, he said; if he is like God he will surely not be neglected by him.	Yes, he said; if he is like God he will surely not be neglected by him.	false	17.43	18.27	22.77866
3340_170982_000011_000000	And of the unjust may not the opposite be supposed?	And of the unjust may not the opposite be supposed?	false	18.27	18.27	
3340_170982_000012_000000	Certainly.	Certainly.	false	18.27	18.27	
3340_170982_000013_000000	Such, then, are the palms of victory which the gods give the just?	Such, then, are the palms of victory which the gods give the just?	false	18.27	18.27	
3340_170982_000014_000000	That is my conviction.	That is my conviction.	false	18.27	18.27	
3340_170982_000015_000000	And what do they receive of men?	And what do they receive of men?	false	18.27	18.27	
3340_170982_000015_000001	Look at things as they really are, and you will see that the clever unjust are in the case of runners, who run well from the starting-place to the goal but not back again from the goal: they go off at a great pace, but in the end only look foolish, slinking away with their ears draggling on their shoulders, and without a crown; but the true runner comes to the finish and receives the prize and is crowned.	Look at things as they really are, and you will see that the clever unjust are in the case of runners, who run well from the starting place to the goal but not back again from the goal: they go off at a great pace, but in the end only look foolish, slinking away with their ears draggling on their shoulders, and without a crown; but the true runner comes to the finish and receives the prize and is crowned.	false	18.27	24.54	21.45729
3340_170982_000015_000002	And this is the way with the just; he who endures to the end of every action and occasion of his entire life has a good report and carries off the prize which men have to bestow.	And this is the way with the just; he who endures to the end of every action and occasion of his entire life has a good report and carries off the prize which men have to bestow.	false	24.54	24.54	
3340_170982_000016_000000	True.	True.	false	24.54	24.54	
3340_170982_000017_000000	And now you must allow me to repeat of the just the blessings which you were attributing to the fortunate unjust.	And now you must allow me to repeat of the just the blessings which you were attributing to the fortunate unjust.	false	24.54	30.64	12
3340_170982_000017_000001	I shall say of them, what you were saying of the others, that as they grow older, they become rulers in their own city if they care to be; they marry whom they like and give in marriage to whom they will; all that you said of the others I now say of these.	I shall say of them, what you were saying of the others, that as they grow older, they become rulers in their own city if they care to be; they marry whom they like and give in marriage to whom they will; all that you said of the others I now say of these.	true	30.95	44.175	13
3340_170982_000017_000002	And, on the other hand, of the unjust I say that the greater number, even though they escape in their youth, are found out at last and look foolish at the end of their course, and when they come to be old and miserable are flouted alike by stranger and citizen; they are beaten and then come those things unfit for ears polite, as you truly term them; they will be racked and have their eyes burned out, as you were saying.	And, on the other hand, of the unjust I say that the greater number, even though they escape in their youth, are found out at last and look foolish at the end of their course, and when they come to be old and miserable are flouted alike by stranger and citizen; they are beaten and then come those things unfit for ears polite, as you truly term them; they will be racked and have their eyes burned out, as you were saying.	true	44.175	67.15	13
3340_170982_000017_000003	And you may suppose that I have repeated the remainder of your tale of horrors.	And you may suppose that I have repeated the remainder of your tale of horrors.	true	67.58	71.68	11
3340_170982_000017_000004	But will you let me assume, without reciting them, that these things are true?	But will you let me assume, without reciting them, that these things are true?	true	71.78	76.27	21
3340_170982_000018_000000	Certainly, he said, what you say is true.	Certainly, he said, what you say is true.	true	76.34	79.035	21.038702
3340_170982_000019_000000	These, then, are the prizes and rewards and gifts which are bestowed upon the just by gods and men in this present life, in addition to the other good things which justice of herself provides.	These, then, are the prizes and rewards and gifts which are bestowed upon the just by gods and men in this present life, in addition to the other good things which justice of herself provides.	false	79.035	89.2	12
3340_170982_000020_000000	Yes, he said; and they are fair and lasting.	Yes, he said; and they are fair and lasting.	true	89.39	92.56	20.069483
3340_170982_000021_000000	And yet, I said, all these are as nothing either in number or greatness in comparison with those other recompenses which await both just and unjust after death.	And yet, I said, all these are as nothing either in number or greatness in comparison with those other recompenses which await both just and unjust after death.	true	92.9	102.45	13
3340_170982_000021_000001	And you ought to hear them, and then both just and unjust will have received from us a full payment of the debt which the argument owes to them.	And you ought to hear them, and then both just and unjust will have received from us a full payment of the debt which the argument owes to them.	true	102.45	109.935	14
3340_170982_000022_000000	Speak, he said; there are few things which I would more gladly hear.	Speak, he said; there are few things which I would more gladly hear.	true	109.935	113.89	17
3340_170982_000023_000000	Well, I said, I will tell you a tale; not one of the tales which Odysseus tells to the hero Alcinous, yet this too is a tale of a hero, Er the son of Armenius, a Pamphylian by birth.	Well, I said, I will tell you a tale; not one of the tales which Odysseus tells to the hero Alcinous, yet this too is a tale of a hero, Er the son of Armenius, a Pamphylian by birth.	true	114.05	126.675	16
3340_170982_000023_000001	He was slain in battle, and ten days afterwards, when the bodies of the dead were taken up already in a state of corruption, his body was found unaffected by decay, and carried away home to be buried.	He was slain in battle, and ten days afterwards, when the bodies of the dead were taken up already in a state of corruption, his body was found unaffected by decay, and carried away home to be buried.	false	126.675	138.405	14
3340_170982_000023_000002	And on the twelfth day, as he was lying on the funeral pile, he returned to life and told them what he had seen in the other world.	And on the twelfth day, as he was lying on the funeral pile, he returned to life and told them what he had seen in the other world.	true	138.405	145.335	10
3340_170982_000023_000003	He said that when his soul left the body he went on a journey with a great company, and that they came to a mysterious place at which there were two openings in the earth; they were near together, and over against them were two other openings in the heaven above.	He said that when his soul left the body he went on a journey with a great company, and that they came to a mysterious place at which there were two openings in the earth; they were near together, and over against them were two other openings in the heaven above.	true	145.335	158.865	13
3340_170982_000023_000004	In the intermediate space there were judges seated, who commanded the just, after they had given judgment on them and had bound their sentences in front of them, to ascend by the heavenly way on the right hand; and in like manner the unjust were bidden by them to descend by the lower way on the left hand; these also bore the symbols of their deeds, but fastened on their backs.	In the intermediate space there were judges seated, who commanded the just, after they had given judgment on them and had bound their sentences in front of them, to ascend by the heavenly way on the right hand; and in like manner the unjust were bidden by them to descend by the lower way on the left hand; these also bore the symbols of their deeds, but fastened on their backs.	true	158.865	179.95	13
3340_170982_000023_000005	He drew near, and they told him that he was to be the messenger who would carry the report of the other world to men, and they bade him hear and see all that was to be heard and seen in that place.	He drew near, and they told him that he was to be the messenger who would carry the report of the other world to men, and they bade him hear and see all that was to be heard and seen in that place.	true	180.47	190.575	10
3340_170982_000023_000006	Then he beheld and saw on one side the souls departing at either opening of heaven and earth when sentence had been given on them; and at the two other openings other souls, some ascending out of the earth dusty and worn with travel, some descending out of heaven clean and bright.	Then he beheld and saw on one side the souls departing at either opening of heaven and earth when sentence had been given on them; and at the two other openings other souls, some ascending out of the earth dusty and worn with travel, some descending out of heaven clean and bright.	false	190.575	206.47	14
3340_170982_000023_000007	And arriving ever and anon they seemed to have come from a long journey, and they went forth with gladness into the meadow, where they encamped as at a festival; and those who knew one another embraced and conversed, the souls which came from earth curiously enquiring about the things above, and the souls which came from heaven about the things beneath.	And arriving ever and anon they seemed to have come from a long journey, and they went forth with gladness into the meadow, where they encamped as at a festival; and those who knew one another embraced and conversed, the souls which came from earth curiously enquiring about the things above, and the souls which came from heaven about the things beneath.	true	206.54	225.255	13
3340_170982_000023_000008	And they told one another of what had happened by the way, those from below weeping and sorrowing at the remembrance of the things which they had endured and seen in their journey beneath the earth (now the journey lasted a thousand years), while those from above were describing heavenly delights and visions of inconceivable beauty.	And they told one another of what had happened by the way, those from below weeping and sorrowing at the remembrance of the things which they had endured and seen in their journey beneath the earth (now the journey lasted a thousand years), while those from above were describing heavenly delights and visions of inconceivable beauty.	true	225.255	243.61	13
3340_170982_000023_000009	The story, Glaucon, would take too long to tell; but the sum was this:--He said that for every wrong which they had done to any one they suffered tenfold; or once in a hundred years--such being reckoned to be the length of man's life, and the penalty being thus paid ten times in a thousand years.	The story, Glaucon, would take too long to tell; but the sum was this:--He said that for every wrong which they had done to any one they suffered tenfold; or once in a hundred years-such being reckoned to be the length of man's life, and the penalty being thus paid ten times in a thousand years.	true	243.95	262.39	18
3340_170982_000023_000010	If, for example, there were any who had been the cause of many deaths, or had betrayed or enslaved cities or armies, or been guilty of any other evil behaviour, for each and all of their offences they received punishment ten times over, and the rewards of beneficence and justice and holiness were in the same proportion.	If, for example, there were any who had been the cause of many deaths, or had betrayed or enslaved cities or armies, or been guilty of any other evil behaviour, for each and all of their offences they received punishment ten times over, and the rewards of beneficence and justice and holiness were in the same proportion.	false	262.76	280.72	12
3340_170982_000023_000011	I need hardly repeat what he said concerning young children dying almost as soon as they were born.	I need hardly repeat what he said concerning young children dying almost as soon as they were born.	true	281.18	286.545	15
3340_170982_000023_000012	Of piety and impiety to gods and parents, and of murderers, there were retributions other and greater far which he described.	Of piety and impiety to gods and parents, and of murderers, there were retributions other and greater far which he described.	true	286.545	294.04	14
3340_170982_000023_000013	He mentioned that he was present when one of the spirits asked another, 'Where is Ardiaeus the Great?' (Now this Ardiaeus lived a thousand years before the time of Er: he had been the tyrant of some city of Pamphylia, and had murdered his aged father and his elder brother, and was said to have committed many other abominable crimes.) The answer of the other spirit was: 'He comes not hither and will never come.	He mentioned that he was present when one of the spirits asked another, 'Where is Ardiaeus the Great?' (Now this Ardiaeus lived a thousand years before the time of Er: he had been the tyrant of some city of Pamphylia, and had murdered his aged father and his elder brother, and was said to have committed many other abominable crimes.) The answer of the other spirit was: 'He comes not hither and will never come.	true	294.29	317.17	18
3340_170982_000023_000014	And this,' said he, 'was one of the dreadful sights which we ourselves witnessed.	And this,' said he, 'was one of the dreadful sights which we ourselves witnessed.	true	317.45	321.885	19.329353
