2751_142363_000000_000000	Chapter XXIV	Chapter twenty four	false	1.2	8.01	15
2751_142363_000001_000000	The Health-Drinking	The Health Drinking	false	8.01	21.67	16
2751_142363_000002_000000	WHEN the dinner was over, and the first draughts from the great cask of birthday ale were brought up, room was made for the broad Mr. Poyser at the side of the table, and two chairs were placed at the head.	WHEN the dinner was over, and the first draughts from the great cask of birthday ale were brought up, room was made for the broad mr Poyser at the side of the table, and two chairs were placed at the head.	true	22.67	34.24	18
2751_142363_000002_000001	It had been settled very definitely what Mr. Poyser was to do when the young squire should appear, and for the last five minutes he had been in a state of abstraction, with his eyes fixed on the dark picture opposite, and his hands busy with the loose cash and other articles in his breeches pockets.	It had been settled very definitely what mr Poyser was to do when the young squire should appear, and for the last five minutes he had been in a state of abstraction, with his eyes fixed on the dark picture opposite, and his hands busy with the loose cash and other articles in his breeches pockets.	true	34.4	51.64	18
2751_142363_000003_000000	When the young squire entered, with Mr. Irwine by his side, every one stood up, and this moment of homage was very agreeable to Arthur.	When the young squire entered, with mr Irwine by his side, every one stood up, and this moment of homage was very agreeable to Arthur.	true	52.07	60.64	18
2751_142363_000003_000001	He liked to feel his own importance, and besides that, he cared a great deal for the good-will of these people: he was fond of thinking that they had a hearty, special regard for him.	He liked to feel his own importance, and besides that, he cared a great deal for the good will of these people: he was fond of thinking that they had a hearty, special regard for him.	true	60.8	71.47	22
2751_142363_000003_000002	The pleasure he felt was in his face as he said, "My grandfather and I hope all our friends here have enjoyed their dinner, and find my birthday ale good.	The pleasure he felt was in his face as he said, "My grandfather and I hope all our friends here have enjoyed their dinner, and find my birthday ale good.	true	71.63	81.16	20
2751_142363_000003_000003	Mr. Irwine and I are come to taste it with you, and I am sure we shall all like anything the better that the rector shares with us."	mr Irwine and I are come to taste it with you, and I am sure we shall all like anything the better that the rector shares with us."	false	81.26	88.48	19
2751_142363_000004_000000	All eyes were now turned on Mr. Poyser, who, with his hands still busy in his pockets, began with the deliberateness of a slow-striking clock. "Captain, my neighbours have put it upo' me to speak for 'em to-day, for where folks think pretty much alike, one spokesman's as good as a score. And though we've mayhappen got contrairy ways o' thinking about a many things--one man lays down his land one way an' another another--an' I'll not take it upon me to speak to no man's farming, but my own--this I'll say, as we're all o' one mind about our young squire.	All eyes were now turned on mr Poyser, who, with his hands still busy in his pockets, began with the deliberateness of a slow striking clock. "Captain, my neighbours have put it u p o' me to speak for 'em to day, for where folks think pretty much alike, one spokesman's as good as a score. And though we've mayhappen got contrairy ways o' thinking about a many things-one man lays down his land one way an' another another-an' I'll not take it upon me to speak to no man's farming, but my own-this I'll say, as we're all o' one mind about our young squire.	false	89.27	125.38	21.46475
2751_142363_000004_000001	We've pretty nigh all on us known you when you war a little un, an' we've niver known anything on you but what was good an' honorable.	We've pretty nigh all on us known you when you war a little un, an' we've niver known anything on you but what was good an' honorable.	false	125.63	133.27	19
2751_142363_000004_000002	You speak fair an' y' act fair, an' we're joyful when we look forrard to your being our landlord, for we b'lieve you mean to do right by everybody, an' 'ull make no man's bread bitter to him if you can help it.	You speak fair an' y' act fair, an' we're joyful when we look forrard to your being our landlord, for we b'lieve you mean to do right by everybody, an' 'u l l make no man's bread bitter to him if you can help it.	false	133.46	145.45	18
