1705_142318_000003_000000	CHAPTER XLIV	CHAPTER forty four
1705_142318_000004_000000	EASE NOT PEACE	EASE NOT PEACE
1705_142318_000005_000000	'A dull rotation, never at a stay, Yesterday's face twin image of to-day.' COWPER.	'A dull rotation, never at a stay, Yesterday's face twin image of to day.' COWPER.
1705_142318_000006_000000	'Of what each one should be, he sees the form and rule, And till he reach to that, his joy can ne'er be full.' RUCKERT.	'Of what each one should be, he sees the form and rule, And till he reach to that, his joy can ne'er be full.' RUCKERT.
1705_142318_000007_000000	It was very well for Margaret that the extreme quiet of the Harley Street house, during Edith's recovery from her confinement, gave her the natural rest which she needed.	It was very well for Margaret that the extreme quiet of the Harley Street house, during Edith's recovery from her confinement, gave her the natural rest which she needed.
1705_142318_000007_000005	And she felt that it was almost ungrateful in her to have a secret feeling that the Helstone vicarage--nay, even the poor little house at Milton, with her anxious father and her invalid mother, and all the small household cares of comparative poverty, composed her idea of home.	And she felt that it was almost ungrateful in her to have a secret feeling that the Helstone vicarage-nay, even the poor little house at Milton, with her anxious father and her invalid mother, and all the small household cares of comparative poverty, composed her idea of home.
1705_142318_000007_000006	Edith was impatient to get well, in order to fill Margaret's bed-room with all the soft comforts, and pretty nick-knacks, with which her own abounded.	Edith was impatient to get well, in order to fill Margaret's bed room with all the soft comforts, and pretty nick knacks, with which her own abounded.
1705_142318_000007_000011	Then her thoughts went back to Milton, with a strange sense of the contrast between the life there, and here.	Then her thoughts went back to Milton, with a strange sense of the contrast between the life there, and here.
1705_142318_000007_000015	There was a strange unsatisfied vacuum in Margaret's heart and mode of life; and, once when she had dimly hinted this to Edith, the latter, wearied with dancing the night before, languidly stroked Margaret's cheek as she sat by her in the old attitude,--she on a footstool by the sofa where Edith lay.	There was a strange unsatisfied vacuum in Margaret's heart and mode of life; and, once when she had dimly hinted this to Edith, the latter, wearied with dancing the night before, languidly stroked Margaret's cheek as she sat by her in the old attitude,--she on a footstool by the sofa where Edith lay.
1705_142318_000008_000000	'Poor child!' said Edith.	'Poor child!' said Edith.
1705_142318_000008_000001	'It is a little sad for you to be left, night after night, just at this time when all the world is so gay.	'It is a little sad for you to be left, night after night, just at this time when all the world is so gay.
1705_142318_000009_000003	She was really very fond of him, excepting when he was anxiously attentive to Edith's dress and appearance, with a view to her beauty making a sufficient impression on the world.	She was really very fond of him, excepting when he was anxiously attentive to Edith's dress and appearance, with a view to her beauty making a sufficient impression on the world.
1705_142318_000012_000000	'Oh, Mr. Bell!	'Oh, mr Bell!
1705_142318_000014_000000	'Have you dined?	'Have you dined?
1705_142318_000014_000001	How did you come?	How did you come?
