1705_142318_000000_000000	'Yo' may say that.	'Yo' may say that.	false	0	0.54	9
1705_142318_000000_000001	If it were the deuce's own scribble, and yo' axed me to read in it for yo'r sake, and th' oud gentleman's, I'd do it. Whatten's this, wench?	If it were the deuce's own scribble, and yo' axed me to read in it for yo'r sake, and t h' oud gentleman's, I'd do it. Whatten's this, wench?	false	0.54	4.8	22.604704
1705_142318_000000_000002	I'm not going for to take yo'r brass, so dunnot think it.	I'm not going for to take yo'r brass, so dunnot think it.	false	4.8	7.62	22
1705_142318_000000_000003	We've been great friends, 'bout the sound o' money passing between us.'	We've been great friends, 'bout the sound o' money passing between us.'	false	7.62	9	14
1705_142318_000001_000000	'For the children--for Boucher's children,' said Margaret, hurriedly. 'They may need it.	'For the children-for Boucher's children,' said Margaret, hurriedly. 'They may need it.	false	9	9.3	18
1705_142318_000001_000001	You've no right to refuse it for them.	You've no right to refuse it for them.	false	9.3	10.92	21.454689
1705_142318_000001_000002	I would not give you a penny,' she said, smiling; 'don't think there's any of it for you.'	I would not give you a penny,' she said, smiling; 'don't think there's any of it for you.'	false	10.92	15.57	20
1705_142318_000002_000000	'Well, wench!	'Well, wench!	false	15.57	16.32	21.760124
1705_142318_000002_000001	I can nobbut say, Bless yo'! and bless yo'!--and amen.'	I can nobbut say, Bless yo'! and bless yo'!--and amen.'	false	16.32	20.58	21.402994
1705_142318_000003_000000	CHAPTER XLIV	CHAPTER forty four	true	20.58	21.97	27.142536
1705_142318_000004_000000	EASE NOT PEACE	EASE NOT PEACE	true	22.31	24.22	21.803446
1705_142318_000005_000000	'A dull rotation, never at a stay, Yesterday's face twin image of to-day.' COWPER.	'A dull rotation, never at a stay, Yesterday's face twin image of to day.' COWPER.	true	25.67	32.92	22.217554
1705_142318_000006_000000	'Of what each one should be, he sees the form and rule, And till he reach to that, his joy can ne'er be full.' RUCKERT.	'Of what each one should be, he sees the form and rule, And till he reach to that, his joy can ne'er be full.' RUCKERT.	true	34.28	43.57	20.349977
1705_142318_000007_000000	It was very well for Margaret that the extreme quiet of the Harley Street house, during Edith's recovery from her confinement, gave her the natural rest which she needed.	It was very well for Margaret that the extreme quiet of the Harley Street house, during Edith's recovery from her confinement, gave her the natural rest which she needed.	true	45.05	55.6	20.971695
1705_142318_000007_000001	It gave her time to comprehend the sudden change which had taken place in her circumstances within the last two months.	It gave her time to comprehend the sudden change which had taken place in her circumstances within the last two months.	true	56.33	63.52	16
1705_142318_000007_000002	She found herself at once an inmate of a luxurious house, where the bare knowledge of the existence of every trouble or care seemed scarcely to have penetrated.	She found herself at once an inmate of a luxurious house, where the bare knowledge of the existence of every trouble or care seemed scarcely to have penetrated.	true	64.58	74.92	18
1705_142318_000007_000003	The wheels of the machinery of daily life were well oiled, and went along with delicious smoothness.	The wheels of the machinery of daily life were well oiled, and went along with delicious smoothness.	true	75.8	81.85	17
1705_142318_000007_000004	Mrs. Shaw and Edith could hardly make enough of Margaret, on her return to what they persisted in calling her home.	mrs Shaw and Edith could hardly make enough of Margaret, on her return to what they persisted in calling her home.	true	82.73	89.23	16
1705_142318_000007_000005	And she felt that it was almost ungrateful in her to have a secret feeling that the Helstone vicarage--nay, even the poor little house at Milton, with her anxious father and her invalid mother, and all the small household cares of comparative poverty, composed her idea of home.	And she felt that it was almost ungrateful in her to have a secret feeling that the Helstone vicarage-nay, even the poor little house at Milton, with her anxious father and her invalid mother, and all the small household cares of comparative poverty, composed her idea of home.	true	89.93	108.16	20
1705_142318_000007_000006	Edith was impatient to get well, in order to fill Margaret's bed-room with all the soft comforts, and pretty nick-knacks, with which her own abounded.	Edith was impatient to get well, in order to fill Margaret's bed room with all the soft comforts, and pretty nick knacks, with which her own abounded.	true	109.1	118.21	21.918642
1705_142318_000007_000007	Mrs. Shaw and her maid found plenty of occupation in restoring Margaret's wardrobe to a state of elegant variety.	mrs Shaw and her maid found plenty of occupation in restoring Margaret's wardrobe to a state of elegant variety.	true	118.97	126.91	18
1705_142318_000007_000008	Captain Lennox was easy, kind, and gentlemanly; sate with his wife in her dressing-room an hour or two every day; played with his little boy for another hour, and lounged away the rest of his time at his club, when he was not engaged out to dinner. Just before Margaret had recovered from her necessity for quiet and repose--before she had begun to feel her life wanting and dull--Edith came down-stairs and resumed her usual part in the household; and Margaret fell into the old habit of watching, and admiring, and ministering to her cousin.	Captain Lennox was easy, kind, and gentlemanly; sate with his wife in her dressing room an hour or two every day; played with his little boy for another hour, and lounged away the rest of his time at his club, when he was not engaged out to dinner. Just before Margaret had recovered from her necessity for quiet and repose-before she had begun to feel her life wanting and dull-Edith came down stairs and resumed her usual part in the household; and Margaret fell into the old habit of watching, and admiring, and ministering to her cousin.	false	127.67	165.64	19.82006
1705_142318_000007_000009	She gladly took all charge of the semblances of duties off Edith's hands; answered notes, reminded her of engagements, tended her when no gaiety was in prospect, and she was consequently rather inclined to fancy herself ill.	She gladly took all charge of the semblances of duties off Edith's hands; answered notes, reminded her of engagements, tended her when no gaiety was in prospect, and she was consequently rather inclined to fancy herself ill.	true	166.28	183.13	19.341206
1705_142318_000007_000010	But all the rest of the family were in the full business of the London season, and Margaret was often left alone.	But all the rest of the family were in the full business of the London season, and Margaret was often left alone.	true	184.16	191.17	14
1705_142318_000007_000011	Then her thoughts went back to Milton, with a strange sense of the contrast between the life there, and here.	Then her thoughts went back to Milton, with a strange sense of the contrast between the life there, and here.	true	191.78	198.55	20.367752
1705_142318_000007_000012	She was getting surfeited of the eventless ease in which no struggle or endeavour was required.	She was getting surfeited of the eventless ease in which no struggle or endeavour was required.	true	199.34	205.21	16
1705_142318_000007_000013	She was afraid lest she should even become sleepily deadened into forgetfulness of anything beyond the life which was lapping her round with luxury.	She was afraid lest she should even become sleepily deadened into forgetfulness of anything beyond the life which was lapping her round with luxury.	true	205.73	215.38	15
