8080_3961_000004_000000	CHAPTER IX	CHAPTER nine
8080_3961_000005_000000	HOLLYHOCK	HOLLYHOCK
8080_3961_000006_000000	The Emperor has at last abdicated his throne, as he has long intended, in favor of the Heir-apparent, and the only child of the Princess Wistaria is made Heir-apparent to the new Emperor.	The Emperor has at last abdicated his throne, as he has long intended, in favor of the Heir apparent, and the only child of the Princess Wistaria is made Heir apparent to the new Emperor.
8080_3961_000007_000000	The ex-Emperor now lived in a private palace with this Princess in a less royal style; and the Niogo of Kokiden, to whom was given the honorary title of ex-Empress, resided in the Imperial Palace with the Emperor, her son, and took up a conspicuous position.	The ex Emperor now lived in a private palace with this Princess in a less royal style; and the Niogo of Kokiden, to whom was given the honorary title of ex Empress, resided in the Imperial Palace with the Emperor, her son, and took up a conspicuous position.
8080_3961_000007_000001	The ex-Emperor still felt some anxiety about the Heir-apparent, and appointed Genji as his guardian, as he had not yet a suitable person for that office.	The ex Emperor still felt some anxiety about the Heir apparent, and appointed Genji as his guardian, as he had not yet a suitable person for that office.
8080_3961_000008_000000	This change in the reigning Emperor, and the gradual advancement of Genji's position, gave the latter greater responsibility, and he had to restrain his wandering.	This change in the reigning Emperor, and the gradual advancement of Genji's position, gave the latter greater responsibility, and he had to restrain his wandering.
8080_3961_000011_000001	She was the favorite child of her mother as well as of her father, and the ceremonies for the day of consecration were arranged with especial splendor.	She was the favorite child of her mother as well as of her father, and the ceremonies for the day of consecration were arranged with especial splendor.
8080_3961_000011_000002	The number of persons who take a share in the procession on this occasion is defined by regulations; yet the selection of this number was most carefully made from the most fashionable of the nobles of the time, and their dresses and saddles were all chosen of beautiful appearance.	The number of persons who take a share in the procession on this occasion is defined by regulations; yet the selection of this number was most carefully made from the most fashionable of the nobles of the time, and their dresses and saddles were all chosen of beautiful appearance.
8080_3961_000011_000003	Genji was also directed by special order to take part in the ceremony.	Genji was also directed by special order to take part in the ceremony.
8080_3961_000012_000000	As the occasion was expected to be magnificent, every class of the people showed great eagerness to witness the scene, and a great number of stands were erected all along the road.	As the occasion was expected to be magnificent, every class of the people showed great eagerness to witness the scene, and a great number of stands were erected all along the road.
8080_3961_000012_000001	The day thus looked forward to at last arrived.	The day thus looked forward to at last arrived.
8080_3961_000013_000001	Her attendants, however, suggested to her that she ought to go.	Her attendants, however, suggested to her that she ought to go.
8080_3961_000013_000002	"It is a great pity," they said, "not to see it; people come from a long distance to see it." Her mother also said, "You seem better to-day.	"It is a great pity," they said, "not to see it; people come from a long distance to see it." Her mother also said, "You seem better to day.
8080_3961_000013_000003	I think you had better go. Take these girls with you."	I think you had better go. Take these girls with you."
8080_3961_000014_000000	Being pressed in this way, she hastily made up her mind, and went with a train of carriages.	Being pressed in this way, she hastily made up her mind, and went with a train of carriages.
8080_3961_000016_000000	The lady so maltreated was of course extremely indignant, and she would fain have gone home without seeing the spectacle, but there was no passage for retiring.	The lady so maltreated was of course extremely indignant, and she would fain have gone home without seeing the spectacle, but there was no passage for retiring.
8080_3961_000016_000001	Meanwhile the approach of the procession was announced, and only this calmed her a little.	Meanwhile the approach of the procession was announced, and only this calmed her a little.
8080_3961_000017_000001	There were several carriages along the roads on whose occupants his glance was cast; that of Lady Aoi, however, was the most striking, and as he passed by the attendants saluted him courteously, which act Genji acknowledged.	There were several carriages along the roads on whose occupants his glance was cast; that of Lady Aoi, however, was the most striking, and as he passed by the attendants saluted him courteously, which act Genji acknowledged.
8080_3961_000018_000000	In due course the procession passed, and the exciting scene of the day was over.	In due course the procession passed, and the exciting scene of the day was over.
8080_3961_000018_000001	The quarrels about the carriage naturally came to the ears of Genji.	The quarrels about the carriage naturally came to the ears of Genji.
8080_3961_000019_000000	He felt for the wounded lady, and hastened to see her; but she, under some pretext, refused to see him.	He felt for the wounded lady, and hastened to see her; but she, under some pretext, refused to see him.
8080_3961_000021_000002	It caused her great suffering, and seemed not to be of a casual nature, but a permanent hostile influence.	It caused her great suffering, and seemed not to be of a casual nature, but a permanent hostile influence.
8080_3961_000021_000003	Some imagined this to be the effect of fearful jealousy of some one who was intimately known to Genji and who had most influence over him; but the spirit gave no information to this effect.	Some imagined this to be the effect of fearful jealousy of some one who was intimately known to Genji and who had most influence over him; but the spirit gave no information to this effect.
8080_3961_000022_000000	This became stronger when she was told that the sufferings of the Lady Aoi were owing to some living spirit.	This became stronger when she was told that the sufferings of the Lady Aoi were owing to some living spirit.
