2494_156014_000000_000000	Authorized Edition	Authorized Edition	false	0	0.15	-20
2494_156014_000001_000000	New York	New York	false	0.15	0.3	-20
2494_156014_000002_000000	CONTENTS	CONTENTS	false	0.3	0.36	-20
2494_156014_000003_000000	THOUGHT AND CHARACTER	THOUGHT AND CHARACTER	false	0.36	0.96	20.861425
2494_156014_000004_000000	EFFECT OF THOUGHT ON CIRCUMSTANCES	EFFECT OF THOUGHT ON CIRCUMSTANCES	false	0.96	2.28	22.294237
2494_156014_000005_000000	EFFECT OF THOUGHT ON HEALTH AND THE BODY	EFFECT OF THOUGHT ON HEALTH AND THE BODY	false	2.28	2.94	9
2494_156014_000006_000000	THOUGHT AND PURPOSE	THOUGHT AND PURPOSE	false	2.94	3.18	9
2494_156014_000007_000000	THE THOUGHT-FACTOR IN ACHIEVEMENT	THE THOUGHT FACTOR IN ACHIEVEMENT	false	3.18	3.57	2
2494_156014_000008_000000	VISIONS AND IDEALS	VISIONS AND IDEALS	false	3.57	3.81	-20
2494_156014_000009_000000	SERENITY	SERENITY	false	3.81	3.9	7
2494_156014_000010_000000	FOREWORD	FOREWORD	false	3.9	3.975	-20
2494_156014_000011_000000	THIS little volume (the result of meditation and experience) is not intended as an exhaustive treatise on the much-written-upon subject of the power of thought.	THIS little volume (the result of meditation and experience) is not intended as an exhaustive treatise on the much written upon subject of the power of thought.	false	3.975	5.28	13
2494_156014_000011_000001	It is suggestive rather than explanatory, its object being to stimulate men and women to the discovery and perception of the truth that--	It is suggestive rather than explanatory, its object being to stimulate men and women to the discovery and perception of the truth that-	false	5.28	7.23	18.209305
2494_156014_000012_000000	"They themselves are makers of themselves."	"They themselves are makers of themselves."	false	7.23	7.71	3
2494_156014_000013_000000	by virtue of the thoughts, which they choose and encourage; that mind is the master-weaver, both of the inner garment of character and the outer garment of circumstance, and that, as they may have hitherto woven in ignorance and pain they may now weave in enlightenment and happiness.	by virtue of the thoughts, which they choose and encourage; that mind is the master weaver, both of the inner garment of character and the outer garment of circumstance, and that, as they may have hitherto woven in ignorance and pain they may now weave in enlightenment and happiness.	false	7.71	15.855	23.301193
2494_156014_000014_000000	JAMES ALLEN.	james ALLEN.	true	15.855	16.65	7
2494_156014_000015_000000	BROAD PARK AVENUE,	BROAD PARK AVENUE,	false	16.65	18.12	19.747875
2494_156014_000016_000000	ILFRACOMBE,	ILFRACOMBE,	false	18.12	18.63	12
2494_156014_000017_000000	ENGLAND	ENGLAND	false	18.63	19.11	7
2494_156014_000018_000000	AS A MAN THINKETH	AS A MAN THINKETH	false	19.11	21.105	20.402554
2494_156014_000019_000000	THOUGHT AND CHARACTER	THOUGHT AND CHARACTER	true	21.105	22.63	25.218945
2494_156014_000020_000000	THE aphorism, "As a man thinketh in his heart so is he," not only embraces the whole of a man's being, but is so comprehensive as to reach out to every condition and circumstance of his life.	THE aphorism, "As a man thinketh in his heart so is he," not only embraces the whole of a man's being, but is so comprehensive as to reach out to every condition and circumstance of his life.	false	23.36	36.4	23.00773
2494_156014_000020_000001	A man is literally _what he thinks,_ his character being the complete sum of all his thoughts.	A man is literally underscore what he thinks,underscore his character being the complete sum of all his thoughts.	false	37.22	43.3	21.318201
2494_156014_000021_000000	As the plant springs from, and could not be without, the seed, so every act of a man springs from the hidden seeds of thought, and could not have appeared without them.	As the plant springs from, and could not be without, the seed, so every act of a man springs from the hidden seeds of thought, and could not have appeared without them.	false	44.39	54.61	21.584139
2494_156014_000021_000001	This applies equally to those acts called "spontaneous" and "unpremeditated" as to those, which are deliberately executed.	This applies equally to those acts called "spontaneous" and "unpremeditated" as to those, which are deliberately executed.	true	55.19	62.92	19
2494_156014_000022_000000	Act is the blossom of thought, and joy and suffering are its fruits; thus does a man garner in the sweet and bitter fruitage of his own husbandry.	Act is the blossom of thought, and joy and suffering are its fruits; thus does a man garner in the sweet and bitter fruitage of his own husbandry.	true	64.16	73.93	21.02421
2494_156014_000023_000000	"Thought in the mind hath made us, What we are By thought was wrought and built.	"Thought in the mind hath made us, What we are By thought was wrought and built.	false	75.02	80.8	23.978931
2494_156014_000023_000001	If a man's mind Hath evil thoughts, pain comes on him as comes The wheel the ox behind....	If a man's mind Hath evil thoughts, pain comes on him as comes The wheel the ox behind....	true	81.17	87.19	17
2494_156014_000024_000000	..If one endure In purity of thought, joy follows him As his own shadow--sure."	..If one endure In purity of thought, joy follows him As his own shadow-sure."	true	87.77	94.06	20.897398
2494_156014_000025_000000	Man is a growth by law, and not a creation by artifice, and cause and effect is as absolute and undeviating in the hidden realm of thought as in the world of visible and material things.	Man is a growth by law, and not a creation by artifice, and cause and effect is as absolute and undeviating in the hidden realm of thought as in the world of visible and material things.	true	95.39	107.17	19
2494_156014_000025_000001	A noble and Godlike character is not a thing of favour or chance, but is the natural result of continued effort in right thinking, the effect of long-cherished association with Godlike thoughts.	A noble and Godlike character is not a thing of favour or chance, but is the natural result of continued effort in right thinking, the effect of long cherished association with Godlike thoughts.	true	107.96	121.18	23.245575
2494_156014_000025_000002	An ignoble and bestial character, by the same process, is the result of the continued harbouring of grovelling thoughts.	An ignoble and bestial character, by the same process, is the result of the continued harbouring of grovelling thoughts.	true	121.91	130.6	21.738335
2494_156014_000026_000000	Man is made or unmade by himself; in the armoury of thought he forges the weapons by which he destroys himself; he also fashions the tools with which he builds for himself heavenly mansions of joy and strength and peace.	Man is made or unmade by himself; in the armoury of thought he forges the weapons by which he destroys himself; he also fashions the tools with which he builds for himself heavenly mansions of joy and strength and peace.	true	131.45	147.1	21.491928
2494_156014_000026_000001	By the right choice and true application of thought, man ascends to the Divine Perfection; by the abuse and wrong application of thought, he descends below the level of the beast.	By the right choice and true application of thought, man ascends to the Divine Perfection; by the abuse and wrong application of thought, he descends below the level of the beast.	false	147.77	158.71	21.976622
2494_156014_000026_000002	Between these two extremes are all the grades of character, and man is their maker and master.	Between these two extremes are all the grades of character, and man is their maker and master.	true	159.29	165.1	21
2494_156014_000027_000000	Of all the beautiful truths pertaining to the soul which have been restored and brought to light in this age, none is more gladdening or fruitful of divine promise and confidence than this--that man is the master of thought, the moulder of character, and the maker and shaper of condition, environment, and destiny.	Of all the beautiful truths pertaining to the soul which have been restored and brought to light in this age, none is more gladdening or fruitful of divine promise and confidence than this-that man is the master of thought, the moulder of character, and the maker and shaper of condition, environment, and destiny.	true	166.46	184.36	22.648048
2494_156014_000028_000000	As a being of Power, Intelligence, and Love, and the lord of his own thoughts, man holds the key to every situation, and contains within himself that transforming and regenerative agency by which he may make himself what he wills.	As a being of Power, Intelligence, and Love, and the lord of his own thoughts, man holds the key to every situation, and contains within himself that transforming and regenerative agency by which he may make himself what he wills.	true	185.66	200.89	22.153515
