8758_296465_000000_000000	CHAPTER IX.	CHAPTER nine.	false	0.33	1.26	26.205849
8758_296465_000001_000000	Of Puss in Proverbs, in the Dark Ages, and in the Company of Wicked Old Women 159	Of Puss in proverbs, in the Dark Ages, and in the Company of Wicked Old Women one hundred fifty nine	false	1.26	3.27	30.754576
8758_296465_000002_000000	CHAPTER X.	CHAPTER ten	false	3.27	3.69	34.335632
8758_296465_000003_000000	Of a certain Voracious Cat, some Goblin Cats, Magical Cats, and Cats of Kilkenny 185	Of a certain Voracious Cat, some Goblin Cats, Magical Cats, and Cats of Kilkenny one hundred eighty five	false	3.69	6.21	19.89977
8758_296465_000004_000000	CHAPTER XI.	CHAPTER eleven.	false	6.21	6.48	28.003979
8758_296465_000005_000000	Of Pussy poorly, and of some Curiosities of the Cat's-meat Trade 207	Of Pussy poorly, and of some Curiosities of the Cat's meat Trade two hundred seven	false	6.48	9.51	25.066998
8758_296465_000006_000000	CHAPTER XII.	CHAPTER twelve.	false	9.51	10.17	9
8758_296465_000007_000000	Of Wild Cats, Cat Charming, etc.	Of Wild Cats, Cat Charming, etc	false	10.17	12.06	26.492931
8758_296465_000007_000001	229	two hundred twenty nine	false	12.06	13.35	23.173712
8758_296465_000008_000000	CHAPTER XIII.	CHAPTER thirteen.	false	13.35	13.98	25.59938
8758_296465_000009_000000	Conclusion 275	Conclusion two hundred seventy five	false	13.98	15.6	-5
8758_296465_000010_000000	THE BOOK OF CATS.	THE BOOK OF CATS.	true	15.6	16.53	32.01814
8758_296465_000011_000000	CHAPTER I.	CHAPTER one	false	16.53	18.15	24.378954
8758_296465_000012_000000	[Illustration: CHAPTER I.]	[Illustration: CHAPTER one]	false	18.15	19.47	27.02979
8758_296465_000013_000000	_Of the reason why this Book was written, and of several sorts of Cats which are not strictly Zoological._	underscore Of the reason why this Book was written, and of several sorts of Cats which are not strictly Zoological.underscore	false	19.47	27.03	31.450033
8758_296465_000014_000000	One day, ever so long ago, it struck me that I should like to try and write a book about Cats.	One day, ever so long ago, it struck me that I should like to try and write a book about Cats.	true	27.03	33.16	22.521236
8758_296465_000014_000001	I mentioned the idea to some of my friends: the first burst out laughing at the end of my opening sentence, so I refrained from entering into further details.	I mentioned the idea to some of my friends: the first burst out laughing at the end of my opening sentence, so I refrained from entering into further details.	true	33.71	42.16	28.197754
8758_296465_000014_000002	The second said there were a hundred books about Cats already.	The second said there were a hundred books about Cats already.	false	42.41	45.43	25.548409
8758_296465_000014_000003	The third said, "Nobody would read it," and added, "Besides, what do you know of the subject?" and before I had time to begin to tell him, said he expected it was very little.	The third said, "Nobody would read it," and added, "Besides, what do you know of the subject?" and before I had time to begin to tell him, said he expected it was very little.	true	45.86	56.77	27.652134
8758_296465_000014_000004	"Why not Dogs?" asked one friend of mine, hitting upon the notion as though by inspiration.	"Why not Dogs?" asked one friend of mine, hitting upon the notion as though by inspiration.	true	57.17	63.22	23.315554
8758_296465_000014_000005	"Or Horses," said some one else; "or Pigs; or, look here, this is the finest notion of all:--	"Or Horses," said some one else; "or Pigs; or, look here, this is the finest notion of all:--	false	63.74	69.81	26.800707
8758_296465_000015_000000	'THE BOOK OF DONKIES, BY ONE OF THE FAMILY!'"	'THE BOOK OF d o n k i e s, BY ONE OF THE FAMILY!'"	false	69.81	72.28	24.43844
8758_296465_000016_000000	Somewhat disheartened by the reception my little project had met with, I gave up the idea for awhile, and went to work upon other things.	Somewhat disheartened by the reception my little project had met with, I gave up the idea for awhile, and went to work upon other things.	true	72.71	81.28	23.992142
8758_296465_000016_000001	I cannot exactly remember what I did, or how much, but my book about Cats was postponed _sine die_, and in the meantime I made some inquiries.	I cannot exactly remember what I did, or how much, but my book about Cats was postponed underscore sine die underscore, and in the meantime I made some inquiries.	false	81.5	92.05	24.36226
8758_296465_000017_000000	I searched high and low; I consulted Lady Cust's little volume; I bought Mr. Beeton's book; I read up Buffon and Bell, and Frank Buckland; I eagerly perused the amusing pages of the Rev.	I searched high and low; I consulted Lady Cust's little volume; I bought mr Beeton's book; I read up Buffon and Bell, and Frank Buckland; I eagerly perused the amusing pages of the Rev.	false	92.39	105.12	23.102428
8758_296465_000017_000001	Mr. Wood; I looked through two or three hundred works of one sort and another, and as many old newspapers and odd numbers of defunct periodicals, and although I daresay I have overlooked some of the very best, I have really taken a great deal of trouble, and sincerely hope that I shall be able to amuse you by my version of what other people have had to tell, with a good many things which have not yet appeared in print, that I have to tell myself.	mr Wood; I looked through two or three hundred works of one sort and another, and as many old newspapers and odd numbers of defunct periodicals, and although I daresay I have overlooked some of the very best, I have really taken a great deal of trouble, and sincerely hope that I shall be able to amuse you by my version of what other people have had to tell, with a good many things which have not yet appeared in print, that I have to tell myself.	false	105.12	131.65	23.706308
8758_296465_000018_000000	One thing I found out very early in my researches, and that was, that nine out of ten among my authorities were prejudiced against the animal about which they wrote, and furthermore, that they knew very little indeed upon the subject.	One thing I found out very early in my researches, and that was, that nine out of ten among my authorities were prejudiced against the animal about which they wrote, and furthermore, that they knew very little indeed upon the subject.	false	132.17	145.87	23.3078
8758_296465_000018_000001	Take for instance our old friend Mavor, who thus mis-teaches the young idea in his celebrated Spelling Book.	Take for instance our old friend Mavor, who thus mis teaches the young idea in his celebrated Spelling Book.	false	146.24	152.44	26.312317
8758_296465_000018_000002	"Cats," says Mr. Mavor, "have less sense than dogs, and their attachment is chiefly to the house; but the dog's is to the persons who inhabit it." Need I tell the reader who has thought it worth his while to learn anything of the Cat's nature, that Mr. Mavor's was a vulgar and erroneous belief, and that there are countless instances on record where Cats have shown the most devoted and enduring attachment to those who have kindly treated them.	"Cats," says mr Mavor, "have less sense than dogs, and their attachment is chiefly to the house; but the dog's is to the persons who inhabit it." Need I tell the reader who has thought it worth his while to learn anything of the Cat's nature, that mr Mavor's was a vulgar and erroneous belief, and that there are countless instances on record where Cats have shown the most devoted and enduring attachment to those who have kindly treated them.	false	153.5	180.13	24.443247
8758_296465_000018_000003	Again, nothing can be more unjust than to call Cats cruel.	Again, nothing can be more unjust than to call Cats cruel.	true	180.65	184.38	25.731535
8758_296465_000018_000004	If such a word as cruel could be applied to a creature without reason, few animals could be found more cruel than a Robin Redbreast, which we have all determined to make a pet of since somebody wrote that pretty fable about the "Babes in the Wood." And apropos of the Robin, do you remember Canning's verses?	If such a word as cruel could be applied to a creature without reason, few animals could be found more cruel than a Robin Redbreast, which we have all determined to make a pet of since somebody wrote that pretty fable about the "Babes in the Wood." And apropos of the Robin, do you remember Canning's verses?	false	184.38	201.64	24.233326
