209_157830_000001_000000	Chapter 2	Chapter two
209_157830_000003_000000	Lady Russell was most anxiously zealous on the subject, and gave it much serious consideration.	Lady Russell was most anxiously zealous on the subject, and gave it much serious consideration.
209_157830_000003_000002	She was a benevolent, charitable, good woman, and capable of strong attachments, most correct in her conduct, strict in her notions of decorum, and with manners that were held a standard of good-breeding.	She was a benevolent, charitable, good woman, and capable of strong attachments, most correct in her conduct, strict in her notions of decorum, and with manners that were held a standard of good breeding.
209_157830_000003_000004	Herself the widow of only a knight, she gave the dignity of a baronet all its due; and Sir Walter, independent of his claims as an old acquaintance, an attentive neighbour, an obliging landlord, the husband of her very dear friend, the father of Anne and her sisters, was, as being Sir Walter, in her apprehension, entitled to a great deal of compassion and consideration under his present difficulties.	Herself the widow of only a knight, she gave the dignity of a baronet all its due; and Sir Walter, independent of his claims as an old acquaintance, an attentive neighbour, an obliging landlord, the husband of her very dear friend, the father of Anne and her sisters, was, as being Sir Walter, in her apprehension, entitled to a great deal of compassion and consideration under his present difficulties.
209_157830_000004_000000	They must retrench; that did not admit of a doubt.	They must retrench; that did not admit of a doubt.
209_157830_000004_000001	But she was very anxious to have it done with the least possible pain to him and Elizabeth.	But she was very anxious to have it done with the least possible pain to him and Elizabeth.
209_157830_000004_000002	She drew up plans of economy, she made exact calculations, and she did what nobody else thought of doing: she consulted Anne, who never seemed considered by the others as having any interest in the question.	She drew up plans of economy, she made exact calculations, and she did what nobody else thought of doing: she consulted Anne, who never seemed considered by the others as having any interest in the question.
209_157830_000004_000003	She consulted, and in a degree was influenced by her in marking out the scheme of retrenchment which was at last submitted to Sir Walter.	She consulted, and in a degree was influenced by her in marking out the scheme of retrenchment which was at last submitted to Sir Walter.
209_157830_000004_000005	She wanted more vigorous measures, a more complete reformation, a quicker release from debt, a much higher tone of indifference for everything but justice and equity.	She wanted more vigorous measures, a more complete reformation, a quicker release from debt, a much higher tone of indifference for everything but justice and equity.
209_157830_000005_000000	"If we can persuade your father to all this," said Lady Russell, looking over her paper, "much may be done.	"If we can persuade your father to all this," said Lady Russell, looking over her paper, "much may be done.
209_157830_000005_000002	What will he be doing, in fact, but what very many of our first families have done, or ought to do?	What will he be doing, in fact, but what very many of our first families have done, or ought to do?
209_157830_000005_000005	We must be serious and decided; for after all, the person who has contracted debts must pay them; and though a great deal is due to the feelings of the gentleman, and the head of a house, like your father, there is still more due to the character of an honest man."	We must be serious and decided; for after all, the person who has contracted debts must pay them; and though a great deal is due to the feelings of the gentleman, and the head of a house, like your father, there is still more due to the character of an honest man."
209_157830_000006_000000	This was the principle on which Anne wanted her father to be proceeding, his friends to be urging him.	This was the principle on which Anne wanted her father to be proceeding, his friends to be urging him.
209_157830_000006_000001	She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure, and saw no dignity in anything short of it.	She considered it as an act of indispensable duty to clear away the claims of creditors with all the expedition which the most comprehensive retrenchments could secure, and saw no dignity in anything short of it.
209_157830_000006_000002	She wanted it to be prescribed, and felt as a duty.	She wanted it to be prescribed, and felt as a duty.
209_157830_000006_000004	Her knowledge of her father and Elizabeth inclined her to think that the sacrifice of one pair of horses would be hardly less painful than of both, and so on, through the whole list of Lady Russell's too gentle reductions.	Her knowledge of her father and Elizabeth inclined her to think that the sacrifice of one pair of horses would be hardly less painful than of both, and so on, through the whole list of Lady Russell's too gentle reductions.
209_157830_000007_000000	How Anne's more rigid requisitions might have been taken is of little consequence.	How Anne's more rigid requisitions might have been taken is of little consequence.
209_157830_000007_000001	Lady Russell's had no success at all: could not be put up with, were not to be borne.	Lady Russell's had no success at all: could not be put up with, were not to be borne.
209_157830_000007_000002	"What! every comfort of life knocked off! Journeys, London, servants, horses, table--contractions and restrictions every where!	"What! every comfort of life knocked off! Journeys, London, servants, horses, table-contractions and restrictions every where!
209_157830_000007_000003	To live no longer with the decencies even of a private gentleman!	To live no longer with the decencies even of a private gentleman!
209_157830_000007_000004	No, he would sooner quit Kellynch Hall at once, than remain in it on such disgraceful terms."	No, he would sooner quit Kellynch Hall at once, than remain in it on such disgraceful terms."
209_157830_000008_000000	"Quit Kellynch Hall." The hint was immediately taken up by Mr Shepherd, whose interest was involved in the reality of Sir Walter's retrenching, and who was perfectly persuaded that nothing would be done without a change of abode.	"Quit Kellynch Hall." The hint was immediately taken up by Mr Shepherd, whose interest was involved in the reality of Sir Walter's retrenching, and who was perfectly persuaded that nothing would be done without a change of abode.
209_157830_000008_000001	"Since the idea had been started in the very quarter which ought to dictate, he had no scruple," he said, "in confessing his judgement to be entirely on that side.	"Since the idea had been started in the very quarter which ought to dictate, he had no scruple," he said, "in confessing his judgement to be entirely on that side.
209_157830_000008_000002	It did not appear to him that Sir Walter could materially alter his style of living in a house which had such a character of hospitality and ancient dignity to support.	It did not appear to him that Sir Walter could materially alter his style of living in a house which had such a character of hospitality and ancient dignity to support.
209_157830_000008_000003	In any other place Sir Walter might judge for himself; and would be looked up to, as regulating the modes of life in whatever way he might choose to model his household."	In any other place Sir Walter might judge for himself; and would be looked up to, as regulating the modes of life in whatever way he might choose to model his household."
