2758_86588_000000_000000	CHAPTER VIII.	CHAPTER eight.	false	0.69	1.92	28.577059
2758_86588_000001_000000	THE CONSTRUCTIVE FACULTIES.	THE CONSTRUCTIVE FACULTIES.	false	1.92	23.35	22.98154
2758_86588_000002_000000	"He who hath learned a single art, Can thrive, I ween, in any part." --_German Proverb_.	"He who hath learned a single art, Can thrive, I ween, in any part." --underscore German Proverb underscore.	false	25.46	35.76	23.186378
2758_86588_000003_000000	"He would have taught you how you might employ Yourself; and many did to him repair, And, certes, not in vain; he had inventions rare." --WORDSWORTH.	"He would have taught you how you might employ Yourself; and many did to him repair, And, certes, not in vain; he had inventions rare." --WORDSWORTH.	true	35.76	48.46	21.5565
2758_86588_000004_000000	When I had, after many years of study and research in England and on the Continent, developed the theory that all practical, technical education of youth should be preceded by a light or easy training on an aesthetic basis, or the minor arts, I for four years, to test the scheme, was engaged in teaching in the city of Philadelphia, every week in separate classes, two hundred children, besides a number of ladies.	When I had, after many years of study and research in England and on the Continent, developed the theory that all practical, technical education of youth should be preceded by a light or easy training on an aesthetic basis, or the minor arts, I for four years, to test the scheme, was engaged in teaching in the city of Philadelphia, every week in separate classes, two hundred children, besides a number of ladies.	true	50.24	80.35	22.559053
2758_86588_000004_000001	These were from the public schools of the city.	These were from the public schools of the city.	true	81.38	83.83	23.21271
2758_86588_000004_000002	The total number of these public pupils was then 110,000.	The total number of these public pupils was then one hundred ten thousand.	false	84.56	89.98	22.064737
2758_86588_000005_000000	My pupils were taught, firstly, simple outline decorative design with drawing at the same time; after this, according to sex, easy embroidery, wood carving, modeling in clay, leather-work, carpentering, inlaying, repousse modeling in clay, porcelain painting, and other small arts.	My pupils were taught, firstly, simple outline decorative design with drawing at the same time; after this, according to sex, easy embroidery, wood carving, modeling in clay, leather work, carpentering, inlaying, repousse modeling in clay, porcelain painting, and other small arts.	false	92.48	116.86	24.074642
2758_86588_000005_000001	Nearly all of the pupils, who were from ten to sixteen years of age, acquired two or three, if not all, of these arts, and then very easily found employment in factories or fabrics, etc.	Nearly all of the pupils, who were from ten to sixteen years of age, acquired two or three, if not all, of these arts, and then very easily found employment in factories or fabrics, etc	true	117.77	133.51	21.752007
2758_86588_000006_000000	Many people believed that this was all waste of money and time, and, quite unknown to me, at their instigation an inquiry was made of all the teachers in the public schools as to the standing of my art pupils in their other classes, it being confidently anticipated that they would be found to have fallen behind.	Many people believed that this was all waste of money and time, and, quite unknown to me, at their instigation an inquiry was made of all the teachers in the public schools as to the standing of my art pupils in their other classes, it being confidently anticipated that they would be found to have fallen behind.	true	133.79	154.69	21.279379
2758_86588_000006_000001	And the result of the investigation was that the two hundred were in advance of the one hundred and ten thousand in every branch--geography, arithmetic, history, and so on.	And the result of the investigation was that the two hundred were in advance of the one hundred and ten thousand in every branch-geography, arithmetic, history, and so on.	true	155.69	167.2	21.625635
2758_86588_000007_000000	It was not remarkable, because boys and girls who had, at an average age of twelve or thirteen, learned the principles of design and its practical application to several kinds of handiwork, and knew the differences and characteristics of Gothic, Arabesque, or Greek patterns, all developed a far greater intelligence in general thought and conversation than others.	It was not remarkable, because boys and girls who had, at an average age of twelve or thirteen, learned the principles of design and its practical application to several kinds of handiwork, and knew the differences and characteristics of Gothic, Arabesque, or Greek patterns, all developed a far greater intelligence in general thought and conversation than others.	true	168.83	193.15	22.006516
