7342_73961_000000_000000	CHAPTER X	CHAPTER ten	true	30.63	31.81	18
7342_73961_000001_000000	SEPTEMBER	SEPTEMBER	true	32.48	33.73	20
7342_73961_000002_000000	Sowing Sweet Peas -- Autumn-sown annuals -- Dahlias -- Worthless kinds -- Staking -- Planting the rock-garden -- Growing small plants in a wall -- The old wall -- Dry-walling -- How built -- How planted -- Hyssop -- A destructive storm -- Berries of Water-elder -- Beginning ground-work.	Sowing Sweet Peas -- Autumn sown annuals -- Dahlias -- Worthless kinds -- Staking -- Planting the rock garden -- Growing small plants in a wall -- The old wall -- Dry walling -- How built -- How planted -- Hyssop -- A destructive storm -- Berries of Water elder -- Beginning ground work.	true	35.27	72.28	17.99057
7342_73961_000003_000000	In the second week of September we sow Sweet Peas in shallow trenches. The flowers from these are larger and stronger and come in six weeks earlier than from those sown in the spring; they come too at a time when they are especially valuable for cutting.	In the second week of September we sow Sweet Peas in shallow trenches. The flowers from these are larger and stronger and come in six weeks earlier than from those sown in the spring; they come too at a time when they are especially valuable for cutting.	true	74.33	94.03	18
7342_73961_000003_000001	Many other hardy Annuals are best sown now.	Many other hardy Annuals are best sown now.	false	94.97	98.4	17
7342_73961_000003_000002	Some indeed, such as the lovely _Collinsia verna_ and the large white Iberis, only do well if autumn-sown.	Some indeed, such as the lovely underscore Collinsia verna underscore and the large white Iberis, only do well if autumn sown.	false	98.4	106.78	17
7342_73961_000003_000003	Among others, some of the most desirable are Nemophila, Platystemon, Love-in-a-Mist, Larkspurs, Pot Marigold, Virginian Stock, and the delightful Venus's Navel-wort (_Omphalodes linifolia_).	Among others, some of the most desirable are Nemophila, Platystemon, Love in a Mist, Larkspurs, Pot Marigold, Virginian Stock, and the delightful Venus's Navel wort (underscore Omphalodes linifolia underscore).	false	107.36	128.31	20.392073
7342_73961_000003_000004	I always think this daintily beautiful plant is undeservedly neglected, for how seldom one sees it. It is full of the most charming refinement, with its milk-white bloom and grey-blue leaf and neat habit of growth.	I always think this daintily beautiful plant is undeservedly neglected, for how seldom one sees it. It is full of the most charming refinement, with its milk white bloom and grey blue leaf and neat habit of growth.	false	128.31	145.81	19
7342_73961_000003_000005	Any one who has never before tried Annuals autumn-sown would be astonished at their vigour.	Any one who has never before tried Annuals autumn sown would be astonished at their vigour.	true	146.54	153.04	16
7342_73961_000003_000006	A single plant of Nemophila will often cover a square yard with its beautiful blue bloom; and then, what a gain it is to have these pretty things in full strength in spring and early summer, instead of waiting to have them in a much poorer state later in the year, when other flowers are in plenty.	A single plant of Nemophila will often cover a square yard with its beautiful blue bloom; and then, what a gain it is to have these pretty things in full strength in spring and early summer, instead of waiting to have them in a much poorer state later in the year, when other flowers are in plenty.	true	154.13	175.84	15
7342_73961_000004_000000	Hardy Poppies should be sown even earlier; August is the best time.	Hardy Poppies should be sown even earlier; August is the best time.	true	177.62	183.34	21
7342_73961_000005_000000	Dahlias are now at their full growth.	Dahlias are now at their full growth.	true	185.06	187.81	20.78263
7342_73961_000005_000001	To make a choice for one's own garden, one must see the whole plant growing.	To make a choice for one's own garden, one must see the whole plant growing.	true	188.36	193.75	16
7342_73961_000005_000002	As with many another kind of flower, nothing is more misleading than the evidence of the show-table, for many that there look the best, and are indeed lovely in form and colour as individual blooms, come from plants that are of no garden value.	As with many another kind of flower, nothing is more misleading than the evidence of the show table, for many that there look the best, and are indeed lovely in form and colour as individual blooms, come from plants that are of no garden value.	false	194.24	211.09	17
7342_73961_000005_000003	For however charming in humanity is the virtue modesty, and however becoming is the unobtrusive bearing that gives evidence of its possession, it is quite misplaced in a Dahlia.	For however charming in humanity is the virtue modesty, and however becoming is the unobtrusive bearing that gives evidence of its possession, it is quite misplaced in a Dahlia.	true	211.94	226	15
7342_73961_000005_000004	Here it becomes a vice, for the Dahlia's first duty in life is to flaunt and to swagger and to carry gorgeous blooms well above its leaves, and on no account to hang its head.	Here it becomes a vice, for the Dahlia's first duty in life is to flaunt and to swagger and to carry gorgeous blooms well above its leaves, and on no account to hang its head.	false	226.61	241.3	19
7342_73961_000005_000005	Some of the delicately-coloured kinds lately raised not only hang their heads, but also hide them away among masses of their coarse foliage, and are doubly frauds, looking everything that is desirable in the show, and proving worthless in the garden.	Some of the delicately coloured kinds lately raised not only hang their heads, but also hide them away among masses of their coarse foliage, and are doubly frauds, looking everything that is desirable in the show, and proving worthless in the garden.	true	242.45	260.05	14
