4744_4158_000001_000000	TRUTH STRANGER THAN FICTION	TRUTH STRANGER THAN FICTION
4744_4158_000002_000000	"Is the poor privilege to turn the key Upon the captive, freedom?	"Is the poor privilege to turn the key Upon the captive, freedom?
4744_4158_000002_000001	He's as far From the enjoyment of the earth and air Who watches o'er the chains, as they who wear."	He's as far From the enjoyment of the earth and air Who watches o'er the chains, as they who wear."
4744_4158_000003_000001	The inhabitants of New Orleans look with as much certainty for the appearance of the yellow-fever, small-pox, or cholera, in the hot season, as the Londoner does for fog in the month of November.	The inhabitants of New Orleans look with as much certainty for the appearance of the yellow fever, small pox, or cholera, in the hot season, as the Londoner does for fog in the month of November.
4744_4158_000003_000002	In the summer of 1831, the people of New Orleans were visited with one of these epidemics.	In the summer of eighteen thirty one, the people of New Orleans were visited with one of these epidemics.
4744_4158_000003_000003	It appeared in a form unusually repulsive and deadly.	It appeared in a form unusually repulsive and deadly.
4744_4158_000003_000004	It seized persons who were in health, without any premonition.	It seized persons who were in health, without any premonition.
4744_4158_000003_000005	Sometimes death was the immediate consequence.	Sometimes death was the immediate consequence.
4744_4158_000003_000006	The disorder began in the brain, by an oppressive pain accompanied or followed by fever.	The disorder began in the brain, by an oppressive pain accompanied or followed by fever.
4744_4158_000003_000007	The patient was devoured with burning thirst. The stomach, distracted by pains, in vain sought relief in efforts to disburden itself.	The patient was devoured with burning thirst. The stomach, distracted by pains, in vain sought relief in efforts to disburden itself.
4744_4158_000003_000008	Fiery veins streaked the eye; the face was inflamed, and dyed of a dark dull red colour; the ears from time to time rang painfully.	Fiery veins streaked the eye; the face was inflamed, and dyed of a dark dull red colour; the ears from time to time rang painfully.
4744_4158_000003_000009	Now mucous secretions surcharged the tongue, and took away the power of speech; now the sick one spoke, but in speaking had a foresight of death.	Now mucous secretions surcharged the tongue, and took away the power of speech; now the sick one spoke, but in speaking had a foresight of death.
4744_4158_000003_000012	The progress of the heat within was marked by yellowish spots, which spread over the surface of the body.	The progress of the heat within was marked by yellowish spots, which spread over the surface of the body.
4744_4158_000003_000013	If, then, a happy crisis came not, all hope was gone.	If, then, a happy crisis came not, all hope was gone.
4744_4158_000003_000014	Soon the breath infected the air with a fetid odour, the lips were glazed, despair painted itself in the eyes, and sobs, with long intervals of silence, formed the only language.	Soon the breath infected the air with a fetid odour, the lips were glazed, despair painted itself in the eyes, and sobs, with long intervals of silence, formed the only language.
4744_4158_000003_000015	From each side of the mouth spread foam, tinged with black and burnt blood.	From each side of the mouth spread foam, tinged with black and burnt blood.
4744_4158_000003_000017	This was the Yellow Fever.	This was the Yellow Fever.
4744_4158_000003_000019	On an average, more than 400 died daily.	On an average, more than four hundred died daily.
4744_4158_000003_000020	In the midst of disorder and confusion, death heaped victims on victims.	In the midst of disorder and confusion, death heaped victims on victims.
4744_4158_000003_000021	Friend followed friend in quick succession.	Friend followed friend in quick succession.
4744_4158_000003_000022	The sick were avoided from the fear of contagion, and for the same reason the dead were left unburied.	The sick were avoided from the fear of contagion, and for the same reason the dead were left unburied.
4744_4158_000003_000023	Nearly 2000 dead bodies lay uncovered in the burial-ground, with only here and there a little lime thrown over them, to prevent the air becoming infected.	Nearly two thousand dead bodies lay uncovered in the burial ground, with only here and there a little lime thrown over them, to prevent the air becoming infected.
4744_4158_000004_000002	Like too many, Morton had been dealing extensively in lands and stocks; and though apparently in good circumstances was, in reality, deeply involved in debt. Althesa, although as white as most white women in a southern clime, was, as we already know, born a slave.	Like too many, Morton had been dealing extensively in lands and stocks; and though apparently in good circumstances was, in reality, deeply involved in debt. Althesa, although as white as most white women in a southern clime, was, as we already know, born a slave.
4744_4158_000004_000007	Yet such was the fact.	Yet such was the fact.
4744_4158_000004_000010	The girls themselves had never heard that their mother had been a slave, and therefore knew nothing of the danger hanging over their heads.	The girls themselves had never heard that their mother had been a slave, and therefore knew nothing of the danger hanging over their heads.
4744_4158_000004_000011	An inventory of the property was made out by James Morton, and placed in the hands of the creditors; and the young ladies, with their uncle, were about leaving the city to reside for a few days on the banks of Lake Pontchartrain, where they could enjoy a fresh air that the city could not afford.	An inventory of the property was made out by james Morton, and placed in the hands of the creditors; and the young ladies, with their uncle, were about leaving the city to reside for a few days on the banks of Lake Pontchartrain, where they could enjoy a fresh air that the city could not afford.
4744_4158_000004_000012	But just as they were about taking the train, an officer arrested the whole party; the young ladies as slaves, and the uncle upon the charge of attempting to conceal the property of his deceased brother.	But just as they were about taking the train, an officer arrested the whole party; the young ladies as slaves, and the uncle upon the charge of attempting to conceal the property of his deceased brother.
4744_4158_000004_000013	Morton was overwhelmed with horror at the idea of his nieces being claimed as slaves, and asked for time, that he might save them from such a fate.	Morton was overwhelmed with horror at the idea of his nieces being claimed as slaves, and asked for time, that he might save them from such a fate.
4744_4158_000004_000014	He even offered to mortgage his little farm in Vermont for the amount which young slave women of their ages would fetch.	He even offered to mortgage his little farm in Vermont for the amount which young slave women of their ages would fetch.
4744_4158_000004_000015	But the creditors pleaded that they were "an extra article," and would sell for more than common slaves; and must, therefore, be sold at auction.	But the creditors pleaded that they were "an extra article," and would sell for more than common slaves; and must, therefore, be sold at auction.
4744_4158_000004_000016	They were given up, but neither ate nor slept, nor separated from each other, till they were taken into the New Orleans slave market, where they were offered to the highest bidder.	They were given up, but neither ate nor slept, nor separated from each other, till they were taken into the New Orleans slave market, where they were offered to the highest bidder.
4744_4158_000005_000001	We need not add that had those young girls been sold for mere house servants or field hands, they would not have brought one half the sums they did.	We need not add that had those young girls been sold for mere house servants or field hands, they would not have brought one half the sums they did.
4744_4158_000005_000003	Ellen, the eldest, was sold to an old gentleman, who purchased her, as he said, for a housekeeper.	Ellen, the eldest, was sold to an old gentleman, who purchased her, as he said, for a housekeeper.
4744_4158_000005_000007	She had taken poison.	She had taken poison.
4744_4158_000005_000008	Jane was purchased by a dashing young man, who had just come into the possession of a large fortune.	Jane was purchased by a dashing young man, who had just come into the possession of a large fortune.
