5092_28462_000001_000000	Chapter V	Chapter five
5092_28462_000003_000002	The main object of the missionaries was to ascertain the spiritual wants of the warlike Chilcat tribe, with a view to the establishment of a church and school in their principal village; the merchant and his party were bent on business and scenery; while my mind was on the mountains, glaciers, and forests.	The main object of the missionaries was to ascertain the spiritual wants of the warlike Chilcat tribe, with a view to the establishment of a church and school in their principal village; the merchant and his party were bent on business and scenery; while my mind was on the mountains, glaciers, and forests.
5092_28462_000006_000001	Every face glowed with natural love of wild beauty.	Every face glowed with natural love of wild beauty.
5092_28462_000006_000003	But every eye was turned to the mountains. Forgotten now were the Chilcats and missions while the word of God was being read in these majestic hieroglyphics blazoned along the sky.	But every eye was turned to the mountains. Forgotten now were the Chilcats and missions while the word of God was being read in these majestic hieroglyphics blazoned along the sky.
5092_28462_000006_000004	The earnest, childish wonderment with which this glorious page of Nature's Bible was contemplated was delightful to see.	The earnest, childish wonderment with which this glorious page of Nature's Bible was contemplated was delightful to see.
5092_28462_000006_000005	All evinced eager desire to learn.	All evinced eager desire to learn.
5092_28462_000007_000000	"Is that a glacier," they asked, "down in that canyon?	"Is that a glacier," they asked, "down in that canyon?
5092_28462_000008_000000	"Yes."	"Yes."
5092_28462_000009_000000	"How deep is it?"	"How deep is it?"
5092_28462_000011_000000	"You say it flows.	"You say it flows.
5092_28462_000012_000000	"It flows like water, though invisibly slow."	"It flows like water, though invisibly slow."
5092_28462_000014_000000	"From snow that is heaped up every winter on the mountains."	"From snow that is heaped up every winter on the mountains."
5092_28462_000015_000000	"And how, then, is the snow changed into ice?"	"And how, then, is the snow changed into ice?"
5092_28462_000018_000000	"Yes."	"Yes."
5092_28462_000019_000000	"Are those bluish draggled masses hanging down from beneath the snow-fields what you call the snouts of the glaciers?"	"Are those bluish draggled masses hanging down from beneath the snow fields what you call the snouts of the glaciers?"
5092_28462_000020_000000	"Yes."	"Yes."
5092_28462_000022_000000	"The glaciers themselves, just as traveling animals make their own tracks."	"The glaciers themselves, just as traveling animals make their own tracks."
5092_28462_000023_000000	"How long have they been there?"	"How long have they been there?"
5092_28462_000024_000000	"Numberless centuries," etc.	"Numberless centuries," etc
5092_28462_000025_000000	About the middle of the afternoon we were directly opposite a noble group of glaciers some ten in number, flowing from a chain of crater-like snow fountains, guarded around their summits and well down their sides by jagged peaks and cols and curving mural ridges. From each of the larger clusters of fountains, a wide, sheer-walled canyon opens down to the sea.	About the middle of the afternoon we were directly opposite a noble group of glaciers some ten in number, flowing from a chain of crater like snow fountains, guarded around their summits and well down their sides by jagged peaks and cols and curving mural ridges. From each of the larger clusters of fountains, a wide, sheer walled canyon opens down to the sea.
5092_28462_000025_000003	It was to this glacier that the ships of the Alaska Ice Company resorted for the ice they carried to San Francisco and the Sandwich Islands, and, I believe, also to China and Japan.	It was to this glacier that the ships of the Alaska Ice Company resorted for the ice they carried to San Francisco and the Sandwich Islands, and, I believe, also to China and Japan.
5092_28462_000025_000004	To load, they had only to sail up the fiord within a short distance of the front and drop anchor in the terminal moraine.	To load, they had only to sail up the fiord within a short distance of the front and drop anchor in the terminal moraine.
5092_28462_000027_000003	The captain repeatedly called for more steam, which the engineer refused to furnish, cautiously keeping the pressure low because the salt water foamed in the boilers and some of it passed over into the cylinders, causing heavy thumping at the end of each piston stroke, and threatening to knock out the cylinder-heads.	The captain repeatedly called for more steam, which the engineer refused to furnish, cautiously keeping the pressure low because the salt water foamed in the boilers and some of it passed over into the cylinders, causing heavy thumping at the end of each piston stroke, and threatening to knock out the cylinder heads.
5092_28462_000027_000005	In the discussions that followed much indignation and economy were brought to light.	In the discussions that followed much indignation and economy were brought to light.
5092_28462_000027_000007	But at the present rate of speed it was found that the cost of the trip for each passenger would be five or ten dollars above the first estimate.	But at the present rate of speed it was found that the cost of the trip for each passenger would be five or ten dollars above the first estimate.
5092_28462_000028_000002	The tide was low, exposing a luxuriant growth of algae, which sent up a fine, fresh sea smell.	The tide was low, exposing a luxuriant growth of algae, which sent up a fine, fresh sea smell.
5092_28462_000028_000003	The shingle was composed of slate, quartz, and granite, named in the order of abundance.	The shingle was composed of slate, quartz, and granite, named in the order of abundance.
