5092_28462_000000_000000	In his mission lectures in the East, Mr. Young oftentimes told this story.	In his mission lectures in the East, mr Young oftentimes told this story.	false	0	5.91	19.531702
5092_28462_000000_000001	I made no record of it in my notebook and never intended to write a word about it; but after a miserable, sensational caricature of the story had appeared in a respectable magazine, I thought it but fair to my brave companion that it should be told just as it happened.	I made no record of it in my notebook and never intended to write a word about it; but after a miserable, sensational caricature of the story had appeared in a respectable magazine, I thought it but fair to my brave companion that it should be told just as it happened.	false	5.91	22.425	21.473375
5092_28462_000001_000000	Chapter V	Chapter five	true	22.425	23.56	26.419535
5092_28462_000002_000000	A Cruise in the Cassiar	A Cruise in the Cassiar	false	23.81	28.05	18.177645
5092_28462_000003_000000	Shortly after our return to Wrangell the missionaries planned a grand mission excursion up the coast of the mainland to the Chilcat country, which I gladly joined, together with Mr. Vanderbilt, his wife, and a friend from Oregon.	Shortly after our return to Wrangell the missionaries planned a grand mission excursion up the coast of the mainland to the Chilcat country, which I gladly joined, together with mr Vanderbilt, his wife, and a friend from Oregon.	false	28.05	42.76	22.258957
5092_28462_000003_000001	The river steamer Cassiar was chartered, and we had her all to ourselves, ship and officers at our command to sail and stop where and when we would, and of course everybody felt important and hopeful.	The river steamer Cassiar was chartered, and we had her all to ourselves, ship and officers at our command to sail and stop where and when we would, and of course everybody felt important and hopeful.	false	43.67	58.51	22.130798
5092_28462_000003_000002	The main object of the missionaries was to ascertain the spiritual wants of the warlike Chilcat tribe, with a view to the establishment of a church and school in their principal village; the merchant and his party were bent on business and scenery; while my mind was on the mountains, glaciers, and forests.	The main object of the missionaries was to ascertain the spiritual wants of the warlike Chilcat tribe, with a view to the establishment of a church and school in their principal village; the merchant and his party were bent on business and scenery; while my mind was on the mountains, glaciers, and forests.	true	58.94	78.94	21.163555
5092_28462_000004_000000	This was toward the end of July, in the very brightest and best of Alaska summer weather, when the icy mountains towering in the pearly sky were displayed in all their glory, and the islands at their feet seemed to float and drowse on the shining mirror waters.	This was toward the end of July, in the very brightest and best of Alaska summer weather, when the icy mountains towering in the pearly sky were displayed in all their glory, and the islands at their feet seemed to float and drowse on the shining mirror waters.	false	79.13	94.3	19.725891
5092_28462_000005_000000	After we had passed through the Wrangell Narrows, the mountains of the mainland came in full view, gloriously arrayed in snow and ice, some of the largest and most river-like of the glaciers flowing through wide, high-walled valleys like Yosemite, their sources far back and concealed, others in plain sight, from their highest fountains to the level of the sea.	After we had passed through the Wrangell Narrows, the mountains of the mainland came in full view, gloriously arrayed in snow and ice, some of the largest and most river like of the glaciers flowing through wide, high walled valleys like Yosemite, their sources far back and concealed, others in plain sight, from their highest fountains to the level of the sea.	false	94.61	115.51	20.429213
5092_28462_000006_000000	Cares of every kind were quickly forgotten, and though the Cassiar engines soon began to wheeze and sigh with doleful solemnity, suggesting coming trouble, we were too happy to mind them.	Cares of every kind were quickly forgotten, and though the Cassiar engines soon began to wheeze and sigh with doleful solemnity, suggesting coming trouble, we were too happy to mind them.	true	115.76	126.58	19.5218
5092_28462_000006_000001	Every face glowed with natural love of wild beauty.	Every face glowed with natural love of wild beauty.	true	126.98	130.65	21.474483
5092_28462_000006_000002	The islands were seen in long perspective, their forests dark green in the foreground, with varying tones of blue growing more and more tender in the distance; bays full of hazy shadows, graduating into open, silvery fields of light, and lofty headlands with fine arching insteps dipping their feet in the shining water.	The islands were seen in long perspective, their forests dark green in the foreground, with varying tones of blue growing more and more tender in the distance; bays full of hazy shadows, graduating into open, silvery fields of light, and lofty headlands with fine arching insteps dipping their feet in the shining water.	false	130.65	152.41	17.80977
5092_28462_000006_000003	But every eye was turned to the mountains. Forgotten now were the Chilcats and missions while the word of God was being read in these majestic hieroglyphics blazoned along the sky.	But every eye was turned to the mountains. Forgotten now were the Chilcats and missions while the word of God was being read in these majestic hieroglyphics blazoned along the sky.	true	152.78	164.5	21.256308
5092_28462_000006_000004	The earnest, childish wonderment with which this glorious page of Nature's Bible was contemplated was delightful to see.	The earnest, childish wonderment with which this glorious page of Nature's Bible was contemplated was delightful to see.	true	164.81	172.6	21.51154
5092_28462_000006_000005	All evinced eager desire to learn.	All evinced eager desire to learn.	true	172.79	175.81	22.02227
5092_28462_000007_000000	"Is that a glacier," they asked, "down in that canyon?	"Is that a glacier," they asked, "down in that canyon?	true	176.03	179.2	24.048918
5092_28462_000007_000001	And is it all solid ice?"	And is it all solid ice?"	true	179.84	181.63	19.826397
5092_28462_000008_000000	"Yes."	"Yes."	true	182.12	182.89	24.186462
5092_28462_000009_000000	"How deep is it?"	"How deep is it?"	true	183.11	184.18	24.727026
5092_28462_000010_000000	"Perhaps five hundred or a thousand feet."	"Perhaps five hundred or a thousand feet."	true	184.79	187.27	17.846891
5092_28462_000011_000000	"You say it flows.	"You say it flows.	true	187.46	188.77	24.622751
5092_28462_000011_000001	How can hard ice flow?"	How can hard ice flow?"	true	188.96	190.72	18.792307
5092_28462_000012_000000	"It flows like water, though invisibly slow."	"It flows like water, though invisibly slow."	true	191.33	194.19	20.468855
5092_28462_000013_000000	"And where does it come from?"	"And where does it come from?"	false	194.19	196.09	22.366863
5092_28462_000014_000000	"From snow that is heaped up every winter on the mountains."	"From snow that is heaped up every winter on the mountains."	true	196.55	200.44	22.392197
5092_28462_000015_000000	"And how, then, is the snow changed into ice?"	"And how, then, is the snow changed into ice?"	true	200.96	204.37	22.372347
5092_28462_000016_000000	"It is welded by the pressure of its own weight."	"It is welded by the pressure of its own weight."	true	205.04	207.43	19.975737
5092_28462_000017_000000	"Are these white masses we see in the hollows glaciers also?"	"Are these white masses we see in the hollows glaciers also?"	true	208.34	211.84	19.847662
5092_28462_000018_000000	"Yes."	"Yes."	true	212.42	213.1	24.909594
5092_28462_000019_000000	"Are those bluish draggled masses hanging down from beneath the snow-fields what you call the snouts of the glaciers?"	"Are those bluish draggled masses hanging down from beneath the snow fields what you call the snouts of the glaciers?"	true	213.74	220.42	21.18954
5092_28462_000020_000000	"Yes."	"Yes."	true	220.67	221.35	23.983915
5092_28462_000021_000000	"What made the hollows they are in?"	"What made the hollows they are in?"	false	221.78	224.28	18.174463
5092_28462_000022_000000	"The glaciers themselves, just as traveling animals make their own tracks."	"The glaciers themselves, just as traveling animals make their own tracks."	true	224.28	228.4	22.683979
5092_28462_000023_000000	"How long have they been there?"	"How long have they been there?"	true	229.25	230.74	20.16976
5092_28462_000024_000000	"Numberless centuries," etc.	"Numberless centuries," etc	true	231.65	234.16	20.650919
5092_28462_000024_000001	I answered as best I could, keeping up a running commentary on the subject in general, while busily engaged in sketching and noting my own observations, preaching glacial gospel in a rambling way, while the Cassiar, slowly wheezing and creeping along the shore, shifted our position so that the icy canyons were opened to view and closed again in regular succession, like the leaves of a book.	I answered as best I could, keeping up a running commentary on the subject in general, while busily engaged in sketching and noting my own observations, preaching glacial gospel in a rambling way, while the Cassiar, slowly wheezing and creeping along the shore, shifted our position so that the icy canyons were opened to view and closed again in regular succession, like the leaves of a book.	false	234.44	262.425	20.733276
5092_28462_000025_000000	About the middle of the afternoon we were directly opposite a noble group of glaciers some ten in number, flowing from a chain of crater-like snow fountains, guarded around their summits and well down their sides by jagged peaks and cols and curving mural ridges. From each of the larger clusters of fountains, a wide, sheer-walled canyon opens down to the sea.	About the middle of the afternoon we were directly opposite a noble group of glaciers some ten in number, flowing from a chain of crater like snow fountains, guarded around their summits and well down their sides by jagged peaks and cols and curving mural ridges. From each of the larger clusters of fountains, a wide, sheer walled canyon opens down to the sea.	true	262.425	284.62	20.165043
5092_28462_000025_000001	Three of the trunk glaciers descend to within a few feet of the sea-level.	Three of the trunk glaciers descend to within a few feet of the sea-level.	true	285.02	289.15	19.70929
5092_28462_000025_000002	The largest of the three, probably about fifteen miles long, terminates in a magnificent valley like Yosemite, in an imposing wall of ice about two miles long, and from three to five hundred feet high, forming a barrier across the valley from wall to wall.	The largest of the three, probably about fifteen miles long, terminates in a magnificent valley like Yosemite, in an imposing wall of ice about two miles long, and from three to five hundred feet high, forming a barrier across the valley from wall to wall.	false	289.37	305.98	20.365181
