3584_74477_000000_000000	DOLLY'S LESSON.	DOLLY'S LESSON.
3584_74477_000001_000000	"What is presence of mind, any way?" demanded little Dolly Ware, as she sat, surrounded by her family, watching the sunset.	"What is presence of mind, any way?" demanded little Dolly Ware, as she sat, surrounded by her family, watching the sunset.
3584_74477_000002_000000	The sunset hour is best of all the twenty-four in Nantucket.	The sunset hour is best of all the twenty four in Nantucket.
3584_74477_000002_000001	At no other time is the sea so blue and silvery, or the streaks of purple and pale green which mark the place of the sand-spits and shallows that underlie the island waters so defined, or of such charming colors.	At no other time is the sea so blue and silvery, or the streaks of purple and pale green which mark the place of the sand spits and shallows that underlie the island waters so defined, or of such charming colors.
3584_74477_000002_000002	The wind blows across softly from the south shore, and brings with it scents of heath and thyme, caught from the high upland moors above the town.	The wind blows across softly from the south shore, and brings with it scents of heath and thyme, caught from the high upland moors above the town.
3584_74477_000002_000003	The sun dips down, and sends a flash of glory to the zenith; and small pink clouds curl up about the rising moon, fondle her, as it were, and seem to love her.	The sun dips down, and sends a flash of glory to the zenith; and small pink clouds curl up about the rising moon, fondle her, as it were, and seem to love her.
3584_74477_000002_000004	It is a delightful moment, and all Nantucket dwellers learn to watch for it.	It is a delightful moment, and all Nantucket dwellers learn to watch for it.
3584_74477_000003_000001	It was the hour when jokes were cracked and questions asked, and when Mamma, who was apt to be pretty busy during the daytime, had leisure to answer them.	It was the hour when jokes were cracked and questions asked, and when Mamma, who was apt to be pretty busy during the daytime, had leisure to answer them.
3584_74477_000004_000000	Dolly was youngest of the family,--a thin, wiry child, tall for her years, with a brown bang lying like a thatch over a pair of bright inquisitive eyes, and a thick pig-tail braided down her back.	Dolly was youngest of the family,--a thin, wiry child, tall for her years, with a brown bang lying like a thatch over a pair of bright inquisitive eyes, and a thick pig tail braided down her back.
3584_74477_000004_000001	Phyllis, the next in age, was short and fat; then came Harry, then Erma, just sixteen (named after a German great-grandmother), and, last of all, Jack, tallest and jolliest of the group, who had just "passed his preliminaries," and would enter college next year.	Phyllis, the next in age, was short and fat; then came Harry, then Erma, just sixteen (named after a German great grandmother), and, last of all, Jack, tallest and jolliest of the group, who had just "passed his preliminaries," and would enter college next year.
3584_74477_000004_000002	Mrs. Ware might be excused for the little air of motherly pride with which she gazed at her five.	mrs Ware might be excused for the little air of motherly pride with which she gazed at her five.
3584_74477_000004_000003	They were fine children, all of them,--frank, affectionate, generous, with bright minds and healthy bodies.	They were fine children, all of them,--frank, affectionate, generous, with bright minds and healthy bodies.
3584_74477_000005_000000	"Presence of mind sometimes means absence of body," remarked Jack, in answer to Dolly's question.	"Presence of mind sometimes means absence of body," remarked Jack, in answer to Dolly's question.
3584_74477_000006_000000	"I was speaking to Mamma," said Dolly, with dignity.	"I was speaking to Mamma," said Dolly, with dignity.
3584_74477_000006_000001	"I wasn't asking you."	"I wasn't asking you."
3584_74477_000007_000000	"I am aware of the fact, but I overlooked the formality, for once.	"I am aware of the fact, but I overlooked the formality, for once.
3584_74477_000007_000001	What makes you want to know, midget?"	What makes you want to know, midget?"
3584_74477_000008_000000	"There was a story in the paper about a girl who hid the kerosene can when the new cook came, and it said she showed true presence of mind," replied Dolly.	"There was a story in the paper about a girl who hid the kerosene can when the new cook came, and it said she showed true presence of mind," replied Dolly.
3584_74477_000009_000000	"Oh, that was only fun!	"Oh, that was only fun!
3584_74477_000009_000001	It didn't mean anything."	It didn't mean anything."
3584_74477_000010_000000	"Isn't there any such thing, then?"	"Isn't there any such thing, then?"
3584_74477_000011_000000	"Why, of course there is.	"Why, of course there is.
