4145_14013_000002_000000	VOLTAIRE.	VOLTAIRE.
4145_14013_000003_000001	Her Grace had issued cards for a concert; and after mature deliberation it was decided that her rival should strike out something new, and announce a christening for the same night.	Her Grace had issued cards for a concert; and after mature deliberation it was decided that her rival should strike out something new, and announce a christening for the same night.
4145_14013_000004_000002	In the utmost delight the fond mother drove away to consult her confidants upon the name and decorations of the child, whom she had not even looked at for many days.	In the utmost delight the fond mother drove away to consult her confidants upon the name and decorations of the child, whom she had not even looked at for many days.
4145_14013_000005_000000	Everything succeeded to admiration.	Everything succeeded to admiration.
4145_14013_000007_000000	Lady Juliana glanced over the first line of the letter, then looked at the signature, resolved to read the rest as soon as she should have time to answer it; and in the meantime tossed it into a drawer, amongst old visiting cards and unpaid bills.	Lady Juliana glanced over the first line of the letter, then looked at the signature, resolved to read the rest as soon as she should have time to answer it; and in the meantime tossed it into a drawer, amongst old visiting cards and unpaid bills.
4145_14013_000008_000000	After vainly waiting for an answer, much beyond the accustomed time when children are baptized, Mrs. Douglas could no longer refuse to accede to the desires of the venerable inmates of Glenfern; and about a month before her favoured sister received her more elegant appellations, the neglected twin was baptized by the name of Mary.	After vainly waiting for an answer, much beyond the accustomed time when children are baptized, mrs Douglas could no longer refuse to accede to the desires of the venerable inmates of Glenfern; and about a month before her favoured sister received her more elegant appellations, the neglected twin was baptized by the name of Mary.
4145_14013_000009_000000	Mrs. Douglas's letter had been enclosed in the following one from Miss Grizzy, and as it had not the good fortune to be perused by the person to whom it was addressed, we deem it but justice to the writer to insert it here:--	mrs Douglas's letter had been enclosed in the following one from Miss Grizzy, and as it had not the good fortune to be perused by the person to whom it was addressed, we deem it but justice to the writer to insert it here:--
4145_14013_000011_000000	"My DEAREST NIECE, LADY JULIANA--I am Certain, as indeed we all are, that it will Afford your Ladyship and our dear Nephew the greatest Pleasure to see this letter Franked by our Worthy and Respectable Friend Sir Sampson Maclaughlan, Bart., especially as it is the First he has ever franked; out of compliment to you, as I assure you he admires you excessively, as indeed we all do.	"My DEAREST NIECE, LADY JULIANA-I am Certain, as indeed we all are, that it will Afford your Ladyship and our dear Nephew the greatest Pleasure to see this letter Franked by our Worthy and Respectable Friend Sir Sampson Maclaughlan, Bart., especially as it is the First he has ever franked; out of compliment to you, as I assure you he admires you excessively, as indeed we all do.
4145_14013_000011_000001	At the same Time, you will of course, I am sure, Sympathise with us all in the distress Occasioned by the melancholy Death of our late Most Obliging Member, Duncan M'Dunsmuir, Esquire, of Dhunacrag and Auchnagoil, who you never have had the Pleasure of seeing.	At the same Time, you will of course, I am sure, Sympathise with us all in the distress Occasioned by the melancholy Death of our late Most Obliging Member, Duncan M'Dunsmuir, Esquire, of Dhunacrag and Auchnagoil, who you never have had the Pleasure of seeing.
4145_14013_000011_000003	This ought to be a warning to all Young people to take care of Wet feet, and Especially eating Raw oysters, which are certainly Highly dangerous, particularly where there is any Tendency to Gout.	This ought to be a warning to all Young people to take care of Wet feet, and Especially eating Raw oysters, which are certainly Highly dangerous, particularly where there is any Tendency to Gout.
4145_14013_000011_000004	I hope, my dear Niece, you have got a pair of Stout walking shoes, and that both Henry and you remember to Change your feet after Walking. I am told Raw Oysters are much the fashion in London at present; but when this Fatal Event comes to be Known, it will of course Alarm people very much, and put them upon their guard both as to Damp Feet and Raw oysters.	I hope, my dear Niece, you have got a pair of Stout walking shoes, and that both Henry and you remember to Change your feet after Walking. I am told Raw Oysters are much the fashion in London at present; but when this Fatal Event comes to be Known, it will of course Alarm people very much, and put them upon their guard both as to Damp Feet and Raw oysters.
