380_129064_000000_000000	"My God, how like he is!" said the long gentleman with a start.	"My God, how like he is!" said the long gentleman with a start.	false	0	2.43	24.878532
380_129064_000000_000001	"Can you guess who we are, George?"	"Can you guess who we are, George?"	false	2.43	3.78	14
380_129064_000001_000000	The boy's face flushed up, as it did usually when he was moved, and his eyes brightened.	The boy's face flushed up, as it did usually when he was moved, and his eyes brightened.	false	3.78	5.88	22
380_129064_000001_000001	"I don't know the other," he said, "but I should think you must be Major Dobbin."	"I don't know the other," he said, "but I should think you must be Major Dobbin."	false	5.88	7.95	18
380_129064_000002_000000	Indeed it was our old friend.	Indeed it was our old friend.	false	7.95	8.73	19
380_129064_000002_000001	His voice trembled with pleasure as he greeted the boy, and taking both the other's hands in his own, drew the lad to him.	His voice trembled with pleasure as he greeted the boy, and taking both the other's hands in his own, drew the lad to him.	false	8.73	12.33	19.77084
380_129064_000003_000000	"Your mother has talked to you about me--has she?" he said.	"Your mother has talked to you about me-has she?" he said.	false	12.33	14.34	19.12953
380_129064_000004_000000	"That she has," Georgy answered, "hundreds and hundreds of times."	"That she has," Georgy answered, "hundreds and hundreds of times."	false	14.34	16.05	18
380_129064_000005_000000	CHAPTER LVII	CHAPTER fifty seven	true	16.05	17.32	18.51689
380_129064_000006_000000	Eothen	Eothen	true	17.54	18.34	17.557207
380_129064_000007_000000	It was one of the many causes for personal pride with which old Osborne chose to recreate himself that Sedley, his ancient rival, enemy, and benefactor, was in his last days so utterly defeated and humiliated as to be forced to accept pecuniary obligations at the hands of the man who had most injured and insulted him.	It was one of the many causes for personal pride with which old Osborne chose to recreate himself that Sedley, his ancient rival, enemy, and benefactor, was in his last days so utterly defeated and humiliated as to be forced to accept pecuniary obligations at the hands of the man who had most injured and insulted him.	false	19.97	38.5	16
380_129064_000007_000001	The successful man of the world cursed the old pauper and relieved him from time to time.	The successful man of the world cursed the old pauper and relieved him from time to time.	false	39.02	43.93	18
380_129064_000007_000002	As he furnished George with money for his mother, he gave the boy to understand by hints, delivered in his brutal, coarse way, that George's maternal grandfather was but a wretched old bankrupt and dependant, and that John Sedley might thank the man to whom he already owed ever so much money for the aid which his generosity now chose to administer. George carried the pompous supplies to his mother and the shattered old widower whom it was now the main business of her life to tend and comfort.	As he furnished George with money for his mother, he gave the boy to understand by hints, delivered in his brutal, coarse way, that George's maternal grandfather was but a wretched old bankrupt and dependant, and that john Sedley might thank the man to whom he already owed ever so much money for the aid which his generosity now chose to administer. George carried the pompous supplies to his mother and the shattered old widower whom it was now the main business of her life to tend and comfort.	false	44.42	72.31	19
380_129064_000007_000003	The little fellow patronized the feeble and disappointed old man.	The little fellow patronized the feeble and disappointed old man.	true	72.47	76.21	21
380_129064_000008_000000	It may have shown a want of "proper pride" in Amelia that she chose to accept these money benefits at the hands of her father's enemy.	It may have shown a want of "proper pride" in Amelia that she chose to accept these money benefits at the hands of her father's enemy.	false	76.67	83.5	19.392288
380_129064_000008_000001	But proper pride and this poor lady had never had much acquaintance together.	But proper pride and this poor lady had never had much acquaintance together.	true	83.93	88.21	21
380_129064_000008_000002	A disposition naturally simple and demanding protection; a long course of poverty and humility, of daily privations, and hard words, of kind offices and no returns, had been her lot ever since womanhood almost, or since her luckless marriage with George Osborne. You who see your betters bearing up under this shame every day, meekly suffering under the slights of fortune, gentle and unpitied, poor, and rather despised for their poverty, do you ever step down from your prosperity and wash the feet of these poor wearied beggars?	A disposition naturally simple and demanding protection; a long course of poverty and humility, of daily privations, and hard words, of kind offices and no returns, had been her lot ever since womanhood almost, or since her luckless marriage with George Osborne. You who see your betters bearing up under this shame every day, meekly suffering under the slights of fortune, gentle and unpitied, poor, and rather despised for their poverty, do you ever step down from your prosperity and wash the feet of these poor wearied beggars?	false	88.76	121.66	21
380_129064_000008_000003	The very thought of them is odious and low.	The very thought of them is odious and low.	true	122.03	124.24	21
380_129064_000008_000004	"There must be classes--there must be rich and poor," Dives says, smacking his claret (it is well if he even sends the broken meat out to Lazarus sitting under the window). Very true; but think how mysterious and often unaccountable it is--that lottery of life which gives to this man the purple and fine linen and sends to the other rags for garments and dogs for comforters.	"There must be classes-there must be rich and poor," Dives says, smacking his claret (it is well if he even sends the broken meat out to Lazarus sitting under the window). Very true; but think how mysterious and often unaccountable it is-that lottery of life which gives to this man the purple and fine linen and sends to the other rags for garments and dogs for comforters.	false	124.61	147.16	20.967993
380_129064_000009_000000	So I must own that, without much repining, on the contrary with something akin to gratitude, Amelia took the crumbs that her father-in-law let drop now and then, and with them fed her own parent. Directly she understood it to be her duty, it was this young woman's nature (ladies, she is but thirty still, and we choose to call her a young woman even at that age) it was, I say, her nature to sacrifice herself and to fling all that she had at the feet of the beloved object.	So I must own that, without much repining, on the contrary with something akin to gratitude, Amelia took the crumbs that her father in law let drop now and then, and with them fed her own parent. Directly she understood it to be her duty, it was this young woman's nature (ladies, she is but thirty still, and we choose to call her a young woman even at that age) it was, I say, her nature to sacrifice herself and to fling all that she had at the feet of the beloved object.	false	148.01	175.96	21
380_129064_000009_000001	During what long thankless nights had she worked out her fingers for little Georgy whilst at home with her; what buffets, scorns, privations, poverties had she endured for father and mother! And in the midst of all these solitary resignations and unseen sacrifices, she did not respect herself any more than the world respected her, but I believe thought in her heart that she was a poor-spirited, despicable little creature, whose luck in life was only too good for her merits.	During what long thankless nights had she worked out her fingers for little Georgy whilst at home with her; what buffets, scorns, privations, poverties had she endured for father and mother! And in the midst of all these solitary resignations and unseen sacrifices, she did not respect herself any more than the world respected her, but I believe thought in her heart that she was a poor spirited, despicable little creature, whose luck in life was only too good for her merits.	false	176.63	204.7	20
380_129064_000009_000002	O you poor women!	O you poor women!	true	204.83	206.05	22.586283
380_129064_000009_000003	O you poor secret martyrs and victims, whose life is a torture, who are stretched on racks in your bedrooms, and who lay your heads down on the block daily at the drawing-room table; every man who watches your pains, or peers into those dark places where the torture is administered to you, must pity you--and--and thank God that he has a beard.	O you poor secret martyrs and victims, whose life is a torture, who are stretched on racks in your bedrooms, and who lay your heads down on the block daily at the drawing room table; every man who watches your pains, or peers into those dark places where the torture is administered to you, must pity you-and-and thank God that he has a beard.	false	206.24	225.85	19
380_129064_000009_000004	I recollect seeing, years ago, at the prisons for idiots and madmen at Bicetre, near Paris, a poor wretch bent down under the bondage of his imprisonment and his personal infirmity, to whom one of our party gave a halfpenny worth of snuff in a cornet or "screw" of paper.	I recollect seeing, years ago, at the prisons for idiots and madmen at Bicetre, near Paris, a poor wretch bent down under the bondage of his imprisonment and his personal infirmity, to whom one of our party gave a halfpenny worth of snuff in a cornet or "screw" of paper.	true	226.31	242.86	19
380_129064_000009_000005	The kindness was too much for the poor epileptic creature.	The kindness was too much for the poor epileptic creature.	true	243.68	246.61	21.856173
380_129064_000009_000006	He cried in an anguish of delight and gratitude: if anybody gave you and me a thousand a year, or saved our lives, we could not be so affected.	He cried in an anguish of delight and gratitude: if anybody gave you and me a thousand a year, or saved our lives, we could not be so affected.	false	247.01	255.22	21.559267
380_129064_000009_000007	And so, if you properly tyrannize over a woman, you will find a h'p'orth of kindness act upon her and bring tears into her eyes, as though you were an angel benefiting her.	And so, if you properly tyrannize over a woman, you will find a h'p'orth of kindness act upon her and bring tears into her eyes, as though you were an angel benefiting her.	false	255.71	265.66	20
