7594_81881_000002_000000	CHAPTER XIX	CHAPTER nineteen
7594_81881_000003_000004	Paul could not plead.	Paul could not plead.
7594_81881_000003_000005	It was he who, in a way, had cast her off.	It was he who, in a way, had cast her off.
7594_81881_000003_000008	It was final, as far as he was concerned.	It was final, as far as he was concerned.
7594_81881_000003_000009	He could do nothing--not even beg his dearest lady to plead for him.	He could do nothing-not even beg his dearest lady to plead for him.
7594_81881_000004_000000	As in his first speech, so in his campaign, he failed.	As in his first speech, so in his campaign, he failed.
7594_81881_000004_000001	He had been chosen for his youth, his joyousness, his magnetism, his radiant promise of great things to come.	He had been chosen for his youth, his joyousness, his magnetism, his radiant promise of great things to come.
7594_81881_000004_000002	He went about the constituency an anxious, haggard man, working himself to death without being able to awaken a spark of emotion in the heart of anybody.	He went about the constituency an anxious, haggard man, working himself to death without being able to awaken a spark of emotion in the heart of anybody.
7594_81881_000004_000004	On the other hand, Silas Finn, with his enthusiasms, and his aspect of an inspired prophet, made alarming progress.	On the other hand, Silas Finn, with his enthusiasms, and his aspect of an inspired prophet, made alarming progress.
7594_81881_000004_000005	He swept the multitude.	He swept the multitude.
7594_81881_000004_000008	But hope reigned among his official supporters, whereas depression began to descend over Paul's brilliant host.	But hope reigned among his official supporters, whereas depression began to descend over Paul's brilliant host.
7594_81881_000005_000000	"They want stirring up a bit," said the Conservative agent despondently.	"They want stirring up a bit," said the Conservative agent despondently.
7594_81881_000005_000002	They nearly raised the roof off last night.	They nearly raised the roof off last night.
7594_81881_000006_000000	"I do my best," said Paul coldly, but the reproach cut deep.	"I do my best," said Paul coldly, but the reproach cut deep.
7594_81881_000007_000000	Once on coming out of his headquarters he met Silas, who was walking up the street with two or three of his committee-men.	Once on coming out of his headquarters he met Silas, who was walking up the street with two or three of his committee men.
7594_81881_000007_000002	This was the first time they had come together since the afternoon of revelation, and there was a moment of constraint during which Silas tugged at his streaked beard and looked with mournful wistfulness at his son.	This was the first time they had come together since the afternoon of revelation, and there was a moment of constraint during which Silas tugged at his streaked beard and looked with mournful wistfulness at his son.
7594_81881_000009_000001	"I see you're putting up an excellent fight."	"I see you're putting up an excellent fight."
7594_81881_000010_000000	"It's the Lord's battle.	"It's the Lord's battle.
7594_81881_000010_000001	If it weren't, do you think I would not let you win?"	If it weren't, do you think I would not let you win?"
7594_81881_000011_000000	The same old cry.	The same old cry.
7594_81881_000011_000001	Through sheer repetition, Paul began almost to believe in it.	Through sheer repetition, Paul began almost to believe in it.
7594_81881_000011_000003	In his father's eyes he recognized, with a pang, the glow of a faith which he had lost.	In his father's eyes he recognized, with a pang, the glow of a faith which he had lost.
7594_81881_000012_000000	"That's the advantage of a belief in the Almighty's personal interest," he answered, with a touch of irony: "whatever happens, one is not easily disillusioned."	"That's the advantage of a belief in the Almighty's personal interest," he answered, with a touch of irony: "whatever happens, one is not easily disillusioned."
7594_81881_000013_000000	"That is true, my son," said Silas.	"That is true, my son," said Silas.
7594_81881_000014_000000	"Jane is well?" Paul asked, after an instant's pause, breaking off the profitless discussion.	"Jane is well?" Paul asked, after an instant's pause, breaking off the profitless discussion.
7594_81881_000015_000000	"Very well."	"Very well."
7594_81881_000016_000000	"And Barney Bill?"	"And Barney Bill?"
7594_81881_000017_000000	"He upbraids me bitterly for what I have said."	"He upbraids me bitterly for what I have said."
7594_81881_000018_000000	Paul smiled at the curiously stilted phrase.	Paul smiled at the curiously stilted phrase.
7594_81881_000019_000000	"Tell him from me not to do it.	"Tell him from me not to do it.
7594_81881_000019_000001	My love to them both."	My love to them both."
