4427_20028_000000_000000	MISERIES.	MISERIES.	true	20.94	21.75	11
4427_20028_000001_000000	No. 4.	no four.	false	21.75	26.04	16.223106
4427_20028_000002_000000	I believe the world has gone quite crazy on the subject of fresh air.	I believe the world has gone quite crazy on the subject of fresh air.	true	26.04	29.77	16
4427_20028_000002_000001	In the next century people will think they must sleep on the house-tops, I suppose, or camp out in tents in primitive style. Nothing is talked about but ventilators, and air-tubes, and chimney-draughts.	In the next century people will think they must sleep on the house tops, I suppose, or camp out in tents in primitive style. Nothing is talked about but ventilators, and air tubes, and chimney draughts.	true	30.14	42.31	19
4427_20028_000002_000002	One would suppose that fire-places were invented expressly for cooling and airing a room, instead of heating it.	One would suppose that fire places were invented expressly for cooling and airing a room, instead of heating it.	true	42.68	48.76	17
4427_20028_000002_000003	There was no such fuss when I was young; in those good old times these airy notions had not come into fashion.	There was no such fuss when I was young; in those good old times these airy notions had not come into fashion.	true	49.1	55.81	20.670244
4427_20028_000002_000004	Where the loose window-sashes rattled at every passing breeze, and the wind chased the smoke down the wide-mouthed chimney, nobody complained of being stifled.	Where the loose window sashes rattled at every passing breeze, and the wind chased the smoke down the wide mouthed chimney, nobody complained of being stifled.	true	56.18	65.05	18
4427_20028_000002_000005	There were no furnaces then to spread a summer heat to every corner of the house.	There were no furnaces then to spread a summer heat to every corner of the house.	true	65.06	68.88	17
4427_20028_000002_000006	No, indeed!	No, indeed!	true	68.88	70.18	25.358541
4427_20028_000002_000007	We ran shivering through the long, windy entries, all wrapped in shawls, and hugging ourselves to retain the friendly warmth of the fire as long as possible.	We ran shivering through the long, windy entries, all wrapped in shawls, and hugging ourselves to retain the friendly warmth of the fire as long as possible.	true	70.22	79.6	16
4427_20028_000002_000008	Far from devising ways of letting _in_ the air, we tried hard to keep it _out_ by stuffing the cracks with cotton, and closely curtaining the windows and bed.	Far from devising ways of letting underscore in underscore the air, we tried hard to keep it underscore out underscore by stuffing the cracks with cotton, and closely curtaining the windows and bed.	false	80	89.38	21
4427_20028_000002_000009	Even then, the ice in the wash-basin, and the electricity which made our hair literally stand on end in the process of combing, and the gradual transformation of fingers into thumbs, showed but too plainly that the wintry air had penetrated our defences.	Even then, the ice in the wash basin, and the electricity which made our hair literally stand on end in the process of combing, and the gradual transformation of fingers into thumbs, showed but too plainly that the wintry air had penetrated our defences.	false	89.63	105.01	17
