7241_90852_000000_000000	THE MARVELOUS DOG AND THE WONDERFUL CAT	THE MARVELOUS DOG AND THE WONDERFUL CAT	false	1.98	7.26	21.828112
7241_90852_000001_000000	[Illustration: Background, books scattered on library shelves. Foreground, a white dog with glasses and a black cat seated at a low table, studying books and making notes.]	[Illustration: Background, books scattered on library shelves. Foreground, a white dog with glasses and a black cat seated at a low table, studying books and making notes.]	false	7.26	23.97	22.506136
7241_90852_000002_000000	Once upon a time there was an old enchanter who taught magic and enchantment to the younger fairies.	Once upon a time there was an old enchanter who taught magic and enchantment to the younger fairies.	true	23.97	29.89	13
7241_90852_000002_000001	Year after year, and morning after morning, he was to be found at his school-room in the Fairies' College, standing between his desk and a blackboard, now writing down the spell for turning noses into turnips, now changing sunflower seeds into pearls before the very eyes of his pupils.	Year after year, and morning after morning, he was to be found at his school room in the Fairies' College, standing between his desk and a blackboard, now writing down the spell for turning noses into turnips, now changing sunflower seeds into pearls before the very eyes of his pupils.	false	30.29	47.2	18
7241_90852_000003_000000	The old enchanter liked this life of quiet and study, and doubtless would have been teaching in Fairyland to this very day, had he not been so unfortunate as to quarrel with the terrible sorcerer Zidoc, who was then Lord High Chancellor of the Fairies' College.	The old enchanter liked this life of quiet and study, and doubtless would have been teaching in Fairyland to this very day, had he not been so unfortunate as to quarrel with the terrible sorcerer Zidoc, who was then Lord High Chancellor of the Fairies' College.	true	47.84	63.13	20
7241_90852_000003_000001	I have forgotten exactly what the quarrel was about, but I think that it had to do with the best spell for causing castles to fall to pieces in an instant.	I have forgotten exactly what the quarrel was about, but I think that it had to do with the best spell for causing castles to fall to pieces in an instant.	true	63.56	73	21.425728
7241_90852_000003_000002	At any rate, Zidoc, who considered himself quite the most wonderful enchanter in Fairyland, was furious at being opposed, and told the old enchanter, very angrily, that he was not to have his classes any more and must leave the college at once.	At any rate, Zidoc, who considered himself quite the most wonderful enchanter in Fairyland, was furious at being opposed, and told the old enchanter, very angrily, that he was not to have his classes any more and must leave the college at once.	true	73.25	89.17	20
7241_90852_000003_000003	So the poor old gentleman packed up his magic books, put his enchanter's wand into its silver case, and went to the country one pleasant day in search of a house.	So the poor old gentleman packed up his magic books, put his enchanter's wand into its silver case, and went to the country one pleasant day in search of a house.	true	89.69	99.67	22.147297
7241_90852_000004_000000	Thanks to the advice of a friendly chimney swift, it did not take him long to find one.	Thanks to the advice of a friendly chimney swift, it did not take him long to find one.	true	100.28	105.33	21.02949
7241_90852_000004_000001	The dwelling was the property of the Fairy Jocapa.	The dwelling was the property of the Fairy Jocapa.	true	105.33	108.4	21.223196
7241_90852_000004_000002	It stood just off the high road, close by a lane of great oaks whose shiny, fringed leaves glistened in the hot noon-day sun; it had a high roof with sides steep as mountain slopes, and one great chimney; and its second story thrust itself out over the first in the old-fashioned way. Green fields, little hills, and pleasant meadows in which red and white cows were grazing lay behind the dwelling.	It stood just off the high road, close by a lane of great oaks whose shiny, fringed leaves glistened in the hot noon day sun; it had a high roof with sides steep as mountain slopes, and one great chimney; and its second story thrust itself out over the first in the old-fashioned way. Green fields, little hills, and pleasant meadows in which red and white cows were grazing lay behind the dwelling.	true	108.59	134.41	20
7241_90852_000005_000000	Seeing the front door wide open, the enchanter walked in.	Seeing the front door wide open, the enchanter walked in.	true	134.81	138.19	18
7241_90852_000005_000001	It was very quiet.	It was very quiet.	true	138.29	140.08	24.885176
7241_90852_000005_000002	Only the far away klingle-klangle of a cow-bell could be heard.	Only the far away klingle klangle of a cow bell could be heard.	true	140.3	144.1	24
7241_90852_000006_000000	"Here shall I live," said the enchanter.	"Here shall I live," said the enchanter.	false	144.47	146.92	20.341242
7241_90852_000006_000001	And he brought his possessions to the house.	And he brought his possessions to the house.	true	147.02	149.41	23.790222
7241_90852_000007_000000	Now, one autumnal morning, when a blue haze hung over the lonely fields from which the reapers had departed, and the golden leaves were wet underfoot, the old enchanter went for a walk down the lane, and finding the day agreeable, kept on until he found himself in the woods.	Now, one autumnal morning, when a blue haze hung over the lonely fields from which the reapers had departed, and the golden leaves were wet underfoot, the old enchanter went for a walk down the lane, and finding the day agreeable, kept on until he found himself in the woods.	true	149.45	165.55	20
7241_90852_000007_000001	Arriving at the crest of a little hill in the woodland, he saw below him, almost at the foot of the slope, a countryman with a white puppy and a black kitten following at his heels.	Arriving at the crest of a little hill in the woodland, he saw below him, almost at the foot of the slope, a countryman with a white puppy and a black kitten following at his heels.	true	165.65	175.125	20
