1387_130989_000000_000000	PUBLIUS	PUBLIUS	true	5.16	5.46	19
1387_130989_000001_000000	1.	one.	false	5.46	5.88	17
1387_130989_000001_000001	"I mean for the Union."	"I mean for the Union."	false	5.88	17.19	21.358643
1387_130989_000002_000000	FEDERALIST No. 16	FEDERALIST no sixteen	false	17.19	20.745	22.6143
1387_130989_000003_000000	The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union)	The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union)	false	20.745	28.54	22.626492
1387_130989_000004_000000	From the New York Packet.	From the New York Packet.	true	28.82	30.045	26.049105
1387_130989_000004_000001	Tuesday, December 4, 1787.	tuesday december fourth seventeen eighty seven.	false	30.045	32.95	22.990189
1387_130989_000005_000000	HAMILTON	HAMILTON	true	33.2	34.06	27.120644
1387_130989_000006_000000	To the People of the State of New York:	To the People of the State of New York:	true	34.58	36.7	25.355265
1387_130989_000007_000000	THE tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems.	THE tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems.	true	38.09	57.64	22.790794
1387_130989_000007_000001	The confirmations of this fact will be worthy of a distinct and particular examination.	The confirmations of this fact will be worthy of a distinct and particular examination.	false	58.22	62.59	23.30021
1387_130989_000007_000002	I shall content myself with barely observing here, that of all the confederacies of antiquity, which history has handed down to us, the Lycian and Achaean leagues, as far as there remain vestiges of them, appear to have been most free from the fetters of that mistaken principle, and were accordingly those which have best deserved, and have most liberally received, the applauding suffrages of political writers.	I shall content myself with barely observing here, that of all the confederacies of antiquity, which history has handed down to us, the Lycian and Achaean leagues, as far as there remain vestiges of them, appear to have been most free from the fetters of that mistaken principle, and were accordingly those which have best deserved, and have most liberally received, the applauding suffrages of political writers.	false	63.35	86.65	22.276318
1387_130989_000008_000000	This exceptionable principle may, as truly as emphatically, be styled the parent of anarchy: It has been seen that delinquencies in the members of the Union are its natural and necessary offspring; and that whenever they happen, the only constitutional remedy is force, and the immediate effect of the use of it, civil war.	This exceptionable principle may, as truly as emphatically, be styled the parent of anarchy: It has been seen that delinquencies in the members of the Union are its natural and necessary offspring; and that whenever they happen, the only constitutional remedy is force, and the immediate effect of the use of it, civil war.	true	87.86	108.49	23.272318
1387_130989_000009_000000	It remains to inquire how far so odious an engine of government, in its application to us, would even be capable of answering its end.	It remains to inquire how far so odious an engine of government, in its application to us, would even be capable of answering its end.	true	109.4	117.43	25.032616
1387_130989_000009_000001	If there should not be a large army constantly at the disposal of the national government it would either not be able to employ force at all, or, when this could be done, it would amount to a war between parts of the Confederacy concerning the infractions of a league, in which the strongest combination would be most likely to prevail, whether it consisted of those who supported or of those who resisted the general authority.	If there should not be a large army constantly at the disposal of the national government it would either not be able to employ force at all, or, when this could be done, it would amount to a war between parts of the Confederacy concerning the infractions of a league, in which the strongest combination would be most likely to prevail, whether it consisted of those who supported or of those who resisted the general authority.	false	118.1	140.05	23.318787
1387_130989_000009_000002	It would rarely happen that the delinquency to be redressed would be confined to a single member, and if there were more than one who had neglected their duty, similarity of situation would induce them to unite for common defense.	It would rarely happen that the delinquency to be redressed would be confined to a single member, and if there were more than one who had neglected their duty, similarity of situation would induce them to unite for common defense.	true	140.72	153.49	22.14697
1387_130989_000009_000003	Independent of this motive of sympathy, if a large and influential State should happen to be the aggressing member, it would commonly have weight enough with its neighbors to win over some of them as associates to its cause.	Independent of this motive of sympathy, if a large and influential State should happen to be the aggressing member, it would commonly have weight enough with its neighbors to win over some of them as associates to its cause.	true	154.16	165.61	21.17276
1387_130989_000009_000004	Specious arguments of danger to the common liberty could easily be contrived; plausible excuses for the deficiencies of the party could, without difficulty, be invented to alarm the apprehensions, inflame the passions, and conciliate the good-will, even of those States which were not chargeable with any violation or omission of duty.	Specious arguments of danger to the common liberty could easily be contrived; plausible excuses for the deficiencies of the party could, without difficulty, be invented to alarm the apprehensions, inflame the passions, and conciliate the good will, even of those States which were not chargeable with any violation or omission of duty.	true	166.07	186.73	22.729061
1387_130989_000009_000005	This would be the more likely to take place, as the delinquencies of the larger members might be expected sometimes to proceed from an ambitious premeditation in their rulers, with a view to getting rid of all external control upon their designs of personal aggrandizement; the better to effect which it is presumable they would tamper beforehand with leading individuals in the adjacent States.	This would be the more likely to take place, as the delinquencies of the larger members might be expected sometimes to proceed from an ambitious premeditation in their rulers, with a view to getting rid of all external control upon their designs of personal aggrandizement; the better to effect which it is presumable they would tamper beforehand with leading individuals in the adjacent States.	true	188.3	209.89	23.03803
1387_130989_000009_000006	If associates could not be found at home, recourse would be had to the aid of foreign powers, who would seldom be disinclined to encouraging the dissensions of a Confederacy, from the firm union of which they had so much to fear.	If associates could not be found at home, recourse would be had to the aid of foreign powers, who would seldom be disinclined to encouraging the dissensions of a Confederacy, from the firm union of which they had so much to fear.	true	210.83	223.9	21.157982
1387_130989_000009_000007	When the sword is once drawn, the passions of men observe no bounds of moderation.	When the sword is once drawn, the passions of men observe no bounds of moderation.	true	224.81	230.74	19.42217
1387_130989_000009_000008	The suggestions of wounded pride, the instigations of irritated resentment, would be apt to carry the States against which the arms of the Union were exerted, to any extremes necessary to avenge the affront or to avoid the disgrace of submission.	The suggestions of wounded pride, the instigations of irritated resentment, would be apt to carry the States against which the arms of the Union were exerted, to any extremes necessary to avenge the affront or to avoid the disgrace of submission.	true	230.84	246.13	22.43906
