1387_130989_000004_000000	From the New York Packet.	From the New York Packet.
1387_130989_000005_000000	HAMILTON	HAMILTON
1387_130989_000006_000000	To the People of the State of New York:	To the People of the State of New York:
1387_130989_000007_000000	THE tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems.	THE tendency of the principle of legislation for States, or communities, in their political capacities, as it has been exemplified by the experiment we have made of it, is equally attested by the events which have befallen all other governments of the confederate kind, of which we have any account, in exact proportion to its prevalence in those systems.
1387_130989_000008_000000	This exceptionable principle may, as truly as emphatically, be styled the parent of anarchy: It has been seen that delinquencies in the members of the Union are its natural and necessary offspring; and that whenever they happen, the only constitutional remedy is force, and the immediate effect of the use of it, civil war.	This exceptionable principle may, as truly as emphatically, be styled the parent of anarchy: It has been seen that delinquencies in the members of the Union are its natural and necessary offspring; and that whenever they happen, the only constitutional remedy is force, and the immediate effect of the use of it, civil war.
1387_130989_000009_000000	It remains to inquire how far so odious an engine of government, in its application to us, would even be capable of answering its end.	It remains to inquire how far so odious an engine of government, in its application to us, would even be capable of answering its end.
1387_130989_000009_000002	It would rarely happen that the delinquency to be redressed would be confined to a single member, and if there were more than one who had neglected their duty, similarity of situation would induce them to unite for common defense.	It would rarely happen that the delinquency to be redressed would be confined to a single member, and if there were more than one who had neglected their duty, similarity of situation would induce them to unite for common defense.
1387_130989_000009_000003	Independent of this motive of sympathy, if a large and influential State should happen to be the aggressing member, it would commonly have weight enough with its neighbors to win over some of them as associates to its cause.	Independent of this motive of sympathy, if a large and influential State should happen to be the aggressing member, it would commonly have weight enough with its neighbors to win over some of them as associates to its cause.
1387_130989_000009_000004	Specious arguments of danger to the common liberty could easily be contrived; plausible excuses for the deficiencies of the party could, without difficulty, be invented to alarm the apprehensions, inflame the passions, and conciliate the good-will, even of those States which were not chargeable with any violation or omission of duty.	Specious arguments of danger to the common liberty could easily be contrived; plausible excuses for the deficiencies of the party could, without difficulty, be invented to alarm the apprehensions, inflame the passions, and conciliate the good will, even of those States which were not chargeable with any violation or omission of duty.
1387_130989_000009_000005	This would be the more likely to take place, as the delinquencies of the larger members might be expected sometimes to proceed from an ambitious premeditation in their rulers, with a view to getting rid of all external control upon their designs of personal aggrandizement; the better to effect which it is presumable they would tamper beforehand with leading individuals in the adjacent States.	This would be the more likely to take place, as the delinquencies of the larger members might be expected sometimes to proceed from an ambitious premeditation in their rulers, with a view to getting rid of all external control upon their designs of personal aggrandizement; the better to effect which it is presumable they would tamper beforehand with leading individuals in the adjacent States.
1387_130989_000009_000006	If associates could not be found at home, recourse would be had to the aid of foreign powers, who would seldom be disinclined to encouraging the dissensions of a Confederacy, from the firm union of which they had so much to fear.	If associates could not be found at home, recourse would be had to the aid of foreign powers, who would seldom be disinclined to encouraging the dissensions of a Confederacy, from the firm union of which they had so much to fear.
