1885_136863_000000_000000	[Page 353: Relief of the French Prisoners.	[Page three hundred fifty three: Relief of the French Prisoners.	false	0	5.4	21.225302
1885_136863_000000_000001	AEtat 51.]	AEtat fifty one.]	false	5.4	6.6	39.578037
1885_136863_000001_000000	1760: AETAT.	seventeen sixty: a e t a t.	false	6.6	14.22	23.413095
1885_136863_000001_000001	51].--In 1760 he wrote _An Address of the Painters to George III. on his Accession to the Throne of these Kingdoms_,[dagger] which no monarch ever ascended with more sincere congratulations from his people.	fifty one].--In seventeen sixty he wrote underscore An Address of the Painters to George the third. on his Accession to the Throne of these Kingdoms underscore,[dagger] which no monarch ever ascended with more sincere congratulations from his people.	false	14.22	36.34	21.055635
1885_136863_000001_000002	Two generations of foreign princes had prepared their minds to rejoice in having again a King, who gloried in being 'born a Briton[1052].' He also wrote for Mr. Baretti, the dedication[dagger] of his _Italian and English Dictionary_ to the Marquis of Abreu, then Envoy-Extraordinary from Spain at the Court of Great Britain.	Two generations of foreign princes had prepared their minds to rejoice in having again a King, who gloried in being 'born a Briton[ten fifty two].' He also wrote for mr Baretti, the dedication[dagger] of his underscore Italian and English Dictionary underscore to the Marquis of Abreu, then Envoy Extraordinary from Spain at the Court of Great Britain.	false	37.4	62.19	22.639238
1885_136863_000002_000000	[Page 354: Mary Queen of Scots.	[Page three hundred fifty four: Mary Queen of Scots.	false	62.19	63.72	-1
1885_136863_000002_000001	A.D. 1760.]	a d seventeen sixty.]	false	63.72	64.44	-20
1885_136863_000003_000000	Johnson was now neither very idle, nor very busy with his _Shakspeare_; for I can find no other public composition by him except an introduction to the proceedings of the Committee for cloathing the French Prisoners[1053];[*] one of the many proofs that he was ever awake to the calls of humanity; and an account which he gave in the Gentlemen's Magazine of Mr. Tytler's acute and able vindication of Mary Queen of Scots.[*] The generosity of Johnson's feelings shines forth in the following sentence:--	Johnson was now neither very idle, nor very busy with his underscore Shakspeare underscore; for I can find no other public composition by him except an introduction to the proceedings of the Committee for cloathing the French Prisoners[ten fifty three];[asterisk] one of the many proofs that he was ever awake to the calls of humanity; and an account which he gave in the Gentlemen's Magazine of mr Tytler's acute and able vindication of Mary Queen of Scots.[asterisk] The generosity of Johnson's feelings shines forth in the following sentence:--	false	64.44	97.65	23.422617
1885_136863_000004_000000	"It has now been fashionable, for near half a century, to defame and vilify the house of Stuart and, to exalt and magnify the reign of Elizabeth.	"It has now been fashionable, for near half a century, to defame and vilify the house of Stuart and, to exalt and magnify the reign of Elizabeth.	true	97.65	108.25	22.322151
1885_136863_000004_000001	The Stuarts have found few apologists, for the dead cannot pay for praise; and who will, without reward, oppose the tide of popularity?	The Stuarts have found few apologists, for the dead cannot pay for praise; and who will, without reward, oppose the tide of popularity?	true	109.55	118.48	23.197647
1885_136863_000004_000002	Yet there remains still among us, not wholly extinguished, a zeal for truth, a desire of establishing right in opposition to fashion[1054]".	Yet there remains still among us, not wholly extinguished, a zeal for truth, a desire of establishing right in opposition to fashion[ten fifty four]".	false	119.39	130.14	21.850338
