4438_48513_000001_000000	III	three
4438_48513_000002_000000	All that day and all the next day Wemyss was Lucy's tower of strength and rock of refuge.	All that day and all the next day Wemyss was Lucy's tower of strength and rock of refuge.
4438_48513_000002_000001	He did everything that had to be done of the business part of death--that extra wantonness of misery thrown in so grimly to finish off the crushing of a mourner who is alone.	He did everything that had to be done of the business part of death-that extra wantonness of misery thrown in so grimly to finish off the crushing of a mourner who is alone.
4438_48513_000002_000002	It is true the doctor was kind and ready to help, but he was a complete stranger; she had never seen him till he was fetched that dreadful morning; and he had other things to see to besides her affairs,--his own patients, scattered widely over a lonely countryside.	It is true the doctor was kind and ready to help, but he was a complete stranger; she had never seen him till he was fetched that dreadful morning; and he had other things to see to besides her affairs,--his own patients, scattered widely over a lonely countryside.
4438_48513_000002_000003	Wemyss had nothing to see to.	Wemyss had nothing to see to.
4438_48513_000002_000004	He could concentrate entirely on Lucy.	He could concentrate entirely on Lucy.
4438_48513_000002_000005	And he was her friend, linked to her so strangely and so strongly by death.	And he was her friend, linked to her so strangely and so strongly by death.
4438_48513_000002_000006	She felt she had known him for ever.	She felt she had known him for ever.
4438_48513_000002_000007	She felt that since the beginning of time she and he had been advancing hand in hand towards just this place, towards just this house and garden, towards just this year, this August, this moment of existence.	She felt that since the beginning of time she and he had been advancing hand in hand towards just this place, towards just this house and garden, towards just this year, this August, this moment of existence.
4438_48513_000003_000000	Wemyss dropped quite naturally into the place a near male relative would have been in if there had been a near male relative within reach; and his relief at having something to do, something practical and immediate, was so immense that never were funeral arrangements made with greater zeal and energy,--really one might almost say with greater gusto.	Wemyss dropped quite naturally into the place a near male relative would have been in if there had been a near male relative within reach; and his relief at having something to do, something practical and immediate, was so immense that never were funeral arrangements made with greater zeal and energy,--really one might almost say with greater gusto.
4438_48513_000003_000002	There were no anxieties, there were no worries, and there was a grateful little girl.	There were no anxieties, there were no worries, and there was a grateful little girl.
4438_48513_000003_000003	After each fruitful visit to the undertaker, and he paid several in his zeal, he came back to Lucy and she was grateful; and she was not only grateful, but very obviously glad to get him back.	After each fruitful visit to the undertaker, and he paid several in his zeal, he came back to Lucy and she was grateful; and she was not only grateful, but very obviously glad to get him back.
4438_48513_000004_000000	He saw she didn't like it when he went away, off along the top of the cliff on his various business visits, purpose in each step, a different being from the indignantly miserable person who had dragged about that very cliff killing time such a little while before; he could see she didn't like it.	He saw she didn't like it when he went away, off along the top of the cliff on his various business visits, purpose in each step, a different being from the indignantly miserable person who had dragged about that very cliff killing time such a little while before; he could see she didn't like it.
4438_48513_000004_000001	She knew he had to go, she was grateful and immensely expressive of her gratitude--Wemyss thought he had never met any one so expressively grateful--that he should so diligently go, but she didn't like it.	She knew he had to go, she was grateful and immensely expressive of her gratitude-Wemyss thought he had never met any one so expressively grateful-that he should so diligently go, but she didn't like it.
4438_48513_000004_000002	He saw she didn't like it; he saw that she clung to him; and it pleased him.	He saw she didn't like it; he saw that she clung to him; and it pleased him.
4438_48513_000005_000000	'Don't be long,' she murmured each time, looking at him with eyes of entreaty; and when he got back, and stood before her again mopping his forehead, having triumphantly advanced the funeral arrangements another stage, a faint colour came into her face and she had the relieved eyes of a child who has been left alone in the dark and sees its mother coming in with a candle.	'Don't be long,' she murmured each time, looking at him with eyes of entreaty; and when he got back, and stood before her again mopping his forehead, having triumphantly advanced the funeral arrangements another stage, a faint colour came into her face and she had the relieved eyes of a child who has been left alone in the dark and sees its mother coming in with a candle.
4438_48513_000005_000001	Vera usedn't to look like that.	Vera usedn't to look like that.
4438_48513_000005_000002	Vera had accepted everything he did for her as a matter of course.	Vera had accepted everything he did for her as a matter of course.
4438_48513_000006_000002	What she would have done without him Wemyss couldn't think.	What she would have done without him Wemyss couldn't think.
4438_48513_000007_000000	He felt he was being delicate and tactful in this about the drawing-room sofa.	He felt he was being delicate and tactful in this about the drawing room sofa.
4438_48513_000011_000001	'What would I have done without you?'	'What would I have done without you?'
4438_48513_000013_000001	Why this calm should have been interrupted, and so cruelly, he couldn't imagine.	Why this calm should have been interrupted, and so cruelly, he couldn't imagine.
4438_48513_000013_000002	It wasn't as if he had deserved it.	It wasn't as if he had deserved it.
4438_48513_000014_000000	'Oh, but you have done good,' said Lucy, her voice, too, dropped into more than ordinary gentleness by the night, the silence, and the occasion; besides which it vibrated with feeling, it was lovely with seriousness, with simple conviction.	'Oh, but you have done good,' said Lucy, her voice, too, dropped into more than ordinary gentleness by the night, the silence, and the occasion; besides which it vibrated with feeling, it was lovely with seriousness, with simple conviction.
4438_48513_000014_000001	'Always, always I know that you've been doing good,' she said, 'being kind.	'Always, always I know that you've been doing good,' she said, 'being kind.
4438_48513_000014_000002	I can't imagine you anything else but a help to people and a comfort.'	I can't imagine you anything else but a help to people and a comfort.'
4438_48513_000015_000000	And Wemyss said, Well, he had done his best and tried, and no man could say more, but judging from what--well, what people had said to him, it hadn't been much of a success sometimes, and often and often he had been hurt, deeply hurt, by being misunderstood.	And Wemyss said, Well, he had done his best and tried, and no man could say more, but judging from what-well, what people had said to him, it hadn't been much of a success sometimes, and often and often he had been hurt, deeply hurt, by being misunderstood.
4438_48513_000016_000000	And Lucy said, How was it possible to misunderstand him, to misunderstand any one so transparently good, so evidently kind?	And Lucy said, How was it possible to misunderstand him, to misunderstand any one so transparently good, so evidently kind?
4438_48513_000017_000001	It wasn't much to ask.	It wasn't much to ask.
4438_48513_000017_000002	Vera----	Vera----
