4438_48513_000000_000000	'The gentleman's quite ready, miss,' she said softly.	'The gentleman's quite ready, miss,' she said softly.	false	5.49	7.455	24.188494
4438_48513_000001_000000	III	three	true	7.455	8.11	25.411863
4438_48513_000002_000000	All that day and all the next day Wemyss was Lucy's tower of strength and rock of refuge.	All that day and all the next day Wemyss was Lucy's tower of strength and rock of refuge.	true	8.6	14.53	25.603561
4438_48513_000002_000001	He did everything that had to be done of the business part of death--that extra wantonness of misery thrown in so grimly to finish off the crushing of a mourner who is alone.	He did everything that had to be done of the business part of death-that extra wantonness of misery thrown in so grimly to finish off the crushing of a mourner who is alone.	true	14.9	26.89	22.479593
4438_48513_000002_000002	It is true the doctor was kind and ready to help, but he was a complete stranger; she had never seen him till he was fetched that dreadful morning; and he had other things to see to besides her affairs,--his own patients, scattered widely over a lonely countryside.	It is true the doctor was kind and ready to help, but he was a complete stranger; she had never seen him till he was fetched that dreadful morning; and he had other things to see to besides her affairs,--his own patients, scattered widely over a lonely countryside.	true	27.47	43.93	22.96976
4438_48513_000002_000003	Wemyss had nothing to see to.	Wemyss had nothing to see to.	true	44.51	46.45	25.221851
4438_48513_000002_000004	He could concentrate entirely on Lucy.	He could concentrate entirely on Lucy.	true	46.97	49.48	20.261412
4438_48513_000002_000005	And he was her friend, linked to her so strangely and so strongly by death.	And he was her friend, linked to her so strangely and so strongly by death.	true	49.76	55.27	23.309364
4438_48513_000002_000006	She felt she had known him for ever.	She felt she had known him for ever.	true	56.3	58.66	25.173233
4438_48513_000002_000007	She felt that since the beginning of time she and he had been advancing hand in hand towards just this place, towards just this house and garden, towards just this year, this August, this moment of existence.	She felt that since the beginning of time she and he had been advancing hand in hand towards just this place, towards just this house and garden, towards just this year, this August, this moment of existence.	true	59	72.85	23.334412
4438_48513_000003_000000	Wemyss dropped quite naturally into the place a near male relative would have been in if there had been a near male relative within reach; and his relief at having something to do, something practical and immediate, was so immense that never were funeral arrangements made with greater zeal and energy,--really one might almost say with greater gusto.	Wemyss dropped quite naturally into the place a near male relative would have been in if there had been a near male relative within reach; and his relief at having something to do, something practical and immediate, was so immense that never were funeral arrangements made with greater zeal and energy,--really one might almost say with greater gusto.	true	74.03	95.02	23.030813
4438_48513_000003_000001	Fresh from the horrors of those other funeral arrangements, clouded as they had been by the silences of friends and the averted looks of neighbours--all owing to the idiotic jurors and their hesitations, and the vindictiveness of that woman because, he concluded, he had refused to raise her wages the previous month--what he was arranging now was so simple and straightforward that it positively was a pleasure.	Fresh from the horrors of those other funeral arrangements, clouded as they had been by the silences of friends and the averted looks of neighbours-all owing to the idiotic jurors and their hesitations, and the vindictiveness of that woman because, he concluded, he had refused to raise her wages the previous month-what he was arranging now was so simple and straightforward that it positively was a pleasure.	false	95.45	120.01	22.82973
4438_48513_000003_000002	There were no anxieties, there were no worries, and there was a grateful little girl.	There were no anxieties, there were no worries, and there was a grateful little girl.	true	120.62	126.46	21.000086
4438_48513_000003_000003	After each fruitful visit to the undertaker, and he paid several in his zeal, he came back to Lucy and she was grateful; and she was not only grateful, but very obviously glad to get him back.	After each fruitful visit to the undertaker, and he paid several in his zeal, he came back to Lucy and she was grateful; and she was not only grateful, but very obviously glad to get him back.	true	127.22	140.62	22.512394
4438_48513_000004_000000	He saw she didn't like it when he went away, off along the top of the cliff on his various business visits, purpose in each step, a different being from the indignantly miserable person who had dragged about that very cliff killing time such a little while before; he could see she didn't like it.	He saw she didn't like it when he went away, off along the top of the cliff on his various business visits, purpose in each step, a different being from the indignantly miserable person who had dragged about that very cliff killing time such a little while before; he could see she didn't like it.	true	141.38	159.13	24.033998
4438_48513_000004_000001	She knew he had to go, she was grateful and immensely expressive of her gratitude--Wemyss thought he had never met any one so expressively grateful--that he should so diligently go, but she didn't like it.	She knew he had to go, she was grateful and immensely expressive of her gratitude-Wemyss thought he had never met any one so expressively grateful-that he should so diligently go, but she didn't like it.	true	159.53	173.29	22.369738
4438_48513_000004_000002	He saw she didn't like it; he saw that she clung to him; and it pleased him.	He saw she didn't like it; he saw that she clung to him; and it pleased him.	true	173.72	178.96	23.166542
