8195_117382_000002_000000	The sumac seemed to fill his idea of a perfect location from the very first.	The sumac seemed to fill his idea of a perfect location from the very first.
8195_117382_000002_000001	He perched on a limb, and between dressing his plumage and pecking at last year's sour dried berries, he sent abroad his prediction.	He perched on a limb, and between dressing his plumage and pecking at last year's sour dried berries, he sent abroad his prediction.
8195_117382_000002_000002	Old Mother Nature verified his wisdom by sending a dashing shower, but he cared not at all for a wetting.	Old Mother Nature verified his wisdom by sending a dashing shower, but he cared not at all for a wetting.
8195_117382_000002_000004	He knew he would appear brighter when it was past, and he seemed to know, too, that every day of sunshine and shower would bring nearer his heart's desire.	He knew he would appear brighter when it was past, and he seemed to know, too, that every day of sunshine and shower would bring nearer his heart's desire.
8195_117382_000003_000000	He was a very Beau Brummel while he waited.	He was a very Beau Brummel while he waited.
8195_117382_000003_000001	From morning until night he bathed, dressed his feathers, sunned himself, fluffed and flirted. He strutted and "chipped" incessantly.	From morning until night he bathed, dressed his feathers, sunned himself, fluffed and flirted. He strutted and "chipped" incessantly.
8195_117382_000003_000002	He claimed that sumac for his very own, and stoutly battled for possession with many intruders.	He claimed that sumac for his very own, and stoutly battled for possession with many intruders.
8195_117382_000003_000004	Crowded around it were thickets of papaw, wild grape-vines, thorn, dogwood, and red haw, that attracted bug and insect; and just across the old snake fence was a field of mellow mould sloping to the river, that soon would be plowed for corn, turning out numberless big fat grubs.	Crowded around it were thickets of papaw, wild grape vines, thorn, dogwood, and red haw, that attracted bug and insect; and just across the old snake fence was a field of mellow mould sloping to the river, that soon would be plowed for corn, turning out numberless big fat grubs.
8195_117382_000004_000000	He was compelled almost hourly to wage battles for his location, for there was something fine about the old stag sumac that attracted homestead seekers.	He was compelled almost hourly to wage battles for his location, for there was something fine about the old stag sumac that attracted homestead seekers.
8195_117382_000004_000002	He had little trouble with the robins.	He had little trouble with the robins.
8195_117382_000005_000000	The Cardinal was left boasting and strutting in the sumac, but in his heart he found it lonesome business.	The Cardinal was left boasting and strutting in the sumac, but in his heart he found it lonesome business.
8195_117382_000005_000001	Being the son of a king, he was much too dignified to beg for a mate, and besides, it took all his time to guard the sumac; but his eyes were wide open to all that went on around him, and he envied the blackbird his glossy, devoted little sweetheart, with all his might.	Being the son of a king, he was much too dignified to beg for a mate, and besides, it took all his time to guard the sumac; but his eyes were wide open to all that went on around him, and he envied the blackbird his glossy, devoted little sweetheart, with all his might.
8195_117382_000005_000002	He almost strained his voice trying to rival the love-song of a skylark that hung among the clouds above a meadow across the river, and poured down to his mate a story of adoring love and sympathy.	He almost strained his voice trying to rival the love song of a skylark that hung among the clouds above a meadow across the river, and poured down to his mate a story of adoring love and sympathy.
8195_117382_000005_000003	He screamed a "Chip" of such savage jealousy at a pair of killdeer lovers that he sent them scampering down the river bank without knowing that the crime of which they stood convicted was that of being mated when he was not.	He screamed a "Chip" of such savage jealousy at a pair of killdeer lovers that he sent them scampering down the river bank without knowing that the crime of which they stood convicted was that of being mated when he was not.
8195_117382_000006_000001	The dove had no dignity; he was so effusive he was a nuisance.	The dove had no dignity; he was so effusive he was a nuisance.
