209_4733_000000_000000	CHAPTER V	CHAPTER five	true	19.755	21.01	23.52137
209_4733_000001_000000	"I do not know what your opinion may be, Mrs. Weston," said Mr. Knightley, "of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."	"I do not know what your opinion may be, mrs Weston," said mr Knightley, "of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."	true	22.34	32.47	22.443031
209_4733_000002_000000	"A bad thing!	"A bad thing!	true	33.11	34.54	23.442194
209_4733_000002_000001	Do you really think it a bad thing?--why so?"	Do you really think it a bad thing?--why so?"	true	34.64	37.75	19.530554
209_4733_000003_000000	"I think they will neither of them do the other any good."	"I think they will neither of them do the other any good."	true	38.45	41.74	21.94712
209_4733_000004_000000	"You surprize me!	"You surprize me!	true	42.44	43.87	23.069006
209_4733_000004_000001	Emma must do Harriet good: and by supplying her with a new object of interest, Harriet may be said to do Emma good.	Emma must do Harriet good: and by supplying her with a new object of interest, Harriet may be said to do Emma good.	true	44.03	50.41	24.99653
209_4733_000004_000002	I have been seeing their intimacy with the greatest pleasure.	I have been seeing their intimacy with the greatest pleasure.	true	50.72	53.71	22.565895
209_4733_000004_000003	How very differently we feel!--Not think they will do each other any good!	How very differently we feel!--Not think they will do each other any good!	true	54.11	58.99	24.661407
209_4733_000004_000004	This will certainly be the beginning of one of our quarrels about Emma, Mr. Knightley."	This will certainly be the beginning of one of our quarrels about Emma, mr Knightley."	false	59.06	64.5	22.158712
209_4733_000005_000000	"Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."	"Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."	true	64.5	70.72	22
209_4733_000006_000000	"Mr. Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject.	"mr Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject.	true	71.57	78.22	23.421516
209_4733_000006_000001	We were speaking of it only yesterday, and agreeing how fortunate it was for Emma, that there should be such a girl in Highbury for her to associate with.	We were speaking of it only yesterday, and agreeing how fortunate it was for Emma, that there should be such a girl in Highbury for her to associate with.	true	78.53	86.41	21.392467
209_4733_000006_000002	Mr. Knightley, I shall not allow you to be a fair judge in this case.	mr Knightley, I shall not allow you to be a fair judge in this case.	true	86.81	90.85	23.557072
209_4733_000006_000003	You are so much used to live alone, that you do not know the value of a companion; and, perhaps no man can be a good judge of the comfort a woman feels in the society of one of her own sex, after being used to it all her life.	You are so much used to live alone, that you do not know the value of a companion; and, perhaps no man can be a good judge of the comfort a woman feels in the society of one of her own sex, after being used to it all her life.	true	91.07	103.3	22
209_4733_000006_000004	I can imagine your objection to Harriet Smith.	I can imagine your objection to Harriet Smith.	true	104	106.57	23.25169
209_4733_000006_000005	She is not the superior young woman which Emma's friend ought to be.	She is not the superior young woman which Emma's friend ought to be.	true	106.67	110.35	20
209_4733_000006_000006	But on the other hand, as Emma wants to see her better informed, it will be an inducement to her to read more herself.	But on the other hand, as Emma wants to see her better informed, it will be an inducement to her to read more herself.	true	110.72	117.55	22.655752
209_4733_000006_000007	They will read together.	They will read together.	true	117.68	119.08	17.198395
209_4733_000006_000008	She means it, I know."	She means it, I know."	true	119.15	121.87	19.616447
209_4733_000007_000000	"Emma has been meaning to read more ever since she was twelve years old. I have seen a great many lists of her drawing-up at various times of books that she meant to read regularly through--and very good lists they were--very well chosen, and very neatly arranged--sometimes alphabetically, and sometimes by some other rule.	"Emma has been meaning to read more ever since she was twelve years old. I have seen a great many lists of her drawing up at various times of books that she meant to read regularly through-and very good lists they were-very well chosen, and very neatly arranged-sometimes alphabetically, and sometimes by some other rule.	true	122.03	139.87	22
209_4733_000007_000001	The list she drew up when only fourteen--I remember thinking it did her judgment so much credit, that I preserved it some time; and I dare say she may have made out a very good list now.	The list she drew up when only fourteen-I remember thinking it did her judgment so much credit, that I preserved it some time; and I dare say she may have made out a very good list now.	true	140.33	151.03	21.506474
209_4733_000007_000002	But I have done with expecting any course of steady reading from Emma.	But I have done with expecting any course of steady reading from Emma.	true	151.43	155.41	20.182653
209_4733_000007_000003	She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding.	She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding.	true	155.69	162.34	20.766167
209_4733_000007_000004	Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."	Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."	true	163.13	173.02	22.572401
209_4733_000008_000000	"I dare say," replied Mrs. Weston, smiling, "that I thought so _then_;--but since we have parted, I can never remember Emma's omitting to do any thing I wished."	"I dare say," replied mrs Weston, smiling, "that I thought so underscore then underscore;--but since we have parted, I can never remember Emma's omitting to do any thing I wished."	false	173.87	184.12	21.940744
209_4733_000009_000000	"There is hardly any desiring to refresh such a memory as _that_,"--said Mr. Knightley, feelingly; and for a moment or two he had done.	"There is hardly any desiring to refresh such a memory as underscore that underscore,"--said mr Knightley, feelingly; and for a moment or two he had done.	false	185.15	192.97	20.189226
209_4733_000009_000001	"But I," he soon added, "who have had no such charm thrown over my senses, must still see, hear, and remember.	"But I," he soon added, "who have had no such charm thrown over my senses, must still see, hear, and remember.	true	194.15	202.33	21.81309
209_4733_000009_000002	Emma is spoiled by being the cleverest of her family.	Emma is spoiled by being the cleverest of her family.	true	202.73	205.9	24.260077
209_4733_000009_000003	At ten years old, she had the misfortune of being able to answer questions which puzzled her sister at seventeen.	At ten years old, she had the misfortune of being able to answer questions which puzzled her sister at seventeen.	true	206.18	212.32	22
209_4733_000009_000004	She was always quick and assured: Isabella slow and diffident.	She was always quick and assured: Isabella slow and diffident.	true	212.66	216.91	25.717213
209_4733_000009_000005	And ever since she was twelve, Emma has been mistress of the house and of you all.	And ever since she was twelve, Emma has been mistress of the house and of you all.	true	217.25	221.77	20.674717
209_4733_000009_000006	In her mother she lost the only person able to cope with her.	In her mother she lost the only person able to cope with her.	true	222.26	225.37	23.729315
209_4733_000009_000007	She inherits her mother's talents, and must have been under subjection to her."	She inherits her mother's talents, and must have been under subjection to her."	true	226.01	230.32	26.087656
