209_4733_000000_000000	CHAPTER V	CHAPTER five
209_4733_000001_000000	"I do not know what your opinion may be, Mrs. Weston," said Mr. Knightley, "of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."	"I do not know what your opinion may be, mrs Weston," said mr Knightley, "of this great intimacy between Emma and Harriet Smith, but I think it a bad thing."
209_4733_000002_000000	"A bad thing!	"A bad thing!
209_4733_000003_000000	"I think they will neither of them do the other any good."	"I think they will neither of them do the other any good."
209_4733_000004_000000	"You surprize me!	"You surprize me!
209_4733_000004_000001	Emma must do Harriet good: and by supplying her with a new object of interest, Harriet may be said to do Emma good.	Emma must do Harriet good: and by supplying her with a new object of interest, Harriet may be said to do Emma good.
209_4733_000004_000002	I have been seeing their intimacy with the greatest pleasure.	I have been seeing their intimacy with the greatest pleasure.
209_4733_000004_000003	How very differently we feel!--Not think they will do each other any good!	How very differently we feel!--Not think they will do each other any good!
209_4733_000005_000000	"Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."	"Perhaps you think I am come on purpose to quarrel with you, knowing Weston to be out, and that you must still fight your own battle."
209_4733_000006_000000	"Mr. Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject.	"mr Weston would undoubtedly support me, if he were here, for he thinks exactly as I do on the subject.
209_4733_000006_000001	We were speaking of it only yesterday, and agreeing how fortunate it was for Emma, that there should be such a girl in Highbury for her to associate with.	We were speaking of it only yesterday, and agreeing how fortunate it was for Emma, that there should be such a girl in Highbury for her to associate with.
209_4733_000006_000002	Mr. Knightley, I shall not allow you to be a fair judge in this case.	mr Knightley, I shall not allow you to be a fair judge in this case.
209_4733_000006_000003	You are so much used to live alone, that you do not know the value of a companion; and, perhaps no man can be a good judge of the comfort a woman feels in the society of one of her own sex, after being used to it all her life.	You are so much used to live alone, that you do not know the value of a companion; and, perhaps no man can be a good judge of the comfort a woman feels in the society of one of her own sex, after being used to it all her life.
209_4733_000006_000004	I can imagine your objection to Harriet Smith.	I can imagine your objection to Harriet Smith.
209_4733_000006_000005	She is not the superior young woman which Emma's friend ought to be.	She is not the superior young woman which Emma's friend ought to be.
209_4733_000006_000006	But on the other hand, as Emma wants to see her better informed, it will be an inducement to her to read more herself.	But on the other hand, as Emma wants to see her better informed, it will be an inducement to her to read more herself.
209_4733_000007_000000	"Emma has been meaning to read more ever since she was twelve years old. I have seen a great many lists of her drawing-up at various times of books that she meant to read regularly through--and very good lists they were--very well chosen, and very neatly arranged--sometimes alphabetically, and sometimes by some other rule.	"Emma has been meaning to read more ever since she was twelve years old. I have seen a great many lists of her drawing up at various times of books that she meant to read regularly through-and very good lists they were-very well chosen, and very neatly arranged-sometimes alphabetically, and sometimes by some other rule.
209_4733_000007_000001	The list she drew up when only fourteen--I remember thinking it did her judgment so much credit, that I preserved it some time; and I dare say she may have made out a very good list now.	The list she drew up when only fourteen-I remember thinking it did her judgment so much credit, that I preserved it some time; and I dare say she may have made out a very good list now.
209_4733_000007_000002	But I have done with expecting any course of steady reading from Emma.	But I have done with expecting any course of steady reading from Emma.
209_4733_000007_000003	She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding.	She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding.
209_4733_000007_000004	Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."	Where Miss Taylor failed to stimulate, I may safely affirm that Harriet Smith will do nothing.--You never could persuade her to read half so much as you wished.--You know you could not."
209_4733_000009_000001	"But I," he soon added, "who have had no such charm thrown over my senses, must still see, hear, and remember.	"But I," he soon added, "who have had no such charm thrown over my senses, must still see, hear, and remember.
209_4733_000009_000002	Emma is spoiled by being the cleverest of her family.	Emma is spoiled by being the cleverest of her family.
209_4733_000009_000003	At ten years old, she had the misfortune of being able to answer questions which puzzled her sister at seventeen.	At ten years old, she had the misfortune of being able to answer questions which puzzled her sister at seventeen.
209_4733_000009_000004	She was always quick and assured: Isabella slow and diffident.	She was always quick and assured: Isabella slow and diffident.
209_4733_000009_000005	And ever since she was twelve, Emma has been mistress of the house and of you all.	And ever since she was twelve, Emma has been mistress of the house and of you all.
209_4733_000009_000006	In her mother she lost the only person able to cope with her.	In her mother she lost the only person able to cope with her.
209_4733_000009_000007	She inherits her mother's talents, and must have been under subjection to her."	She inherits her mother's talents, and must have been under subjection to her."
209_4733_000011_000002	But you were preparing yourself to be an excellent wife all the time you were at Hartfield.	But you were preparing yourself to be an excellent wife all the time you were at Hartfield.
209_4733_000012_000000	"Thank you.	"Thank you.
209_4733_000012_000001	There will be very little merit in making a good wife to such a man as Mr. Weston."	There will be very little merit in making a good wife to such a man as mr Weston."
209_4733_000013_000000	"Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne.	"Why, to own the truth, I am afraid you are rather thrown away, and that with every disposition to bear, there will be nothing to be borne.
209_4733_000013_000001	We will not despair, however.	We will not despair, however.
209_4733_000013_000002	Weston may grow cross from the wantonness of comfort, or his son may plague him."	Weston may grow cross from the wantonness of comfort, or his son may plague him."
209_4733_000014_000001	No, Mr. Knightley, do not foretell vexation from that quarter."	No, mr Knightley, do not foretell vexation from that quarter."
209_4733_000015_000000	"Not I, indeed.	"Not I, indeed.
209_4733_000015_000001	I only name possibilities.	I only name possibilities.
209_4733_000015_000002	I do not pretend to Emma's genius for foretelling and guessing.	I do not pretend to Emma's genius for foretelling and guessing.
209_4733_000015_000003	I hope, with all my heart, the young man may be a Weston in merit, and a Churchill in fortune.--But Harriet Smith--I have not half done about Harriet Smith.	I hope, with all my heart, the young man may be a Weston in merit, and a Churchill in fortune.--But Harriet Smith-I have not half done about Harriet Smith.
209_4733_000015_000004	I think her the very worst sort of companion that Emma could possibly have.	I think her the very worst sort of companion that Emma could possibly have.
209_4733_000015_000005	She knows nothing herself, and looks upon Emma as knowing every thing.	She knows nothing herself, and looks upon Emma as knowing every thing.
209_4733_000015_000007	How can Emma imagine she has any thing to learn herself, while Harriet is presenting such a delightful inferiority?	How can Emma imagine she has any thing to learn herself, while Harriet is presenting such a delightful inferiority?
209_4733_000015_000009	Hartfield will only put her out of conceit with all the other places she belongs to.	Hartfield will only put her out of conceit with all the other places she belongs to.
209_4733_000015_000010	She will grow just refined enough to be uncomfortable with those among whom birth and circumstances have placed her home.	She will grow just refined enough to be uncomfortable with those among whom birth and circumstances have placed her home.
209_4733_000015_000011	I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."	I am much mistaken if Emma's doctrines give any strength of mind, or tend at all to make a girl adapt herself rationally to the varieties of her situation in life.--They only give a little polish."
209_4733_000016_000000	"I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"	"I either depend more upon Emma's good sense than you do, or am more anxious for her present comfort; for I cannot lament the acquaintance. How well she looked last night!"
209_4733_000017_000000	"Oh! you would rather talk of her person than her mind, would you?	"Oh! you would rather talk of her person than her mind, would you?
209_4733_000017_000001	Very well; I shall not attempt to deny Emma's being pretty."	Very well; I shall not attempt to deny Emma's being pretty."
209_4733_000018_000000	"Pretty! say beautiful rather.	"Pretty! say beautiful rather.
209_4733_000018_000001	Can you imagine any thing nearer perfect beauty than Emma altogether--face and figure?"	Can you imagine any thing nearer perfect beauty than Emma altogether-face and figure?"
209_4733_000019_000000	"I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers.	"I do not know what I could imagine, but I confess that I have seldom seen a face or figure more pleasing to me than hers.
209_4733_000019_000001	But I am a partial old friend."	But I am a partial old friend."
209_4733_000020_000003	Mr. Knightley, is not she?"	mr Knightley, is not she?"
209_4733_000021_000000	"I have not a fault to find with her person," he replied.	"I have not a fault to find with her person," he replied.
209_4733_000021_000001	"I think her all you describe.	"I think her all you describe.
209_4733_000021_000002	I love to look at her; and I will add this praise, that I do not think her personally vain.	I love to look at her; and I will add this praise, that I do not think her personally vain.
209_4733_000021_000003	Considering how very handsome she is, she appears to be little occupied with it; her vanity lies another way.	Considering how very handsome she is, she appears to be little occupied with it; her vanity lies another way.
209_4733_000021_000004	Mrs. Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."	mrs Weston, I am not to be talked out of my dislike of Harriet Smith, or my dread of its doing them both harm."
209_4733_000022_000000	"And I, Mr. Knightley, am equally stout in my confidence of its not doing them any harm.	"And I, mr Knightley, am equally stout in my confidence of its not doing them any harm.
209_4733_000022_000002	Where shall we see a better daughter, or a kinder sister, or a truer friend?	Where shall we see a better daughter, or a kinder sister, or a truer friend?
209_4733_000023_000000	"Very well; I will not plague you any more.	"Very well; I will not plague you any more.
209_4733_000023_000001	Emma shall be an angel, and I will keep my spleen to myself till Christmas brings John and Isabella. John loves Emma with a reasonable and therefore not a blind affection, and Isabella always thinks as he does; except when he is not quite frightened enough about the children.	Emma shall be an angel, and I will keep my spleen to myself till Christmas brings john and Isabella. john loves Emma with a reasonable and therefore not a blind affection, and Isabella always thinks as he does; except when he is not quite frightened enough about the children.
209_4733_000023_000002	I am sure of having their opinions with me."	I am sure of having their opinions with me."
209_4733_000024_000000	"I know that you all love her really too well to be unjust or unkind; but excuse me, Mr. Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you.	"I know that you all love her really too well to be unjust or unkind; but excuse me, mr Knightley, if I take the liberty (I consider myself, you know, as having somewhat of the privilege of speech that Emma's mother might have had) the liberty of hinting that I do not think any possible good can arise from Harriet Smith's intimacy being made a matter of much discussion among you.
209_4733_000024_000001	Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself.	Pray excuse me; but supposing any little inconvenience may be apprehended from the intimacy, it cannot be expected that Emma, accountable to nobody but her father, who perfectly approves the acquaintance, should put an end to it, so long as it is a source of pleasure to herself.
209_4733_000024_000002	It has been so many years my province to give advice, that you cannot be surprized, Mr. Knightley, at this little remains of office."	It has been so many years my province to give advice, that you cannot be surprized, mr Knightley, at this little remains of office."
209_4733_000025_000000	"Not at all," cried he; "I am much obliged to you for it.	"Not at all," cried he; "I am much obliged to you for it.
209_4733_000025_000001	It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."	It is very good advice, and it shall have a better fate than your advice has often found; for it shall be attended to."
209_4733_000027_000000	"Be satisfied," said he, "I will not raise any outcry.	"Be satisfied," said he, "I will not raise any outcry.
209_4733_000027_000001	I will keep my ill-humour to myself.	I will keep my ill humour to myself.
209_4733_000027_000003	Isabella does not seem more my sister; has never excited a greater interest; perhaps hardly so great.	Isabella does not seem more my sister; has never excited a greater interest; perhaps hardly so great.
209_4733_000027_000004	There is an anxiety, a curiosity in what one feels for Emma.	There is an anxiety, a curiosity in what one feels for Emma.
209_4733_000027_000005	I wonder what will become of her!"	I wonder what will become of her!"
209_4733_000029_000000	"She always declares she will never marry, which, of course, means just nothing at all.	"She always declares she will never marry, which, of course, means just nothing at all.
209_4733_000029_000001	But I have no idea that she has yet ever seen a man she cared for.	But I have no idea that she has yet ever seen a man she cared for.
209_4733_000029_000002	It would not be a bad thing for her to be very much in love with a proper object.	It would not be a bad thing for her to be very much in love with a proper object.
209_4733_000029_000003	I should like to see Emma in love, and in some doubt of a return; it would do her good.	I should like to see Emma in love, and in some doubt of a return; it would do her good.
209_4733_000029_000004	But there is nobody hereabouts to attach her; and she goes so seldom from home."	But there is nobody hereabouts to attach her; and she goes so seldom from home."
209_4733_000030_000001	I do not recommend matrimony at present to Emma, though I mean no slight to the state, I assure you."	I do not recommend matrimony at present to Emma, though I mean no slight to the state, I assure you."
209_4733_000031_000001	There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which Mr. Knightley soon afterwards made to "What does Weston think of the weather; shall we have rain?" convinced her that he had nothing more to say or surmise about Hartfield.	There were wishes at Randalls respecting Emma's destiny, but it was not desirable to have them suspected; and the quiet transition which mr Knightley soon afterwards made to "What does Weston think of the weather; shall we have rain?" convinced her that he had nothing more to say or surmise about Hartfield.
