8772_270777_000004_000000	We think we have advanced too rapidly.	We think we have advanced too rapidly.
8772_270777_000004_000001	Let us go back a little.	Let us go back a little.
8772_270777_000004_000003	But here again we digress from the history of the evolution of our knowledge, for as a matter of fact we become aware of dreams entirely free of distortion only after the consistent application of our method of interpretation and after complete analysis of the distorted dream.	But here again we digress from the history of the evolution of our knowledge, for as a matter of fact we become aware of dreams entirely free of distortion only after the consistent application of our method of interpretation and after complete analysis of the distorted dream.
8772_270777_000005_000002	But do not think that all children's dreams are like this.	But do not think that all children's dreams are like this.
8772_270777_000005_000003	Dream distortion makes its appearance very early in childhood, and dreams of children from five to eight years of age have been recorded that showed all the characteristics of later dreams.	Dream distortion makes its appearance very early in childhood, and dreams of children from five to eight years of age have been recorded that showed all the characteristics of later dreams.
8772_270777_000005_000004	But if you will limit yourselves to the age beginning with conscious psychic activity, up to the fourth or fifth year, you will discover a series of dreams that are of a so-called infantile character.	But if you will limit yourselves to the age beginning with conscious psychic activity, up to the fourth or fifth year, you will discover a series of dreams that are of a so-called infantile character.
8772_270777_000005_000006	Even among adults, dreams that closely resemble the typically infantile ones occur under certain conditions.	Even among adults, dreams that closely resemble the typically infantile ones occur under certain conditions.
8772_270777_000007_000000	1.	one.
8772_270777_000007_000001	For the understanding of these dreams we need no analysis, no technical methods.	For the understanding of these dreams we need no analysis, no technical methods.
8772_270777_000007_000002	We need not question the child that is giving an account of his dream.	We need not question the child that is giving an account of his dream.
8772_270777_000008_000000	We shall now consider a few examples so that we may base our further deductions upon them.	We shall now consider a few examples so that we may base our further deductions upon them.
8772_270777_000009_000001	A boy of 22 months is to present a basket of cherries as a birthday gift.	A boy of twenty two months is to present a basket of cherries as a birthday gift.
8772_270777_000010_000001	A little girl of three and a quarter years makes her first trip across a lake.	A little girl of three and a quarter years makes her first trip across a lake.
8772_270777_000010_000002	At the landing she does not want to leave the boat and cries bitterly.	At the landing she does not want to leave the boat and cries bitterly.
8772_270777_000010_000003	The time of the trip seems to her to have passed entirely too rapidly.	The time of the trip seems to her to have passed entirely too rapidly.
8772_270777_000011_000001	A boy of five and a quarter years is taken on an excursion into the Escherntal near Hallstatt.	A boy of five and a quarter years is taken on an excursion into the Escherntal near Hallstatt.
8772_270777_000011_000003	The child had tried again and again to see it through the telescope, with what result no one knew.	The child had tried again and again to see it through the telescope, with what result no one knew.
8772_270777_000011_000004	He started on the excursion in a joyously expectant mood.	He started on the excursion in a joyously expectant mood.
8772_270777_000011_000005	Whenever a new mountain came in sight the boy asked, "Is that the Dachstein?"	Whenever a new mountain came in sight the boy asked, "Is that the Dachstein?"
8772_270777_000011_000006	The oftener this question was answered in the negative, the more moody he became; later he became entirely silent and would not take part in a small climb to a waterfall.	The oftener this question was answered in the negative, the more moody he became; later he became entirely silent and would not take part in a small climb to a waterfall.
8772_270777_000011_000008	The only detail he gave was one he had heard before, "you had to climb steps for six hours."	The only detail he gave was one he had heard before, "you had to climb steps for six hours."
8772_270777_000013_000002	You will recall what I represented to you as the medical opinion concerning the dream, the simile of untrained fingers wandering aimlessly over the keys of the piano.	You will recall what I represented to you as the medical opinion concerning the dream, the simile of untrained fingers wandering aimlessly over the keys of the piano.
8772_270777_000013_000003	You cannot fail to see how decidedly these dreams of childhood are opposed to this conception.	You cannot fail to see how decidedly these dreams of childhood are opposed to this conception.
8772_270777_000013_000005	Indeed, we have every reason to attribute the more normal and deeper sleep to the child.	Indeed, we have every reason to attribute the more normal and deeper sleep to the child.
8772_270777_000014_000000	3.	three.
8772_270777_000014_000001	Dream distortion is lacking in these dreams, therefore they need no interpretation.	Dream distortion is lacking in these dreams, therefore they need no interpretation.
8772_270777_000014_000002	The manifest and latent dreams are merged.	The manifest and latent dreams are merged.
8772_270777_000014_000004	But upon closer consideration we shall have to admit of a tiny bit of distortion, a certain differentiation between manifest dream content and latent dream thought, even in these dreams.	But upon closer consideration we shall have to admit of a tiny bit of distortion, a certain differentiation between manifest dream content and latent dream thought, even in these dreams.
8772_270777_000015_000001	The child's dream is a reaction to an experience of the day, which has left behind it a regret, a longing or an unfulfilled desire.	The child's dream is a reaction to an experience of the day, which has left behind it a regret, a longing or an unfulfilled desire.
8772_270777_000015_000003	We learned definite facts about this, but could only explain a very small number of dreams in this way.	We learned definite facts about this, but could only explain a very small number of dreams in this way.
8772_270777_000015_000004	In these children's dreams nothing points to the influence of such somatic stimuli; we cannot be mistaken, for the dreams are entirely intelligible and easy to survey. But we need not give up the theory of physical causation entirely on this account.	In these children's dreams nothing points to the influence of such somatic stimuli; we cannot be mistaken, for the dreams are entirely intelligible and easy to survey. But we need not give up the theory of physical causation entirely on this account.
8772_270777_000015_000006	The dreamer does not wish to interrupt his life, but would rather continue his work with the things that occupy him, and for this reason he does not sleep.	The dreamer does not wish to interrupt his life, but would rather continue his work with the things that occupy him, and for this reason he does not sleep.
8772_270777_000015_000007	The unfulfilled wish, to which he reacts by means of the dream, is the psychic sleep-disturbing stimulus for the child.	The unfulfilled wish, to which he reacts by means of the dream, is the psychic sleep disturbing stimulus for the child.
8772_270777_000016_000002	The dream, as a reaction to the psychic stimulus, must have the value of a release of this stimulus which results in its elimination and in the continuation of sleep.	The dream, as a reaction to the psychic stimulus, must have the value of a release of this stimulus which results in its elimination and in the continuation of sleep.
8772_270777_000016_000004	It is true, we think we would have slept better if we had not dreamt, but here we are wrong; as a matter of fact, we would not have slept at all without the help of the dream.	It is true, we think we would have slept better if we had not dreamt, but here we are wrong; as a matter of fact, we would not have slept at all without the help of the dream.
8772_270777_000016_000006	It could not help disturbing us slightly, just as the night watchman often cannot avoid making a little noise while he drives away the rioters who would awaken us with their noise.	It could not help disturbing us slightly, just as the night watchman often cannot avoid making a little noise while he drives away the rioters who would awaken us with their noise.
8772_270777_000017_000000	6.	six.
8772_270777_000017_000001	One main characteristic of the dream is that a wish is its source, and that the content of the dream is the gratification of this wish. Another equally constant feature is that the dream does not merely express a thought, but also represents the fulfillment of this wish in the form of a hallucinatory experience.	One main characteristic of the dream is that a wish is its source, and that the content of the dream is the gratification of this wish. Another equally constant feature is that the dream does not merely express a thought, but also represents the fulfillment of this wish in the form of a hallucinatory experience.
8772_270777_000017_000003	In the interpretation of the dream it is of utmost importance that this change be traced back.	In the interpretation of the dream it is of utmost importance that this change be traced back.
8772_270777_000017_000005	Only extensive investigation can ascertain that the cause of the dream must always be a wish, and cannot also be an anxiety, a plan or a reproach; but this does not alter the other characteristic, that the dream does not simply reproduce the stimulus but by experiencing it anew, as it were, removes, expells and settles it.	Only extensive investigation can ascertain that the cause of the dream must always be a wish, and cannot also be an anxiety, a plan or a reproach; but this does not alter the other characteristic, that the dream does not simply reproduce the stimulus but by experiencing it anew, as it were, removes, expells and settles it.
8772_270777_000018_000000	7.	seven.
8772_270777_000018_000003	The dream fits into the same scheme.	The dream fits into the same scheme.
8772_270777_000018_000005	For the interfering tendency we substitute the psychic stimulus, the wish which strives for its fulfillment, let us say, for thus far we are not familiar with any other sleep-disturbing psychic stimulus.	For the interfering tendency we substitute the psychic stimulus, the wish which strives for its fulfillment, let us say, for thus far we are not familiar with any other sleep disturbing psychic stimulus.
8772_270777_000018_000007	We sleep, and yet we experience the removal of a wish; we gratify the wish, but at the same time continue to sleep. Both are partly carried out and partly given up.	We sleep, and yet we experience the removal of a wish; we gratify the wish, but at the same time continue to sleep. Both are partly carried out and partly given up.
8772_270777_000019_000000	8.	eight.
8772_270777_000019_000003	In this instance, therefore, the less firmly established of the two main characteristics of the dream holds, while the other proves itself entirely dependent upon the condition of sleep and impossible to the waking state.	In this instance, therefore, the less firmly established of the two main characteristics of the dream holds, while the other proves itself entirely dependent upon the condition of sleep and impossible to the waking state.
8772_270777_000019_000004	In colloquial usage, therefore, there is a presentment of the fact that the fulfillment of a wish is a main characteristic of the dream.	In colloquial usage, therefore, there is a presentment of the fact that the fulfillment of a wish is a main characteristic of the dream.
8772_270777_000019_000006	For day dreaming is an activity closely bound up in gratification and is, indeed, pursued only for this reason.	For day dreaming is an activity closely bound up in gratification and is, indeed, pursued only for this reason.
8772_270777_000020_000000	Not only this but other colloquial usages also express the same feeling. Well-known proverbs say, "The pig dreams of acorns, the goose of maize," or ask, "Of what does the hen dream?	Not only this but other colloquial usages also express the same feeling. well-known proverbs say, "The pig dreams of acorns, the goose of maize," or ask, "Of what does the hen dream?
8772_270777_000020_000002	Many turns of speech seem to point to the same thing--"dreamlike beauty,"	Many turns of speech seem to point to the same thing-"dreamlike beauty,"
8772_270777_000020_000003	"I should never have dreamed of that," "in my wildest dreams I hadn't imagined that." This is open partisanship on the part of colloquial usage.	"I should never have dreamed of that," "in my wildest dreams I hadn't imagined that." This is open partisanship on the part of colloquial usage.
8772_270777_000020_000005	It is true that common usage recognizes "bad" dreams, but still the dream plainly connotates to it only the beautiful wish fulfillment.	It is true that common usage recognizes "bad" dreams, but still the dream plainly connotates to it only the beautiful wish fulfillment.
8772_270777_000020_000006	There is indeed no proverb that tells us that the pig or the goose dreams of being slaughtered.	There is indeed no proverb that tells us that the pig or the goose dreams of being slaughtered.
8772_270777_000021_000001	Indeed, this was very often the case, but none of them thought of acknowledging this characteristic as universal and of making it the basis of an explanation of the dream. We can easily imagine what may have deterred them and shall discuss it subsequently.	Indeed, this was very often the case, but none of them thought of acknowledging this characteristic as universal and of making it the basis of an explanation of the dream. We can easily imagine what may have deterred them and shall discuss it subsequently.
8772_270777_000022_000001	And we were almost able to forget that we are engaged in psychoanalysis.	And we were almost able to forget that we are engaged in psychoanalysis.
8772_270777_000022_000002	Aside from its connection with errors our work has no specific connotation.	Aside from its connection with errors our work has no specific connotation.
8772_270777_000022_000003	Any psychologist, who is entirely ignorant of the claims of psychoanalysis, could have given this explanation of children's dreams.	Any psychologist, who is entirely ignorant of the claims of psychoanalysis, could have given this explanation of children's dreams.
8772_270777_000023_000000	If there were only infantile dreams, our problem would be solved, our task accomplished, and that without questioning the dreamer, or approaching the unconscious, and without taking free association into consideration.	If there were only infantile dreams, our problem would be solved, our task accomplished, and that without questioning the dreamer, or approaching the unconscious, and without taking free association into consideration.
8772_270777_000023_000001	The continuation of our task plainly lies in this direction.	The continuation of our task plainly lies in this direction.
8772_270777_000023_000002	We have already repeatedly had the experience that characteristics that at first seemed universally true, have subsequently held good only for a certain kind and for a certain number of dreams.	We have already repeatedly had the experience that characteristics that at first seemed universally true, have subsequently held good only for a certain kind and for a certain number of dreams.
8772_270777_000023_000003	It is therefore for us to decide whether the common characteristics which we have gathered from children's dreams can be applied universally, whether they also hold for those dreams that are not transparent, whose manifest content shows no connection with wishes left over from the previous day.	It is therefore for us to decide whether the common characteristics which we have gathered from children's dreams can be applied universally, whether they also hold for those dreams that are not transparent, whose manifest content shows no connection with wishes left over from the previous day.
8772_270777_000023_000005	We also suspect that for the explanation of this distortion we shall need the psychoanalytic method which we could dispense with in the understanding of children's dreams.	We also suspect that for the explanation of this distortion we shall need the psychoanalytic method which we could dispense with in the understanding of children's dreams.
8772_270777_000024_000001	It is those that are called up throughout life by the imperative needs of the body--hunger, thirst, sexual desire--hence wish fulfillments in reaction to internal physical stimuli.	It is those that are called up throughout life by the imperative needs of the body-hunger, thirst, sexual desire-hence wish fulfillments in reaction to internal physical stimuli.
8772_270777_000024_000002	For this reason, I have noted the dream of a young girl, that consisted of a menu following her name (Anna F......, strawberry, huckleberry, egg-dish, pap), as a reaction to an enforced day of fasting on account of a spoiled stomach, which was directly traceable to the eating of the fruits twice mentioned in the dream.	For this reason, I have noted the dream of a young girl, that consisted of a menu following her name (Anna f....., strawberry, huckleberry, egg dish, pap), as a reaction to an enforced day of fasting on account of a spoiled stomach, which was directly traceable to the eating of the fruits twice mentioned in the dream.
8772_270777_000024_000005	"Very significant in determining the trend of our inmost thoughts were our dreams, which were never more vivid and numerous than just at this time.	"Very significant in determining the trend of our inmost thoughts were our dreams, which were never more vivid and numerous than just at this time.
8772_270777_000024_000007	All of them dealt with that outside world that now was so far away from us, but often they fitted into our present condition.	All of them dealt with that outside world that now was so far away from us, but often they fitted into our present condition.
8772_270777_000024_000008	Food and drink were most often the pivots about which our dreams revolved.	Food and drink were most often the pivots about which our dreams revolved.
8772_270777_000024_000009	One of us, who excelled in going to great dinners in his sleep, was most happy whenever he could tell us in the morning that he attended a dinner of three courses; another one dreamed of tobacco, whole mountains of tobacco; still another dreamed of a ship that came along on the open sea, under full sail.	One of us, who excelled in going to great dinners in his sleep, was most happy whenever he could tell us in the morning that he attended a dinner of three courses; another one dreamed of tobacco, whole mountains of tobacco; still another dreamed of a ship that came along on the open sea, under full sail.
8772_270777_000024_000012	It would surely be of great psychological interest if all these dreams were recorded.	It would surely be of great psychological interest if all these dreams were recorded.
8772_270777_000024_000014	"Mungo Park, who during a trip in Africa was almost exhausted, dreamed without interruption of the fertile valleys and fields of his home.	"Mungo Park, who during a trip in Africa was almost exhausted, dreamed without interruption of the fertile valleys and fields of his home.
8772_270777_000025_000000	A man who feels great thirst at night after enjoying highly seasoned food for supper, often dreams that he is drinking.	A man who feels great thirst at night after enjoying highly seasoned food for supper, often dreams that he is drinking.
8772_270777_000025_000001	It is of course impossible to satisfy a rather strong desire for food or drink by means of the dream; from such a dream one awakes thirsty and must now drink real water.	It is of course impossible to satisfy a rather strong desire for food or drink by means of the dream; from such a dream one awakes thirsty and must now drink real water.
8772_270777_000025_000002	The effect of the dream is in this case practically trifling, but it is none the less clear that it was called up for the purpose of maintaining the sleep in spite of the urgent impulse to awake and to act.	The effect of the dream is in this case practically trifling, but it is none the less clear that it was called up for the purpose of maintaining the sleep in spite of the urgent impulse to awake and to act.
8772_270777_000026_000000	In a like manner, under the influence of sexual stimuli, the dream brings about satisfaction that shows noteworthy peculiarities.	In a like manner, under the influence of sexual stimuli, the dream brings about satisfaction that shows noteworthy peculiarities.
