7498_99157_000002_000000	ELIZABETH BLACKWELL.	ELIZABETH BLACKWELL.
7498_99157_000003_000000	[1720.]	[seventeen twenty.]
7498_99157_000004_000000	JAMES BRUCE.	james BRUCE.
7498_99157_000005_000001	Elizabeth Blackwell was the daughter of a stocking merchant in Aberdeen, where she was born about the beginning of last century.	Elizabeth Blackwell was the daughter of a stocking merchant in Aberdeen, where she was born about the beginning of last century.
7498_99157_000005_000002	The first event of her life which is now known, was her secret marriage with Alexander Blackwell, and her elopement with him to London.	The first event of her life which is now known, was her secret marriage with Alexander Blackwell, and her elopement with him to London.
7498_99157_000005_000003	He had received a finished education, and was an accurate Greek and Latin scholar.	He had received a finished education, and was an accurate Greek and Latin scholar.
7498_99157_000005_000004	He had studied medicine under the famous Boerhaave, and, in travelling over the Continent, had lived in the best society, and had acquired an extensive knowledge of the modern languages.	He had studied medicine under the famous Boerhaave, and, in travelling over the Continent, had lived in the best society, and had acquired an extensive knowledge of the modern languages.
7498_99157_000005_000005	He was, however, unsuccessful in his endeavours to secure a comfortable livelihood.	He was, however, unsuccessful in his endeavours to secure a comfortable livelihood.
7498_99157_000005_000006	After having in vain attempted to get into practice as a physician, and having now a wife also to provide for, he applied for the situation of corrector of the press to a printer of the name of Wilkins, and for some time continued in that employment.	After having in vain attempted to get into practice as a physician, and having now a wife also to provide for, he applied for the situation of corrector of the press to a printer of the name of Wilkins, and for some time continued in that employment.
7498_99157_000005_000007	He then set up a printing establishment in the Strand, but became involved in debt, and was thrown into prison.	He then set up a printing establishment in the Strand, but became involved in debt, and was thrown into prison.
7498_99157_000006_000000	It was this circumstance that brought into practice the talents and virtues of Mrs Blackwell.	It was this circumstance that brought into practice the talents and virtues of Mrs Blackwell.
7498_99157_000006_000001	She resolved, by an unexampled labour for a woman, to effect the delivery of her husband.	She resolved, by an unexampled labour for a woman, to effect the delivery of her husband.
7498_99157_000006_000002	She had in her girlish days practised the drawing and colouring of flowers, a suitable and amiable accomplishment of her sex.	She had in her girlish days practised the drawing and colouring of flowers, a suitable and amiable accomplishment of her sex.
7498_99157_000006_000004	She now engaged in a labour which is at once a noble and marvellous monument of her enthusiastic and untiring conjugal affection, and interesting evidence of the elegant and truly womanly nature of her own mind.	She now engaged in a labour which is at once a noble and marvellous monument of her enthusiastic and untiring conjugal affection, and interesting evidence of the elegant and truly womanly nature of her own mind.
7498_99157_000006_000005	Having submitted her first drawings to Sir Hans Sloane and Dr Mead, these eminent physicians encouraged her to proceed with the work.	Having submitted her first drawings to Sir Hans Sloane and Dr Mead, these eminent physicians encouraged her to proceed with the work.
7498_99157_000006_000006	She also received the kindest countenance from Mr Philip Miller, a well-known writer on horticulture.	She also received the kindest countenance from Mr Philip Miller, a well-known writer on horticulture.
7498_99157_000006_000007	Amongst those who were honoured in patronising her labour of piety was Mr Rand of the Botanical Garden at Chelsea.	Amongst those who were honoured in patronising her labour of piety was Mr Rand of the Botanical Garden at Chelsea.
7498_99157_000006_000008	By his advice Mrs Blackwell took lodgings in the neighbourhood of this garden, from which she was furnished with all the flowers and plants which she required for her work.	By his advice Mrs Blackwell took lodgings in the neighbourhood of this garden, from which she was furnished with all the flowers and plants which she required for her work.
7498_99157_000006_000009	Of these she made drawings, which she engraved on copper, and coloured with her own hands.	Of these she made drawings, which she engraved on copper, and coloured with her own hands.
7498_99157_000006_000010	Her husband supplied the Latin names and the descriptions of the plants, which were taken principally from Miller's "Botanicum Officinale," with the author's permission.	Her husband supplied the Latin names and the descriptions of the plants, which were taken principally from Miller's "Botanicum Officinale," with the author's permission.
7498_99157_000007_000002	Blackwell."	Blackwell."
7498_99157_000007_000003	The profits which Mrs Blackwell received from this work enabled her to relieve her husband from prison.	The profits which Mrs Blackwell received from this work enabled her to relieve her husband from prison.
7498_99157_000007_000004	The adventures of Blackwell after his release are well known.	The adventures of Blackwell after his release are well known.
7498_99157_000007_000006	He went there, leaving his wife in England.	He went there, leaving his wife in England.
7498_99157_000007_000007	He was received with honour at the court of Stockholm, where he lived with the prime minister, in the enjoyment of a salary from the government. During this period of prosperity he had continued to send large sums of money to his wife, who was now making arrangements to leave England with her only child and join her husband.	He was received with honour at the court of Stockholm, where he lived with the prime minister, in the enjoyment of a salary from the government. During this period of prosperity he had continued to send large sums of money to his wife, who was now making arrangements to leave England with her only child and join her husband.
7498_99157_000007_000009	A conspiracy against the constitution of Sweden was formed by Count Tessin; and Blackwell, it is believed innocently, was suspected of being concerned in the plot.	A conspiracy against the constitution of Sweden was formed by Count Tessin; and Blackwell, it is believed innocently, was suspected of being concerned in the plot.
