2823_160964_000000_000000	THE THREE SILLIES	THE THREE SILLIES
2823_160964_000001_000000	ADAPTED BY JOSEPH JACOBS	ADAPTED BY JOSEPH JACOBS
2823_160964_000002_000000	Once upon a time there was a farmer and his wife who had one daughter, and she was courted by a gentleman.	Once upon a time there was a farmer and his wife who had one daughter, and she was courted by a gentleman.
2823_160964_000002_000001	Every evening he used to come and see her, and stop to supper at the farmhouse, and the daughter used to be sent down into the cellar to draw the beer for supper.	Every evening he used to come and see her, and stop to supper at the farmhouse, and the daughter used to be sent down into the cellar to draw the beer for supper.
2823_160964_000002_000002	So one evening she had gone down to draw the beer, and she happened to look up at the ceiling while she was drawing, and she saw a mallet stuck in one of the beams.	So one evening she had gone down to draw the beer, and she happened to look up at the ceiling while she was drawing, and she saw a mallet stuck in one of the beams.
2823_160964_000002_000003	It must have been there a long, long time, but somehow or other she had never noticed it before, and she began a-thinking.	It must have been there a long, long time, but somehow or other she had never noticed it before, and she began a thinking.
2823_160964_000003_000002	"Oh, mother!" says she, "look at that horrid mallet!	"Oh, mother!" says she, "look at that horrid mallet!
2823_160964_000003_000004	what a dreadful thing it would be!" said the mother, and she sat her down beside the daughter and started crying too.	what a dreadful thing it would be!" said the mother, and she sat her down beside the daughter and started crying too.
2823_160964_000003_000005	Then after a bit the father began to wonder that they didn't come back, and he went down into the cellar to look after them himself, and there they two sat crying, and the beer running all over the floor.	Then after a bit the father began to wonder that they didn't come back, and he went down into the cellar to look after them himself, and there they two sat crying, and the beer running all over the floor.
2823_160964_000004_000001	And he ran straight and turned the tap. Then he said: "Whatever are you three doing, sitting there crying, and letting the beer run all over the floor?" "Oh!" says the father, "look at that horrid mallet!	And he ran straight and turned the tap. Then he said: "Whatever are you three doing, sitting there crying, and letting the beer run all over the floor?" "Oh!" says the father, "look at that horrid mallet!
2823_160964_000004_000002	Suppose you and our daughter was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him!" And then they all started crying worse than before.	Suppose you and our daughter was to be married, and was to have a son, and he was to grow up, and was to come down into the cellar to draw the beer, and the mallet was to fall on his head and kill him!" And then they all started crying worse than before.
2823_160964_000005_000000	Well, he set out, and he traveled a long way, and at last he came to a woman's cottage that had some grass growing on the roof.	Well, he set out, and he traveled a long way, and at last he came to a woman's cottage that had some grass growing on the roof.
2823_160964_000005_000001	And the woman was trying to get her cow to go up a ladder to the grass, and the poor thing durst not go.	And the woman was trying to get her cow to go up a ladder to the grass, and the poor thing durst not go.
2823_160964_000005_000002	So the gentleman asked the woman what she was doing.	So the gentleman asked the woman what she was doing.
2823_160964_000005_000003	"Why, lookye," she said, "look at all that beautiful grass.	"Why, lookye," she said, "look at all that beautiful grass.
2823_160964_000005_000006	And the gentleman went on his way, but he hadn't gone far when the cow tumbled off the roof, and hung by the string tied round her neck, and it strangled her.	And the gentleman went on his way, but he hadn't gone far when the cow tumbled off the roof, and hung by the string tied round her neck, and it strangled her.
2823_160964_000006_000000	Well, that was one big silly.	Well, that was one big silly.
2823_160964_000007_000002	At last he stopped and wiped his face with his handkerchief.	At last he stopped and wiped his face with his handkerchief.
2823_160964_000007_000004	I can't think who could have invented such things.	I can't think who could have invented such things.
2823_160964_000007_000005	It takes me the best part of an hour to get into mine every morning, and I get so hot!	It takes me the best part of an hour to get into mine every morning, and I get so hot!
2823_160964_000009_000001	And they had rakes, and brooms, and pitchforks, reaching into the pond; and the gentleman asked what was the matter. "Why," they say, "matter enough!	And they had rakes, and brooms, and pitchforks, reaching into the pond; and the gentleman asked what was the matter. "Why," they say, "matter enough!
2823_160964_000010_000001	So the gentleman turned back home again and married the farmer's daughter, and if they didn't live happy for ever after, that's nothing to do with you or me.	So the gentleman turned back home again and married the farmer's daughter, and if they didn't live happy for ever after, that's nothing to do with you or me.
