2481_163597_000000_000000	And as the King was old and had no heirs, he put them on the throne in his place.	And as the King was old and had no heirs, he put them on the throne in his place.	false	0	7.08	24.401001
2481_163597_000000_000001	And they ruled as only kings rule who have suffered many things.	And they ruled as only kings rule who have suffered many things.	false	7.08	10.35	21.632019
2481_163597_000000_000002	And if they are not dead they are still living and ruling happily.(8)	And if they are not dead they are still living and ruling happily.(eight)	false	10.35	14.7	25.251074
2481_163597_000001_000000	(8) Rumanische Marchen ubersetzt von Nite Kremnitz.	(eight) Rumanische Marchen ubersetzt von Nite Kremnitz.	false	14.7	18.27	26.893951
2481_163597_000002_000000	THE NORKA	THE NORKA	true	18.27	19.27	32.01031
2481_163597_000003_000000	ONCE upon a time there lived a King and Queen.	ONCE upon a time there lived a King and Queen.	false	19.82	23.11	23
2481_163597_000003_000001	They had three sons, two of them with their wits about them, but the third a simpleton.	They had three sons, two of them with their wits about them, but the third a simpleton.	true	23.33	28.99	24.301277
2481_163597_000003_000002	Now the King had a deer park in which were quantities of wild animals of different kinds.	Now the King had a deer park in which were quantities of wild animals of different kinds.	true	29.12	34.51	24.791378
2481_163597_000003_000003	Into that park there used to come a huge beast--Norka was its name--and do fearful mischief, devouring some of the animals every night.	Into that park there used to come a huge beast-Norka was its name-and do fearful mischief, devouring some of the animals every night.	true	34.64	44.38	23.34083
2481_163597_000003_000004	The King did all he could, but he was unable to destroy it. So at last he called his sons together and said, 'Whoever will destroy the Norka, to him will I give the half of my kingdom.'	The King did all he could, but he was unable to destroy it. So at last he called his sons together and said, 'Whoever will destroy the Norka, to him will I give the half of my kingdom.'	true	44.72	57.22	23.675186
2481_163597_000004_000000	Well, the eldest son undertook the task.	Well, the eldest son undertook the task.	true	57.71	60.91	23.120016
2481_163597_000004_000001	As soon as it was night, he took his weapons and set out.	As soon as it was night, he took his weapons and set out.	true	60.95	64.51	20.270771
2481_163597_000004_000002	But before he reached the park, he went into a traktir (or tavern), and there he spent the whole night in revelry.	But before he reached the park, he went into a traktir (or tavern), and there he spent the whole night in revelry.	true	64.7	72.73	24.23302
2481_163597_000004_000003	When he came to his senses it was too late; the day had already dawned.	When he came to his senses it was too late; the day had already dawned.	true	72.8	76.75	24.161564
2481_163597_000004_000004	He felt himself disgraced in the eyes of his father, but there was no help for it.	He felt himself disgraced in the eyes of his father, but there was no help for it.	true	76.88	81.25	22.187344
2481_163597_000004_000005	The next day the second son went, and did just the same.	The next day the second son went, and did just the same.	true	81.44	85.09	23.040981
2481_163597_000004_000006	Their father scolded them both soundly, and there was an end of it.	Their father scolded them both soundly, and there was an end of it.	true	85.28	89.44	24.002792
2481_163597_000005_000000	Well, on the third day the youngest son undertook the task.	Well, on the third day the youngest son undertook the task.	true	90.08	93.735	25.478603
2481_163597_000005_000001	They all laughed him to scorn, because he was so stupid, feeling sure he wouldn't do anything.	They all laughed him to scorn, because he was so stupid, feeling sure he wouldn't do anything.	true	93.735	99.55	24.347908
2481_163597_000005_000002	But he took his arms, and went straight into the park, and sat down on the grass in such a position that the moment he went asleep his weapons would prick him, and he would awake.	But he took his arms, and went straight into the park, and sat down on the grass in such a position that the moment he went asleep his weapons would prick him, and he would awake.	false	99.71	110.32	25.85328
2481_163597_000006_000000	Presently the midnight hour sounded.	Presently the midnight hour sounded.	true	110.78	113.08	21.027243
2481_163597_000006_000001	The earth began to shake, and the Norka came rushing up, and burst right through the fence into the park, so huge was it.	The earth began to shake, and the Norka came rushing up, and burst right through the fence into the park, so huge was it.	true	113.09	121.06	20.875732
2481_163597_000006_000002	The Prince pulled himself together, leapt to his feet, crossed himself, and went straight at the beast.	The Prince pulled himself together, leapt to his feet, crossed himself, and went straight at the beast.	true	121.49	127.9	25.091766
2481_163597_000006_000003	It fled back, and the Prince ran after it.	It fled back, and the Prince ran after it.	true	128	131.11	23.475525
2481_163597_000006_000004	But he soon saw that he couldn't catch it on foot, so he hastened to the stable, laid his hands on the best horse there, and set off in pursuit.	But he soon saw that he couldn't catch it on foot, so he hastened to the stable, laid his hands on the best horse there, and set off in pursuit.	true	131.15	139.99	22.247227
2481_163597_000006_000005	Presently he came up with the beast, and they began a fight.	Presently he came up with the beast, and they began a fight.	true	140.33	144.25	23.669643
2481_163597_000006_000006	They fought and fought; the Prince gave the beast three wounds.	They fought and fought; the Prince gave the beast three wounds.	true	144.38	148.45	24.975788
2481_163597_000006_000007	At last they were both utterly exhausted, so they lay down to take a short rest.	At last they were both utterly exhausted, so they lay down to take a short rest.	true	148.7	154.48	27.911163
2481_163597_000006_000008	But the moment the Prince closed his eyes, up jumped the beast and took to flight.	But the moment the Prince closed his eyes, up jumped the beast and took to flight.	true	154.52	159.79	25.718212
2481_163597_000006_000009	The Prince's horse awoke him; up he jumped in a moment, and set off again in pursuit, caught up the beast, and again began fighting with it.	The Prince's horse awoke him; up he jumped in a moment, and set off again in pursuit, caught up the beast, and again began fighting with it.	false	159.86	168.91	23.48392
2481_163597_000006_000010	Again the Prince gave the beast three wounds, and then he and the beast lay down again to rest.	Again the Prince gave the beast three wounds, and then he and the beast lay down again to rest.	true	169.01	175.215	24.87731
2481_163597_000006_000011	Thereupon away fled the beast as before.	Thereupon away fled the beast as before.	true	175.215	178.39	25.032234
2481_163597_000006_000012	The Prince caught it up, and again gave it three wounds.	The Prince caught it up, and again gave it three wounds.	true	178.61	182.41	24.141655
2481_163597_000006_000013	But all of a sudden, just as the Prince began chasing it for the fourth time, the beast fled to a great white stone, tilted it up, and escaped into the other world, crying out to the Prince: 'Then only will you overcome me, when you enter here.'	But all of a sudden, just as the Prince began chasing it for the fourth time, the beast fled to a great white stone, tilted it up, and escaped into the other world, crying out to the Prince: 'Then only will you overcome me, when you enter here.'	true	182.48	199.93	26.06856
2481_163597_000007_000000	The Prince went home, told his father all that had happened, and asked him to have a leather rope plaited, long enough to reach to the other world.	The Prince went home, told his father all that had happened, and asked him to have a leather rope plaited, long enough to reach to the other world.	true	200.66	210.1	22.366222
2481_163597_000007_000001	His father ordered this to be done.	His father ordered this to be done.	true	210.2	212.56	25.193823
2481_163597_000007_000002	When the rope was made, the Prince called for his brothers, and he and they, having taken servants with them, and everything that was needed for a whole year, set out for the place where the beast had disappeared under the stone.	When the rope was made, the Prince called for his brothers, and he and they, having taken servants with them, and everything that was needed for a whole year, set out for the place where the beast had disappeared under the stone.	true	212.72	227.32	24.591118
2481_163597_000007_000003	When they got there, they built a palace on the spot, and lived in it for some time. But when everything was ready, the youngest brother said to the others: 'Now, brothers, who is going to lift this stone?'	When they got there, they built a palace on the spot, and lived in it for some time. But when everything was ready, the youngest brother said to the others: 'Now, brothers, who is going to lift this stone?'	true	227.45	240.37	26.751812
2481_163597_000008_000000	Neither of them could so much as stir it, but as soon as he touched it, away it flew to a distance, though it was ever so big--big as a hill. And when he had flung the stone aside, he spoke a second time to his brothers, saying:	Neither of them could so much as stir it, but as soon as he touched it, away it flew to a distance, though it was ever so big-big as a hill. And when he had flung the stone aside, he spoke a second time to his brothers, saying:	true	240.59	254.68	24.314106
2481_163597_000009_000000	'Who is going into the other world, to overcome the Norka?'	'Who is going into the other world, to overcome the Norka?'	true	254.99	259.09	26.13316
2481_163597_000010_000000	Neither of them offered to do so.	Neither of them offered to do so.	true	259.1	261.16	27.196938
2481_163597_000010_000001	Then he laughed at them for being such cowards, and said:	Then he laughed at them for being such cowards, and said:	true	261.26	264.3	26.557274
2481_163597_000011_000000	'Well, brothers, farewell!	'Well, brothers, farewell!	true	264.3	266.05	22.152155
2481_163597_000011_000001	Lower me into the other world, and don't go away from here, but as soon as the cord is jerked, pull it up.'	Lower me into the other world, and don't go away from here, but as soon as the cord is jerked, pull it up.'	false	266.18	273.75	21.96925
2481_163597_000012_000000	His brothers lowered him accordingly, and when he had reached the other world, underneath the earth, he went on his way.	His brothers lowered him accordingly, and when he had reached the other world, underneath the earth, he went on his way.	true	273.75	280.095	26.529287
2481_163597_000012_000001	He walked and walked. Presently he espied a horse with rich trappings, and it said to him:	He walked and walked. Presently he espied a horse with rich trappings, and it said to him:	false	280.095	287.22	27.759106
2481_163597_000013_000000	'Hail, Prince Ivan!	'Hail, Prince Ivan!	true	287.22	288.79	27.696188
2481_163597_000013_000001	Long have I awaited thee!'	Long have I awaited thee!'	true	288.8	290.68	21.112965
2481_163597_000014_000000	He mounted the horse and rode on--rode and rode, until he saw standing before him a palace made of copper.	He mounted the horse and rode on-rode and rode, until he saw standing before him a palace made of copper.	false	291.17	298.87	24.79931
2481_163597_000014_000001	He entered the courtyard, tied up his horse, and went indoors.	He entered the courtyard, tied up his horse, and went indoors.	true	299.03	303.04	24.357851
2481_163597_000014_000002	In one of the rooms a dinner was laid out. He sat down and dined, and then went into a bedroom.	In one of the rooms a dinner was laid out. He sat down and dined, and then went into a bedroom.	true	303.35	309.46	26.300484
2481_163597_000014_000003	There he found a bed, on which he lay down to rest.	There he found a bed, on which he lay down to rest.	true	309.8	313.3	23.356562
2481_163597_000014_000004	Presently there came in a lady, more beautiful than can be imagined anywhere but in a fairy tale, who said:	Presently there came in a lady, more beautiful than can be imagined anywhere but in a fairy tale, who said:	true	313.43	321.55	25.06721
2481_163597_000015_000000	'Thou who art in my house, name thyself!	'Thou who art in my house, name thyself!	true	321.95	325.24	25.166553
2481_163597_000015_000001	If thou art an old man, thou shalt be my father; if a middle-aged man, my brother; but if a young man, thou shalt be my husband dear.	If thou art an old man, thou shalt be my father; if a middle aged man, my brother; but if a young man, thou shalt be my husband dear.	true	325.31	335.98	22.547136
2481_163597_000015_000002	And if thou art a woman, and an old one, thou shalt be my grandmother; if middle-aged, my mother; and if a girl, thou shalt be my own sister.'	And if thou art a woman, and an old one, thou shalt be my grandmother; if middle aged, my mother; and if a girl, thou shalt be my own sister.'	false	336.05	347.08	23.465618
2481_163597_000016_000000	Thereupon he came forth.	Thereupon he came forth.	true	347.45	349.86	25.637932
2481_163597_000016_000001	And when she saw him she was delighted with him, and said:	And when she saw him she was delighted with him, and said:	true	349.86	353.47	21.508228
2481_163597_000017_000000	'Wherefore, O Prince Ivan--my husband dear shalt thou be!--wherefore hast thou come hither?'	'Wherefore, O Prince Ivan-my husband dear shalt thou be!--wherefore hast thou come hither?'	false	353.51	360.19	25.238272
2481_163597_000018_000000	Then he told her all that had happened, and she said:	Then he told her all that had happened, and she said:	true	360.35	363.105	23.43115
2481_163597_000019_000000	'That beast which thou wishest to overcome is my brother.	'That beast which thou wishest to overcome is my brother.	true	363.105	367.48	28.292658
2481_163597_000019_000001	He is staying just now with my second sister, who lives not far from here in a silver palace.	He is staying just now with my second sister, who lives not far from here in a silver palace.	true	367.58	373.57	23.410978
