2388_153731_000000_000000	The Banners of the Sun	The Banners of the Sun	false	8.55	25.53	21.102207
2388_153731_000001_000000	As all the world knows, the sun, a blinding globe pouring forth an inconceivable quantity of light and heat, whose daily passage through the sky is caused by the earth's rotation on its axis, constitutes the most important phenomenon of terrestial existence.	As all the world knows, the sun, a blinding globe pouring forth an inconceivable quantity of light and heat, whose daily passage through the sky is caused by the earth's rotation on its axis, constitutes the most important phenomenon of terrestial existence.	true	25.53	41.5	22.394886
2388_153731_000001_000001	Viewed with a dark glass to take off the glare, or with a telescope, its rim is seen to be a sharp and smooth circle, and nothing but dark sky is visible around it.	Viewed with a dark glass to take off the glare, or with a telescope, its rim is seen to be a sharp and smooth circle, and nothing but dark sky is visible around it.	false	41.9	52.36	20.558277
2388_153731_000001_000002	Except for the interference of the moon, we should probably never have known that there is any more of the sun than our eyes ordinarily see.	Except for the interference of the moon, we should probably never have known that there is any more of the sun than our eyes ordinarily see.	true	52.49	60.07	19.98337
2388_153731_000002_000000	But when an eclipse of the sun occurs, caused by the interposition of the opaque globe of the moon, we see its immediate surroundings, which in some respects are more wonderful than the glowing central orb. These surroundings, although not in the sense in which we apply the term to the gaseous envelope of the earth, may be called the sun's atmosphere.	But when an eclipse of the sun occurs, caused by the interposition of the opaque globe of the moon, we see its immediate surroundings, which in some respects are more wonderful than the glowing central orb. These surroundings, although not in the sense in which we apply the term to the gaseous envelope of the earth, may be called the sun's atmosphere.	true	61.07	82.48	21.497849
2388_153731_000002_000001	They consist of two very different parts -- first, the red ``prominences,'' which resemble tongues of flame ascending thousands of miles above the sun's surface; and, second, the ``corona,'' which extends to distances of millions of miles from the sun, and shines with a soft, glowing light.	They consist of two very different parts -- first, the red backquote backquote prominences,'' which resemble tongues of flame ascending thousands of miles above the sun's surface; and, second, the backquote backquote corona,'' which extends to distances of millions of miles from the sun, and shines with a soft, glowing light.	false	82.85	101.29	21.164684
2388_153731_000002_000002	The two combined, when well seen, make a spectacle without parallel among the marvels of the sky.	The two combined, when well seen, make a spectacle without parallel among the marvels of the sky.	true	102.08	108.4	20.839437
2388_153731_000002_000003	Although many attempts have been made to render the corona visible when there is no eclipse, all have failed, and it is to the moon alone that we owe its revelation.	Although many attempts have been made to render the corona visible when there is no eclipse, all have failed, and it is to the moon alone that we owe its revelation.	true	108.92	118.66	22.582966
2388_153731_000002_000004	To cover the sun's disk with a circular screen will not answer the purpose because of the illumination of the air all about the observer.	To cover the sun's disk with a circular screen will not answer the purpose because of the illumination of the air all about the observer.	true	119.72	127.12	20.232325
2388_153731_000002_000005	When the moon hides the sun, on the other hand, the sunlight is withdrawn from a great cylinder of air extending to the top of the atmosphere and spreading many miles around the observer. There is then no glare to interfere with the spectacle, and the corona appears in all its surprising beauty.	When the moon hides the sun, on the other hand, the sunlight is withdrawn from a great cylinder of air extending to the top of the atmosphere and spreading many miles around the observer. There is then no glare to interfere with the spectacle, and the corona appears in all its surprising beauty.	false	127.64	144.31	21.31847
2388_153731_000002_000006	The prominences, however, although they were discovered during an eclipse, can now, with the aid of the spectroscope, be seen at any time.	The prominences, however, although they were discovered during an eclipse, can now, with the aid of the spectroscope, be seen at any time.	false	144.65	152.53	22.993368
2388_153731_000002_000007	But the prominences are rarely large enough to be noticed by the naked eye, while the streamers of the corona, stretching far away in space, like ghostly banners blown out from the black circle of the obscuring moon, attract every eye, and to this weird apparition much of the fear inspired by eclipses has been due.	But the prominences are rarely large enough to be noticed by the naked eye, while the streamers of the corona, stretching far away in space, like ghostly banners blown out from the black circle of the obscuring moon, attract every eye, and to this weird apparition much of the fear inspired by eclipses has been due.	true	153.11	172.51	23.27566
2388_153731_000002_000008	But if the corona has been a cause of terror in the past it has become a source of growing knowledge in our time.	But if the corona has been a cause of terror in the past it has become a source of growing knowledge in our time.	true	172.79	179.17	21.29784
2388_153731_000003_000000	The story of the first scientific observation of the corona and the prominences is thrillingly interesting, and in fact dramatic.	The story of the first scientific observation of the corona and the prominences is thrillingly interesting, and in fact dramatic.	true	180.38	188.74	25.766134
2388_153731_000003_000001	The observation was made during the eclipse of 1842, which fortunately was visible all over Central and Southern Europe so that scores of astronomers saw it.	The observation was made during the eclipse of eighteen forty two, which fortunately was visible all over Central and Southern Europe so that scores of astronomers saw it.	false	189.08	199.26	20.450302
2388_153731_000003_000002	The interest centers in what happened at Pavia in Northern Italy, where the English astronomer Francis Baily had set up his telescope.	The interest centers in what happened at Pavia in Northern Italy, where the English astronomer Francis Baily had set up his telescope.	true	199.26	207.64	23.585289
2388_153731_000003_000003	The eclipse had begun and Bailey was busy at his telescope when, to quote his own words in the account which he wrote for the Memoirs of the Royal Astronomical Society:	The eclipse had begun and Bailey was busy at his telescope when, to quote his own words in the account which he wrote for the Memoirs of the Royal Astronomical Society:	true	208.1	218.02	21.059853
2388_153731_000004_000000	I was astounded by a tremendous burst of applause from the streets below, and at the same moment was electrified by the sight of one of the most brilliant and splendid phenomena that can well be imagined; for at that instant the dark body of the moon was suddenly surrounded with a corona, or kind of bright glory, similar in shape and magnitude to that which painters draw round the heads of saints...	I was astounded by a tremendous burst of applause from the streets below, and at the same moment was electrified by the sight of one of the most brilliant and splendid phenomena that can well be imagined; for at that instant the dark body of the moon was suddenly surrounded with a corona, or kind of bright glory, similar in shape and magnitude to that which painters draw round the heads of saints...	false	218.57	241.6	23.640966
2388_153731_000005_000000	Pavia contains many thousand inhabitants, the major part of whom were at this early hour walking about the streets and squares or looking out of windows in order to witness this long-talked-of phenomenon; and when the total obscuration took place, which was instantaneous, there was a universal shout from every observer which ``made the welkin ring,'' and for the moment withdrew my attention from the object with which I was immediately occupied.	Pavia contains many thousand inhabitants, the major part of whom were at this early hour walking about the streets and squares or looking out of windows in order to witness this long talked of phenomenon; and when the total obscuration took place, which was instantaneous, there was a universal shout from every observer which backquote backquote made the welkin ring,'' and for the moment withdrew my attention from the object with which I was immediately occupied.	false	241.91	268.72	23.443384
2388_153731_000005_000001	I had, indeed, expected the appearance of a luminous circle round the moon during the time of total obscurity; but I did not expect, from any of the accounts of preceding eclipses that I had read, to witness so magnificent an exhibition as that which took place...	I had, indeed, expected the appearance of a luminous circle round the moon during the time of total obscurity; but I did not expect, from any of the accounts of preceding eclipses that I had read, to witness so magnificent an exhibition as that which took place...	false	268.79	284.5	21.210981
2388_153731_000006_000000	Splendid and astonishing, however, as this remarkable phenomenon really was, and although it could not fail to call forth the admiration and applause of every beholder, yet I must confess that there was at the same time something in its singular and wonderful appearance that was appalling...	Splendid and astonishing, however, as this remarkable phenomenon really was, and although it could not fail to call forth the admiration and applause of every beholder, yet I must confess that there was at the same time something in its singular and wonderful appearance that was appalling...	false	285.11	302.86	22.517862
2388_153731_000007_000000	But the most remarkable circumstance attending the phenomenon was the appearance of three large protuberances apparently emanating from the circumference of the moon, but evidently forming a portion of the corona.	But the most remarkable circumstance attending the phenomenon was the appearance of three large protuberances apparently emanating from the circumference of the moon, but evidently forming a portion of the corona.	true	303.23	316	22.809124
2388_153731_000007_000001	They had the appearance of mountains of a prodigious elevation; their color was red tinged with lilac or purple; perhaps the color of the peach-blossom would more nearly represent it.	They had the appearance of mountains of a prodigious elevation; their color was red tinged with lilac or purple; perhaps the color of the peach blossom would more nearly represent it.	false	316.31	327.94	23.17949
2388_153731_000007_000002	They somewhat resembled the tops of the snowy Alpine mountains when colored by the rising or the setting sun.	They somewhat resembled the tops of the snowy Alpine mountains when colored by the rising or the setting sun	false	327.98	333.52	19
2388_153731_000007_000003	They resembled the Alpine mountains in another respect, inasmuch as their light was perfectly steady, and had none of that flickering or sparkling motion so visible in other parts of the corona...	They resembled the Alpine mountains in another respect, inasmuch as their light was perfectly steady, and had none of that flickering or sparkling motion so visible in other parts of the corona...	true	333.89	344.92	21.024008
2388_153731_000008_000000	The whole of these protuberances were visible even to the last moment of total obscuration, and when the first ray of light was admitted from the sun they vanished, with the corona, altogether, and daylight was instantly restored.	The whole of these protuberances were visible even to the last moment of total obscuration, and when the first ray of light was admitted from the sun they vanished, with the corona, altogether, and daylight was instantly restored.	true	345.08	358.96	22.093256
2388_153731_000009_000000	I have quoted nearly all of this remarkable description not alone for its intrinsic interest, but because it is the best depiction that can be found of the general phenomena of a total solar eclipse.	I have quoted nearly all of this remarkable description not alone for its intrinsic interest, but because it is the best depiction that can be found of the general phenomena of a total solar eclipse.	true	359.75	371.56	22.981066
2388_153731_000009_000001	Still, not every such eclipse offers an equally magnificent spectacle.	Still, not every such eclipse offers an equally magnificent spectacle.	true	372.17	377.2	23.15235
2388_153731_000009_000002	The eclipses of 1900 and 1905, for instance, which were seen by the writer, the first in South Carolina and the second in Spain, fell far short of that described by Bailey in splendor and impressiveness.	The eclipses of nineteen hundred and nineteen o five, for instance, which were seen by the writer, the first in South Carolina and the second in Spain, fell far short of that described by Bailey in splendor and impressiveness.	true	377.63	390.7	21.480211
2388_153731_000009_000003	Of course, something must be allowed for the effect of surprise; Bailey had not expected to see what was so suddenly disclosed to him.	Of course, something must be allowed for the effect of surprise; Bailey had not expected to see what was so suddenly disclosed to him.	true	391.22	398.65	22.457376
2388_153731_000009_000004	But both in 1900 and 1905 the amount of scattered light in the sky was sufficient in itself to make the corona appear faint, and there were no very conspicuous prominences visible.	But both in nineteen hundred and nineteen o five the amount of scattered light in the sky was sufficient in itself to make the corona appear faint, and there were no very conspicuous prominences visible.	false	398.9	409.93	22.015554
2388_153731_000009_000005	Yet on both occasions there was manifest among the spectators that mingling of admiration and awe of which Bailey speaks.	Yet on both occasions there was manifest among the spectators that mingling of admiration and awe of which Bailey speaks.	false	410.39	417.97	23.780884
2388_153731_000009_000006	The South Carolinians gave a cheer and the ladies waved their handkerchiefs when the corona, ineffably delicate of form and texture, melted into sight and then in two minutes melted away again.	The South Carolinians gave a cheer and the ladies waved their handkerchiefs when the corona, ineffably delicate of form and texture, melted into sight and then in two minutes melted away again.	false	418.58	429.85	21.81238
2388_153731_000009_000007	The Spaniards, crowded on the citadel hill of Burgos, with their king and his royal retinue in their midst, broke out with a great clapping of hands as the awaited spectacle unfolded itself in the sky; and on both occasions, before the applause began, after an awed silence a low murmur ran through the crowds.	The Spaniards, crowded on the citadel hill of Burgos, with their king and his royal retinue in their midst, broke out with a great clapping of hands as the awaited spectacle unfolded itself in the sky; and on both occasions, before the applause began, after an awed silence a low murmur ran through the crowds.	false	430.58	449.56	22.255857
2388_153731_000009_000008	At Burgos it is said many made the sign of the cross.	At Burgos it is said many made the sign of the cross.	true	449.69	453.22	21.896011
2388_153731_000010_000000	It was not long before Bailey's idea that the prominences were a part of the corona was abandoned, and it was perceived that the two phenomena were to a great extent independent.	It was not long before Bailey's idea that the prominences were a part of the corona was abandoned, and it was perceived that the two phenomena were to a great extent independent.	false	454.19	463.9	22.83478
2388_153731_000010_000001	At the eclipse of 1868, which the astronomers, aroused by the wonderful scene of 1842, and eager to test the powers of the newly invented spectroscope, flocked to India to witness, Janssen conceived the idea of employing the spectroscope to render the prominences visible when there was no eclipse.	At the eclipse of eighteen sixty eight, which the astronomers, aroused by the wonderful scene of eighteen forty two, and eager to test the powers of the newly invented spectroscope, flocked to India to witness, Janssen conceived the idea of employing the spectroscope to render the prominences visible when there was no eclipse.	false	464.12	482.53	22.81732
2388_153731_000010_000002	He succeeded the very next day, and these phenomena have been studied in that way ever since.	He succeeded the very next day, and these phenomena have been studied in that way ever since.	true	482.9	488.02	18
2388_153731_000011_000000	There are recognized two kinds of prominences -- the ``erruptive'' and the ``quiescent.'' The latter, which are cloud-like in form, may be seen almost anywhere along the edge of the sun; but the former, which often shoot up as if hurled from mighty volcanoes, appear to be associated with sun-spots, and appear only above the zones where spots abound.	There are recognized two kinds of prominences -- the backquote backquote erruptive'' and the backquote backquote quiescent.'' The latter, which are cloud like in form, may be seen almost anywhere along the edge of the sun; but the former, which often shoot up as if hurled from mighty volcanoes, appear to be associated with sun spots, and appear only above the zones where spots abound.	false	489.38	511.96	21.962858
2388_153731_000011_000001	Either of them, when seen in projection against the brilliant solar disk, appears white, not red, as against a background of sky. The quiescent prominences, whose elevation is often from forty thousand to sixty thousand miles, consist, as the spectroscope shows, mainly of hydrogen and helium.	Either of them, when seen in projection against the brilliant solar disk, appears white, not red, as against a background of sky. The quiescent prominences, whose elevation is often from forty thousand to sixty thousand miles, consist, as the spectroscope shows, mainly of hydrogen and helium.	true	512.06	530.02	22.354845
2388_153731_000011_000002	The latter, it will be remembered, is an element which was known to be in the sun many years before the discovery that it also exists in small quantities on the earth.	The latter, it will be remembered, is an element which was known to be in the sun many years before the discovery that it also exists in small quantities on the earth.	true	530.51	539.97	20.658163
2388_153731_000011_000003	A fact which may have a significance which we cannot at present see is that the emanation from radium gradually and spontaneously changes into helium, an alchemistical feat of nature that has opened many curious vistas to speculative thinkers.	A fact which may have a significance which we cannot at present see is that the emanation from radium gradually and spontaneously changes into helium, an alchemistical feat of nature that has opened many curious vistas to speculative thinkers.	false	539.97	554.98	21.740328
2388_153731_000011_000004	The eruptive prominences, which do not spread horizontally like the others, but ascend with marvelous velocity to elevations of half a million miles or more, are apparently composed largely of metallic vapors -- i.e. metals which are usually solid on the earth, but which at solar temperatures are kept in a volatilized state.	The eruptive prominences, which do not spread horizontally like the others, but ascend with marvelous velocity to elevations of half a million miles or more, are apparently composed largely of metallic vapors -- i e metals which are usually solid on the earth, but which at solar temperatures are kept in a volatilized state.	false	556.1	575.7	21.296947
2388_153731_000011_000005	The velocity of their ascent occasionally amounts to three hundred or four hundred miles per second.	The velocity of their ascent occasionally amounts to three hundred or four hundred miles per second.	false	575.7	580.93	20.616495
2388_153731_000011_000006	It is known from mathematical considerations that the gravitation of the sun would not be able to bring back any body that started from its surface with a velocity exceeding three hundred and eighty-three miles per second; so it is evident that some of the matter hurled forth in eruptive prominences may escape from solar control and go speeding out into space, cooling and condensing into solid masses.	It is known from mathematical considerations that the gravitation of the sun would not be able to bring back any body that started from its surface with a velocity exceeding three hundred and eighty three miles per second; so it is evident that some of the matter hurled forth in eruptive prominences may escape from solar control and go speeding out into space, cooling and condensing into solid masses.	true	581.18	604.33	20.10111
2388_153731_000011_000007	There seems to be no reason why some of the projectiles from the sun might not reach the planets.	There seems to be no reason why some of the projectiles from the sun might not reach the planets.	true	604.46	609.55	19.463253
2388_153731_000011_000008	Here, then, we have on a relatively small scale, explosions recalling those which it has been imagined may be the originating cause of some of the sudden phenomena of the stellar heavens.	Here, then, we have on a relatively small scale, explosions recalling those which it has been imagined may be the originating cause of some of the sudden phenomena of the stellar heavens.	false	609.77	621.46	22.01672
2388_153731_000012_000000	Of the sun-spots it is not our intention here specifically to speak, but they evidently have an intimate connection with eruptive prominences, as well as some relation, not yet fully understood, with the corona.	Of the sun spots it is not our intention here specifically to speak, but they evidently have an intimate connection with eruptive prominences, as well as some relation, not yet fully understood, with the corona.	false	622.64	635.23	22.124977
2388_153731_000012_000001	Of the real cause of sun-spots we know virtually nothing, but recent studies by Professor Hale and others have revealed a strange state of things in the clouds of metallic vapors floating above them and their surroundings.	Of the real cause of sun spots we know virtually nothing, but recent studies by Professor Hale and others have revealed a strange state of things in the clouds of metallic vapors floating above them and their surroundings.	false	635.72	647.8	20.824423
2388_153731_000012_000002	Evidences of a cyclonic tendency have been found, and Professor Hale has proved that sun-spots are strong magnetic fields, and consist of columns of ionized vapors rotating in opposite directions in the two hemispheres.	Evidences of a cyclonic tendency have been found, and Professor Hale has proved that sun spots are strong magnetic fields, and consist of columns of ionized vapors rotating in opposite directions in the two hemispheres.	false	647.9	660.57	20
2388_153731_000012_000003	A fact which may have the greatest significance is that titanium and vanadium have been found both in sun-spots and in the remarkable variable Mira Ceti, a star which every eleven months, or thereabout, flames up with great brilliancy and then sinks back to invisibility with the naked eye.	A fact which may have the greatest significance is that titanium and vanadium have been found both in sun spots and in the remarkable variable Mira Ceti, a star which every eleven months, or thereabout, flames up with great brilliancy and then sinks back to invisibility with the naked eye.	false	660.57	678.64	21.606024
2388_153731_000012_000004	It has been suggested that sun-spots are indications of the beginning of a process in the sun which will be intensified until it falls into the state of such a star as Mira.	It has been suggested that sun spots are indications of the beginning of a process in the sun which will be intensified until it falls into the state of such a star as Mira.	false	679.07	689.13	20.571627
2388_153731_000012_000005	Stars very far advanced in evolution, without showing variability, also exhibit similar spectra; so that there is much reason for regarding sunspots as emblems of advancing age.	Stars very far advanced in evolution, without showing variability, also exhibit similar spectra; so that there is much reason for regarding sunspots as emblems of advancing age.	true	689.13	700.54	20.986464
2388_153731_000013_000000	The association of the corona with sun-spots is less evident than that of the eruptive prominences; still such an association exists, for the form and extent of the corona vary with the sun-spot period of which we shall presently speak.	The association of the corona with sun spots is less evident than that of the eruptive prominences; still such an association exists, for the form and extent of the corona vary with the sun spot period of which we shall presently speak.	true	701.21	716.53	21.108097
2388_153731_000013_000001	The constitution of the corona remains to be discovered.	The constitution of the corona remains to be discovered.	true	716.9	719.82	24.084906
