339_132718_000001_000000	CHAPTER 2.	CHAPTER two.
339_132718_000001_000001	Rash Advances	Rash Advances
339_132718_000002_000000	Not more than ten or fifteen miles we judged it from our landing rock to that last village.	Not more than ten or fifteen miles we judged it from our landing rock to that last village.
339_132718_000002_000001	For all our eagerness we thought it wise to keep to the woods and go carefully.	For all our eagerness we thought it wise to keep to the woods and go carefully.
339_132718_000003_000000	Even Terry's ardor was held in check by his firm conviction that there were men to be met, and we saw to it that each of us had a good stock of cartridges.	Even Terry's ardor was held in check by his firm conviction that there were men to be met, and we saw to it that each of us had a good stock of cartridges.
339_132718_000004_000001	But there are men somewhere--didn't you see the babies?"	But there are men somewhere-didn't you see the babies?"
339_132718_000005_000000	We had all seen babies, children big and little, everywhere that we had come near enough to distinguish the people.	We had all seen babies, children big and little, everywhere that we had come near enough to distinguish the people.
339_132718_000005_000001	And though by dress we could not be sure of all the grown persons, still there had not been one man that we were certain of.	And though by dress we could not be sure of all the grown persons, still there had not been one man that we were certain of.
339_132718_000006_000001	Terry studied it as we progressed.	Terry studied it as we progressed.
339_132718_000007_000000	"Talk of civilization," he cried softly in restrained enthusiasm.	"Talk of civilization," he cried softly in restrained enthusiasm.
339_132718_000008_000000	They left me for a landmark and made a limited excursion on either side.	They left me for a landmark and made a limited excursion on either side.
339_132718_000009_000000	"Food-bearing, practically all of them," they announced returning.	"Food bearing, practically all of them," they announced returning.
339_132718_000009_000001	"The rest, splendid hardwood.	"The rest, splendid hardwood.
339_132718_000009_000002	Call this a forest?	Call this a forest?
339_132718_000009_000003	It's a truck farm!"	It's a truck farm!"
339_132718_000010_000000	"Good thing to have a botanist on hand," I agreed.	"Good thing to have a botanist on hand," I agreed.
339_132718_000010_000001	"Sure there are no medicinal ones?	"Sure there are no medicinal ones?
339_132718_000010_000002	Or any for pure ornament?"	Or any for pure ornament?"
339_132718_000011_000000	As a matter of fact they were quite right.	As a matter of fact they were quite right.
339_132718_000011_000001	These towering trees were under as careful cultivation as so many cabbages.	These towering trees were under as careful cultivation as so many cabbages.
339_132718_000013_000000	"They don't kill birds, and apparently they do kill cats," Terry declared.	"They don't kill birds, and apparently they do kill cats," Terry declared.
339_132718_000013_000001	"MUST be men here.	"MUST be men here.
339_132718_000013_000002	Hark!"	Hark!"
339_132718_000014_000000	We had heard something: something not in the least like a birdsong, and very much like a suppressed whisper of laughter--a little happy sound, instantly smothered.	We had heard something: something not in the least like a birdsong, and very much like a suppressed whisper of laughter-a little happy sound, instantly smothered.
339_132718_000014_000001	We stood like so many pointers, and then used our glasses, swiftly, carefully.	We stood like so many pointers, and then used our glasses, swiftly, carefully.
339_132718_000015_000000	"It couldn't have been far off," said Terry excitedly.	"It couldn't have been far off," said Terry excitedly.
339_132718_000016_000001	It was trimmed underneath some twenty feet up, and stood there like a huge umbrella, with circling seats beneath.	It was trimmed underneath some twenty feet up, and stood there like a huge umbrella, with circling seats beneath.
339_132718_000017_000001	"There are short stumps of branches left to climb on.	"There are short stumps of branches left to climb on.
339_132718_000017_000002	There's someone up that tree, I believe."	There's someone up that tree, I believe."
339_132718_000018_000000	We stole near, cautiously.	We stole near, cautiously.
339_132718_000019_000001	"In my heart, more likely," he answered.	"In my heart, more likely," he answered.
339_132718_000019_000002	"Gee!	"Gee!
339_132718_000019_000003	Look, boys!"	Look, boys!"
339_132718_000020_000003	By the time we had reached about as far as three men together dared push, they had left the main trunk and moved outward, each one balanced on a long branch that dipped and swayed beneath the weight.	By the time we had reached about as far as three men together dared push, they had left the main trunk and moved outward, each one balanced on a long branch that dipped and swayed beneath the weight.
339_132718_000021_000000	We paused uncertain.	We paused uncertain.
339_132718_000021_000001	If we pursued further, the boughs would break under the double burden.	If we pursued further, the boughs would break under the double burden.
339_132718_000021_000002	We might shake them off, perhaps, but none of us was so inclined.	We might shake them off, perhaps, but none of us was so inclined.
339_132718_000024_000000	They were girls, of course, no boys could ever have shown that sparkling beauty, and yet none of us was certain at first.	They were girls, of course, no boys could ever have shown that sparkling beauty, and yet none of us was certain at first.
339_132718_000025_000000	We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters. As bright and smooth as parrots and as unaware of danger, they swung there before us, wholly at ease, staring as we stared, till first one, and then all of them burst into peals of delighted laughter.	We saw short hair, hatless, loose, and shining; a suit of some light firm stuff, the closest of tunics and kneebreeches, met by trim gaiters. As bright and smooth as parrots and as unaware of danger, they swung there before us, wholly at ease, staring as we stared, till first one, and then all of them burst into peals of delighted laughter.
339_132718_000026_000000	Then there was a torrent of soft talk tossed back and forth; no savage sing-song, but clear musical fluent speech.	Then there was a torrent of soft talk tossed back and forth; no savage sing song, but clear musical fluent speech.
339_132718_000027_000000	We met their laughter cordially, and doffed our hats to them, at which they laughed again, delightedly.	We met their laughter cordially, and doffed our hats to them, at which they laughed again, delightedly.
339_132718_000028_000000	Then Terry, wholly in his element, made a polite speech, with explanatory gestures, and proceeded to introduce us, with pointing finger.	Then Terry, wholly in his element, made a polite speech, with explanatory gestures, and proceeded to introduce us, with pointing finger.
339_132718_000028_000002	"Mr. Vandyck Jennings"--I also tried to make an effective salute and nearly lost my balance.	"mr Vandyck Jennings"--I also tried to make an effective salute and nearly lost my balance.
339_132718_000030_000000	Again they laughed delightedly, and the one nearest me followed his tactics.	Again they laughed delightedly, and the one nearest me followed his tactics.
339_132718_000031_000000	"Celis," she said distinctly, pointing to the one in blue; "Alima"--the one in rose; then, with a vivid imitation of Terry's impressive manner, she laid a firm delicate hand on her gold-green jerkin--"Ellador." This was pleasant, but we got no nearer.	"Celis," she said distinctly, pointing to the one in blue; "Alima"--the one in rose; then, with a vivid imitation of Terry's impressive manner, she laid a firm delicate hand on her gold green jerkin-"Ellador." This was pleasant, but we got no nearer.
339_132718_000032_000002	He suggested, by signs, that we all go down together; but again they shook their heads, still merrily.	He suggested, by signs, that we all go down together; but again they shook their heads, still merrily.
339_132718_000033_000000	"Have to use bait," grinned Terry.	"Have to use bait," grinned Terry.
339_132718_000033_000002	He held it up, swung it, glittering in the sun, offered it first to one, then to another, holding it out as far as he could reach toward the girl nearest him.	He held it up, swung it, glittering in the sun, offered it first to one, then to another, holding it out as far as he could reach toward the girl nearest him.
339_132718_000033_000003	He stood braced in the fork, held firmly by one hand--the other, swinging his bright temptation, reached far out along the bough, but not quite to his full stretch.	He stood braced in the fork, held firmly by one hand-the other, swinging his bright temptation, reached far out along the bough, but not quite to his full stretch.
339_132718_000034_000001	Then, softly and slowly, she drew nearer.	Then, softly and slowly, she drew nearer.
