5448_19208_000006_000000	He allowed Marius to slide down upon the shore.	He allowed Marius to slide down upon the shore.
5448_19208_000008_000000	The miasmas, darkness, horror lay behind him.	The miasmas, darkness, horror lay behind him.
5448_19208_000008_000001	The pure, healthful, living, joyous air that was easy to breathe inundated him.	The pure, healthful, living, joyous air that was easy to breathe inundated him.
5448_19208_000008_000002	Everywhere around him reigned silence, but that charming silence when the sun has set in an unclouded azure sky.	Everywhere around him reigned silence, but that charming silence when the sun has set in an unclouded azure sky.
5448_19208_000008_000003	Twilight had descended; night was drawing on, the great deliverer, the friend of all those who need a mantle of darkness that they may escape from an anguish.	Twilight had descended; night was drawing on, the great deliverer, the friend of all those who need a mantle of darkness that they may escape from an anguish.
5448_19208_000008_000004	The sky presented itself in all directions like an enormous calm.	The sky presented itself in all directions like an enormous calm.
5448_19208_000008_000005	The river flowed to his feet with the sound of a kiss.	The river flowed to his feet with the sound of a kiss.
5448_19208_000008_000007	A few stars, daintily piercing the pale blue of the zenith, and visible to revery alone, formed imperceptible little splendors amid the immensity. Evening was unfolding over the head of Jean Valjean all the sweetness of the infinite.	A few stars, daintily piercing the pale blue of the zenith, and visible to revery alone, formed imperceptible little splendors amid the immensity. Evening was unfolding over the head of Jean Valjean all the sweetness of the infinite.
5448_19208_000009_000000	It was that exquisite and undecided hour which says neither yes nor no. Night was already sufficiently advanced to render it possible to lose oneself at a little distance and yet there was sufficient daylight to permit of recognition at close quarters.	It was that exquisite and undecided hour which says neither yes nor no Night was already sufficiently advanced to render it possible to lose oneself at a little distance and yet there was sufficient daylight to permit of recognition at close quarters.
5448_19208_000010_000000	For several seconds, Jean Valjean was irresistibly overcome by that august and caressing serenity; such moments of oblivion do come to men; suffering refrains from harassing the unhappy wretch; everything is eclipsed in the thoughts; peace broods over the dreamer like night; and, beneath the twilight which beams and in imitation of the sky which is illuminated, the soul becomes studded with stars.	For several seconds, Jean Valjean was irresistibly overcome by that august and caressing serenity; such moments of oblivion do come to men; suffering refrains from harassing the unhappy wretch; everything is eclipsed in the thoughts; peace broods over the dreamer like night; and, beneath the twilight which beams and in imitation of the sky which is illuminated, the soul becomes studded with stars.
5448_19208_000010_000001	Jean Valjean could not refrain from contemplating that vast, clear shadow which rested over him; thoughtfully he bathed in the sea of ecstasy and prayer in the majestic silence of the eternal heavens.	Jean Valjean could not refrain from contemplating that vast, clear shadow which rested over him; thoughtfully he bathed in the sea of ecstasy and prayer in the majestic silence of the eternal heavens.
5448_19208_000010_000002	Then he bent down swiftly to Marius, as though the sentiment of duty had returned to him, and, dipping up water in the hollow of his hand, he gently sprinkled a few drops on the latter's face.	Then he bent down swiftly to Marius, as though the sentiment of duty had returned to him, and, dipping up water in the hollow of his hand, he gently sprinkled a few drops on the latter's face.
5448_19208_000011_000000	Jean Valjean was on the point of dipping his hand in the river once more, when, all at once, he experienced an indescribable embarrassment, such as a person feels when there is some one behind him whom he does not see.	Jean Valjean was on the point of dipping his hand in the river once more, when, all at once, he experienced an indescribable embarrassment, such as a person feels when there is some one behind him whom he does not see.
5448_19208_000012_000000	We have already alluded to this impression, with which everyone is familiar.	We have already alluded to this impression, with which everyone is familiar.
5448_19208_000013_000000	He turned round.	He turned round.
5448_19208_000014_000000	Some one was, in fact, behind him, as there had been a short while before.	Some one was, in fact, behind him, as there had been a short while before.
5448_19208_000015_000000	A man of lofty stature, enveloped in a long coat, with folded arms, and bearing in his right fist a bludgeon of which the leaden head was visible, stood a few paces in the rear of the spot where Jean Valjean was crouching over Marius.	A man of lofty stature, enveloped in a long coat, with folded arms, and bearing in his right fist a bludgeon of which the leaden head was visible, stood a few paces in the rear of the spot where Jean Valjean was crouching over Marius.
5448_19208_000016_000000	With the aid of the darkness, it seemed a sort of apparition.	With the aid of the darkness, it seemed a sort of apparition.
5448_19208_000016_000001	An ordinary man would have been alarmed because of the twilight, a thoughtful man on account of the bludgeon.	An ordinary man would have been alarmed because of the twilight, a thoughtful man on account of the bludgeon.
5448_19208_000017_000002	The reader knows the rest.	The reader knows the rest.
5448_19208_000018_000000	Thus it will be easily understood that that grating, so obligingly opened to Jean Valjean, was a bit of cleverness on Thenardier's part. Thenardier intuitively felt that Javert was still there; the man spied upon has a scent which never deceives him; it was necessary to fling a bone to that sleuth-hound.	Thus it will be easily understood that that grating, so obligingly opened to Jean Valjean, was a bit of cleverness on Thenardier's part. Thenardier intuitively felt that Javert was still there; the man spied upon has a scent which never deceives him; it was necessary to fling a bone to that sleuth hound.
5448_19208_000018_000001	An assassin, what a godsend!	An assassin, what a godsend!
5448_19208_000018_000002	Such an opportunity must never be allowed to slip.	Such an opportunity must never be allowed to slip.
5448_19208_000018_000003	Thenardier, by putting Jean Valjean outside in his stead, provided a prey for the police, forced them to relinquish his scent, made them forget him in a bigger adventure, repaid Javert for his waiting, which always flatters a spy, earned thirty francs, and counted with certainty, so far as he himself was concerned, on escaping with the aid of this diversion.	Thenardier, by putting Jean Valjean outside in his stead, provided a prey for the police, forced them to relinquish his scent, made them forget him in a bigger adventure, repaid Javert for his waiting, which always flatters a spy, earned thirty francs, and counted with certainty, so far as he himself was concerned, on escaping with the aid of this diversion.
5448_19208_000019_000000	Jean Valjean had fallen from one danger upon another.	Jean Valjean had fallen from one danger upon another.
5448_19208_000020_000000	These two encounters, this falling one after the other, from Thenardier upon Javert, was a rude shock.	These two encounters, this falling one after the other, from Thenardier upon Javert, was a rude shock.
5448_19208_000021_000000	Javert did not recognize Jean Valjean, who, as we have stated, no longer looked like himself.	Javert did not recognize Jean Valjean, who, as we have stated, no longer looked like himself.
5448_19208_000021_000001	He did not unfold his arms, he made sure of his bludgeon in his fist, by an imperceptible movement, and said in a curt, calm voice:	He did not unfold his arms, he made sure of his bludgeon in his fist, by an imperceptible movement, and said in a curt, calm voice:
5448_19208_000023_000000	"I."	"I."
5448_19208_000024_000000	"Who is 'I'?"	"Who is 'I'?"
5448_19208_000026_000000	Javert thrust his bludgeon between his teeth, bent his knees, inclined his body, laid his two powerful hands on the shoulders of Jean Valjean, which were clamped within them as in a couple of vices, scrutinized him, and recognized him.	Javert thrust his bludgeon between his teeth, bent his knees, inclined his body, laid his two powerful hands on the shoulders of Jean Valjean, which were clamped within them as in a couple of vices, scrutinized him, and recognized him.
5448_19208_000026_000001	Their faces almost touched.	Their faces almost touched.
5448_19208_000027_000000	Jean Valjean remained inert beneath Javert's grasp, like a lion submitting to the claws of a lynx.	Jean Valjean remained inert beneath Javert's grasp, like a lion submitting to the claws of a lynx.
5448_19208_000028_000001	Moreover, I have regarded myself as your prisoner ever since this morning.	Moreover, I have regarded myself as your prisoner ever since this morning.
5448_19208_000028_000002	I did not give you my address with any intention of escaping from you.	I did not give you my address with any intention of escaping from you.
5448_19208_000028_000003	Take me. Only grant me one favor."	Take me. Only grant me one favor."
5448_19208_000029_000000	Javert did not appear to hear him.	Javert did not appear to hear him.
5448_19208_000029_000001	He kept his eyes riveted on Jean Valjean.	He kept his eyes riveted on Jean Valjean.
5448_19208_000029_000002	His chin being contracted, thrust his lips upwards towards his nose, a sign of savage revery.	His chin being contracted, thrust his lips upwards towards his nose, a sign of savage revery.
5448_19208_000029_000003	At length he released Jean Valjean, straightened himself stiffly up without bending, grasped his bludgeon again firmly, and, as though in a dream, he murmured rather than uttered this question:	At length he released Jean Valjean, straightened himself stiffly up without bending, grasped his bludgeon again firmly, and, as though in a dream, he murmured rather than uttered this question:
5448_19208_000031_000000	He still abstained from addressing Jean Valjean as thou.	He still abstained from addressing Jean Valjean as thou.
5448_19208_000032_000000	Jean Valjean replied, and the sound of his voice appeared to rouse Javert:	Jean Valjean replied, and the sound of his voice appeared to rouse Javert:
5448_19208_000033_000000	"It is with regard to him that I desire to speak to you.	"It is with regard to him that I desire to speak to you.
5448_19208_000033_000001	Dispose of me as you see fit; but first help me to carry him home.	Dispose of me as you see fit; but first help me to carry him home.
5448_19208_000034_000000	Javert's face contracted as was always the case when any one seemed to think him capable of making a concession.	Javert's face contracted as was always the case when any one seemed to think him capable of making a concession.
5448_19208_000034_000001	Nevertheless, he did not say "no."	Nevertheless, he did not say "no"
5448_19208_000035_000000	Again he bent over, drew from his pocket a handkerchief which he moistened in the water and with which he then wiped Marius' blood-stained brow.	Again he bent over, drew from his pocket a handkerchief which he moistened in the water and with which he then wiped Marius' blood stained brow.
5448_19208_000039_000000	"He is wounded," said Jean Valjean.	"He is wounded," said Jean Valjean.
5448_19208_000041_000000	Jean Valjean replied:	Jean Valjean replied:
5448_19208_000042_000000	"No.	"no
5448_19208_000043_000000	"So you have brought him thither from the barricade?" remarked Javert.	"So you have brought him thither from the barricade?" remarked Javert.
5448_19208_000044_000000	His preoccupation must indeed have been very profound for him not to insist on this alarming rescue through the sewer, and for him not to even notice Jean Valjean's silence after his question.	His preoccupation must indeed have been very profound for him not to insist on this alarming rescue through the sewer, and for him not to even notice Jean Valjean's silence after his question.
5448_19208_000045_000000	Jean Valjean, on his side, seemed to have but one thought.	Jean Valjean, on his side, seemed to have but one thought.
5448_19208_000045_000001	He resumed:	He resumed:
5448_19208_000046_000001	I do not recollect his name."	I do not recollect his name."
5448_19208_000048_000001	Besides this, Javert possessed in his eye the feline phosphorescence of night birds.	Besides this, Javert possessed in his eye the feline phosphorescence of night birds.
5448_19208_000049_000000	Then he exclaimed: "Coachman!"	Then he exclaimed: "Coachman!"
5448_19208_000050_000000	The reader will remember that the hackney-coach was waiting in case of need.	The reader will remember that the hackney coach was waiting in case of need.
5448_19208_000051_000000	Javert kept Marius' pocket-book.	Javert kept Marius' pocket book.
5448_19208_000052_000000	A moment later, the carriage, which had descended by the inclined plane of the watering-place, was on the shore.	A moment later, the carriage, which had descended by the inclined plane of the watering place, was on the shore.
5448_19208_000052_000001	Marius was laid upon the back seat, and Javert seated himself on the front seat beside Jean Valjean.	Marius was laid upon the back seat, and Javert seated himself on the front seat beside Jean Valjean.
5448_19208_000053_000000	The door slammed, and the carriage drove rapidly away, ascending the quays in the direction of the Bastille.	The door slammed, and the carriage drove rapidly away, ascending the quays in the direction of the Bastille.
5448_19208_000054_000000	They quitted the quays and entered the streets.	They quitted the quays and entered the streets.
5448_19208_000054_000001	The coachman, a black form on his box, whipped up his thin horses.	The coachman, a black form on his box, whipped up his thin horses.
5448_19208_000054_000002	A glacial silence reigned in the carriage.	A glacial silence reigned in the carriage.
5448_19208_000056_000000	At every jolt over the pavement, a drop of blood trickled from Marius' hair.	At every jolt over the pavement, a drop of blood trickled from Marius' hair.
5448_19208_000058_000000	Javert was the first to alight; he made sure with one glance of the number on the carriage gate, and, raising the heavy knocker of beaten iron, embellished in the old style, with a male goat and a satyr confronting each other, he gave a violent peal.	Javert was the first to alight; he made sure with one glance of the number on the carriage gate, and, raising the heavy knocker of beaten iron, embellished in the old style, with a male goat and a satyr confronting each other, he gave a violent peal.
5448_19208_000058_000001	The gate opened a little way and Javert gave it a push.	The gate opened a little way and Javert gave it a push.
5448_19208_000058_000002	The porter half made his appearance yawning, vaguely awake, and with a candle in his hand.	The porter half made his appearance yawning, vaguely awake, and with a candle in his hand.
5448_19208_000059_000000	Everyone in the house was asleep.	Everyone in the house was asleep.
5448_19208_000059_000001	People go to bed betimes in the Marais, especially on days when there is a revolt.	People go to bed betimes in the Marais, especially on days when there is a revolt.
5448_19208_000059_000002	This good, old quarter, terrified at the Revolution, takes refuge in slumber, as children, when they hear the Bugaboo coming, hide their heads hastily under their coverlet.	This good, old quarter, terrified at the Revolution, takes refuge in slumber, as children, when they hear the Bugaboo coming, hide their heads hastily under their coverlet.
5448_19208_000060_000000	In the meantime Jean Valjean and the coachman had taken Marius out of the carriage, Jean Valjean supporting him under the armpits, and the coachman under the knees.	In the meantime Jean Valjean and the coachman had taken Marius out of the carriage, Jean Valjean supporting him under the armpits, and the coachman under the knees.
5448_19208_000061_000000	As they thus bore Marius, Jean Valjean slipped his hand under the latter's clothes, which were broadly rent, felt his breast, and assured himself that his heart was still beating.	As they thus bore Marius, Jean Valjean slipped his hand under the latter's clothes, which were broadly rent, felt his breast, and assured himself that his heart was still beating.
5448_19208_000061_000001	It was even beating a little less feebly, as though the movement of the carriage had brought about a certain fresh access of life.	It was even beating a little less feebly, as though the movement of the carriage had brought about a certain fresh access of life.
5448_19208_000062_000000	Javert addressed the porter in a tone befitting the government, and the presence of the porter of a factious person.	Javert addressed the porter in a tone befitting the government, and the presence of the porter of a factious person.
5448_19208_000063_000000	"Some person whose name is Gillenormand?"	"Some person whose name is Gillenormand?"
5448_19208_000064_000000	"Here.	"Here.
5448_19208_000068_000000	Jean Valjean, who, soiled and tattered, stood behind Javert, and whom the porter was surveying with some horror, made a sign to him with his head that this was not so.	Jean Valjean, who, soiled and tattered, stood behind Javert, and whom the porter was surveying with some horror, made a sign to him with his head that this was not so.
5448_19208_000070_000000	Javert continued:	Javert continued:
5448_19208_000072_000000	"To the barricade?" ejaculated the porter.	"To the barricade?" ejaculated the porter.
5448_19208_000073_000000	"He has got himself killed.	"He has got himself killed.
5448_19208_000073_000001	Go waken his father."	Go waken his father."
5448_19208_000074_000000	The porter did not stir.	The porter did not stir.
5448_19208_000076_000000	And he added:	And he added:
5448_19208_000077_000000	"There will be a funeral here to-morrow."	"There will be a funeral here to morrow."
5448_19208_000079_000001	Basque woke Nicolette; Nicolette roused great-aunt Gillenormand.	Basque woke Nicolette; Nicolette roused great aunt Gillenormand.
5448_19208_000080_000000	As for the grandfather, they let him sleep on, thinking that he would hear about the matter early enough in any case.	As for the grandfather, they let him sleep on, thinking that he would hear about the matter early enough in any case.
5448_19208_000081_000001	He understood and descended the stairs, having behind him the step of Javert who was following him.	He understood and descended the stairs, having behind him the step of Javert who was following him.
5448_19208_000082_000000	The porter watched them take their departure as he had watched their arrival, in terrified somnolence.	The porter watched them take their departure as he had watched their arrival, in terrified somnolence.
5448_19208_000083_000000	They entered the carriage once more, and the coachman mounted his box.	They entered the carriage once more, and the coachman mounted his box.
5448_19208_000084_000000	"Inspector Javert," said Jean, "grant me yet another favor."	"Inspector Javert," said Jean, "grant me yet another favor."
5448_19208_000086_000000	"Let me go home for one instant.	"Let me go home for one instant.
5448_19208_000086_000001	Then you shall do whatever you like with me."	Then you shall do whatever you like with me."
5448_19208_000089_000000	CHAPTER XI--CONCUSSION IN THE ABSOLUTE	CHAPTER eleven-CONCUSSION IN THE ABSOLUTE
5448_19208_000090_000000	They did not open their lips again during the whole space of their ride.	They did not open their lips again during the whole space of their ride.
5448_19208_000091_000000	What did Jean Valjean want?	What did Jean Valjean want?
5448_19208_000091_000001	To finish what he had begun; to warn Cosette, to tell her where Marius was, to give her, possibly, some other useful information, to take, if he could, certain final measures.	To finish what he had begun; to warn Cosette, to tell her where Marius was, to give her, possibly, some other useful information, to take, if he could, certain final measures.
5448_19208_000092_000000	Suicide, that mysterious act of violence against the unknown which may contain, in a measure, the death of the soul, was impossible to Jean Valjean.	Suicide, that mysterious act of violence against the unknown which may contain, in a measure, the death of the soul, was impossible to Jean Valjean.
