2481_156738_000000_000000	[Footnote 7: Mr. Eddy had killed the bear and dried the meat early in the winter.]	[Footnote seven: mr Eddy had killed the bear and dried the meat early in the winter.]	false	0	13.89	20.853523
2481_156738_000001_000000	[Footnote 8: His body was found there later by the First Relief Party.]	[Footnote eight: His body was found there later by the First Relief Party.]	false	13.89	26.295	22.37755
2481_156738_000002_000000	CHAPTER X	CHAPTER ten	true	26.295	27.34	19.624912
2481_156738_000003_000000	RELIEF MEASURES INAUGURATED IN CALIFORNIA--DISTURBED CONDITIONS BECAUSE OF MEXICAN WAR--GENEROUS SUBSCRIPTIONS--THREE PARTIES ORGANIZE--"FIRST RELIEF," UNDER RACINE TUCKER; "SECOND RELIEF" UNDER REED AND GREENWOOD; AND RELAY CAMP UNDER WOODWORTH--FIRST RELIEF PARTY CROSSES SNOW-BELT AND REACHES DONNER LAKE.	RELIEF MEASURES INAUGURATED IN CALIFORNIA-DISTURBED CONDITIONS BECAUSE OF MEXICAN WAR-GENEROUS SUBSCRIPTIONS-THREE PARTIES ORGANIZE-"FIRST RELIEF," UNDER RACINE TUCKER; "SECOND RELIEF" UNDER REED AND GREENWOOD; AND RELAY CAMP UNDER WOODWORTH-FIRST RELIEF PARTY CROSSES SNOW BELT AND REACHES DONNER LAKE.	true	28.37	53.77	21.981699
2481_156738_000004_000000	The kindness and sympathy shown Mr. Eddy by the good people in the neighborhood of the Richey and Johnson ranches encouraged his efforts in behalf of his fellow-sufferers in the mountains.	The kindness and sympathy shown mr Eddy by the good people in the neighborhood of the Richey and Johnson ranches encouraged his efforts in behalf of his fellow sufferers in the mountains.	false	54.2	65.23	21.431454
2481_156738_000004_000001	While the early sunlight of January 19 was flooding his room with cheer and warmth, he dictated a letter to Mr. John Sinclair, Alcalde of the Upper District of California, living near Sutter's Fort, in which he stated as briefly as possible the conditions and perils surrounding the snow-bound travellers, and begged him to use every means in his power toward their immediate rescue.	While the early sunlight of january nineteenth was flooding his room with cheer and warmth, he dictated a letter to mr john Sinclair, Alcalde of the Upper District of California, living near Sutter's Fort, in which he stated as briefly as possible the conditions and perils surrounding the snow bound travellers, and begged him to use every means in his power toward their immediate rescue.	true	65.48	90.03	22.041224
2481_156738_000005_000000	Bear River was running high, and the plain between it and Sutter's Fort seemed a vast quagmire, but John Rhodes volunteered to deliver the letter.	Bear River was running high, and the plain between it and Sutter's Fort seemed a vast quagmire, but john Rhodes volunteered to deliver the letter.	true	90.03	100.08	23.599516
2481_156738_000005_000001	He was ferried over the river on a raft formed of two logs lashed together with strips of rawhide.	He was ferried over the river on a raft formed of two logs lashed together with strips of rawhide.	true	100.08	106.96	22.29838
2481_156738_000005_000002	Then he rolled his trousers above the knee and with his shoes in his hand, started on his mission. He saw no white faces until he reached Sinclair's, where the letter created a painful interest and won ready promises of help.	Then he rolled his trousers above the knee and with his shoes in his hand, started on his mission. He saw no white faces until he reached Sinclair's, where the letter created a painful interest and won ready promises of help.	false	107.06	122.13	20.23625
2481_156738_000006_000000	It was dark when he reached Sutter's Fort, nevertheless from house to house he spread the startling report: "Men, women, and little children are snow-bound in the Sierras, and starving to death!"	It was dark when he reached Sutter's Fort, nevertheless from house to house he spread the startling report: "Men, women, and little children are snow bound in the Sierras, and starving to death!"	true	122.13	135.1	21.64078
2481_156738_000007_000000	Captain Kerns in charge at the Fort, pledged his aid, and influence to the cause of relief.	Captain Kerns in charge at the Fort, pledged his aid, and influence to the cause of relief.	true	135.11	141.48	23.416994
