2654_158744_000001_000000	Lucy Morris	Lucy Morris
2654_158744_000002_000002	Poor Lizzie Greystock!--as men double her own age, and who had known her as a forward, capricious, spoilt child in her father's lifetime, would still call her.	Poor Lizzie Greystock!--as men double her own age, and who had known her as a forward, capricious, spoilt child in her father's lifetime, would still call her.
2654_158744_000003_000001	In the meantime, let it be understood that poor little Lucy Morris was a governess in the house of old Lady Fawn, when our beautiful young widow established herself in Mount Street.	In the meantime, let it be understood that poor little Lucy Morris was a governess in the house of old Lady Fawn, when our beautiful young widow established herself in Mount Street.
2654_158744_000004_000000	Lady Eustace and Lucy Morris had known each other for many years,--had indeed been children together,--there having been some old family friendship between the Greystocks and the Morrises.	Lady Eustace and Lucy Morris had known each other for many years,--had indeed been children together,--there having been some old family friendship between the Greystocks and the Morrises.
2654_158744_000004_000002	She had often been a guest at the deanery.	She had often been a guest at the deanery.
2654_158744_000004_000004	Lucy, who was a year younger than Lizzie, had at that time been an orphan for the last four years.	Lucy, who was a year younger than Lizzie, had at that time been an orphan for the last four years.
2654_158744_000004_000007	The dean and the dean's wife and the dean's daughters had been her best friends, but they were not friends on whom she could be dependent.	The dean and the dean's wife and the dean's daughters had been her best friends, but they were not friends on whom she could be dependent.
2654_158744_000004_000008	They were in no way connected with her by blood.	They were in no way connected with her by blood.
2654_158744_000005_000001	The proposed engagement with Lady Fawn was thought to be a great thing for her.	The proposed engagement with Lady Fawn was thought to be a great thing for her.
2654_158744_000005_000002	Lady Fawn was known as a miracle of Virtue, Benevolence, and Persistency.	Lady Fawn was known as a miracle of Virtue, Benevolence, and Persistency.
2654_158744_000005_000005	She must be able to teach music up to a certain point.	She must be able to teach music up to a certain point.
2654_158744_000005_000006	"Then it's all over," said Lucy to the dean with her pretty smile,--that smile which caused all the old and middle-aged men to fall in love with her.	"Then it's all over," said Lucy to the dean with her pretty smile,--that smile which caused all the old and middle aged men to fall in love with her.
2654_158744_000005_000007	"It's not over at all," said the dean.	"It's not over at all," said the dean.
2654_158744_000005_000008	"You've got four months.	"You've got four months.
2654_158744_000005_000009	Our organist is about as good a teacher as there is in England.	Our organist is about as good a teacher as there is in England.
2654_158744_000005_000010	You are clever and quick, and he shall teach you." So Lucy went to Bobsborough, and was afterwards accepted by Lady Fawn.	You are clever and quick, and he shall teach you." So Lucy went to Bobsborough, and was afterwards accepted by Lady Fawn.
2654_158744_000006_000000	While she was at the deanery there sprung up a renewed friendship between her and Lizzie.	While she was at the deanery there sprung up a renewed friendship between her and Lizzie.
2654_158744_000006_000004	Now Lucy did not like to hear the Greystocks abused, and would say so.	Now Lucy did not like to hear the Greystocks abused, and would say so.
2654_158744_000006_000006	This one was Frank Greystock, the barrister.	This one was Frank Greystock, the barrister.
2654_158744_000007_000000	"Remember her position," said Mrs. Dean to her son.	"Remember her position," said mrs Dean to her son.
2654_158744_000008_000000	"Her position!	"Her position!
2654_158744_000008_000001	Well;--and what is her position mother?"	Well;--and what is her position mother?"
2654_158744_000009_000002	But with a governess, unless you mean to marry her, you should be more careful than with another girl, because you may do her such a world of mischief."	But with a governess, unless you mean to marry her, you should be more careful than with another girl, because you may do her such a world of mischief."
2654_158744_000010_000000	"I don't see that at all."	"I don't see that at all."
2654_158744_000012_000002	Who can hinder it?"	Who can hinder it?"
2654_158744_000014_000000	"Yes--I do; well.	"Yes-I do; well.
2654_158744_000014_000001	I don't suppose I can afford to marry Lucy Morris. At any rate, mother, I will never say a word to raise a hope in her,--if it would be a hope--"	I don't suppose I can afford to marry Lucy Morris. At any rate, mother, I will never say a word to raise a hope in her,--if it would be a hope-"
2654_158744_000015_000000	"Of course it would be a hope."	"Of course it would be a hope."
2654_158744_000017_000000	"Oh, Frank, it would be impossible!" said Mrs. Dean.	"Oh, Frank, it would be impossible!" said mrs Dean.
