2654_158744_000000_000000	CHAPTER III	CHAPTER three	false	8.94	32.05	22.764263
2654_158744_000001_000000	Lucy Morris	Lucy Morris	true	32.24	33.76	20.99432
2654_158744_000002_000000	Although the first two chapters of this new history have been devoted to the fortunes and personal attributes of Lady Eustace, the historian begs his readers not to believe that that opulent and aristocratic Becky Sharp is to assume the dignity of heroine in the forthcoming pages.	Although the first two chapters of this new history have been devoted to the fortunes and personal attributes of Lady Eustace, the historian begs his readers not to believe that that opulent and aristocratic Becky Sharp is to assume the dignity of heroine in the forthcoming pages.	false	34.82	53.98	22.532068
2654_158744_000002_000001	That there shall be any heroine the historian will not take upon himself to assert; but if there be a heroine, that heroine shall not be Lady Eustace.	That there shall be any heroine the historian will not take upon himself to assert; but if there be a heroine, that heroine shall not be Lady Eustace.	false	54.62	65.23	20.466738
2654_158744_000002_000002	Poor Lizzie Greystock!--as men double her own age, and who had known her as a forward, capricious, spoilt child in her father's lifetime, would still call her.	Poor Lizzie Greystock!--as men double her own age, and who had known her as a forward, capricious, spoilt child in her father's lifetime, would still call her.	true	65.9	75.37	21.705769
2654_158744_000002_000003	She did so many things, made so many efforts, caused so much suffering to others, and suffered so much herself throughout the scenes with which we are about to deal, that the story can hardly be told without giving her that prominence of place which has been assigned to her in the last two chapters.	She did so many things, made so many efforts, caused so much suffering to others, and suffered so much herself throughout the scenes with which we are about to deal, that the story can hardly be told without giving her that prominence of place which has been assigned to her in the last two chapters.	false	75.92	96.16	21.39466
2654_158744_000003_000000	Nor does the chronicler dare to put forward Lucy Morris as a heroine. The real heroine, if it be found possible to arrange her drapery for her becomingly, and to put that part which she enacted into properly heroic words, shall stalk in among us at some considerably later period of the narrative, when the writer shall have accustomed himself to the flow of words, and have worked himself up to a state of mind fit for the reception of noble acting and noble speaking.	Nor does the chronicler dare to put forward Lucy Morris as a heroine. The real heroine, if it be found possible to arrange her drapery for her becomingly, and to put that part which she enacted into properly heroic words, shall stalk in among us at some considerably later period of the narrative, when the writer shall have accustomed himself to the flow of words, and have worked himself up to a state of mind fit for the reception of noble acting and noble speaking.	false	97.46	127.39	21.99286
2654_158744_000003_000001	In the meantime, let it be understood that poor little Lucy Morris was a governess in the house of old Lady Fawn, when our beautiful young widow established herself in Mount Street.	In the meantime, let it be understood that poor little Lucy Morris was a governess in the house of old Lady Fawn, when our beautiful young widow established herself in Mount Street.	true	127.88	139.96	22.432663
2654_158744_000004_000000	Lady Eustace and Lucy Morris had known each other for many years,--had indeed been children together,--there having been some old family friendship between the Greystocks and the Morrises.	Lady Eustace and Lucy Morris had known each other for many years,--had indeed been children together,--there having been some old family friendship between the Greystocks and the Morrises.	true	140.78	152.41	21.538176
2654_158744_000004_000001	When the admiral's wife was living, Lucy had, as a little girl of eight or nine, been her guest.	When the admiral's wife was living, Lucy had, as a little girl of eight or nine, been her guest.	true	152.78	158.77	19.71003
2654_158744_000004_000002	She had often been a guest at the deanery.	She had often been a guest at the deanery.	true	158.84	161.44	21.147217
2654_158744_000004_000003	When Lady Eustace had gone down to the bishop's palace at Bobsborough, in order that an heir to the Eustaces might be born under an auspicious roof, Lucy Morris was with the Greystocks.	When Lady Eustace had gone down to the bishop's palace at Bobsborough, in order that an heir to the Eustaces might be born under an auspicious roof, Lucy Morris was with the Greystocks.	false	161.72	172.15	20.89042
2654_158744_000004_000004	Lucy, who was a year younger than Lizzie, had at that time been an orphan for the last four years.	Lucy, who was a year younger than Lizzie, had at that time been an orphan for the last four years.	true	172.4	178.24	21.484735
2654_158744_000004_000005	She too had been left penniless, but no such brilliant future awaited her as that which Lizzie had earned for herself.	She too had been left penniless, but no such brilliant future awaited her as that which Lizzie had earned for herself.	false	178.52	186.28	22.896006
2654_158744_000004_000006	There was no countess-aunt to take her into her London house.	There was no countess aunt to take her into her London house.	false	186.53	189.91	19
2654_158744_000004_000007	The dean and the dean's wife and the dean's daughters had been her best friends, but they were not friends on whom she could be dependent.	The dean and the dean's wife and the dean's daughters had been her best friends, but they were not friends on whom she could be dependent.	true	190.07	197.59	21.674612
