8820_294113_000000_000000	SACRAMENTO RIVER. _March_ 1905.	SACRAMENTO RIVER. underscore March underscore nineteen o five.	false	2.79	9.585	23.588907
8820_294113_000001_000000	THE SOMNAMBULISTS	THE s o m n a m b u l i s t s	false	9.585	20.055	21.40976
8820_294113_000002_000000	"'Tis only fools speak evil of the clay-- The very stars are made of clay like mine."	"'tis only fools speak evil of the clay- The very stars are made of clay like mine."	true	20.055	25.36	23.233347
8820_294113_000003_000000	The mightiest and absurdest sleep-walker on the planet!	The mightiest and absurdest sleep walker on the planet!	true	26.93	29.83	23.063639
8820_294113_000003_000001	Chained in the circle of his own imaginings, man is only too keen to forget his origin and to shame that flesh of his that bleeds like all flesh and that is good to eat.	Chained in the circle of his own imaginings, man is only too keen to forget his origin and to shame that flesh of his that bleeds like all flesh and that is good to eat.	true	29.9	39.25	22.628765
8820_294113_000003_000002	Civilization (which is part of the circle of his imaginings) has spread a veneer over the surface of the soft-shelled animal known as man.	Civilization (which is part of the circle of his imaginings) has spread a veneer over the surface of the soft shelled animal known as man.	true	39.62	47.23	20.866526
8820_294113_000003_000003	It is a very thin veneer; but so wonderfully is man constituted that he squirms on his bit of achievement and believes he is garbed in armour-plate.	It is a very thin veneer; but so wonderfully is man constituted that he squirms on his bit of achievement and believes he is garbed in armour plate.	false	47.66	56.11	20.56848
8820_294113_000004_000000	Yet man to-day is the same man that drank from his enemy's skull in the dark German forests, that sacked cities, and stole his women from neighbouring clans like any howling aborigine.	Yet man to day is the same man that drank from his enemy's skull in the dark German forests, that sacked cities, and stole his women from neighbouring clans like any howling aborigine.	true	56.36	66.28	17
8820_294113_000004_000001	The flesh-and-blood body of man has not changed in the last several thousand years.	The flesh and blood body of man has not changed in the last several thousand years.	true	66.71	71.23	20.522747
8820_294113_000004_000002	Nor has his mind changed.	Nor has his mind changed.	true	71.54	73.305	16.536808
8820_294113_000004_000003	There is no faculty of the mind of man to-day that did not exist in the minds of the men of long ago.	There is no faculty of the mind of man to day that did not exist in the minds of the men of long ago.	true	73.305	79.18	19
8820_294113_000004_000004	Man has to-day no concept that is too wide and deep and abstract for the mind of Plato or Aristotle to grasp.	Man has to day no concept that is too wide and deep and abstract for the mind of Plato or Aristotle to grasp.	true	79.52	86.35	23.17312
8820_294113_000004_000005	Give to Plato or Aristotle the same fund of knowledge that man to-day has access to, and Plato and Aristotle would reason as profoundly as the man of to-day and would achieve very similar conclusions.	Give to Plato or Aristotle the same fund of knowledge that man to day has access to, and Plato and Aristotle would reason as profoundly as the man of to day and would achieve very similar conclusions.	true	86.63	98.86	21.397102
8820_294113_000005_000000	It is the same old animal man, smeared over, it is true, with a veneer, thin and magical, that makes him dream drunken dreams of self-exaltation and to sneer at the flesh and the blood of him beneath the smear.	It is the same old animal man, smeared over, it is true, with a veneer, thin and magical, that makes him dream drunken dreams of self exaltation and to sneer at the flesh and the blood of him beneath the smear.	true	99.53	112.66	19
8820_294113_000005_000001	The raw animal crouching within him is like the earthquake monster pent in the crust of the earth.	The raw animal crouching within him is like the earthquake monster pent in the crust of the earth.	true	113.18	118.95	24.74934
8820_294113_000005_000002	As he persuades himself against the latter till it arouses and shakes down a city, so does he persuade himself against the former until it shakes him out of his dreaming and he stands undisguised, a brute like any other brute.	As he persuades himself against the latter till it arouses and shakes down a city, so does he persuade himself against the former until it shakes him out of his dreaming and he stands undisguised, a brute like any other brute.	true	118.95	133.24	23.143675
8820_294113_000006_000000	Starve him, let him miss six meals, and see gape through the veneer the hungry maw of the animal beneath.	Starve him, let him miss six meals, and see gape through the veneer the hungry maw of the animal beneath.	true	133.52	139.57	19.54194
8820_294113_000006_000001	Get between him and the female of his kind upon whom his mating instinct is bent, and see his eyes blaze like an angry cat's, hear in his throat the scream of wild stallions, and watch his fists clench like an orang-outang's.	Get between him and the female of his kind upon whom his mating instinct is bent, and see his eyes blaze like an angry cat's, hear in his throat the scream of wild stallions, and watch his fists clench like an orang outang's.	false	139.58	153.31	20
8820_294113_000006_000002	Maybe he will even beat his chest.	Maybe he will even beat his chest.	true	153.53	155.8	19.934906
8820_294113_000006_000003	Touch his silly vanity, which he exalts into high-sounding pride--call him a liar, and behold the red animal in him that makes a hand clutching that is quick like the tensing of a tiger's claw, or an eagle's talon, incarnate with desire to rip and tear.	Touch his silly vanity, which he exalts into high sounding pride-call him a liar, and behold the red animal in him that makes a hand clutching that is quick like the tensing of a tiger's claw, or an eagle's talon, incarnate with desire to rip and tear.	false	155.9	172.75	22
8820_294113_000007_000000	It is not necessary to call him a liar to touch his vanity.	It is not necessary to call him a liar to touch his vanity.	true	173.12	176.59	23
8820_294113_000007_000001	Tell a plains Indian that he has failed to steal horses from the neighbouring tribe, or tell a man living in bourgeois society that he has failed to pay his bills at the neighbouring grocer's, and the results are the same. Each, plains Indian and bourgeois, is smeared with a slightly different veneer, that is all.	Tell a plains Indian that he has failed to steal horses from the neighbouring tribe, or tell a man living in bourgeois society that he has failed to pay his bills at the neighbouring grocer's, and the results are the same. Each, plains Indian and bourgeois, is smeared with a slightly different veneer, that is all.	true	176.93	194.89	20
8820_294113_000007_000002	It requires a slightly different stick to scrape it off.	It requires a slightly different stick to scrape it off.	true	195.11	198.225	24.421726
8820_294113_000007_000003	The raw animals beneath are identical.	The raw animals beneath are identical.	true	198.225	200.86	21.842863
8820_294113_000008_000000	But intrude not violently upon man, leave him alone in his somnambulism, and he kicks out from under his feet the ladder of life up which he has climbed, constitutes himself the centre of the universe, dreams sordidly about his own particular god, and maunders metaphysically about his own blessed immortality.	But intrude not violently upon man, leave him alone in his somnambulism, and he kicks out from under his feet the ladder of life up which he has climbed, constitutes himself the centre of the universe, dreams sordidly about his own particular god, and maunders metaphysically about his own blessed immortality.	true	201.5	219.82	20
8820_294113_000009_000000	True, he lives in a real world, breathes real air, eats real food, and sleeps under real blankets, in order to keep real cold away.	True, he lives in a real world, breathes real air, eats real food, and sleeps under real blankets, in order to keep real cold away.	true	220.28	229.24	20
8820_294113_000009_000001	And there's the rub.	And there's the rub.	true	229.34	230.85	22.171703
8820_294113_000009_000002	He has to effect adjustments with the real world and at the same time maintain the sublimity of his dream.	He has to effect adjustments with the real world and at the same time maintain the sublimity of his dream.	true	230.85	236.44	15
8820_294113_000009_000003	The result of this admixture of the real and the unreal is confusion thrice confounded.	The result of this admixture of the real and the unreal is confusion thrice confounded.	true	236.72	242.32	23
8820_294113_000009_000004	The man that walks the real world in his sleep becomes such a tangled mass of contradictions, paradoxes, and lies that he has to lie to himself in order to stay asleep.	The man that walks the real world in his sleep becomes such a tangled mass of contradictions, paradoxes, and lies that he has to lie to himself in order to stay asleep.	true	242.36	253.12	18
8820_294113_000010_000000	In passing, it may be noted that some men are remarkably constituted in this matter of self-deception.	In passing, it may be noted that some men are remarkably constituted in this matter of self deception.	true	253.49	259.81	16
8820_294113_000010_000001	They excel at deceiving themselves.	They excel at deceiving themselves.	true	259.97	262.215	18.998093
8820_294113_000010_000002	They believe, and they help others to believe.	They believe, and they help others to believe.	true	262.215	264.795	19.620066
8820_294113_000010_000003	It becomes their function in society, and some of them are paid large salaries for helping their fellow-men to believe, for instance, that they are not as other animals; for helping the king to believe, and his parasites and drudges as well, that he is God's own manager over so many square miles of earth-crust; for helping the merchant and banking classes to believe that society rests on their shoulders, and that civilization would go to smash if they got out from under and ceased from their exploitations and petty pilferings.	It becomes their function in society, and some of them are paid large salaries for helping their fellow men to believe, for instance, that they are not as other animals; for helping the king to believe, and his parasites and drudges as well, that he is God's own manager over so many square miles of earth crust; for helping the merchant and banking classes to believe that society rests on their shoulders, and that civilization would go to smash if they got out from under and ceased from their exploitations and petty pilferings.	false	264.795	296.745	19
8820_294113_000011_000000	Prize-fighting is terrible.	Prize fighting is terrible.	true	296.745	298.51	24.267776
8820_294113_000011_000001	This is the dictum of the man who walks in his sleep.	This is the dictum of the man who walks in his sleep.	true	298.61	301.815	21.502878
8820_294113_000011_000002	He prates about it, and writes to the papers about it, and worries the legislators about it.	He prates about it, and writes to the papers about it, and worries the legislators about it.	true	301.815	307.33	21.131632
8820_294113_000011_000003	There is nothing of the brute about _him_.	There is nothing of the brute about underscore him underscore.	false	307.43	309.78	19.433266
8820_294113_000011_000004	He is a sublimated soul that treads the heights and breathes refined ether--in self-comparison with the prize-fighter.	He is a sublimated soul that treads the heights and breathes refined ether-in self comparison with the prize fighter.	false	309.78	316.93	23.068813
8820_294113_000011_000005	The man who walks in his sleep ignores the flesh and all its wonderful play of muscle, joint, and nerve.	The man who walks in his sleep ignores the flesh and all its wonderful play of muscle, joint, and nerve.	true	317.21	323.89	20
8820_294113_000011_000006	He feels that there is something godlike in the mysterious deeps of his being, denies his relationship with the brute, and proceeds to go forth into the world and express by deeds that something godlike within him.	He feels that there is something godlike in the mysterious deeps of his being, denies his relationship with the brute, and proceeds to go forth into the world and express by deeds that something godlike within him.	true	323.9	336.85	18
8820_294113_000012_000000	He sits at a desk and chases dollars through the weeks and months and years of his life.	He sits at a desk and chases dollars through the weeks and months and years of his life.	true	336.98	341.98	19
8820_294113_000012_000001	To him the life godlike resolves into a problem something like this: _Since the great mass of men toil at producing wealth_, _how best can he get between the great mass of men and the wealth they produce_, _and get a slice for himself_?	To him the life godlike resolves into a problem something like this: underscore Since the great mass of men toil at producing wealth underscore, underscore how best can he get between the great mass of men and the wealth they produce underscore, underscore and get a slice for himself underscore?	false	341.99	356.76	23.157534
8820_294113_000012_000002	With tremendous exercise of craft, deceit, and guile, he devotes his life godlike to this purpose.	With tremendous exercise of craft, deceit, and guile, he devotes his life godlike to this purpose.	true	356.76	363.34	23
8820_294113_000012_000003	As he succeeds, his somnambulism grows profound.	As he succeeds, his somnambulism grows profound.	true	363.44	367.09	20.859678
8820_294113_000012_000004	He bribes legislatures, buys judges, "controls" primaries, and then goes and hires other men to tell him that it is all glorious and right.	He bribes legislatures, buys judges, "controls" primaries, and then goes and hires other men to tell him that it is all glorious and right.	false	367.49	376.69	20.311676
8820_294113_000012_000005	And the funniest thing about it is that this arch-deceiver believes all that they tell him.	And the funniest thing about it is that this arch deceiver believes all that they tell him.	true	376.88	382.54	22.692587
8820_294113_000012_000006	He reads only the newspapers and magazines that tell him what he wants to be told, listens only to the biologists who tell him that he is the finest product of the struggle for existence, and herds only with his own kind, where, like the monkey-folk, they teeter up and down and tell one another how great they are.	He reads only the newspapers and magazines that tell him what he wants to be told, listens only to the biologists who tell him that he is the finest product of the struggle for existence, and herds only with his own kind, where, like the monkey folk, they teeter up and down and tell one another how great they are.	true	382.64	403.15	23.02842
8820_294113_000013_000000	In the course of his life godlike he ignores the flesh--until he gets to table.	In the course of his life godlike he ignores the flesh-until he gets to table.	true	403.46	407.865	22.606228
8820_294113_000013_000001	He raises his hands in horror at the thought of the brutish prize-fighter, and then sits down and gorges himself on roast beef, rare and red, running blood under every sawing thrust of the implement called a knife.	He raises his hands in horror at the thought of the brutish prize fighter, and then sits down and gorges himself on roast beef, rare and red, running blood under every sawing thrust of the implement called a knife.	false	407.865	420.67	19
