8820_294113_000002_000000	"'Tis only fools speak evil of the clay-- The very stars are made of clay like mine."	"'tis only fools speak evil of the clay- The very stars are made of clay like mine."
8820_294113_000003_000000	The mightiest and absurdest sleep-walker on the planet!	The mightiest and absurdest sleep walker on the planet!
8820_294113_000003_000001	Chained in the circle of his own imaginings, man is only too keen to forget his origin and to shame that flesh of his that bleeds like all flesh and that is good to eat.	Chained in the circle of his own imaginings, man is only too keen to forget his origin and to shame that flesh of his that bleeds like all flesh and that is good to eat.
8820_294113_000003_000002	Civilization (which is part of the circle of his imaginings) has spread a veneer over the surface of the soft-shelled animal known as man.	Civilization (which is part of the circle of his imaginings) has spread a veneer over the surface of the soft shelled animal known as man.
8820_294113_000004_000001	The flesh-and-blood body of man has not changed in the last several thousand years.	The flesh and blood body of man has not changed in the last several thousand years.
8820_294113_000004_000004	Man has to-day no concept that is too wide and deep and abstract for the mind of Plato or Aristotle to grasp.	Man has to day no concept that is too wide and deep and abstract for the mind of Plato or Aristotle to grasp.
8820_294113_000004_000005	Give to Plato or Aristotle the same fund of knowledge that man to-day has access to, and Plato and Aristotle would reason as profoundly as the man of to-day and would achieve very similar conclusions.	Give to Plato or Aristotle the same fund of knowledge that man to day has access to, and Plato and Aristotle would reason as profoundly as the man of to day and would achieve very similar conclusions.
8820_294113_000005_000001	The raw animal crouching within him is like the earthquake monster pent in the crust of the earth.	The raw animal crouching within him is like the earthquake monster pent in the crust of the earth.
8820_294113_000005_000002	As he persuades himself against the latter till it arouses and shakes down a city, so does he persuade himself against the former until it shakes him out of his dreaming and he stands undisguised, a brute like any other brute.	As he persuades himself against the latter till it arouses and shakes down a city, so does he persuade himself against the former until it shakes him out of his dreaming and he stands undisguised, a brute like any other brute.
8820_294113_000007_000000	It is not necessary to call him a liar to touch his vanity.	It is not necessary to call him a liar to touch his vanity.
8820_294113_000007_000001	Tell a plains Indian that he has failed to steal horses from the neighbouring tribe, or tell a man living in bourgeois society that he has failed to pay his bills at the neighbouring grocer's, and the results are the same. Each, plains Indian and bourgeois, is smeared with a slightly different veneer, that is all.	Tell a plains Indian that he has failed to steal horses from the neighbouring tribe, or tell a man living in bourgeois society that he has failed to pay his bills at the neighbouring grocer's, and the results are the same. Each, plains Indian and bourgeois, is smeared with a slightly different veneer, that is all.
8820_294113_000007_000002	It requires a slightly different stick to scrape it off.	It requires a slightly different stick to scrape it off.
8820_294113_000007_000003	The raw animals beneath are identical.	The raw animals beneath are identical.
