501_125127_000000_000000	Chapter 14	Chapter fourteen	false	1.83	27.195	19.627295
501_125127_000001_000000	THE BIRD OF PREY BROUGHT DOWN	THE BIRD OF PREY BROUGHT DOWN	true	27.195	28.93	22
501_125127_000002_000000	Cold on the shore, in the raw cold of that leaden crisis in the four-and-twenty hours when the vital force of all the noblest and prettiest things that live is at its lowest, the three watchers looked each at the blank faces of the other two, and all at the blank face of Riderhood in his boat.	Cold on the shore, in the raw cold of that leaden crisis in the four and twenty hours when the vital force of all the noblest and prettiest things that live is at its lowest, the three watchers looked each at the blank faces of the other two, and all at the blank face of Riderhood in his boat.	false	30.38	47.71	18.633265
501_125127_000003_000000	'Gaffer's boat, Gaffer in luck again, and yet no Gaffer!' So spake Riderhood, staring disconsolate.	'Gaffer's boat, Gaffer in luck again, and yet no Gaffer!' So spake Riderhood, staring disconsolate.	true	48.47	56.35	20.74114
501_125127_000004_000000	As if with one accord, they all turned their eyes towards the light of the fire shining through the window.	As if with one accord, they all turned their eyes towards the light of the fire shining through the window.	true	57.53	62.35	16
501_125127_000004_000001	It was fainter and duller.	It was fainter and duller.	true	62.75	64.39	19.596735
501_125127_000004_000002	Perhaps fire, like the higher animal and vegetable life it helps to sustain, has its greatest tendency towards death, when the night is dying and the day is not yet born.	Perhaps fire, like the higher animal and vegetable life it helps to sustain, has its greatest tendency towards death, when the night is dying and the day is not yet born.	true	64.79	75.64	20.075993
501_125127_000005_000000	'If it was me that had the law of this here job in hand,' growled Riderhood with a threatening shake of his head, 'blest if I wouldn't lay hold of HER, at any rate!'	'If it was me that had the law of this here job in hand,' growled Riderhood with a threatening shake of his head, 'blest if I wouldn't lay hold of HER, at any rate!'	true	76.49	85.92	16.934654
501_125127_000006_000000	'Ay, but it is not you,' said Eugene.	'Ay, but it is not you,' said Eugene.	false	85.92	89.77	21.853079
501_125127_000006_000001	With something so suddenly fierce in him that the informer returned submissively; 'Well, well, well, t'other governor, I didn't say it was.	With something so suddenly fierce in him that the informer returned submissively; 'Well, well, well, t'other governor, I didn't say it was.	true	90.14	98.88	17.59881
501_125127_000006_000002	A man may speak.'	A man may speak.'	false	98.88	100.93	25.486855
501_125127_000007_000000	'And vermin may be silent,' said Eugene. 'Hold your tongue, you water-rat!'	'And vermin may be silent,' said Eugene. 'Hold your tongue, you water rat!'	true	101.27	106.63	19.97766
501_125127_000008_000000	Astonished by his friend's unusual heat, Lightwood stared too, and then said: 'What can have become of this man?'	Astonished by his friend's unusual heat, Lightwood stared too, and then said: 'What can have become of this man?'	true	107.51	114.52	20.549603
501_125127_000009_000000	'Can't imagine.	'Can't imagine.	true	114.98	116.07	20.253275
501_125127_000009_000001	Unless he dived overboard.' The informer wiped his brow ruefully as he said it, sitting in his boat and always staring disconsolate.	Unless he dived overboard.' The informer wiped his brow ruefully as he said it, sitting in his boat and always staring disconsolate.	true	116.07	123.85	18.575598
501_125127_000010_000000	'Did you make his boat fast?'	'Did you make his boat fast?'	true	124.07	126.13	15
501_125127_000011_000000	'She's fast enough till the tide runs back.	'She's fast enough till the tide runs back.	true	126.62	129.61	21.763184
501_125127_000011_000001	I couldn't make her faster than she is.	I couldn't make her faster than she is.	true	129.92	131.92	18
501_125127_000011_000002	Come aboard of mine, and see for your own-selves.'	Come aboard of mine, and see for your own selves.'	true	132.29	134.77	18
501_125127_000012_000000	There was a little backwardness in complying, for the freight looked too much for the boat; but on Riderhood's protesting 'that he had had half a dozen, dead and alive, in her afore now, and she was nothing deep in the water nor down in the stern even then, to speak of;' they carefully took their places, and trimmed the crazy thing.	There was a little backwardness in complying, for the freight looked too much for the boat; but on Riderhood's protesting 'that he had had half a dozen, dead and alive, in her afore now, and she was nothing deep in the water nor down in the stern even then, to speak of;' they carefully took their places, and trimmed the crazy thing.	false	135.56	152.89	19.438337
501_125127_000012_000001	While they were doing so, Riderhood still sat staring disconsolate.	While they were doing so, Riderhood still sat staring disconsolate.	true	153.23	157.57	21.398502
501_125127_000013_000000	'All right.	'All right.	true	158.3	159.03	25.29007
501_125127_000013_000001	Give way!' said Lightwood.	Give way!' said Lightwood.	true	159.03	160.93	17.75601
501_125127_000014_000000	'Give way, by George!' repeated Riderhood, before shoving off.	'Give way, by George!' repeated Riderhood, before shoving off.	true	161.33	165.31	18.960655
501_125127_000014_000001	'If he's gone and made off any how Lawyer Lightwood, it's enough to make me give way in a different manner.	'If he's gone and made off any how Lawyer Lightwood, it's enough to make me give way in a different manner.	true	165.77	171.88	16
501_125127_000014_000002	But he always WAS a cheat, con-found him! He always was a infernal cheat, was Gaffer.	But he always WAS a cheat, con found him! He always was a infernal cheat, was Gaffer.	true	172.19	177.52	19.977066
501_125127_000014_000003	Nothing straightfor'ard, nothing on the square.	Nothing straightfor'ard, nothing on the square.	false	177.59	180.34	20.18707
501_125127_000014_000004	So mean, so underhanded.	So mean, so underhanded.	true	180.44	182.5	16.42197
501_125127_000014_000005	Never going through with a thing, nor carrying it out like a man!'	Never going through with a thing, nor carrying it out like a man!'	true	182.51	185.94	16.670935
