501_125127_000001_000000	THE BIRD OF PREY BROUGHT DOWN	THE BIRD OF PREY BROUGHT DOWN
501_125127_000003_000000	'Gaffer's boat, Gaffer in luck again, and yet no Gaffer!' So spake Riderhood, staring disconsolate.	'Gaffer's boat, Gaffer in luck again, and yet no Gaffer!' So spake Riderhood, staring disconsolate.
501_125127_000004_000002	Perhaps fire, like the higher animal and vegetable life it helps to sustain, has its greatest tendency towards death, when the night is dying and the day is not yet born.	Perhaps fire, like the higher animal and vegetable life it helps to sustain, has its greatest tendency towards death, when the night is dying and the day is not yet born.
501_125127_000008_000000	Astonished by his friend's unusual heat, Lightwood stared too, and then said: 'What can have become of this man?'	Astonished by his friend's unusual heat, Lightwood stared too, and then said: 'What can have become of this man?'
501_125127_000009_000000	'Can't imagine.	'Can't imagine.
501_125127_000011_000000	'She's fast enough till the tide runs back.	'She's fast enough till the tide runs back.
501_125127_000012_000001	While they were doing so, Riderhood still sat staring disconsolate.	While they were doing so, Riderhood still sat staring disconsolate.
501_125127_000013_000000	'All right.	'All right.
501_125127_000015_000001	Steady!' cried Eugene (he had recovered immediately on embarking), as they bumped heavily against a pile; and then in a lower voice reversed his late apostrophe by remarking ('I wish the boat of my honourable and gallant friend may be endowed with philanthropy enough not to turn bottom-upward and extinguish us!) Steady, steady!	Steady!' cried Eugene (he had recovered immediately on embarking), as they bumped heavily against a pile; and then in a lower voice reversed his late apostrophe by remarking ('I wish the boat of my honourable and gallant friend may be endowed with philanthropy enough not to turn bottom upward and extinguish us!) Steady, steady!
501_125127_000015_000002	Sit close, Mortimer.	Sit close, Mortimer.
501_125127_000015_000003	Here's the hail again.	Here's the hail again.
501_125127_000016_000000	Indeed he had the full benefit of it, and it so mauled him, though he bent his head low and tried to present nothing but the mangy cap to it, that he dropped under the lee of a tier of shipping, and they lay there until it was over.	Indeed he had the full benefit of it, and it so mauled him, though he bent his head low and tried to present nothing but the mangy cap to it, that he dropped under the lee of a tier of shipping, and they lay there until it was over.
501_125127_000016_000001	The squall had come up, like a spiteful messenger before the morning; there followed in its wake a ragged tear of light which ripped the dark clouds until they showed a great grey hole of day.	The squall had come up, like a spiteful messenger before the morning; there followed in its wake a ragged tear of light which ripped the dark clouds until they showed a great grey hole of day.
501_125127_000017_000000	They were all shivering, and everything about them seemed to be shivering; the river itself; craft, rigging, sails, such early smoke as there yet was on the shore.	They were all shivering, and everything about them seemed to be shivering; the river itself; craft, rigging, sails, such early smoke as there yet was on the shore.
501_125127_000017_000001	Black with wet, and altered to the eye by white patches of hail and sleet, the huddled buildings looked lower than usual, as if they were cowering, and had shrunk with the cold.	Black with wet, and altered to the eye by white patches of hail and sleet, the huddled buildings looked lower than usual, as if they were cowering, and had shrunk with the cold.
501_125127_000018_000003	And everything so vaunted the spoiling influences of water--discoloured copper, rotten wood, honey-combed stone, green dank deposit--that the after-consequences of being crushed, sucked under, and drawn down, looked as ugly to the imagination as the main event.	And everything so vaunted the spoiling influences of water-discoloured copper, rotten wood, honey combed stone, green dank deposit-that the after consequences of being crushed, sucked under, and drawn down, looked as ugly to the imagination as the main event.
501_125127_000021_000000	('With a morbid expectation,' murmured Eugene to Lightwood, 'that somebody is always going to tell him the truth.')	('With a morbid expectation,' murmured Eugene to Lightwood, 'that somebody is always going to tell him the truth.')
501_125127_000022_000000	'This is Hexam's boat,' said Mr Inspector. 'I know her well.'	'This is Hexam's boat,' said Mr Inspector. 'I know her well.'
501_125127_000023_000000	'Look at the broken scull.	'Look at the broken scull.
501_125127_000024_000000	Mr Inspector stepped into the boat.	Mr Inspector stepped into the boat.
501_125127_000027_000001	His luck's got fouled under the keels of the barges.	His luck's got fouled under the keels of the barges.
501_125127_000028_000000	'I must have it up,' said Mr Inspector. 'I am going to take this boat ashore, and his luck along with it.	'I must have it up,' said Mr Inspector. 'I am going to take this boat ashore, and his luck along with it.
