6006_60489_000002_000000	DISEASES OF CATS.	DISEASES OF CATS.
6006_60489_000003_000001	Through the kindness of friends I am enabled to give recipes for medicines considered as useful, or, at any rate, tending to abate the severity of the attack in the one, and utterly eradicate the other.	Through the kindness of friends I am enabled to give recipes for medicines considered as useful, or, at any rate, tending to abate the severity of the attack in the one, and utterly eradicate the other.
6006_60489_000003_000002	Care should always be taken on the first symptoms of illness to remove the animal at once from contact with others.	Care should always be taken on the first symptoms of illness to remove the animal at once from contact with others.
6006_60489_000004_000000	CATARRHAL FEVERS.	CATARRHAL FEVERS.
6006_60489_000005_000001	From A.D. 1414 up to 1832 no fewer than nineteen widespread outbreaks of this kind have been recorded.	From a d fourteen fourteen up to eighteen thirty two no fewer than nineteen widespread outbreaks of this kind have been recorded.
6006_60489_000005_000002	The most notable of these was in 1796, when the cats in England and Holland were generally attacked by the disease, and in the following year when it had spread over Europe and extended to America; in 1803, it again appeared in this country and over a large part of the European continent.	The most notable of these was in seventeen ninety six, when the cats in England and Holland were generally attacked by the disease, and in the following year when it had spread over Europe and extended to America; in eighteen o three, it again appeared in this country and over a large part of the European continent.
6006_60489_000006_000000	"The symptoms are intense fever, prostration, vomiting, diarrhoea, sneezing, cough, and profuse discharge from the nose and eyes.	"The symptoms are intense fever, prostration, vomiting, diarrhoea, sneezing, cough, and profuse discharge from the nose and eyes.
6006_60489_000006_000001	Sometimes the parotid glands are swollen, as in human mumps.	Sometimes the parotid glands are swollen, as in human mumps.
6006_60489_000007_000000	"The treatment consists in careful nursing and cleanliness, keeping the animal moderately warm and comfortable.	"The treatment consists in careful nursing and cleanliness, keeping the animal moderately warm and comfortable.
6006_60489_000007_000001	The disease rapidly produces intense debility, and therefore the strength should be maintained from the very commencement by frequent small doses of strong beef-tea, into which one grain of quinine has been introduced twice a day, a small quantity of port wine (from half to one teaspoonful) according to the size of the cat, and the state of debility.	The disease rapidly produces intense debility, and therefore the strength should be maintained from the very commencement by frequent small doses of strong beef tea, into which one grain of quinine has been introduced twice a day, a small quantity of port wine (from half to one teaspoonful) according to the size of the cat, and the state of debility.
6006_60489_000007_000002	If there is no diarrhoea, but constipation, a small dose of castor oil or syrup of buckthorn should be given.	If there is no diarrhoea, but constipation, a small dose of castor oil or syrup of buckthorn should be given.
6006_60489_000007_000003	Solid food should not be allowed until convalescence has set in.	Solid food should not be allowed until convalescence has set in.
6006_60489_000007_000004	Isolation, with regard to other cats, and disinfection, should be attended to.	Isolation, with regard to other cats, and disinfection, should be attended to.
6006_60489_000008_000000	"Simple Catarrh demands similar treatment.	"Simple Catarrh demands similar treatment.
6006_60489_000008_000001	Warmth, cleanliness, broth, and beef-tea, are the chief items of treatment, with a dose of castor oil if constipation is present.	Warmth, cleanliness, broth, and beef tea, are the chief items of treatment, with a dose of castor oil if constipation is present.
6006_60489_000009_000002	Probably inoculation with cultivated or modified virus would be found a good and safe preventative."	Probably inoculation with cultivated or modified virus would be found a good and safe preventative."
6006_60489_000010_000000	I was anxious to know about this, as inoculation used to be the practice with packs of hounds.	I was anxious to know about this, as inoculation used to be the practice with packs of hounds.
6006_60489_000011_000000	It will be observed that Dr. Fleming treats the distemper as a kind of influenza, and considers one of the most important things is to keep up the strength of the suffering animal.	It will be observed that dr Fleming treats the distemper as a kind of influenza, and considers one of the most important things is to keep up the strength of the suffering animal.
6006_60489_000011_000001	Other members of the R.C.V.S., whom I have consulted, have all given the same kind of advice, not only prescribing for the sick animal wine, but brandy, as a last resource, to arouse sinking vitality.	Other members of the r c v s, whom I have consulted, have all given the same kind of advice, not only prescribing for the sick animal wine, but brandy, as a last resource, to arouse sinking vitality.
6006_60489_000011_000002	Mr. George Cheverton, of High Street, Tunbridge Wells, who is very successful with animals and their diseases, thinks it best to treat them homoeopathically.	mr George Cheverton, of High Street, Tunbridge Wells, who is very successful with animals and their diseases, thinks it best to treat them homoeopathically.
6006_60489_000011_000003	The following is what he prescribes as efficacious for some of the most dire complaints with which cats are apt to be afflicted.	The following is what he prescribes as efficacious for some of the most dire complaints with which cats are apt to be afflicted.
6006_60489_000012_000000	WORMS.	WORMS.
6006_60489_000013_000000	For a full-grown cat give 3 grains of santonine every night for a week or 10 days; it might be administered in milk, or given in a small piece of beef or meat of any kind.	For a full grown cat give three grains of santonine every night for a week or ten days; it might be administered in milk, or given in a small piece of beef or meat of any kind.
6006_60489_000013_000001	After the course give an aperient powder.	After the course give an aperient powder.
6006_60489_000014_000000	MANGE.	MANGE.
6006_60489_000016_000000	A most useful lotion is acid sulphurous, 1 oz. to 5 oz. of water, adding about a teaspoonful of glycerine, and sponging the affected parts twice or thrice daily.	A most useful lotion is acid sulphurous, one ounce. to five ounces. of water, adding about a teaspoonful of glycerine, and sponging the affected parts twice or thrice daily.
6006_60489_000017_000000	COLDS.	COLDS.
6006_60489_000018_000000	The symptoms are twofold, usually there is constant sneezing and discharge from the nose.	The symptoms are twofold, usually there is constant sneezing and discharge from the nose.
6006_60489_000019_000000	COUGHS.	COUGHS.
6006_60489_000022_000000	DISTEMPER.	DISTEMPER.
6006_60489_000023_000000	Early symptoms should be noted and receive prompt attention; this will often cut short the duration of the malady.	Early symptoms should be noted and receive prompt attention; this will often cut short the duration of the malady.
6006_60489_000023_000001	The first indications usually are a disinclination to rest in the usual place, seeking a dark corner beneath a sofa, etc.	The first indications usually are a disinclination to rest in the usual place, seeking a dark corner beneath a sofa, etc
6006_60489_000023_000002	The eyes flow freely, the nose after becoming hard and dry becomes stopped with fluid, the tongue parched, and total aversion to food follows.	The eyes flow freely, the nose after becoming hard and dry becomes stopped with fluid, the tongue parched, and total aversion to food follows.
6006_60489_000024_000001	When the nose becomes dry, and the eye restless and glaring, give belladonna.	When the nose becomes dry, and the eye restless and glaring, give belladonna.
6006_60489_000025_000000	CANKER OF EAR.	CANKER OF EAR.
6006_60489_000026_000000	When internal, drop into the affected ear, night and morning, 3 or 5 drops of the following mixture:	When internal, drop into the affected ear, night and morning, three or five drops of the following mixture:
6006_60489_000029_000000	APERIENT.	APERIENT.
6006_60489_000030_000000	Get a chemist to rub down a medium-size croton bean with about 40 grains of sugar of milk, and divide into four powders.	Get a chemist to rub down a medium size croton bean with about forty grains of sugar of milk, and divide into four powders.
6006_60489_000030_000002	Large cats often require two powders. The dose might be repeated if necessary.	Large cats often require two powders. The dose might be repeated if necessary.
