3869_699_000002_000000	Chapter VI.	Chapter six.
3869_699_000002_000001	For Awhile A Very Obscure One	For Awhile A Very Obscure One
3869_699_000003_000003	He would again be as solitary as ever, and though he had great hopes, and great--too great--expectations from life, he could not have given any definite account of his hopes, his expectations, or even his desires.	He would again be as solitary as ever, and though he had great hopes, and great-too great-expectations from life, he could not have given any definite account of his hopes, his expectations, or even his desires.
3869_699_000004_000002	No, it's not that either.	No, it's not that either.
3869_699_000004_000003	Is it the parting with Alyosha and the conversation I had with him?	Is it the parting with Alyosha and the conversation I had with him?
3869_699_000004_000005	No doubt that came in, that vexation, it must have done indeed; but yet that was not it, that was not it either.	No doubt that came in, that vexation, it must have done indeed; but yet that was not it, that was not it either.
3869_699_000004_000006	"I feel sick with depression and yet I can't tell what I want.	"I feel sick with depression and yet I can't tell what I want.
3869_699_000004_000007	Better not think, perhaps."	Better not think, perhaps."
3869_699_000005_000001	What made his depression so vexatious and irritating was that it had a kind of casual, external character--he felt that.	What made his depression so vexatious and irritating was that it had a kind of casual, external character-he felt that.
3869_699_000007_000001	It all dawned upon him suddenly and became clear.	It all dawned upon him suddenly and became clear.
3869_699_000007_000003	Afterwards, as he talked, Smerdyakov had been forgotten for the time; but still he had been in his mind, and as soon as Ivan parted with Alyosha and was walking home, the forgotten sensation began to obtrude itself again.	Afterwards, as he talked, Smerdyakov had been forgotten for the time; but still he had been in his mind, and as soon as Ivan parted with Alyosha and was walking home, the forgotten sensation began to obtrude itself again.
3869_699_000007_000004	"Is it possible that a miserable, contemptible creature like that can worry me so much?" he wondered, with insufferable irritation.	"Is it possible that a miserable, contemptible creature like that can worry me so much?" he wondered, with insufferable irritation.
3869_699_000008_000001	He had even begun to notice in himself a growing feeling that was almost of hatred for the creature. Perhaps this hatred was accentuated by the fact that when Ivan first came to the neighborhood he had felt quite differently.	He had even begun to notice in himself a growing feeling that was almost of hatred for the creature. Perhaps this hatred was accentuated by the fact that when Ivan first came to the neighborhood he had felt quite differently.
3869_699_000008_000002	Then he had taken a marked interest in Smerdyakov, and had even thought him very original.	Then he had taken a marked interest in Smerdyakov, and had even thought him very original.
3869_699_000008_000006	It had first given rise to his aversion.	It had first given rise to his aversion.
3869_699_000008_000008	Grushenka had come on the scene, and there had been the scandals with his brother Dmitri--they discussed that, too.	Grushenka had come on the scene, and there had been the scandals with his brother Dmitri-they discussed that, too.
3869_699_000008_000009	But though Smerdyakov always talked of that with great excitement, it was impossible to discover what he desired to come of it.	But though Smerdyakov always talked of that with great excitement, it was impossible to discover what he desired to come of it.
3869_699_000008_000011	But what finally irritated Ivan most and confirmed his dislike for him was the peculiar, revolting familiarity which Smerdyakov began to show more and more markedly.	But what finally irritated Ivan most and confirmed his dislike for him was the peculiar, revolting familiarity which Smerdyakov began to show more and more markedly.
3869_699_000008_000013	He always spoke in a tone that suggested that those two had some kind of compact, some secret between them, that had at some time been expressed on both sides, only known to them and beyond the comprehension of those around them.	He always spoke in a tone that suggested that those two had some kind of compact, some secret between them, that had at some time been expressed on both sides, only known to them and beyond the comprehension of those around them.
3869_699_000009_000000	With a feeling of disgust and irritation he tried to pass in at the gate without speaking or looking at Smerdyakov.	With a feeling of disgust and irritation he tried to pass in at the gate without speaking or looking at Smerdyakov.
3869_699_000009_000003	With anger and repulsion he looked at Smerdyakov's emasculate, sickly face, with the little curls combed forward on his forehead.	With anger and repulsion he looked at Smerdyakov's emasculate, sickly face, with the little curls combed forward on his forehead.
3869_699_000009_000004	His left eye winked and he grinned as if to say, "Where are you going?	His left eye winked and he grinned as if to say, "Where are you going?
3869_699_000009_000005	You won't pass by; you see that we two clever people have something to say to each other."	You won't pass by; you see that we two clever people have something to say to each other."
3869_699_000010_000001	"Get away, miserable idiot.	"Get away, miserable idiot.
3869_699_000010_000002	What have I to do with you?" was on the tip of his tongue, but to his profound astonishment he heard himself say, "Is my father still asleep, or has he waked?"	What have I to do with you?" was on the tip of his tongue, but to his profound astonishment he heard himself say, "Is my father still asleep, or has he waked?"
3869_699_000011_000000	He asked the question softly and meekly, to his own surprise, and at once, again to his own surprise, sat down on the bench.	He asked the question softly and meekly, to his own surprise, and at once, again to his own surprise, sat down on the bench.
3869_699_000011_000001	For an instant he felt almost frightened; he remembered it afterwards.	For an instant he felt almost frightened; he remembered it afterwards.
3869_699_000011_000002	Smerdyakov stood facing him, his hands behind his back, looking at him with assurance and almost severity.	Smerdyakov stood facing him, his hands behind his back, looking at him with assurance and almost severity.
3869_699_000012_000000	"His honor is still asleep," he articulated deliberately ("You were the first to speak, not I," he seemed to say).	"His honor is still asleep," he articulated deliberately ("You were the first to speak, not I," he seemed to say).
3869_699_000012_000001	"I am surprised at you, sir," he added, after a pause, dropping his eyes affectedly, setting his right foot forward, and playing with the tip of his polished boot.	"I am surprised at you, sir," he added, after a pause, dropping his eyes affectedly, setting his right foot forward, and playing with the tip of his polished boot.
3869_699_000014_000001	"Why I smile you must understand of yourself, if you are a clever man," his screwed-up left eye seemed to say.	"Why I smile you must understand of yourself, if you are a clever man," his screwed up left eye seemed to say.
3869_699_000015_000000	"Why should I go to Tchermashnya?" Ivan asked in surprise.	"Why should I go to Tchermashnya?" Ivan asked in surprise.
3869_699_000016_000000	Smerdyakov was silent again.	Smerdyakov was silent again.
3869_699_000017_000001	"I put you off with a secondary reason," he seemed to suggest, "simply to say something."	"I put you off with a secondary reason," he seemed to suggest, "simply to say something."
3869_699_000018_000000	"Damn you!	"Damn you!
3869_699_000019_000000	Smerdyakov drew his right foot up to his left, pulled himself up, but still looked at him with the same serenity and the same little smile.	Smerdyakov drew his right foot up to his left, pulled himself up, but still looked at him with the same serenity and the same little smile.
3869_699_000020_000000	"Substantially nothing--but just by way of conversation."	"Substantially nothing-but just by way of conversation."
3869_699_000021_000001	They did not speak for nearly a minute.	They did not speak for nearly a minute.
3869_699_000021_000004	At last he moved to get up.	At last he moved to get up.
3869_699_000021_000005	Smerdyakov seemed to seize the moment.	Smerdyakov seemed to seize the moment.
3869_699_000022_000001	I don't know how to help myself," he said resolutely and distinctly, and at his last word he sighed.	I don't know how to help myself," he said resolutely and distinctly, and at his last word he sighed.
3869_699_000023_000001	"I am speaking of your parent and your brother Dmitri Fyodorovitch.	"I am speaking of your parent and your brother Dmitri Fyodorovitch.
3869_699_000023_000002	Here Fyodor Pavlovitch will get up directly and begin worrying me every minute, 'Has she come?	Here Fyodor Pavlovitch will get up directly and begin worrying me every minute, 'Has she come?
3869_699_000023_000003	Why hasn't she come?' and so on up till midnight and even after midnight.	Why hasn't she come?' and so on up till midnight and even after midnight.
3869_699_000023_000005	When will she come?'--as though I were to blame for it.	When will she come?'--as though I were to blame for it.
3869_699_000023_000006	On the other side it's no better. As soon as it gets dark, or even before, your brother will appear with his gun in his hands: 'Look out, you rogue, you soup-maker.	On the other side it's no better. As soon as it gets dark, or even before, your brother will appear with his gun in his hands: 'Look out, you rogue, you soup maker.
3869_699_000023_000007	If you miss her and don't let me know she's been--I'll kill you before any one.' When the night's over, in the morning, he, too, like Fyodor Pavlovitch, begins worrying me to death.	If you miss her and don't let me know she's been-I'll kill you before any one.' When the night's over, in the morning, he, too, like Fyodor Pavlovitch, begins worrying me to death.
3869_699_000023_000008	'Why hasn't she come?	'Why hasn't she come?
3869_699_000023_000009	Will she come soon?' And he, too, thinks me to blame because his lady hasn't come.	Will she come soon?' And he, too, thinks me to blame because his lady hasn't come.
3869_699_000024_000000	"And why have you meddled?	"And why have you meddled?
3869_699_000024_000001	Why did you begin to spy for Dmitri Fyodorovitch?" said Ivan irritably.	Why did you begin to spy for Dmitri Fyodorovitch?" said Ivan irritably.
3869_699_000025_000000	"How could I help meddling?	"How could I help meddling?
3869_699_000025_000001	Though, indeed, I haven't meddled at all, if you want to know the truth of the matter.	Though, indeed, I haven't meddled at all, if you want to know the truth of the matter.
3869_699_000025_000002	I kept quiet from the very beginning, not daring to answer; but he pitched on me to be his servant. He has had only one thing to say since: 'I'll kill you, you scoundrel, if you miss her,' I feel certain, sir, that I shall have a long fit to-morrow."	I kept quiet from the very beginning, not daring to answer; but he pitched on me to be his servant. He has had only one thing to say since: 'I'll kill you, you scoundrel, if you miss her,' I feel certain, sir, that I shall have a long fit to morrow."
3869_699_000027_000001	I fell from the garret that time.	I fell from the garret that time.
3869_699_000027_000002	The struggling ceased and then began again, and for three days I couldn't come back to my senses.	The struggling ceased and then began again, and for three days I couldn't come back to my senses.
3869_699_000027_000004	I might have died."	I might have died."
