3869_699_000000_000000	Ivan turned suddenly and went his way without looking back.	Ivan turned suddenly and went his way without looking back.	false	0	1.38	24.14763
3869_699_000000_000001	It was just as Dmitri had left Alyosha the day before, though the parting had been very different.	It was just as Dmitri had left Alyosha the day before, though the parting had been very different.	false	1.38	3.39	22
3869_699_000000_000002	The strange resemblance flashed like an arrow through Alyosha's mind in the distress and dejection of that moment.	The strange resemblance flashed like an arrow through Alyosha's mind in the distress and dejection of that moment.	false	3.39	4.95	25.699638
3869_699_000000_000003	He waited a little, looking after his brother.	He waited a little, looking after his brother.	false	4.95	5.7	9
3869_699_000000_000004	He suddenly noticed that Ivan swayed as he walked and that his right shoulder looked lower than his left.	He suddenly noticed that Ivan swayed as he walked and that his right shoulder looked lower than his left.	false	5.7	6.63	27
3869_699_000000_000005	He had never noticed it before.	He had never noticed it before.	false	6.63	6.93	-20
3869_699_000000_000006	But all at once he turned too, and almost ran to the monastery.	But all at once he turned too, and almost ran to the monastery.	false	6.93	7.83	17.60541
3869_699_000000_000007	It was nearly dark, and he felt almost frightened; something new was growing up in him for which he could not account.	It was nearly dark, and he felt almost frightened; something new was growing up in him for which he could not account.	false	7.83	8.73	10
3869_699_000000_000008	The wind had risen again as on the previous evening, and the ancient pines murmured gloomily about him when he entered the hermitage copse.	The wind had risen again as on the previous evening, and the ancient pines murmured gloomily about him when he entered the hermitage copse.	false	8.73	9.45	17
3869_699_000000_000009	He almost ran.	He almost ran.	false	9.45	9.54	2
3869_699_000000_000010	"Pater Seraphicus--he got that name from somewhere--where from?" Alyosha wondered.	"Pater Seraphicus-he got that name from somewhere-where from?" Alyosha wondered.	false	9.54	10.17	28.030062
3869_699_000000_000011	"Ivan, poor Ivan, and when shall I see you again?... Here is the hermitage.	"Ivan, poor Ivan, and when shall I see you again?... Here is the hermitage.	false	10.17	10.26	-20
3869_699_000000_000012	Yes, yes, that he is, Pater Seraphicus, he will save me--from him and for ever!"	Yes, yes, that he is, Pater Seraphicus, he will save me-from him and for ever!"	false	10.26	10.65	100
3869_699_000001_000000	Several times afterwards he wondered how he could on leaving Ivan so completely forget his brother Dmitri, though he had that morning, only a few hours before, so firmly resolved to find him and not to give up doing so, even should he be unable to return to the monastery that night.	Several times afterwards he wondered how he could on leaving Ivan so completely forget his brother Dmitri, though he had that morning, only a few hours before, so firmly resolved to find him and not to give up doing so, even should he be unable to return to the monastery that night.	false	10.65	27.675	25.428118
3869_699_000002_000000	Chapter VI.	Chapter six.	true	27.675	29.41	24.400171
3869_699_000002_000001	For Awhile A Very Obscure One	For Awhile A Very Obscure One	true	29.66	32.98	24.055965
3869_699_000003_000000	And Ivan, on parting from Alyosha, went home to Fyodor Pavlovitch's house. But, strange to say, he was overcome by insufferable depression, which grew greater at every step he took towards the house.	And Ivan, on parting from Alyosha, went home to Fyodor Pavlovitch's house. But, strange to say, he was overcome by insufferable depression, which grew greater at every step he took towards the house.	false	34.1	48.46	23.075766
3869_699_000003_000001	There was nothing strange in his being depressed; what was strange was that Ivan could not have said what was the cause of it.	There was nothing strange in his being depressed; what was strange was that Ivan could not have said what was the cause of it.	false	48.56	55.81	23.795074
3869_699_000003_000002	He had often been depressed before, and there was nothing surprising at his feeling so at such a moment, when he had broken off with everything that had brought him here, and was preparing that day to make a new start and enter upon a new, unknown future.	He had often been depressed before, and there was nothing surprising at his feeling so at such a moment, when he had broken off with everything that had brought him here, and was preparing that day to make a new start and enter upon a new, unknown future.	false	55.91	70.06	24.917212
3869_699_000003_000003	He would again be as solitary as ever, and though he had great hopes, and great--too great--expectations from life, he could not have given any definite account of his hopes, his expectations, or even his desires.	He would again be as solitary as ever, and though he had great hopes, and great-too great-expectations from life, he could not have given any definite account of his hopes, his expectations, or even his desires.	true	70.55	85.47	23.689331
3869_699_000004_000000	Yet at that moment, though the apprehension of the new and unknown certainly found place in his heart, what was worrying him was something quite different.	Yet at that moment, though the apprehension of the new and unknown certainly found place in his heart, what was worrying him was something quite different.	false	85.47	95.14	20.880898
3869_699_000004_000001	"Is it loathing for my father's house?" he wondered. "Quite likely; I am so sick of it; and though it's the last time I shall cross its hateful threshold, still I loathe it....	"Is it loathing for my father's house?" he wondered. "Quite likely; I am so sick of it; and though it's the last time I shall cross its hateful threshold, still I loathe it....	false	95.63	107.88	25.316656
3869_699_000004_000002	No, it's not that either.	No, it's not that either.	true	107.88	109.39	25.916513
3869_699_000004_000003	Is it the parting with Alyosha and the conversation I had with him?	Is it the parting with Alyosha and the conversation I had with him?	true	109.76	114.06	22.441639
3869_699_000004_000004	For so many years I've been silent with the whole world and not deigned to speak, and all of a sudden I reel off a rigmarole like that." It certainly might have been the youthful vexation of youthful inexperience and vanity--vexation at having failed to express himself, especially with such a being as Alyosha, on whom his heart had certainly been reckoning.	For so many years I've been silent with the whole world and not deigned to speak, and all of a sudden I reel off a rigmarole like that." It certainly might have been the youthful vexation of youthful inexperience and vanity-vexation at having failed to express himself, especially with such a being as Alyosha, on whom his heart had certainly been reckoning.	false	114.06	137.2	22.405237
3869_699_000004_000005	No doubt that came in, that vexation, it must have done indeed; but yet that was not it, that was not it either.	No doubt that came in, that vexation, it must have done indeed; but yet that was not it, that was not it either.	true	137.72	146.53	23.16012
3869_699_000004_000006	"I feel sick with depression and yet I can't tell what I want.	"I feel sick with depression and yet I can't tell what I want.	true	146.69	150.4	22.974886
3869_699_000004_000007	Better not think, perhaps."	Better not think, perhaps."	true	150.77	153.06	26.811737
3869_699_000005_000000	Ivan tried "not to think," but that, too, was no use.	Ivan tried "not to think," but that, too, was no use.	false	153.06	159.55	24.136187
3869_699_000005_000001	What made his depression so vexatious and irritating was that it had a kind of casual, external character--he felt that.	What made his depression so vexatious and irritating was that it had a kind of casual, external character-he felt that.	true	159.71	168.49	25.659678
3869_699_000005_000002	Some person or thing seemed to be standing out somewhere, just as something will sometimes obtrude itself upon the eye, and though one may be so busy with work or conversation that for a long time one does not notice it, yet it irritates and almost torments one till at last one realizes, and removes the offending object, often quite a trifling and ridiculous one--some article left about in the wrong place, a handkerchief on the floor, a book not replaced on the shelf, and so on.	Some person or thing seemed to be standing out somewhere, just as something will sometimes obtrude itself upon the eye, and though one may be so busy with work or conversation that for a long time one does not notice it, yet it irritates and almost torments one till at last one realizes, and removes the offending object, often quite a trifling and ridiculous one-some article left about in the wrong place, a handkerchief on the floor, a book not replaced on the shelf, and so on.	true	168.65	199.59	24.537098
3869_699_000006_000000	At last, feeling very cross and ill-humored, Ivan arrived home, and suddenly, about fifteen paces from the garden gate, he guessed what was fretting and worrying him.	At last, feeling very cross and ill humored, Ivan arrived home, and suddenly, about fifteen paces from the garden gate, he guessed what was fretting and worrying him.	false	199.59	210.85	22.949734
3869_699_000007_000000	On a bench in the gateway the valet Smerdyakov was sitting enjoying the coolness of the evening, and at the first glance at him Ivan knew that the valet Smerdyakov was on his mind, and that it was this man that his soul loathed.	On a bench in the gateway the valet Smerdyakov was sitting enjoying the coolness of the evening, and at the first glance at him Ivan knew that the valet Smerdyakov was on his mind, and that it was this man that his soul loathed.	false	211.1	224.82	21.197811
3869_699_000007_000001	It all dawned upon him suddenly and became clear.	It all dawned upon him suddenly and became clear.	true	224.82	228.49	26.471745
3869_699_000007_000002	Just before, when Alyosha had been telling him of his meeting with Smerdyakov, he had felt a sudden twinge of gloom and loathing, which had immediately stirred responsive anger in his heart.	Just before, when Alyosha had been telling him of his meeting with Smerdyakov, he had felt a sudden twinge of gloom and loathing, which had immediately stirred responsive anger in his heart.	false	228.59	239.86	23.642546
