114_129317_000000_000000	'You must compose yourself,' said the doctor supporting her.	'You must compose yourself,' said the doctor supporting her.	false	0	2.76	21.442337
114_129317_000000_000001	'Be calm, my dear ma'am, pray.'	'Be calm, my dear ma'am, pray.'	false	2.76	4.59	19.798363
114_129317_000001_000000	'Let me go, in God's name!	'Let me go, in God's name!	false	4.59	5.73	21
114_129317_000001_000001	My dear child!	My dear child!	false	5.73	5.97	17
114_129317_000001_000002	She is dead!	She is dead!	false	5.97	6.18	78
114_129317_000001_000003	She is dying!'	She is dying!'	false	6.18	6.405	-20
114_129317_000002_000000	'No!' cried the doctor, passionately.	'No!' cried the doctor, passionately.	false	6.405	6.57	21
114_129317_000002_000001	'As He is good and merciful, she will live to bless us all, for years to come.'	'As He is good and merciful, she will live to bless us all, for years to come.'	false	6.57	7.29	81
114_129317_000003_000000	The lady fell upon her knees, and tried to fold her hands together; but the energy which had supported her so long, fled up to Heaven with her first thanksgiving; and she sank into the friendly arms which were extended to receive her.	The lady fell upon her knees, and tried to fold her hands together; but the energy which had supported her so long, fled up to Heaven with her first thanksgiving; and she sank into the friendly arms which were extended to receive her.	false	7.29	14.28	20.811537
114_129317_000004_000000	CHAPTER XXXIV	CHAPTER thirty four	true	14.28	15.58	26.976244
114_129317_000005_000000	CONTAINS SOME INTRODUCTORY PARTICULARS RELATIVE TO A YOUNG GENTLEMAN WHO NOW ARRIVES UPON THE SCENE; AND A NEW ADVENTURE WHICH HAPPENED TO OLIVER	CONTAINS SOME INTRODUCTORY PARTICULARS RELATIVE TO A YOUNG GENTLEMAN w h o NOW ARRIVES UPON THE SCENE; AND A NEW ADVENTURE WHICH HAPPENED TO OLIVER	false	15.92	23.8	19
114_129317_000006_000000	It was almost too much happiness to bear.	It was almost too much happiness to bear.	true	25.76	28.09	25.388866
114_129317_000006_000001	Oliver felt stunned and stupefied by the unexpected intelligence; he could not weep, or speak, or rest.	Oliver felt stunned and stupefied by the unexpected intelligence; he could not weep, or speak, or rest.	true	28.13	34.93	22.266943
114_129317_000006_000002	He had scarcely the power of understanding anything that had passed, until, after a long ramble in the quiet evening air, a burst of tears came to his relief, and he seemed to awaken, all at once, to a full sense of the joyful change that had occurred, and the almost insupportable load of anguish which had been taken from his breast.	He had scarcely the power of understanding anything that had passed, until, after a long ramble in the quiet evening air, a burst of tears came to his relief, and he seemed to awaken, all at once, to a full sense of the joyful change that had occurred, and the almost insupportable load of anguish which had been taken from his breast.	true	35.12	53.29	19.27674
114_129317_000007_000000	The night was fast closing in, when he returned homeward: laden with flowers which he had culled, with peculiar care, for the adornment of the sick chamber.	The night was fast closing in, when he returned homeward: laden with flowers which he had culled, with peculiar care, for the adornment of the sick chamber.	false	54.32	62.53	22.866812
114_129317_000007_000001	As he walked briskly along the road, he heard behind him, the noise of some vehicle, approaching at a furious pace.	As he walked briskly along the road, he heard behind him, the noise of some vehicle, approaching at a furious pace.	true	62.81	69.22	19
114_129317_000007_000002	Looking round, he saw that it was a post-chaise, driven at great speed; and as the horses were galloping, and the road was narrow, he stood leaning against a gate until it should have passed him.	Looking round, he saw that it was a post chaise, driven at great speed; and as the horses were galloping, and the road was narrow, he stood leaning against a gate until it should have passed him.	true	69.68	79.51	21.984262
114_129317_000008_000000	As it dashed on, Oliver caught a glimpse of a man in a white nightcap, whose face seemed familiar to him, although his view was so brief that he could not identify the person.	As it dashed on, Oliver caught a glimpse of a man in a white nightcap, whose face seemed familiar to him, although his view was so brief that he could not identify the person.	true	80.69	90.07	23.472427
114_129317_000008_000001	In another second or two, the nightcap was thrust out of the chaise-window, and a stentorian voice bellowed to the driver to stop: which he did, as soon as he could pull up his horses.	In another second or two, the nightcap was thrust out of the chaise window, and a stentorian voice bellowed to the driver to stop: which he did, as soon as he could pull up his horses.	true	90.59	99.94	22.252213
114_129317_000008_000002	Then, the nightcap once again appeared: and the same voice called Oliver by his name.	Then, the nightcap once again appeared: and the same voice called Oliver by his name.	true	100.7	105.79	21.609772
114_129317_000009_000000	'Here!' cried the voice.	'Here!' cried the voice.	true	106.04	107.595	21.158241
114_129317_000009_000001	'Oliver, what's the news?	'Oliver, what's the news?	false	107.595	109.005	21.737568
114_129317_000009_000002	Miss Rose!	Miss Rose!	true	109.005	109.875	22.058207
114_129317_000009_000003	Master O-li-ver!'	Master O li ver!'	false	109.875	111.315	21.200848
114_129317_000010_000000	'Is is you, Giles?' cried Oliver, running up to the chaise-door.	'Is is you, Giles?' cried Oliver, running up to the chaise door.	false	111.315	115	22.964722
114_129317_000011_000000	Giles popped out his nightcap again, preparatory to making some reply, when he was suddenly pulled back by a young gentleman who occupied the other corner of the chaise, and who eagerly demanded what was the news.	Giles popped out his nightcap again, preparatory to making some reply, when he was suddenly pulled back by a young gentleman who occupied the other corner of the chaise, and who eagerly demanded what was the news.	true	115.46	126.76	23
114_129317_000012_000000	'In a word!' cried the gentleman, 'Better or worse?'	'In a word!' cried the gentleman, 'Better or worse?'	true	127.58	130.72	24.209637
114_129317_000013_000000	'Better--much better!' replied Oliver, hastily.	'Better-much better!' replied Oliver, hastily.	true	130.91	133.93	23.443983
114_129317_000014_000000	'Thank Heaven!' exclaimed the gentleman.	'Thank Heaven!' exclaimed the gentleman.	true	134.39	136.6	20.150003
114_129317_000014_000001	'You are sure?'	'You are sure?'	true	136.7	137.71	24.75171
114_129317_000015_000000	'Quite, sir,' replied Oliver.	'Quite, sir,' replied Oliver.	true	138.08	140.02	30.758703
114_129317_000015_000001	'The change took place only a few hours ago; and Mr. Losberne says, that all danger is at an end.'	'The change took place only a few hours ago; and mr Losberne says, that all danger is at an end.'	true	140.24	145.51	22.506575
114_129317_000016_000000	The gentleman said not another word, but, opening the chaise-door, leaped out, and taking Oliver hurriedly by the arm, led him aside.	The gentleman said not another word, but, opening the chaise door, leaped out, and taking Oliver hurriedly by the arm, led him aside.	true	146.45	153.91	23.465973
114_129317_000017_000000	'You are quite certain?	'You are quite certain?	true	154.4	155.59	33.725697
114_129317_000017_000001	There is no possibility of any mistake on your part, my boy, is there?' demanded the gentleman in a tremulous voice. 'Do not deceive me, by awakening hopes that are not to be fulfilled.'	There is no possibility of any mistake on your part, my boy, is there?' demanded the gentleman in a tremulous voice. 'Do not deceive me, by awakening hopes that are not to be fulfilled.'	true	155.66	166.9	24.287205
114_129317_000018_000000	'I would not for the world, sir,' replied Oliver. 'Indeed you may believe me.	'I would not for the world, sir,' replied Oliver. 'Indeed you may believe me.	true	168.05	171.94	23.431643
114_129317_000018_000001	Mr. Losberne's words were, that she would live to bless us all for many years to come.	mr Losberne's words were, that she would live to bless us all for many years to come.	true	172.01	176.29	19
114_129317_000018_000002	I heard him say so.'	I heard him say so.'	true	176.33	177.64	24.200945
114_129317_000019_000000	The tears stood in Oliver's eyes as he recalled the scene which was the beginning of so much happiness; and the gentleman turned his face away, and remained silent, for some minutes.	The tears stood in Oliver's eyes as he recalled the scene which was the beginning of so much happiness; and the gentleman turned his face away, and remained silent, for some minutes.	true	178.43	187.72	21.34472
114_129317_000019_000001	Oliver thought he heard him sob, more than once; but he feared to interrupt him by any fresh remark--for he could well guess what his feelings were--and so stood apart, feigning to be occupied with his nosegay.	Oliver thought he heard him sob, more than once; but he feared to interrupt him by any fresh remark-for he could well guess what his feelings were-and so stood apart, feigning to be occupied with his nosegay.	true	188.21	199.63	19.465902
