1265_135635_000000_000000	CHAPTER XLVI.	CHAPTER forty six.
1265_135635_000000_000002	DODSON AND FOGG	DODSON AND FOGG
1265_135635_000001_000001	Lastly, the two vixenish ladies and the heavy gentleman were giving the driver contradictory directions, all tending to the one point, that he should stop at Mrs. Bardell's door; which the heavy gentleman, in direct opposition to, and defiance of, the vixenish ladies, contended was a green door and not a yellow one.	Lastly, the two vixenish ladies and the heavy gentleman were giving the driver contradictory directions, all tending to the one point, that he should stop at mrs Bardell's door; which the heavy gentleman, in direct opposition to, and defiance of, the vixenish ladies, contended was a green door and not a yellow one.
1265_135635_000002_000000	'Stop at the house with a green door, driver,' said the heavy gentleman.	'Stop at the house with a green door, driver,' said the heavy gentleman.
1265_135635_000003_000000	'Oh!	'Oh!
1265_135635_000005_000000	'Now vere am I to pull up?' inquired the driver.	'Now vere am I to pull up?' inquired the driver.
1265_135635_000005_000001	'Settle it among yourselves.	'Settle it among yourselves.
1265_135635_000009_000000	'Aggrawatin' thing!' said the vixenish lady last-mentioned, darting a withering glance at the heavy gentleman.	'Aggrawatin' thing!' said the vixenish lady last mentioned, darting a withering glance at the heavy gentleman.
1265_135635_000010_000000	'My dear, it's not my fault,' said the gentleman.	'My dear, it's not my fault,' said the gentleman.
1265_135635_000011_000000	'Don't talk to me, you creetur, don't,' retorted the lady.	'Don't talk to me, you creetur, don't,' retorted the lady.
1265_135635_000011_000001	'The house with the red door, cabmin.	'The house with the red door, cabmin.
1265_135635_000011_000002	Oh!	Oh!
1265_135635_000012_000000	'You ought to be ashamed of yourself, Raddle,' said the other little woman, who was no other than Mrs. Cluppins. 'What have I been a-doing of?' asked Mr. Raddle.	'You ought to be ashamed of yourself, Raddle,' said the other little woman, who was no other than mrs Cluppins. 'What have I been a doing of?' asked mr Raddle.
1265_135635_000013_000000	'Don't talk to me, don't, you brute, for fear I should be perwoked to forgit my sect and strike you!' said Mrs. Raddle.	'Don't talk to me, don't, you brute, for fear I should be perwoked to forgit my sect and strike you!' said mrs Raddle.
